PieceNr;Key;PageNr;Name;Composer;Comment;Tuning;Concordances;TimeInz;Tab
1;;1r;Preludium nani di Milann;;;OT;;C;"[aaccca4] | [aaccca3/2] c/ e1 a | \
b/ a/4 ,d ,c/ ,a ,,d ,,c ,,a | \
[aaccca2] [aacc1] [aac] | [cef2] [hf,g1] [hf] |"
2;;1v;Balard;;;OT;Conc_1758;3;"a1 | [,cdca3/2] ,d/ [a,,,e1] | [c,,a1] [e,,c] c/ c | \
f1 ,,,,a ,,,,c | ,,,,e1 e [c,,a] | [aac,,a1] ,,c ,,a | \
[a,d,e1] [,da,c] ,,c |"
3;;1v;Monycha;;Une jeune fillette;OT;Conc_4438;C;",,d2 | [,dda{a}2] [a,,,a] | [bdda2] [bdd] | \
[abd,a2] ,,,c1 ,d | ,b1 ,,,,a ,a ,b | [,d,,,d2] [,daa,b] | \
[a,,,,a1] [a,,,e] [,,da{a}] ,,,,a | ,,,a2 ,,d |"
4;;4r;Courrante Sophla Monycha V.B.;;;OT;Conc_4438;3;"[,,da2] | [,d,a1] {a} [a,,,a] | [b,,a1] ,d [d,,,,d] | \
[abd,a1] b a | ,b1 ,,,,,b ,d | [,a,,,d/] ,,d ,a ,c ,d b |"
5;;4v;Bologuio (A)lesz Vicènto Bernia;;;OT;ConcR1052;C;"[a,d1] f | [d,,c1] [c,a] | [a,b1] [,ea] | [aacc1] ,d | \
[,bd,a1] ,a/ ,b | [,daa2] [,bd,a] | \
[,a,,c1] ,,d [,a,,,a] ,,c | [,,dca2] | \
[a,d1] [f,a] [da,c] [cd,,c] |"
6;;5r;Sarabanda;;;OT;ConcR1222;3;",,,,a1 [acd] [acd] | ,,,a1 [cdd] [cdd] | ,,,,a1 [acd] [acd] | \
,,,c1 [aac] [aac] | ,,,e1 [ccd] [ccd] | \
,,,,e1 [,cc] [,c,,a] | [,,d,,c1] [,a,,,a3/2] ,,d/4 ,,c |"
7;;5v;Tambarina Galiarda (Al)ess Pi(cci)nin;;;OT;ConcR578;3;"[,daa{a}1] [a,,,a] [c,,a] [d{a}] [f,,,a] [h,,a] | \
[f{a}1] ,,,,a ,,,a d [c,,,a] [,d,a] | \
[a{a}3/2] [c,,a/] [d,,a1] [c{a}] [a,,,a] [,d,a] | \
[,cdca4] {a}2 |"
8;;6r;Balleto del Nani alla Venuta della Regina di Spagnia;;;OT;;C;"a/4 c | [da,c,a1] [da,c,a] [fda{,a}] [fda{,a}] | \
[fd,f,d/] d f [h,,,,d] [f,,,a] d | \
[ce,,c1] [,f,,d] [cf,,c] ,e | \
[aacc,a1] ,a ,c ,e [a,,,,e] c a ,d |"
9;;6r;[Courante];;;OT;ConcR407;3;",,d1 | [,,dca{,,,a}1] ,,,,a [,,dc] | \
[,acc,a1] ,c/ ,a ,c1 | [,,dca{,,,a}2] ,,,,a1 | \
[,,dc1] [aa,,,e2] | [acd,a3/2] c/ a1 | \
[,dda{a}1] a/ ,d ,c ,d |"
10;;6v;(Ba)llet;;;OT;;C;"[,,dc{,,a}3/2] ,a/ [,b,,a] ,d [a,d1] | \
[,ef,c1] ,,,e [,ef] [aabc] | \
[,ea,c1] [a,,c/] c d f [caa,c1] | \
[aac,,a1] ,,,c [aac] || f | \
[,dda1] {a} [,dd] [da/] b |"
