PieceNr;Key;PageNr;Name;Composer;Comment;Tuning;Concordances;TimeInz;Tab;TabNotation
;;;Incipits prepared with the help of Sarge Gerbode's transcriptions on his website;;;;;;;
1;;1r;Ins Bruckh ich mues dich lassen;;H. Isaac;OT;ConcR2021;C;"[,dda2] | [,daac/4] ,,a ,,b ,,d ,a ,c ,d a [cdda1] [cdd,f] | \
[fcae2] [daf,,d/4] ,c ,d a c d c a |";germantab
2;;1v;Donna legiadra;;Ph. Verdelot;OT;ConcR1543;C;"[fd,ef2] [fd,ef/4] ,c ,d a c d c a | \
[fd,e/] d c a [hf2] | [fca1] [fdd,f] [ea,c/4] a c a";germantab
3;;2v;Vng gai bergier;;Th. Crequillon;OT;ConcR857;C;"a1 a/ a [ca] a [ca] [ea] | [fc/] e [fc] ,e [ef,c1] [,f,c/] ,,,c | \
[cda,c/] ,,,c [,,a,c] [,,c,c]";germantab
4;;3v;Pour vng pläsier;;Th. Crequillon;OT;ConcR858;C;",,,,a1 [,,,ca/] ,,,,c [,,,ce] [,,a,a] [,,c,c] [,,,ce] | \
[,,def/] ,,c [a,d,a] ,a [ac] [a,d] [eacc] [c] | \
[cdda/] [ea] [fcde] [ec]";germantab
5;;4v;Je prens engre;;Clemens non Papa;OT;ConcR1358;C;"[aa,c/4] c a ,e ,c ,e a c [acc,e1] [cede] | \
[effc/] c e f [effc1] [hhi,,h] | [fhia/] ,i ,h ,f";germantab
6a;;5v;Benedicta es regina p. VI vocum. Josquin;;Josquin des Prés;OT;ConcR1599;C|;"[a,,c2] [a,,c/] ,,,b ,,,c ,,a | [a,c1] ,,d [a,,c] [af] | \
c/ a ,e ,c [ce1] ,a | c/ ,,d ,a ,c";germantab
6b;;7v;Per illud ave;;Josquin des Prés;OT;ConcR1600;C;",a2 [cd1] ,d/4 a c e | [fd/] a c/4 a c e [fc1] ,,d/ ,a | \
[fc/] ,e [af1] c ,e |";germantab
6c;;8r;[Nunc mater exora natum: tertia pars];;Josquin des Prés;OT;ConcR1601;3;",a1 ,a ,c | [,d,,c1] ,,,,c [,c,,e] | [c,da1] [ca] [e,,c] | \
[f,de1] [,,aa/] ,,c [e,cc1] | [a,d,e1] [cd,a] [,acc/] a |";germantab
7a;;8v;Nisi dominus aedificaverit 4° Vo;;L. Senfl;OT;ConcR1989;C;"c2 [ca/] a c/4 a ,d ,c | [,df/] ,c/4 ,a ,c ,d a c [d,b2] | \
[db1] a [ab/] ,a";germantab
7b;;9v;Secunda pars;;L. Senfl;OT;ConcR1990;C;",,,,c2 [,,aa/] ,,,c ,,a ,,b | [,,da1] ,,,a [,,da] ,,d | \
,,d1 ,,,a ,,,c [,,de] | [,ab1] [,c,c] [,da/] ,,,c ,,a ,,,a |";germantab
8;;10v;Vita in ligno V voc;;L. Senfl;OT;ConcR1801;C;"[a,,c2] ,d | [a,,c/] c d/4 c d a [b,,a1] d/4 b a ,d | \
[aa,c1] b/4 a ,d ,b [,ddd1] ,b |";germantab
9;;11v;Vostre Beaulte;;N. Gombert;OT;;C;"[,a,c2] [,,ba,d1] [a,,c,a] | [,aa,c1] [,aa,c] [,dffc] [a,bc] | \
[c,def/] [,,,ce] [c,,ac] ,,b/4 [,,d,ef] [da,a,d/] ,,,,,c \
[d,,c,d] ,,,,a | [ca,ac/] ,,,,a [,a,,c] [a,,,e]";germantab
10;;12v;Si tanta bien;;;OT;;C;"d2 [ab1] ,b | [b,d1] ,,,d [,de,f] d | \
[,,bcd/] b [ab,,d] ,d [b,da] ,a [b,dd,b] ,,b | \
[b,,db1] [,de,f] [d,,,,d/] ,,,d [,,bcd] [b,,a] |";germantab
11;;13v;Puisque jai IIII;;J. Lupi;OT;;C;"[,,da2] [,dffc1] [,ab,,d] | [,ddef1] [,dda] [abd,a] [a,b,d] | \
[da,,,d/] [,,a,a] [,,,ac] [,,,cd] [c,def] [,,b,d] [,bd,a] ,,,,c | \
[a,,,d/] ,,b/4 [,aaa] [,abc/] [,,de]";germantab
12;;14v;Fors seulemendt;;Josquin des Prés: Fors seulement;OT;ConcR1716;C;",,,,c2 ,,,,c1 ,,,,c | ,,,,c/4 ,,,,a ,,,,c ,,,,d ,,,,c/ [,,,,ef] [,,,a,d] ,,,,,c [,,,c,a1] | \
,,,,,d1 [,,,ca/4] ,,,,,d ,,,,,c ,,,,,a [,,,b,c/] ,,,c1 ,,,b/ |";germantab
13;;15v;Die brundlein die da fliessen III;;H. Isaac;OT;ConcR2011;C;",,b1 ,,d/4 ,,b ,,a ,,b ,,d/ ,a ,b ,,d | \
[,df1] [,df] [ab/] ,a ,,d ,,b | [c,d/4] d c a";germantab
14;;16v;Benedictus III;;H. Isaac;OT;ConcR2110;C;",,,,c2 ,,,,c1 ,,,,a/4 ,,,,c ,,,,d ,,,,a | \
,,,,c1 ,,,,a/4 ,,,,,d ,,,,,c ,,,,,a ,,,,,c/ ,,,,,d ,,,,a ,,,,c | \
[,a,c,a/] ,,,,,c ,,,,,d ,,,,a [,a,,c1] [,,d,e] |";germantab
15;;17v;An fort quant dien. IIII;;;OT;;C;",,,,c2 ,,,,c1 ,,,,c/4 ,,,,a ,,,,c ,,,,e | \
,,a1 ,,a ,,,,c [,a,,c] | [,a,,c1] [,a,,c] [,,de] [,,de] | \
[,a,,c/] ,,d [,acc] ,,a [,acc1] [,a,c] |";germantab
16;;18v;Doulce memoire IIII;;P. Sandrin;OT;ConcR856;C;"[,dfec2] [,defec/] ,,,,a ,,,,c ,,,,e | \
[,ddef1] [,cdca] [,aaac/] d/4 c a ,d ,c ,a | \
[,,eeee/] ,,c ,,,e ,,,c [,,a,c1] ,a |";germantab
17;;19v;Damour me plains. IIII voc;;R. Pathie;OT;ConcR1688;C;"a2 c1 ,a | [eacc1] ,,,c [acd,e/] ,a [,cd,a] ,e | \
[a,c,e/] ,,,,c [a,,,e] ,,,b [ea,c1] ,,,c/ ,,,c | \
[h,,gh1] [,,,gh/] ,,,h";germantab
18;;20v;Sedire le io soie dont IIII Benedictus;;B. Appenzeller?;OT;ConcR3524;C;",d2 ,d1 [bd] | [ab1] [,dfa] [bdda] [,d,a/] d | \
[fbdd/] g [f,dd1] [,a,c] ,f | [ffd,a1] ,,d/ ,d [ffd1] b/ ,,b |";germantab
19;;21v;sans titre;;;OT;;C;",,,,c2 ,,,,c/4 ,,,,a ,,,,c ,,,,d ,,,,c/ ,,,,a | \
[,,,ac2] [,,,ac1] [,,,,cd] | [,,,a,d/] ,,d ,,b ,,a ,,,c1 [,,,a,d] | \
[,,,a,d1] ,,,,c ,,,,d ,,,a |";germantab
20;;23v;Ic Seg adiu;;;OT;ConcR1752;C;"[,a,c1] ,a/ ,,,c [,c,ce] ,a/4 ,c ,e ,c ,a ,c | \
[,aa,c/4] ,c ,a ,,e ,a ,,e ,,c ,,a ,,c1 ,a |";germantab
21;;24v;Jouissance;;"Claudin de Sermisy: Iouissance vous donneray; ff. 24r-25r empty";OT;ConcR2083;C;"[aa,c2] [aa,c1] [aabc] | [caaa/] a [d,,c1] [,abc/] [c,,a] [a,b,d] [,d,,c] | \
[a,bcd/] ,,a ,,b/4 ,,a ,,b ,,d [,aabc1] [da,c] |";germantab
22;;25v;Date siceram merentibus V. voc;;;OT;ConcR1993;C;",a2 ,a | [cd,,c2] [cd,,c] | [fca2] [fca] | [ea,c2] [ac,,e] | \
[c,aa1] ,a [ea,c] ,a | [,cde1] [c,aa] [c,da/] ,,c [c,d] ,a |";germantab
23a;;26v;Qui prophetice. Prima pars. V. voc;;L. Senfl;OT;ConcR1991;C;"a2 [,df] | [a,d1] ,b ,a [ab] | ,d ,a [,bd2] | \
,,b1 a b [da] | [ab1] [bd] [da] [ab] | \
[bd/] ,b [da] ,,d";germantab
23b;;27v;Qui expansis. IIa pars. V. voc;;III.° partem. Vita in ligno sequitur. convere supra (f. 10v);OT;ConcR1992;C;",,,c2 ,,,c | [,a,a2] [,a,c] | [,,dd3/2] ,,,c/ [,a,a1] [,b,,d] | \
,,,,a/ ,a [,,d,d1] ,,,,c ,,c | \
[a,d,a1] [a,b,d] [ab/] ,,,a ,,,c ,,,d |";germantab
24;;28v;Vn compaignon gallois galland. IIII. Voc. Pasereau;;Passereau;OT;;C;",d1 ,d/ ,d [bd,a] [,d,a] [bd,a] [dd,a] | \
[fb,d/] [,d,a] [,b,d] [,ab] [,,da1] [bdda/] ,,,a | \
[bd,df/] [b,,a] [b,,df] ,,,f";germantab
25;;29v;Panis quem ego dabo. IIII. Voc. Lupus;;L. Hellinck: RhauM III N°35;OT;;C;",,,,a2 ,,,,a1 ,,,,a | [,,,,ef1] ,,,,a/ ,,,a [,,,c,d] ,,a [,,,c,a1] | \
[,,,ca1] ,,,a/ ,,,,e [,,,,cd1] [,,,,ef] | \
,,d/ [,,,,cd] ,,,,,c ,,,,,a [,,d,,c1] [,,da] |";germantab
26;;30v;Veni in hortum meum. V. Voc. Orland de Lasso;;;OT;ConcR1857;C;",,,c2 [,a,c] | [,a,c1] ,,b ,,,c [,abc] | \
[,a,c1] [,,bc] [,bdca] [,,dc] | \
[aabc1] [,a,c/] ,,a [h,,fh] ,,d [aabc1] | \
[,efec1] [hefe,h] [dabc] [ea,c/] ,e |";germantab
27;;31v;Ne le refuse mye Damien Hauericq. IIII. Voc.;;;OT;;C;",a1 ,a/ ,a [c,d1] [ca/] c | [a,c1] [c,a] ,d/ ,,a [,cd] [,ca] | \
[a,c/] [,cd] [,df] [cd] [ac1] [,df] |";germantab
28;;32v;Fu ben dur il partire. Vicenzo Ruffo. V. Voc;;V. Ruffo;OT;;C;",,,,c2 [,,a,c1] ,,,,c | [,,a,a1] ,,a [,a,c,d] ,,,,,a | \
[ca,ac1] [,a,a] [c,d,ec] [cd/] ,,,,a | \
[aabc1] ,,,c [,df,c] ,a | \
[,cde,c1] ,,a/ ,,d [,aba,d1] [,c,ca] |";germantab
29;;33v;Hoc signum crucis. V.R. V. Vocum;;V. Ruffo?;OT;;C;",a2 ,a | ,,d2 [,,cc1] ,,c | [,a,c1] ,,a/ ,,,c [,aab2] | \
[a,dce2] [aacc] | [,efec2] [,cde,c] | \
[,cc,e1] a [,aa,c] ,e/ ,c |";germantab
30;;34v;O du armer Judas wass. IIII. Voc. Cos. Alderin;;C. Alderinus;OT;;C;"a3/2 a/ a1 a | [c,d3/2] ,,d/ [a,d1] [,cd] | \
[,df2] [,ccc1] ,a/ [,,ac] | ,,,c1 [a,,ce] [,,a,c] ,e | \
[a,,ca3/2] ,,,,a/ [,,,ca1] [,,d,ef] |";germantab
31;;35v;Io si potessi donna;;Berchem / Verdelot;OT;ConcR868;C;"[hd,f,d2] [hd,f,d] | [fdaa1] [fdaa] [da,c] [ca,ac] | \
[aa,cd1] ,,d [,dfec] c | [c,b1] a [caa] ,,d/ a | \
[,db1] [,cde] [,da] [aabc] |";germantab
32;;36v;In nomine Jhesu;;;OT;;C;"[,aa,c3/2] ,c/ [,da,c1] ,a | [c,aac1] ,d/ a [c,aac1] ,a | \
[c,a,ec1] ,,,,c/ [a,c] [,ddca] ,c [,dfe,c1] | \
[,df,,d1] [,cd/] ,a [,,de,c1] [f,d/] e |";germantab
33;;37v;Recercar de Hypolito Tramoncino;;;OT;;C;"a2 ,a1 ,d | [,bd2] [,a,c1] [,,bc] | ,,,d1 ,,d [,a,c] a | \
[,d,,c/] ,b [,a,a1] ,,,,d/ ,,d [a,d1] | \
[,d,,c1] [,ac] [,bd,a] [bbd] |";germantab
34;;38v;R(icercar) de Giulio da Modena;;;OT;;C;"a2 a1 ,e | [a,,c3/2] c/ [d,,c1] [c,,b] | \
[aa,c/] c d a [f,,,d] d [c,d] a | [,ea,c2] [,abc1] ,b |";germantab
35;;39v;Fantasia;;;OT;;C;"[,aaac3/2] ,c/ [,da,c1] [aabc] | \
[c,da/4] a c d c d a c [dab,,d1] ,,,,,c | \
[da,c,a1] [ca,ac] [aabc] [abd,a] |";germantab
36;;40v;Fantasia de Franc.co Mila.;;;OT;ConcR1336;C;"[,dddf2] [,dddf] | [,def,d2] [,dddf] | \
[,,dca/] ,d ,c ,a [,ddca1] ,c | [,dddf1] f/ ,,,a [d,,c1] [b,,d/] a | \
[,def1] ,,,,,d/ a [bbd,a1] a/ ,,,,c |";germantab
37;;41v;Fantasia;;;OT;ConcR1994;C;"[aabc2] [cdda1] [aabc] | [,ea,c1] a [aabc] [,dbac] | \
[,b,ca1] [,aba,d] [,a,cd] ,,d | [,aa,c1] c [da,c,a] [ccd,,c] | \
[aab,,d1] ,,,a [,ea,c/] c/4 a";germantab
38;;42v;Surgens Jesus. V. Voc. Orland di Lasso;;;OT;;C;",a3/2 ,c/ ,e/ ,a a c | e/ c h1 ,,,c/ g e [c,a] | \
[a,c/] ,,,c ,,d ,a [ac] [ca] [ef] a |";germantab
39;;43v ;Omnia que fecisti. V. Vocum. Orland d. Lasso;;;OT;ConcR1980;C;",a2 [ca1] ,a | [c,a1] c ,a ,d | [cd1] ,a [cd] [ac] | \
[ca1] e/ ,,d [f,a] ,,c ,,d [ea] |";germantab
40;;47v;Tristia fata boni. IIII. Voc. Lud. Senflius;;;OT;;C;"[,,a,c2] [,,aac1] [,,aa] | [,a,ac3/2] ,,,,a/ [,,da,c] ,,,,,a [,,d,,c1] | \
[,abc,a2] [,a,c,a1] ,,b | [,daac1] ,a [,ddef/] ,,b ,,d ,a | \
[abb,d2] [abb,d3/2] ,a/ |";germantab
41;;48v;Si par souffrir. IIII. Voc. Joan: Courtois;;;OT;ConcR2603;C;"[ca2] [ca1] ,d | [a,b2] [,cd1] ,c | [,da,c2] [,d,,c1] ,,a | \
[,ab,,d2] [,c,ca] | [,,a,,c1] ,,d [,ca] [,,d,,c] | \
[,aba,d2] [,abc,a] |";germantab
42a;;49v;Venit vox de coelo. Clemens non Papa. V. Vocum. Prima pars;;;OT;;C;"a2 [a,d1] ,c | [,cd1] [,,de] [f,a] ,,,a/ e | \
[cd1] [ac] [,df] [,cd] | [,a,c1] ,,c [,cdc] [,,,ce] | \
[,cdcef1] [,,deac] [,,d,ec] [,,def] |";germantab
42b;;50v;Respondit miles. Secunda pars;;;OT;;C;"[a,,,a2] [c,da] | [c,da1] [a,,,e] [,dde] ,c | \
[,,dc/] ,a [,ac1] [,c,ca] ,,d | \
[,a,c,a1] [,ac] [,cdca/] ,a ,c ,d |";germantab
