PieceNr;Key;PageNr;Name;Composer;Comment;Tuning;Concordances;TimeInz;Tab
1;;3r;Praeludium;Joachim van den Hove?;;OT;;C,1/2;"[fda{a}2] | \
[fdda/4] d f c [dab,,d] ,,,,a ,,,,c ,,,,e | \
[cd,a/4] d c [a,,,e] [,da,c] ,,,c ,,a ,,c | \
[,cd,a/4] ,d a ,,,,,d ,,,,,c ,d ,,,,,a ,c |"
2;;3v;Jo mi son giouinetta à 4;Domenico Maria Ferrabosco / Giovanni Boccaccio (Joachim van den Hove);;OT;Conc_3995;C;"[abd,a2] | \
[aacc/4] ,,d ,a ,,c [acda] c/8 d f d c a | \
[cdda/4] ,a/8 ,c ,d a c d [cdda/] [a,d,d] |"
3;;5v;Toccate;Joachim van den Hove?;;OT;;C;"[abd,a2] | \
,,,,a/4 f i f a ,b ,d a | \
,,d/4 ,,,c ,,,d ,,,c ,,,a ,,,,d ,,,a ,,,c | \
,,,,a/4 ,d ,b ,a [,b,,a] [,a,,,d] [,,d,,b] ,,,a |"
4;;6v;Passemeso;Joachim van den Hove?;;OT;;C;",,,c/ ,,a | \
[aab,,a/] ,,,c [a,b] [c,d] | \
[da,c,a/4] ,,,,,c ,,,,,d ,,,,a [caa,c] a d c | \
[aab,,a1] [ha,f] | \
[f,a/4] d f c [da,c] ,,d ,a ,c |"
5;;7v;Gaillarde;Joachim van den Hove?;;OT;;3;",,,c/ ,,a | \
[aab,,a1] ,b/ ,,d ,a ,c | \
[,da,,c/4] a c ,d [aa,,,d] ,d ,c ,a [,c,,a] d c a |"
6;;8v;Der Lusteycker Mey;Anonym (Joachim van den Hove);;OT;ConcR933;C;",d1 | \
[,dda/] ,d [,daac] [,dba,d] | \
[a,dcd/] [,db,c] [a,bcd] [cbd,a] | \
[da,a,d/4] ,,,,a ,,,,c ,,,,d [c,da] [a,b] [c,d] [da] | \
[cdda/4] [,,aa] [,,bc] [,,de]"
7;;11r;Toccate;Joachim van den Hove?;;OT;;C;"[aabcca2] | \
[da,c1] [caab] | \
[da,c/] [caaa] [a,b,d] ,,d | \
[,da,c/4] ,c ,a ,,d [,aaac] ,,d ,a ,c | \
[,da,c1] [,ca,b] | \
[,da,c/] [,ca,a] [,a,a,d] ,,,c |"
8a;;11v;Het Vouder Onse;? / (Joachim van den Hove);;OT;ConcR180;C;"[aab,,a1] ,,,c | \
[aabc/] [,d,f] [,bd,a] [,ab/4] [,bd] | \
[,dff,d/] ,,g/4 ,d [ab,,d/] [,da,c] | \
[,bd,a/] [,df/4] [,bd] [,acc,a] [,,d,d] [,aa,c] [,,cc] |"
_8b;;12v;Het tweede Deel;? / (Joachim van den Hove);;;;C;"[aab,,a/] ,,,c/4 ,,,,,c [aa,c,d1] ,,,,,a | \
[abd,a/4] ,,,,,d ,,,,a ,,,,c [,bb,d] ,,,,a ,,,,c ,,,,d | \
[,da,c/4] ,,,c ,,a ,,b [abd,a] ,,,,c ,,,,d ,,,a |"
_8c;;13v;Het derde Deel;? / (Joachim van den Hove);;;;C;"a/ [,abc,a] [,bdca] [,a,c,e] | [abd,a/4] [,,cc] [,,de] [,ab] [,bdca] ,,,,,d ,,,,a ,,,,d | \
[,da,c/4] ,,,,,d ,,,,a ,,,,c [ab,,d] ,,,a ,,,,d ,,,,c |"
_8d;;14v;Het 4. Deel Duo;? / (Joachim van den Hove);;;;C;"a/4 ,,d ,,c ,,a ,,,c ,,b ,,d ,a | [a,d/4] ,,b ,,d ,a [,bd] ,,b ,,,d ,,,c | \
[,d,a/4] ,,,c ,,,d ,,,a [a,d] ,,b ,b ,,b |"
_8e;;15v;Het 5. Deel Tria;? / (Joachim van den Hove);;;;C;"[aa,c3/4] ,d/4 ,b ,a [,bdc/] | [,acc/] ,b/4 ,d [ab,,d] d c a | \
[,daa/4] a ,d ,b [,acc] ,,a/8 ,,c ,,d ,,c ,,a ,,c |"
_8f;;16v;Het Seste Deel;? / (Joachim van den Hove);;;;C;"[aabc/4] ,d a b [a,,,,a/8] ,d ,b ,a ,,d ,a ,b ,d | \
[abd,a/8] ,d a b d b a ,d [,bd,a] ,a ,,d ,a ,b ,,d ,a ,b |"
9;;18r;Amarilli mia bella;Giulio Caccini / (Joachim van den Hove);;OT;ConcR799;C;"[hf,fh/] [ca,b] [dabc/4] c a d | \
[caa,c/] [a,b,d] [cef,c/4] ,c ,e ,f | \
[cef,c2] | \
z/ [haa,,h] [fdaa3/4] [cdda/4] | \
[fdaa/] [da,c] [cda,c] d/4 f |"
10;;19v;Ne vous plaigne pas de moy, à 5;Jacob Hagenbach? / Joachim van den Hove?;;OT;;C;"[dffc1] [dffc] | \
[cdf,c1] [cda,c/4] ,d a c | \
[aab,,a/4] ,,a ,,b ,,d [aab,,a] ,,d ,a ,c | \
[,efec/] ,,,,d [,efec] ,,,,a | \
[,dff,d/] ,,,,,c [aab,,a/4] d c a |"
11;;21r;Toccate;Joachim van den Hove?;;OT;;C;"[cda,c2] | \
[cca,b1] [cda,c] | \
[da,c,a1] [aa,c,d] | \
[ccf,,c/] ,,e/4 ,,c [cce,,c/] ,f | \
[,dfec/] [,f,f] [,e,e] [,f,c] | \
[,efec/] ,,,,a [ha,,,e1] | \
[ffg,a/] d [caa,c] a/4 c |"
12;;21v;Toccate;Joachim van den Hove?;;OT;;C;"h/ f/4 d [fh/] [df] | \
[cef/4] ,f c ,e [aa,c] ,d a c | \
[da,c/] [cd,a/4] [a,d,d] [cdda/] [aabc] |"
13;;22v;Bon jour mon coeur à 4;Orlando di Lasso / Pierre de Ronsard / /Joachim van den Hove);;OT;ConcR870;C;"[,cdca2] | \
[,cff,d/] ,,d ,,f ,,g | \
[,dde{a}/] ,a/4 ,c ,d ,a ,c ,d | \
[,cdca/] ,,d/4 ,,c ,,d ,a ,c ,d |"
14;;25r;Courante Sara;Robert Ballard / (Joachim van den Hove);;OT;Conc_1756;3;",,d/4 ,a ,c ,d | \
[acd,a3/4] c/4 a/ | \
[,c,,a/] ,,d c | \
[acd,a1] [cdda/] | \
[,da,c/] ,,c a | \
[,cd,a/4] ,a ,c ,d a ,c |"
15;;25v;Courante;? / (Joachim van den Hove);;OT;;3;",,,d/4 ,,,c [,,,a,b/] [,,,c,a] | \
[,,,d{a}/] [,,b,,a] [,,d,,b] | \
[,,b,d/] ,,d [,,,df] | \
[,,,ca3/4] ,,,a/8 ,,,c [,,,a{a}/] | \
,d/ ,b [,,ea] | \
[,,d,d/] [,,b,b] [,,,da] |"
16;;26v;Sarabande;Robert Ballard? / (Joachim van den Hove);;OT;;3;",,,,a/ [,cdc] ,,,,a | \
{a}/ [,dd] ,,,a | \
{,,a}/ [,cdc] ,,,,a | \
,,,,,a/ [aac] ,,,c | \
,,,,,c/ [ccd] ,,,e | \
,,,,e/ [,cdc1] | \
[,cdca1] [,acc/] |"
17;;27v;Courante;Robert Ballard / (Joachim van den Hove);;OT;ConcR341;3;"a/ | \
[ffgh/] h ,,,g | \
[if,h3/4] h/4 f/ | \
[ea,,,a/] a [i,,h] | \
[h,f/] [,fg] f | \
[ea,,,a/] a [f,,d] | \
[db,c/] [b,da] ,a |"
18;;28v;Courante;Michael Praetorius? / (Joachim van den Hove);;OT;ConcR418;3;"a/ | \
[abd1] ,,b/ | \
,,,d/ [fg] ,d | \
f/ [e,,,,a] [a{a}/4] b | \
[a{,a}/] ,,,,d [abb] | \
[,d,,,d/] a [,b,,a] | \
[,a,,,a/] ,,d ,,c |"
19;;29v;Courante La Princesse;Gabriel Bataille / (Joachim van den Hove);;OT;Conc_1756;3;"[,bdc1] {,,a}/ | \
[,ddd1] {a}/ | \
[,bdc1] {,,a}/ | \
[,abc1] ,,,,,a/ | \
[abb1] {,a}/ | \
[,ddd1] {a}/ | \
[,bdc/] [,acc,a1] | \
[,,dca1] {,,a}/ | \
,b/ ,,d ,,,d |"
20;;30v;Vn autre Princesse;Michael Praetorius? / (Joachim van den Hove);;OT;ConcR421;3;",,,c/ | \
[,,dca/] {,,a} [,,cc,a] | \
[,,d,,b/4] ,,b ,,d ,a ,b ,d | \
,a/ ,,,,,a ,,,c | \
[,ac1] ,b/ | \
[,bdca1] ,a/4 ,b [,d,,c/] |"
21;;31r;Courante;René Saman / (Joachim van den Hove);;OT;Conc_3470;3;",c/ | \
[,cdc{,,a}3/4] ,d/4 ,c/ | \
[,a,,,a/] ,,d [,,cc] | \
,,d/ ,,,,,c ,,,,e | \
[,,de/] ,,,,,a {a} | \
{,a}/ ,,,,e [a,d] | \
[,d,,c/] [,c,,a] ,a/4 ,,d |"
