PieceNr;Key;PageNr;Name;Composer;Comment;Tuning;Concordances;TimeInz;Tab
1;;1r;Praeambulum primi Toni;;;;ConcR1093;none,1/2;",a1 ,d/ a | \
c/ e f ,,a/4 e | \
[c,d/] ,a [ac/4] ,d ,f ,c | \
[cd/] ,,,,c/4 a [,dda] ,c [,acc/]"
2;;1v;Praeludium primi Toni ex F, fa, ut.;;;;ConcR1094;none;",d1 b/ d | \
f/ h i ,,,h/4 h | \
[f,g/] ,,i [df/4] ,g d ,f | \
[fg/] ,,,a/4 d [bb,,d] a [,dff/]"
3;;1v;Praelüdiüm Tertij Toni.;;;;ConcR490;none;"e1 f/ e/4 c | \
e/ a c/4 a c e | \
f/ ,c [cd] ,c/4 ,a | \
[acd/] ,,,,a [cd/4] a ,d ,c |"
4;;2r;Praeludium quarti Toni | ex E, la, mi.;;;;ConcR1095;none;",,a/4 c [a,c] [,cd] [,df] ,c/8 ,a [,c,e/4] ,c | \
[,,cc/4] [,,d,e] [ca,a] ,,a [acc,e] [,c,e] [ca,b] [ca,b] |"
5;;2v;Praeludium quinti Toni;;;;ConcR1096;none;",,b/ [,,b,,d/4] ,,b [,a,,,d/] [,a,,,d] | \
[,daac/4] ,,,,c [,ddef] [,da,c] [aab,,a] \
[caa,,,e] [dab,,a/8] ,,,,,c ,,,,,d ,,,,a | \
[caa,c/4] [,a,b] [,a,c] [c,de]"
6;;2v;Praelüdiüm Sexti Toni;;;;ConcR1097;none;",d1 c/ e | \
f/ ,,d/4 e/8 c [ca/] [ce] | \
[ef/4] ,e ,c e [cd] ,,,a c a | \
[,da/4] ,a [,ac/]"
7;;2v;Praelüdiüm Septimi Toni | ex D. la sol re;;;;ConcR1098;none;"c/ c/4 c a/ ,e | \
,c/4 ,a ,c/ [,ef] [,ef/4] ,,f | \
[,cd/4] c ,,c b [a,a] ,,c ,,d ,a |"
8;;3r;Praeludiüm Noni Toni ex | D. la sol re;;;;ConcR2128;none;"c1 d/ a | \
c/ ,d a c | \
,,f/4 a ,d ,c/8 ,d [ab/] ,,d | \
[,df/] ,,,f [,cd] [,df/4] a/8 ,d |"
9;;3v;Praeludium Noni Toni ex F. fa Ã¼t;;;;ConcR1099;none;"h3/4 f/8 e c/ e/4 c/8 e | \
f/ h [af/4] c e [fd/8] ,c | \
[ha/8] f c e [fc] a f"
10;;4r;Praeludiüm Decimi Toni | ex G sol, re, ut;;;;ConcR491;none;"f1 g/ d | \
f/ b d f | \
,d/4 d b a/8 b [de/] ,b | \
[bd/] ,,e [ab] [bd/4] d/8 b |"
11;;4r;Praeludiüm Decimi Toni | ex G sol, re, ut;;;;ConcR1101;none;"h/ f/4 c [df] d [cd] ,a | \
[ab,c/4] d [cd,a] ,,,,c [a,bcd] ,,d [,da,c] ,,,,,d | \
[,bdca/4] [,aaac] [,,,cd] ,,d [,aa,c] [hdf,,d] [fcd,a] [caa,c] |"
12;;4v;Praeludiüm Undecimi Toni | ex C sol, fa, ut;;;;ConcR1102;none;",,d1 ,,d/ ,a | \
,c/ ,d [a,,c3/4] ,d/4 | \
[,c,c/] [,d,a/4] ,c [,ac/] [a,d] | \
[,df/4] ,c/8 ,d a ,d ,c ,a [,cd,a/4] ,,c ,,d ,a |"
13;;4v;Praelüdiüm Duodecimi Toni | ex G sol, re, ut;;;;ConcR1103;none;"h1 h/ k | \
h/4 f e c [ef/] h | \
,f/4 e [fg/] [ef/4] ,e ,c ,a | \
[f,d/4] ,a ,c ,e [ef] f h ,e |"
14;;5r;Praelüdiüm Duodecimi Toni | ex F. fa, ut;;;;ConcR1104;none;"f1 f/ h | \
f/4 d c a [cd/] f | \
,d/4 c [df/] [cd/4] ,c ,a ,,d | \
[d,b/4] ,,d ,a ,c [cd] d f ,c |"
