PieceNr;Key;PageNr;Name;Composer;Comment;Tuning;Concordances;TimeInz;Tab;TabNotation
1a;;7r;Passemaezo Antico MN;Melchior Newsidler;;OT;ConcR2481;;"[abd/] ,,,,a a b a ,,d ,d1 | [,bdca/] ,a/4 ,b ,,d/ a d/4 ,d ,b/ ,,,,a/4 ,a ,,d/ | \
[,a,a,d/] ,,d/4 ,a ,,b/ ,d/4 a [,db/] ,b [,a,a] ,,d | ";germantab
1b;;11v;Saltarelle, con la ripresa suo;;cf. ConcR2482;OT;;;"[abd,a3/2] ,a/ ,,d ,a | ,b/ ,,d ,b ,d [a,,,a] c | \ 
[ddf,,d1] ,,,f/ ,,d ,,f ,,,f |";germantab
2;;14v;Sacrificate Orl. 3. voc. CTH;;;OT;;;",,d1 ,,d/4 ,,c ,,d/8 ,,c ,,d ,a [ab,,d1] [a,d,d/4] ,d/8 a [ba/4] a/8 b | \
[d,,c/] ,b [f,gd/4] ,,f/8 ,,g ,d/4 ,,g/8 ,d";germantab
3;;15r;Ipsa te cogitat Orland. 2. Voc;;;OT;;;,a1 ,a/8 ,,d ,a ,c ,d/4 ,c/8 ,d | ,c/8 ,d a ,c ,d ,c ,a ,,d [,a,c/] d | ;germantab
4a;;15v;Cantate. 5. Voc. Orl. Christ. Th.;;;OT;;;,,f2 [ca/8] a c d c a c/8 a ,d ,c | [cd/] ,c ,a a ,d ,c [,df/4] ,c ,d/8 ,c ,d ,f |;germantab
4b;;16v;Viderunt. 2da ps.;;;OT;;;,c1 ,,,e/ ,a ,,d ,,,c ,,,a ,,c | [c,a/] [,,,ce] [,,aac] [a,,,ef] [cd,ac] ,,,c [,,aa] [ac] |   ;germantab
5a;;17v;Beati Omnes. Orl. 5. Voc.;;cf. ConcR2478;OT;;;,d2 [,dda/] ,d/4 ,c ,d/ a | [bdda/4] a ,d ,b ,d a b d [bdedb/] ,e/4 ,d ,b ,e ,d ,b |;germantab
5b;;18v;Ecce sic bene: dicetur. 2da Pars;;cf. ConcR2479;OT;;;"[,gi/] > ,f ,,i/8 ,,h ,,i ,f ,g/4 ,i [fgi1] [,fg/] [,,ik] | \  
[fg,h/] ,,f [,fg] ,,i [ffgh/4] ,,f ,,g ,,i [,fg] ,,i ,f ,g | ";germantab
6;;19v;Surgens Jesus. Orland. 5. Voc;;;OT;;;",a1 > ,c ,e/ ,a a/4 ,e a c | e/ c h1 ,,,,h/ f e [c,a] | \
[a,c/] ,,,c ,,d/4 ,,c ,,d [,ef] [ac/] [ca] [ef] ,f | ";germantab
7;;21r;Emendemus. ORLAND. 5. Voc.;;;OT;;;",,,a2 [,,da/] ,,,,d/4 ,,,,c ,,,,d ,,,,a ,,,,c ,,,,d | [,,da/] ,,,c [,,dd] ,,,a [,,bc] ,,,c/4 ,,,a ,,,,d/ ,,,,c | \
[,,,cd/4] ,,,,c ,,,,a ,,,,,d ,,,,a1 ,b/ ,,,,c ,,,,d/4 ,,,,a ,,,,d ,,,a |";germantab
8;;22v;Tristis est anima mea. ORL. 5. Voc.;;;OT;;;",,d2 [,,def/] ,,a/4 ,,b ,,d ,,a ,,b ,,d | [,aaa/] ,,b/4 ,,d ,a ,,b ,,d ,a [,,dce/] \
,,,,a/4 ,,,,c ,,,,e ,,,,a ,,,,c ,,,,e |";germantab
9;;23v;Quem vidistis pastores dicite. ORL. 5. voc.;;Conc?;OT;ConcR2199;;",,c2 ,,c/4 ,,a ,,,c ,,,b ,,,c ,,a ,,c ,,,c | \ 
,,a/4 ,,,c ,,,b ,,,,e ,,,c ,,,b ,,,c/8 ,,,b ,,,,e ,,,b [h,,,h1] ,f |  ";germantab
10;;24v;Susanna frumb. Orl. v. voc.;;Conc?;OT;ConcR860;;",d/4 a b d b b/8 a ,d/4 ,b [,de/] ,,d ,,b/4 ,,d ,,e/8 ,,d ,,e ,b | \ 
,,,a/4 [bd] ,,,,d ,,d [,gea,g/] ,,,,,f [d,e,,d/4] ,,,,,f  ";germantab
11;;25v;1. Ricercar MN;;MN 3;OT;ConcR2485;;"[ffgh2] [ffgh1] ,,,f | [ff,d1] ,d/ ,,g [,ddd] ,f f ,d | [fffc1] d/ c \ 
[dffc1] [,fg,d] | [bd,a1] ,,d/ ,b [aa,c] ,,c/4 ,,a ,,d ,,c ,,d/8 ,,c ,,a ,,c |";germantab
12;;26v;2. Ricercare MN;;MN 5;OT;ConcR2489;;,d2 ,,e1 ,,,f | ,,g1 ,d ,,,f/ ,,e ,e1 | ,,,,g/ ,d/4 ,e [,d,,d/] ,,g [,d,d] ,,g ,g ,,,,g |  ;germantab
13;;27v;3. Ricercare MN;;MN 20;OT;;;c2 c1 ,d | a/4 ,d a/8 ,d a c d1 ,,f/ c/4 d c/ a | ;germantab
14;;29r;4. Ricercare MN;;MN 21;OT;;;a2 [c,f1] e | ,c1 f [ce/] e/4 g h1 | ,f/ f e [ce] [ac] ,a [f,d] ,,f | ;germantab
15;;30v;Ricercar super Susan' ung jour MN;;"MN 22; Conc?";OT;ConcR860;;,,,c2 [,,bc/] > ,,a ,,b/4 ,,a ,,b ,,d | [,,bc/] ,,a/4 ,,b [,,d,a] ,a ,b ,a/8 ,,d [,a,c/] ,,d [,ab] ,,a | ;germantab
16;;32r;Ricercar MN;;MN 8;OT;ConcR2491;;",c2 a1 ,e | [c,a1] f ,,d/ e/4 c [a,c1] | \ 
[,df/] ,f [cd] e [f,,e] ,c/4 ,a [,cd/] ,d | ";germantab
17;;33v;Gajarto Englesse MN;;;OT;;;"[,aaac/] ,c | [,daac1] ,,,,c/ ,c [,daac] a | [,daac1] [a,d,e] [caab/] ,,d | \
[dabc1] ,,,,,a/ c a ,d | ";germantab
18;;34v;Chi Passa per questa strata MW;;;OT;ConcR178;;[cef,c1] | [cef,c1] > [cef] ,,,e1 | [cef,c/] ,f [c,f] ,f [,e,e] ,c | ;germantab
19;;36r;Gajarto MN;;cf. ConcR1219;OT;;;"[acd,a1] | [acd,a1] ,,,c/ ,d [,c,,a] ,a | [,d,,a/] ,c [,a,,,e] ,,d [,,c,,c] ,,a | \ 
[aac,,a/] ,,d [,a,c] ,,d [aac] ,,a | ";germantab
20;;37v;Non dite maj Gagliarda;;Waissel;OT;ConcR1544;;"[bd,a1] [bd,a] [bd,a] | [bb,d/] > a ,d/4 a b d [fg,d1] | \
[df,,d/] ,f/4 ,g d ,f ,g d [bd,a1] | ";germantab
21;;38r;Phantasia Waissely;;;OT;ConcR2709;;",d1 ,d/ ,d b ,d b d | f ,,d f ,,d [f,g] ,,,h [f,g] ,,,h | \ 
,f/ d d ,f [b,da] ,,,a [,dd] [,db] | ";germantab
22;;38v;Iliar non Asia M.T.H.;;;OT;;;"c1 ,,f/ [f,f] [ef] [ff] [hd] [hf] | \
[k,,h/4] h f ";germantab
23;;39v;Quanto è madonna mia MW;;;OT;ConcR1542;;"[cc,e1] > c [cdf/] a c/4 a c d | [cdf1] [cce] [cdf] ,,,e/ [ccd] | \ 
[aab/] c [dab/4] c d a [cc,a] a c d c a ,d ,c | ";germantab
24a;;40v;Cum transisset sabbathum Chr. Plate.;;;OT;;;a2 a/4 ,d ,c a ,,d ,a ,c ,d | a1 a c/ a/4 c ,,,a c a ,d | ;germantab
24b;;41v;Et valde mane. Sc.da pars;;;OT;;;a2 a1 a | c1 a/4 ,d ,c ,a [,cd1] | ,,d/4 a c e [f,d1] [ca] [f,d] | ;germantab
25;;43r;Angelus ad Pastores. Orl. 5. Voc.;;;OT;;;",,,c2 [,,bc/] ,,,a ,,,c ,,a | [a,bc/] [,da] [aab] [c,d] \ 
[dabc/4] c a ,d ,c ,a ,c/8 ,d a c | ";germantab
26;;44r;Intrada oder Mummerey Tantz;;;OT;;;"[abd,a1] [abd,a/] > ,d [abd,a1] | [,aba,d1] > ,,d [,aba,d1] | \ 
[abb,d1] [abb2] | [abb,d1] [bbd,,b/] ,,,c [bbd,,b1] | ";germantab
