Piece Nr;Key;Page nr;Name;Composer;Comment;Tuning;Concordances;TimeInz;Tab
;;;Many new concordances taken from Pietro Prosser's thesis (1996);;;;;;
;;;[Sonata] No. I Gallichone solo Del Sig.r Brescianello;;;;;;
1;C dur;1;Preludio;;;Mandora;Conc_4775;C;"[cdca4] | [fhha3] (c/8 d f d c d f) | [acc,a4] | \
[dcc,a2] (a/8 c d) (,c ,d ,f) ,,c (,a ,c ,d) a |"
2;C dur;2;Allegro;;;Mandora;Conc_4952;12/8;"f/ | [,d,a1] ,d/ [,d,,e] ,d [,d,,c] ,d [,d,,,c] ,d | \
([a,,,a/] c) d ([d,,,a] c) a ([c,,a] d) f ([f,,a] d) c |"
3;C dur;6;Andante;;;Mandora;Conc_4953;2/4;",,,a/ | ,,a/4 ,,,e (,,,c ,,,a) ,,a ,,,e (,,,c ,,,a) | \
(3,,a/4 ,,c ,,e) (,,e/ ,,c) [,d,a] | \
([,c,,a/4] ,d) (a c) (d f) h ,i |"
4;C dur;8;Menuet;;;Mandora;Conc_4954;3/4;"V[,d,a1] (,,c/ ,,a) ,,,e ,,,c | ',,,a1 ,,,a ,,,a | \
V[,d,a1] (,,c/ ,,a) ,,,e ,,,c | (,,,c2 ,,,a1) | \
(3'[c,,a/] a c) [d,,c1] ,,,,a |"
5;c moll;9;Trio;;;Mandora;Conc_4955;3/4;"[b,,a2] [a,,,d1] | [,d,,b1] ,c ,d | [ac,,a1] b d | \
'[b,,a2] [a,,,d1] | ,,,,b1 ,d [,b,,a] | \
[,,d,,d1] [,,c,,b] [,,a,,a] |"
6;C dur;10;Allegro;;p. 12 empty;Mandora;Conc_4956;2/4;",,c/ | [,d,a/] [,d,c] [,d,e] [,d,c] | [,d,a/] ,,,e ,,,,a f | \
V[,d,a/] ,,,e ,,,,a f | V[,d,a1] l | '[k,,,a/] h 'f d |"
;;;[Sonata] No. II Gallichone solo Del Sig.r Brescianello;;;;;;
7;G dur;14;Allegro;;;Mandora;Conc_4957;C;"a1 | [f,,,a1] [a,,,c] [a,,,e] [a,,,c] | [f,,,a1] [a,,,c] [a,,,e] [a,,,a] | \
([c,,a/] a) (,d ,c) [,d,,,a1] a | [,c,,a1] ,,c z1 ,,,c1 |"
8;G dur;16;Andante;;;Mandora;Conc_4958;2/4;",,c/ | '[,c,,a/] ,a/4 ,,c [a,,,,e/] [,,b,,a] | \
[,,c,,c/] V,,c1 [,,c,e/] | [,a,a/4] (,c ,d) [,d,,c/] ,,,,,a ,d | \
[,d,,a/4] (,c ,a) V,c1 [,,c,e/] |"
9;G dur;18;Gigue;;p. 20 empty;Mandora;Conc_4959;6/8;"[,,c,a3/4] ,a/4 ,,c/ [,,c,,e] ,a ,,c | \
[,,c,,c3/4] ,a/4 ,,c/ [,,c,e1] (,a/8 ,c ,d) a | \
[cd,a3/4] a/4 c/ [aa,,,e] c [,d,,,a] |"
;;;[Sonata] No. III Gallichone solo Del Sig.r Brescianello;;;;;;
10;B dur;22;Allegro;;;Mandora;Conc_4960;2/4;"[,ba,d1] [,ba,d] | [,ba,d1] ,b/4 a ,d a | [,ba,d1] [,ba,d] | \
,b/ ,,,,d ,,,c ,,a | [ab,,d1] [ab,,d] | \
[ab,,d1] (a/4 d) (b d) |"
11;g moll;24;Adagio;;;Mandora;Conc_4961;3/4;"[,,c,a/] ,,b ,,c/4 (,a ,b/) ,a/4 (,b ,d/) | \
[,b,,a/] ,a (,b/4 ,d) a/ ,d/4 a b/ | \
'[a,,,a/] (,d/4 ,b) [,a,a] ,b ,d) (a b1) |"
12;B dur;26;Gigue;;p. 28 empty;Mandora;Conc_4962;12/8;"[,b,,d/] ,,a ,,,c ,,,,d ,,,c ,,a [,ba,d1] [,ba,d/] [,ba,d1] [,ba,d/] | \
[a,,,d/] ,b ,,a ,,,c ,,a ,b [ab,,d1] \
[ab,,d/] [ab,,d1] [ab,,d/] |"
;;;[Sonata] No. IV Gallichone solo Del Sig.r Brescianello;;;;;;
13;F dur;30;Allegro;;;Mandora;Conc_4963;C;"[,,a,,a/] ,a ,d d [c,,a] ,d a c | V[d,,,,a1] ,,,,a ,,,,c/ ,d d ,d | \
[a,,,d1] [,d,,c/] a X[,b,,a1] ,,,a |"
14;f moll;34;Adagio;;;Mandora;Conc_4964;6/8;"[ddd,,a3/4] f/4 [d,,,a/] [ddd,b3/4] f/4 [d,,,a/] | \
[ddd,,a3/4] ,d/4 ,,d/ X,,a3/2 | \
[fhha3/4] g/4 f/ [fhha3/4] g/4 i/ | \
'[g,,,,a3/4] f/4 g/ [gi,,,a3/2] |"
15;F dur;36;Menuet;;;Mandora;Conc_4965;3/4;"[,d,,,a1] d h | [f,,a3/4] ,c/4 V,d2 | '[,b,,a1] ,a [,,ca] | \
[,a,,,a3/4] ,,,e/4 ,,a1 ,,,,,a | ,,,,a/ ,,c ,c a ,c ,,c |"
16;f moll;37;Trio;;;Mandora;Conc_4966;3/4;",,,,,a/ ,,d ,d1 ,d | ,,,,,a/ ,,f ,e1 ,e | \
,,,e/ ,d f ,d ,,f ,d | ([,,f,,a/] ,,d) (,,c ,,d) ,,a1 |"
