PieceNr;Key;PageNr;Name;Composer;Comment;Tuning;Concordances;TimeInz;Tab
;;;N° 1;N° 1;Am Ende des Konzerts steht: S.L. Weiss ao. 1731<br>Konzert mit unbekannter Besetzung, andere Stimmen fehlen;At the end is written: S.L. Weiss ao. 1731<br>Concert for lute and unknown ensemble, other parts are missing;;;
1;F dur;2;Largo;S. L. Weiss;;;Conc_3130;3/4,1/4;"[edd{,a}1] [edd{,a}] [edd{,a}] | \
[ccd{,,a}1] [ccd{,,a}] [ccd{,,a}] | \
([e,d{,a}/] c) [a,,(e] [,,,c)] (,,,,d// ,,,,c ,,,,a) ,,,,,d | \
[aab{d}1] [,aba{d}] [,a,c,c] | \
[,,dcc{4}1] [,,dcc{5}] [,,dad{6}] | \
[,abc{a}/]> [,a{,a}] [,,'d{,,a}1] ,"
2;F dur;3;Allegro;S. L. Weiss;;;Conc_3131;C,1/4;"[,,aa{,a}/] a ,,d ,,,a [,,,a{,a}//] a ,c a (,,d ,,b ,,a) ,,,c | \
[,,,a{,a}/] a (,,d ,,a) [,,d,,a] ,d [,c{a}] [,d{,a}] | \
,,,,,b// ,a ,,,,,a ,,d {a} ,c {,a} "
3;F dur;5;Largo;S. L. Weiss;;;Conc_3132;3/4,1/4;"[,a#f{,,,a}/] [,af] [,a#f{,,,a}] [,af] [,af{4}//] e ,d [,,(e] | \
[,a#f){5}/] ,,,,a// ,a [,af{d}/] ,a [,a{,a}//] k ,,,i ,a | \
[f{a}//] ,f ,,h ,a [,,e,,a] ,,,f ,,a ,,,c"
4;F dur;6;Allegro;S. L. Weiss;;;Conc_3133;C,1/4;"{,a}// ,,,a ,,a ,,,a ,d ,,,a ,,a ,,,a \
[,,d,,a/] (,,b// ,,a) [,cb{a}/] [,da{,a}] | \
{,,a}// ,,,,c ,,,c ,,,,c c ,,,c ,,d ,,,c \
[,,d{,,a}/] ,a [,a{,,,a}] [,c{4}] | "
;;;N° 2 Leuto 1;N° 2 Leuto 1;Wohl ein Lautenduo - die andere Stimme fehlt;Probably a lute duo, the other part is missing;;;
5;C dur;9;Andante;S. L. Weiss;;;Conc_3134;C,1/4;"[,,,,c{4}/] [,,,a{,,,a}] [,,,c{,,a}] \
[,,a{,a}] [,,,,'a{a}] {,a} {a} [,,,c{,,a}] | \
[,,a{,a}/] [,,,c{,,a}] [,,a{,a}] [,,,c{,,a}] \
[,,a{,,,a}] {,,a}// {,a} [,,'c{a}3/4] ,,d// | \
[,,dc{4}/] (,,,,a// ,,,,c) ,,,a ,c ,,a ,c"
6;C dur;10;1 Allegro;S. L. Weiss;;;Conc_3135;2/4,1/4;",,d// ,c c ,c ,,d ,c c ,c | \
,,c// ,a c ,a ,,c ,a c ,a | \
,,c// ,a c ,a ,,c ,a c ,a | \
,,d//"
7;c moll;11;2do Allegro;S. L. Weiss;;;Conc_3136;2/4,1/4;",,d/ ,,,,,d ,,,,b ,,,a | \
,,,c/ (,,,,d// ,,,,b) ,,,,a/ ,,,,,d | \
,,,,,c/ ,a ,,,c c | \
{4}// c ,d c ,b a ,a ,b | \
,,d//"
8;a moll;12;Largo;S. L. Weiss;;;Conc_3137;3/4,1/4;"[,,ae,a/] {a} [,,ae{,a}] {,,a} [,,ce{,,,a}] {5} | \
[,,cd{,,a}/] {,a} [,,cd{,,a}] {,,,a} \
[,,ad{4}] (,,,,,c// ,,,,,a) | \
[,,c,c{b}1] ,c [,ccd] | \
[,cde/] ,,,,,a ,,,,c ,,,,a ,,,,,d ,,a | "
9;C dur;14;Tempo di Minuetto;S. L. Weiss;;;Conc_3138;3/8,1/4;",3/2 | \
[,,d{4}//] ,a ,c c ,d e | \
[cc{4}/] ,,d1 | \
[,,d{4}//] ,a ,c c ,d e | \
[cc{4}/] ,,d1 | \
,3/2 | \
[c{4}//] ,d c ,c (e ,c) | "
;;;N° 3;N° 3;Konzert für Laute und Streicher von Johann Sigismund Weiss (vollständig);Concert for lute and strings by Johann Sigismund Weiss (complete);;;
10;c moll;15;Concerto - grave;Joh. Sig. Weiss;;;Conc_3139;3/4,1/4;",,,c1 ,,,,,d ,,d | \
,a1 ,,,c c | \
[,b{4}/] a (c a) c d | \
[aa,,,d1] ([c,,,,c/] a) c ,a | \
[,bd,,d1] [,b{4}/] ,,c ,,d a | "
11;c moll;16;Presto;Joh. Sig. Weiss;;;Conc_3140;C,1/4;"[,,d{4}//] ,,d ,,d ,,d [,,d{,,a}] ,,d ,,d \
,,d [,b{4}] ,b ,b ,b [c,,,,c] c c c | \
[,b,,,d/] (,a// ,b) [,,d{,,a}/] c [d{,a}//] \
,,d ,,d ,,d [a{b}] ,,d [,,d{,a}] ,,d | "
12;c moll;18;Adagio;Joh. Sig. Weiss;;;Conc_3141;3/4,1/4;"[,c,,,d1] [,c{4}] [,(c,,,d] | \
[ad){,a}1] (h// f) ,g ,f a ,b ,a ,b | \
[,ab{d}1] [d,,,a] [d{,,,a}] | \
[c,b{,,a}1] (f// d) (,f ,d) (,b ,a) ,,d ,a | "
13;c moll;18;Vivace;Joh. Sig. Weiss;;;Conc_3142;3/8,1/4;"[,,dc{4}/] (,b// ,a) ,b ,,d | \
[,a{d}/] ,,,c c | \
[,,d{b}//] ,a a (d a) ,a | \
[,,'c{a}/] ,,d// ,a ,,,c/ | \
([c{,,a}//] a) (,b ,a) (,,d ,,b) | "
;;;N° 4 Leuto 1mo;N° 4 Leuto 1mo;Wohl ein Lautenduo - die andere Stimme fehlt;Probably a lute duo, the other part is missing;;;
14;B dur;19;Adagio;S. L. Weiss;;;Conc_1036;C,1/4;"[aa{5}/] [,'a//] ,,d ,,b ,a [a{,,,a}] f \
['e,d{,a}//] {a} {,a} {,,a} {,,,a} e (f a) | \
[c{,,a}//] ,,b [a{,,,a}] ,,b [,'b{4}/] {,a}// ,a [,a{5}]"
15;B dur;20;Allegro;S. L. Weiss;;;Conc_1037;C,1/4;",3 | \
[,,,a{d}/] ,,b ,a [,,a{,a}] [,,b{a}] [,,b{,,,a}] \
[,,d{,,a}] [,bd{,a}] | \
[,ab{d}1] [,ab{5}] [,bd{d}] [a,d,,a] | \
[,a{d}//] ,b a ,a ,,b ,,d ,a ,,b [,,d,,a] ,c a ,,d \
(,,a ,,b ,,d ,,a) | "
16;g moll;22;Grave;S. L. Weiss;;;Conc_1039;3/4,1/4;"[,abc{a}1] [,abc{a}] [,abc{a}] | \
[k,,,,k/] ,h ,h k ['h,,,a] ,i// h | \
[,i,k{a}1] [,i,k{a}] [,k,k{a}] | \
[h{4}/] ,f ,f h ['f,,,,h] ,h// f | \
[,h,h{,a}1] [,h,h{,a}] [,h,h{,a}] | "
17;B dur;22;Allegro;S. L. Weiss;;;Conc_1038;2/4,1/4;"[,,baa{d}1] [,,ba{,,,a}] | \
[,,bc{,,a}1] [,,ba{,,,a}] | \
[,,bc{,,a}/] {,,,a} [,b,c{,,a}] {4} | \
[,,aa{,a}/] ,,,,,d [,,aad] ,,,,b | \
[,,baa1] [,,ba{d}] | \
[,,bc{,,a}1] #c | \
[,,d{,,a}/] (,b// ,a) [,b{4}/] ,,,c | "
;;;N° 5;N° 5;Konzert mit unbekannter Besetzung, andere Stimmen fehlen;Concert with unknown ensemble, other parts are missing;;;
18;B dur;24;Allegro;S. L. Weiss;;;Conc_3143;C,1/4;",,,,,b/ ,,,,a ,,,a ,,b ,,,,,b ,,,a ,,b ,a | \
{5}/ a ,a ,,b {4} ,,,,b ,,a ,,d | \
,,,,,d/ ,,,,a ,,,a ,,b {4} ,b [a{,,,a}] [,,a{4}] | "
19;g moll;27;Largo;S. L. Weiss;;;Conc_3144;3/4,1/4;",,,c// ,a ,,b ,a ,,,c ,a ,,b ,a ,,,c ,a ,,b ,a | \
,,,b// ,,a ,a ,,a ,,,b ,,a ,a ,,a ,,,b ,,a ,a ,,a | "
20;B dur;28;Allegro;S. L. Weiss;;;Conc_3145;2/4,1/4;"[,,ba{d}/] ,,,,,d [,,baa] {d} | \
[,,bc{,,a}/] [,,ba{,,,a}] [,,bc{,,a}] [,,aa{4}] | \
[,,b{5}/] ,,,a ,,b1 | \
,2 | ,1 ,/ [a,d,,a/] | \
[aa{d}/] [a,d{,a}] ,,,a a | \
[aa{d}/] [a,d{,a}] ,,,a a | "
;;;N° 6;N° 6;Konzert mit unbekannter Besetzung, andere Stimmen fehlen;Concert with unknown ensemble, other parts are missing;;;
21;d moll;32;Largo;S. L. Weiss;;;Conc_3146;3/4,1/4;"[,,aaa{,,,a}1] ,a/ ,,a [,,,'a] (,,,,c// ,,,,a) | \
[,,bc{a}/] ,a ,f f ,c c | \
[,,'e,,a1] {6}/ ,a [,ca,,e] ,c | \
([,ca{,,,a}/] ,a) [,aa{,a}1] [,ad,,a] | \
[,ab{d}1] {5}/ ,a ,c a | "
22;d moll;33;Allegro;S. L. Weiss;;;Conc_3147;C,1/4;"{,,,a}// e ,f e [f{a}] ,c a c [e{,a}] \
a ,c a [c{,,a}] ,,e ,a ,c | \
{,,,a}// a ,,a ,c ,a a ,,c ,a"
23;F dur;35;Largo;S. L. Weiss;;;Conc_3148;3/4,1/4;"[,,ded{,a}1] [,aba{,a}] [,aba{,a}] | \
[,,dfd{,a}1] [,,ded{,a}] [,aaa{,a}] | \
[,abc{,a}1] [,cbc{,,a}] [ccb{,a}] | \
[aca{,a}1] [ada{,a}] [add{,a}] | \
[cac{,a}1] [ccd{,,a}] [ccd{,,a}] | \
[aad{,,,a}1] [aac{a}] [aac{a}] | \
[aac{4}1] [,cd,,d] [,,dcc{4}/] ,,d | "
24;d moll;37;Allegro assai;S. L. Weiss;;;Conc_3149;C,1/4;"e/ | \
[a{,,,a}/] (,c// ,a) [,c,,,a/] ,a// ,,e \
[,af,a/] ,,,,,a {,,,a} (f// e) | \
[f{a}//] ,f e f [,,d{,,a}/] 'c [e{,a}//] \
,d (c e) [,,b{,,,a}/] 'a | "
;;;;;N° 7 fehlt;N° 7 is missing;;;
;;;N° 8 Leuto 2do;N° 8 Leuto 2do;di Silvio Leopoldo Weiss<br>Wohl ein Lautenduo - die andere Stimme fehlt;Probably a lute duo, the other part is missing;;;
25;D dur;40;Spirituoso;S. L. Weiss;;;Conc_3150;C,1/4;",a/ | \
[,aab{,,,a}3/4] ,,,,a// ,,,b3/4 ,,a// \
,a3/4 ,e// [,cc{a}3/4] ,a// | \
[,,'e,,a1] ,,,e3/4 ,,e// [,a{5}3/4] \
c// [,c{4}3/4] e// | \
['ba{,,,a}1] {,a}/> e ,e/> ,,f | "
26;D dur;41;Allegro assai;S. L. Weiss;;;Conc_3151;C,1/4;"[,aab{,,,a}2] {,,,a}// ,a (,,e ,,c ,,a) ,,,c (,,,,e ,,,,c) | \
,,,,a/ [,af] ,,,,a [,af] ,,,,,e ,c e ,c | \
[,c{4}//] e d ,e (,c ,a) (,,e ,,c) \
,,,,,e/ [,,ae] ,,,,,e [,,ae] | "
27;h moll;43;Un poco andante;S. L. Weiss;;;Conc_3152;3/4,1/4;",,c/ | \
[,,c{5}/] ,,,,a ,,,b ,,c #{e}// ,a (,,e ,,c) | \
[,,e{d}/] ,,,b ,,b ,,e {,a}// ,c ,a ,,e | \
[,ae{e}/] [,,'c] c [,e,,,a] [,'c{a}] [,a{,a}] | "
