Piece Nr;Key;Page nr;Name;Composer;Comment;Tuning;Concordances;TimeInz;Tab;TabNotation
1;;2r;O Jesu du edle gabe;;;cittern;;C;"[aba2] [daaa] | [aba1] d [bdc3/2] ,,,a/ | [aba2] a | \
z1 [,aaa2] d1 | [,bc3/2] ,,,a/ [aba3/2] a | [,aaa2] ,,,a | \
[,aaa1] a [bdc] b |";french4tab
2;;2v;Werde munter mein gemüthe;;;cittern;;C;"[aba3/2] b/ [df1] d | [bdc3/2] [aba/] [,aaa1] ,,,a | \
[aba3/2] b/ d1 [aba] | [,aaa3/2] ,b/ [aba2] :||: \
[,aaa3/2] a/ [bdc1] b |";french4tab
3;;2v;Wie schön leuchtet der Morgenstern;;;cittern;;C;",,a2 [,,ca] | ,a3/2 ,,c/ ,,a1 [,aaa] | [ab1] a [,aaa2] | \
z1 [,aaa] [ab] [cd] | [df2] [cd] | [ad1] ,c [cdca2] |";french4tab
4;;3r;Allendhalben wo ich gehe;;;cittern;;C;"[,aa1] ,a [aba] a | [,,ca3/2] ,b/ [,aa1] ,a | [,aaa2] ,,,a | \
[ab1] ,,,a a3/4 c/4 d1 | [cdc2] [daaa] || ,,,a2 ,a |";french4tab
5;;3v;Ich bin betrübt;;;cittern;;C;"z1 [,aa] [,,ca3/2] ,,a/ | [daaa2] z1 [,aaa] | [aba3/2] ,,,a/ [,aaa2] | \
z/ ,,,a a c [df1] d | c1 a [cec2] |";french4tab
6;;4r;O sünde sünd o schwerer fall;;;cittern;;C;",,c1 | ,b3/2 a/ f1 f | [,ab3/2] ,,c/ [acc3/2] ,a/ | \
[,bc/] ,b [,aaa] ,,,a [aab1] a | z1 ,,c ,b3/2 a/ |";french4tab
7;;4v;Ach Gott undt Herr wie groß undt schwer ;;;cittern;;C;"a1 [daaa2] [bdc1] | [aba3/2] [,aaa/] [,bc1] ,b | [,aaa1] z/ ,,,a [abc1] [,aaa] | \
a/ c d1 [cdc2] | [daaa4] | ,,,a1 [,aaa2] [aba1] |";french4tab
8;;4v;Ach waß soll ich sünder machen;;;cittern;;C;",,c1 ,,c/ ,a [,bc1] ,b | [,aaa3/2] ,,,a/ a1 ,b | [df3/2] d/ [ba1] [ab] | \
[,aaa3/2] ,b/ [aba2] | ,,,a1 ,a a ,b |";french4tab
9;;5r;Jesu soll es denn geschehen;;;cittern;;C;"[acc1] a [bdca] b/ ,b | [,ab3/2] ,,c/ [acc1] ,,c | \
[,bc3/2] ,b/ [,aaa1] a | [bdca3/2] a/ [aab2] | \
[ab1] [df3/4] f/4 [bdc1] a |";french4tab
10;;5v;großer Gott der Seraph Cherubinen;;;cittern;;C;"f1 | [da3/2] b/ [aba3/2] a/ | [bdca3/4] a/4 ,,,a/ ,b [,ab3/2] ,,c/ | \
[acc3/2] a/ [bdca3/2] a/ | [,aaa1] z/ d [,bc3/4] ,d/4 a/ ,,,a |";french4tab
