PieceNr;Key;PageNr;Name;Composer;Comment;Tuning;Concordances;TimeInz;Tab
;;;Sammlung von Liedern // mit Mandora. 1797: // D // 9? Gb[?] // Jac. Fellner. // I. Band;;;;;;
1;F dur;1;Praeambel;;;Mandora;;3;"(3,,,,,a/ ,,a ,a) (3,,,,,a ,,a ,a) (3,,,,,a ,,a ,a) | \
(3,,,a/ ,,c ,b) (3,,,a ,,c ,b) (3,,,a ,,c ,b) |"
2;A dur;1;[Prelude];;;Mandora;;3;"(3,,,b/ ,a c) (3,,,b ,a c) (3,,,b ,a c) | \
(3,,,c/ ,b d) (3,,,c ,b d) (3,,,c ,b d) |"
3;F dur;2;Praeambel;;;Mandora;;C;",,,,,a/ ,,a ,a ,,a ,,,,,a ,,a ,a ,,a | \
,,,,,a/ ,,c ,b ,,c ,,,,,a ,,c ,b ,,c | \
,,,,,a/ ,,e ,d ,,e ,,,,,a ,,e ,d ,,e |"
4a;F dur;2;Menuetto:;;;Mandora;;3/4;"[daa,,a3/2] ,d/ ,a ,,a | ,,,a1 [,bc] [,aa] | \
(6,,,,,a/ ,,a ,a d ,a ,,a) (3,,,,,a ,,a ,a) | \
,,,a1 [cb,a] [da,,,a] |"
_4b;F dur;3;Variatio;;;Mandora;;3/4;"(c/ d) (,c ,d) (,a ,b) | ,,,a1 [,bca] [,aa,,a] | \
(c/ d) (,c ,d) (,a ,b) | ,,,a1 [cb,a] [da,,,a] |"
_4c;F dur;3;Variatio;;;Mandora;;3/4;"(3,,,a/ ,a d) (3,,,,c ,a d) (3,,,,,a ,a d) | \
(3,,,a/ ,,c ,b) (3,,,a ,,c ,b) (3,,,,,a ,,a ,a) |"
5;C dur;4;Praeambel;;;Mandora;;3/4;"(3,,,a/ ,a d) (3,,,a ,a d) (3,,,a ,a d) | \
(3,,,a ,b c) (3,,,a ,b c) (3,,,a ,b c) |"
6;F dur;5;Die liebe Feierstunde schlägt;;Cont'd in 21.1 VII89 / 62;Mandora;;6/8;",,a/ ,a | ,,,,,a/ [da] [da] ,,,,,a [da] [da] | \
,,,,,a/ [da] [da] ,,,,,a [,aa] [,aa] | \
,,,,,a/ [da] [da] ,,,,,a [,aa] [,aa] |"
7;F dur;6;Tedesco:;;;Mandora;;3/8;",,,,,a/ [,aa] [,de] | ,,,,,a/ [,aa] [,de] | \
,,,a/4 ,,c ,b ,,c ,,,a ,,c | ,,,,,a/4 ,,a ,a ,,a ,,,,,a/ | \
,,,,,a/ [,aa] [,de] |"
8;F dur;6;[Tedesco:];;;Mandora;;3/8;"[,aa,,a/] [,aa] [,bc] | [,de,,a1] [,aa/] | [,aa,,a/] [,aa] [,bc] | \
[,de,,a1] [,aa/] | ,,,,a/4 ,c a ,c ,,,,a ,c |"
9;F dur;6;[Tedesco:];;;Mandora;;3/8;",,,,a/ ,a/4 ,,a ,a ,,a | ,,,,,a/ ,d/4 ,,e ,d ,,e | \
,,,a/ ,b/4 ,,c ,b ,,c | ,,,,,a/ ,a/4 ,,a ,a ,,a |"
10;F dur;7;[Tedesco:];;;Mandora;;3/8;",d/ a c | d/ (c a) | a/ ,d ,d | ,d1 ,a/ | \
""f"",,,a/4 ,,c ,b ,,c ,,,a/ | ,,,a/4 ,,c ,b ,,c ,,,a/ |"
11;F dur;7;[Tedesco:];;;Mandora;;3/8;"([,aa/] [,de]) [,de] | ([,aa/] [,de]) [,de] | \
""f""[,bc/] ,,,a [,bc] | [,aa/] ,,,a [,aa] | \
""p""([,aa/] [,de]) [,de] | ([,aa/] [,de]) [,de] |"
12;F dur;7;[Tedesco:];;;Mandora;;3/8;"""p"",,a/ ,a ,,a | (,d/ ,a) ,,a | ""f"",,,a/4 ,,c ,b ,,c ,,,a ,,c | \
,,,,,a/4 ,,a ,a ,,a ,,,,,a/ | ""p"",,a/ ,a ,,a | (,d/ ,a) ,,a |"
13;F dur;8;[Tedesco:];;;Mandora;;3/8;"""f""(d/ c) a | (,d/ ,b) ,a | (,b/ ,d) a | [,d,,c1] z/ | \
""p""(d/ c) a | (,d/ ,b) ,a | ""f"",b/ ,,c ,,,a |"
14;F dur;8;[Tedesco:];;;Mandora;;3/8;",d/4 d | (,a/4 ,d) (,,a ,a) [,,,(a] [,bc)] | \
""f""[,aa,,a1] ,a/4 ,,a | ,,,a/4 ,,c ,b ,,c ,,,a ,,c | \
,,,,c/ [,da] ""p"",d/4 d |"
15;F dur;8;[Tedesco:];;;Mandora;;3/8;"""f""[,aa/4] ,,,a [,de] ,,,a [,aa] ,,,a | [,aa/4] ,,,a [,de] ,,,a [,aa] | \
[,bc/4] ,,,a [,bc] ,,,a [,bc] ,,,a |"
16;F dur;9;Wenn ich einsame Tränen weine;;;Mandora;;C;",b/ ,d | ,,,,d/4 ,b a ,b ,,,,d ,b a ,b ,,,,d ,b a ,b ,,,,,a ,a b ,a | \
,,,,d/4 ,b a ,b ,,,c ,b a ,b"
17;B dur;10;Auf Zollikofers Tod;;;Mandora;;3/4;"""Langsam""(3,,,b/ ,,d d) (3,,,b ,,d d) (3,,,b ,,d d) | \
(3,,,b/ ,,d d (3,,,b ,,d d) (3,,,b ,,d d) |"
18;B dur;11;Sehnsucht nach dem Freund ;;;Mandora;;C|;",,,,,a1 | ,,,,d/4 ,,a ,,,,d ,,a ,,,,d ,,a ,,,a ,,a | \
,,,c/4 ,,a ,,,a ,,a ,,,,d ,,a ,,,,,a ,,a |"
