PieceNr;Key;PageNr;Name;Composer;Comment;Tuning;Concordances;TimeInz;Tab
;;;;LXXII Divertimente a Due Mandore - Mandora II;;;;;
1;F dur;1;Ouverture;Joseph Michael Zink;No. 1;Mandora;;C;"[da,,,d1] [da,a] [da,,c] [da,a] | ,,,,,d/ d ,,,,,d d ,,,,,d d ,,,,,d d | \
,,,,,d/ d ,,,,,d d ,,,,,d d ,,,,,d d |"
2;F dur;3;Andante gratioso;Joseph Michael Zink;2;Mandora;;6/8;",,,,,d/ [da] [da] ,,,a [cb] [cb] | \
[,,a,,d3/2] ,,a/ ,,,e ,,a | ,,c1 ,,c/ ,,a1 ,,a/ | \
,,,a/ [c,c] [c,c] ,,,a1 z/ |"
3;F dur;4;Scherzando;Joseph Michael Zink;3;Mandora;;2/4;"z/ | ,,,,,d/ ,,,,c ,,,,,d ,,,,c | ,,,,,d1 z/ ,,a | \
(,,c/ ,,a) ,,c ,a | ,,c1 ,,a/ z/ | ,,,,,d/ ,,,,c ,,,,,d ,,,,c | \
,,,,,d1 z1 |"
4;F dur;5;Menue;Joseph Michael Zink;4;Mandora;;3/4;"[,aa,,d1] [,aa] [,,ca] | [,,a,,d1] z2 | ,,,a/ ,b c ,b d ,a | \
[c,ca2] z1 | ,,c/ ,a ,,c ,a ,b ,,c |"
5;d moll;5;Trio;Joseph Michael Zink;;Mandora;;3/4;",,,,d/ ,,a a ,,a a ,,a | ,,,a/ ,,a b ,,a b ,,a | \
[,aa,,d1] (,a/ ,b) (,d ,a) | ,,,,d/ ,,a a ,,a a ,,a |"
6;F dur;6;Bourlesco;Joseph Michael Zink;5;Mandora;;3/8;",,,,,d/ ,,a ,,c | (,,a/ ,,c) ,a | (,b/ ,d) a | \
,a1 ,,a/ | ,,,a/ ,b c | ,,,a/ ,a d | [dc,,a1] [dc,,a/] | \
[,d,a1] z/ |"
7;F dur;6;Allo Tedesco;Joseph Michael Zink;6;Mandora;;3/4;",,,,,d/ [,aa] [,aa] | ,,,,,d/ [,aa] [,aa] | ,,,a/ [cb] [cb] | \
,,,a/ [da] [da] | ,,,,,d/ [,aa] [,aa] | ,,,,,d/ [,aa] [,aa] |"
8;F dur;7;Tedesco;Joseph Michael Zink;7;Mandora;;3/4;",,,a1 ,b c | ,,,a1 ,a d | ,,,a1 ,,c ,b | ,,,,c1 ,,a ,d | \
,,,a1 ,b c | ,,,a1 ,a d |"
9;F dur;7;Tedesco;Joseph Michael Zink;8;Mandora;;3/4;"a1 ,d ,b | ,a1 ,,c ,,a | ,,c1 ,a ,b | [,aa2] ,,,,,d1 | \
a1 ,d ,b | ,a1 ,,c ,,a | ,,,a1 [cb] [cb] | [da,,,d2] z1 :||:"
10;F dur;7;Tedesco;Joseph Michael Zink;9;Mandora;;3/4;",,,,,d1 [da] [da] | ,,,,,d1 [da] [da] | ,,,a1 [cb] [cb] | \
,,,,,d1 [da] [da] | ,,,,,d1 [da] [da] | ,,,,,d1 [da] [da] |"
11;F dur;8;Tedesco;Joseph Michael Zink;10;Mandora;;3/4;",,,a1 [da] [da] | ,,,a1 [cb] [cb] | (,b/ ,a) ,d (,b ,a) ,,c | \
,,a/ (,,c ,a) ,b ,d1 | ,,,a1 [da] [da] |"
12;F dur;8;Tedesco;Joseph Michael Zink;11;Mandora;;3/4;",,a1 ,,c ,a | ,,,,d1 [a,a] [a,a] | ,,,a1 [cb] [cb] | \
,,,,c1 [,da] [,da] | ,,,,,a1 [,a,a] [,a,a] | ,,,a1 [cb] [cb] |"
13;F dur;9;Allegretto;Joseph Michael Zink;12;Mandora;;2/4;"z/ | z/ ,,,a ,,,e ,,,a | z/ ,,,,,d ,,,,c ,,,,,d | \
z/ ,,,a ,,,e ,,,a | ,,,,,d/ [da] ,,,,,d y/ | \
z/ ,,,a ,,,e ,,,a |
"
14;C dur;9;Menue;Joseph Michael Zink;13;Mandora;;3/4;",,,a1 | ,,,a1 ,,,e ,,c | [,d,a2] z1 | [,c,,a1] (,c/ ,d) a ,c | \
[,d,a2] ,d1 | ,,,a1 ,,,e ,,c | [,d,a2] z1 |"
15;a moll;10;Trio;Joseph Michael Zink;;Mandora;;3/4;"(,,a/ ,,c) | ,,,,,d/ ,,a ,a ,,a ,a ,,a | ,,,,d/ ,,a a ,,a a ,,a | \
[,a,a/] ,,c (,,c ,,a) ,,c ,a |"
16;F dur;10;Allegro;Joseph Michael Zink;14;Mandora;;2/4;"a/ | ,d/ a (,d ,b) | ,a3/4 ,,c/4 ,,a/ ,a | ,,,a/ ,,c ,b ,,c | \
,,,,,d/ [,aa] [,aa] a | ,d/ a ,d [ab] |"
17;C dur;11;Alla Polaca;Joseph Michael Zink;15;Mandora;;2/4;",,,a/4 ,,c c ,,c ,,,,a ,c d ,c | ,,,a/4 ,,c c ,,c ,,,a ,,c c ,,c | \
,,,a/4 ,,c c ,,c ,,,,a ,c d ,c |"
18;F dur;11;Andante amoroso;Joseph Michael Zink;16;Mandora;;C;"z/ ,,,,,d ,,,,c ,,,,d z/ ,,,a ,,,e ,,,a | \
,,a/ [da] ,,,a [da] ,,,,,d1 z/ | \
z/ ,,,a ,,,e ,,,a z/ ,,,,,d ,,,,c ,,,,,d |"
19;F dur;12;Menue;Joseph Michael Zink;17;Mandora;;3/4;",,,,,d1 ,,,,a ,,,a | ,,,,,d1 z1 z1 | ,,,a/ ,b c ,b c ,b | \
,,a/ ,a d ,a d ,a |"
20;d moll;13;Trio;Joseph Michael Zink;;Mandora;;3/4;"z1 | ,,,,,d/ ,,d ,d ,,d ,d ,,d | ,,,,,d/ ,,d ,d ,,d ,d ,,d | \
,,,,,d/ ,,d ,d ,,d ,d ,,d |"
21;F dur;13;Gratioso;Joseph Michael Zink;18;Mandora;;6/8;"z/ | ,,,,,d/ ,,,,c ,,,a ,,a1 z/ | ,,,,,d/ ,,,,c ,,,a ,,a1 z/ | \
(,b/ ,d) a a ,d ,b | ,b3/2 ,a1 ,,a/ |"
22;F dur;14;Polonese;Joseph Michael Zink;19;Mandora;;2/4;"[,aa,,d1] [,bca] | [,da,c1] z/4 d ,d ,a | [,bca1] [,aa,,d] | \
[,,ca1] z/4 (,b ,a) ,,c | [,aa,,d1] [,bca] | \
[,da,c1] z/4 ,b ,,c ,a |"
23;F dur;14;Presto;Joseph Michael Zink;20;Mandora;;6/8;",,,a/ | ,,,,,d/ ,,,,c ,,,a ,,,,,d1 z/ | \
,,,a/ ,b c [,da,,,d1] z/ | a/ ,d ,b ,a ,,c ,,a | \
(,,c/ ,,a) [,,ca] [,,a,,d1] z/ |"
24;F dur;15;Marchia;Joseph Michael Zink;21;Mandora;;C;"[,,a,,d1] ,,a3/4 ,,a/4 ,,a1 ,,c | ,a1 [,,ca] [,,a,,d/] ,,c (,a ,b) | \
[,,a,,d1] ,,a3/4 ,,a/4 ,,a1 ,,c | \
,a3/4 ,,c/4 (,,c3/4 ,,a/4) ,,a1 z/ |"
25;F dur;16;Scherzando;Joseph Michael Zink;22;Mandora;;2/4;"(,,a/4 ,,c) | ,a/ ,,a ,b ,,c | ,a1 ,,a/ ,a | ,,,a/ ,,,e ,,a ,a | \
[,,ca1] z/ (,,a ,,c) | ,a/ ,,a ,b ,,c |"
26;F dur;16;Menue;Joseph Michael Zink;23;Mandora;;3/4;"(,,a/4 ,,c) | ,a/ ,,a ,b ,,c | ,a1 ,,a/ ,a | ,,,a/ ,,,e ,,a ,a | \
[,,ca1] z/ (,,a ,,c) | ,a/ ,,a ,b ,,c |"
27;d moll;16;Trio;Joseph Michael Zink;;Mandora;;3/4;",,,,,a/ ,b d ,b d ,b | ,,,,d/ ,,a a ,,a a ,,a | \
,,,,,d/ ,,a ,a ,,a ,a ,,a |"
28;F dur;17;Siciliano;Joseph Michael Zink;24;Mandora;;6/8;"z/ | ,,,,,d/ [,aa] [,aa] ,,,,,d [,aa] [,aa] | \
([,,ca/] ,a) ,b ,a1 z/ | \
,,,,,d/ [,aa] [,aa] ,,,,,d/ [,aa] [,aa] |"
29;F dur;17;Allemande;Joseph Michael Zink;25;Mandora;;3/8;"z/ | ,,,,,d/ [,aa] [,aa] | ,,,,,d/ [,aa] [,aa] | \
,,,a/ [,bc] [,bc] | ,,,,,d/ [,aa] [,aa] | ,,,,,d/ [,aa] [,aa] |"
30;F dur;17;Allemande;Joseph Michael Zink;26;Mandora;;3/8;",,,a/ [da] [da] | ,,,a/ [cb] [cb] | ,,,a/ [,bc] [,bc] | \
,,,a/ [,aa] [,aa] | ,,,a/ [da] [da] | ,,,a/ [cb] [cb] |"
31;F dur;18;Allemande;Joseph Michael Zink;27;Mandora;;3/8;",,a/4 ,,c (,,a ,,c) ,a ,b | ,a/ ,a ,a | ,b/ (,b/4 ,d) a ,b | \
,a1 ,,a/ | ,,,a/4 ,b ,c ,b ,c ,b |"
32;F dur;18;Allemande;Joseph Michael Zink;28;Mandora;;3/8;",,,,,d/ [,aa] [,aa] | ,,,,d/ [a,a] [a,a] | \
,,,a/ [cb] [cb] | ,,a/ [da] [da] | \
,,,,,d/ [,aa] [,aa] | ,,,,d/ [a,a] [a,a] |"
