PieceNr;Key;PageNr;Name;Composer;Comment;Tuning;Concordances;TimeInz;Tab
;;;;LXXII Divertimente a Due Mandore - Mandora I;;;;;
1-1;F dur;4;Nro. 1 Ouverture;Joseph Michael Zink;Mandora 1ma;Mandora;;C;
1-2;F dur;5;Ouverture;Joseph Michael Zink;Mandora 2da;Mandora;;C;"[da,,,d1] [da,a] [da,,c] [da,a] | ,,,,,d/ d ,,,,,d d ,,,,,d d ,,,,,d d | \
,,,,,d/ d ,,,,,d d ,,,,,d d ,,,,,d d |"
2-1;F dur;10;2. Andante gratioso;Joseph Michael Zink;Mandora 1ma;Mandora;;6/8;
2-2;F dur;11;Andante gratioso;Joseph Michael Zink;Mandora 2da;Mandora;;6/8;",,,,,d/ [da] [da] ,,,a [cb] [cb] | \
[,,a,,d3/2] ,,a/ ,,,e ,,a | ,,c1 ,,c/ ,,a1 ,,a/ | \
,,,a/ [c,c] [c,c] ,,,a1 z/ |"
3-1;F dur;12;3. Scherzando;Joseph Michael Zink;1.;Mandora;;2/4;
3-2;F dur;13;Scherzando;Joseph Michael Zink;2.;Mandora;;2/4;"z/ | ,,,,,d/ ,,,,c ,,,,,d ,,,,c | ,,,,,d1 z/ ,,a | \
(,,c/ ,,a) ,,c ,a | ,,c1 ,,a/ z/ | ,,,,,d/ ,,,,c ,,,,,d ,,,,c | \
,,,,,d1 z1 |"
4;F dur;14;4. Menuetto;Joseph Michael Zink;;Mandora;;3/4;
5;d moll;14;Trio;Joseph Michael Zink;;Mandora;;3/4;
6;F dur;15;5. Bourlesco;Joseph Michael Zink;;Mandora;;3/8;
7;F dur;16;6. Allo Tedesco;Joseph Michael Zink;;Mandora;;3/4;
8;F dur;16;7. Tedesco;Joseph Michael Zink;;Mandora;;3/4;
9;F dur;17;8. Tedesco;Joseph Michael Zink;;Mandora;;3/4;
10;F dur;17;9. Tedesco;Joseph Michael Zink;;Mandora;;3/4;
11;F dur;18;10. Tedesco;Joseph Michael Zink;;Mandora;;3/4;
12;F dur;18;11. Tedesco;Joseph Michael Zink;;Mandora;;3/4;
13;F dur;19;12. Allegretto;Joseph Michael Zink;;Mandora;;2/4;
14;C dur;20;13. Menue;Joseph Michael Zink;;Mandora;;3/4;
15;a moll;20;Trio;Joseph Michael Zink;;Mandora;;3/4;
16;F dur;21;14. Allegro;Joseph Michael Zink;;Mandora;;2/4;
17;C dur;22;15. Alla Polacca;Joseph Michael Zink;;Mandora;;2/4;
18;F dur;23;16. Andante amoroso;Joseph Michael Zink;;Mandora;;C;
19;F dur;24;Nro.17. Menue;Joseph Michael Zink;;Mandora;;3/4;
20;d moll;24;Trio;Joseph Michael Zink;;Mandora;;3/4;
21;F dur;25;18. Gratioso;Joseph Michael Zink;;Mandora;;6/8;
22;F dur;26;19. Polonese;Joseph Michael Zink;;Mandora;;2/4;
23;F dur;27;20. Presto;Joseph Michael Zink;;Mandora;;6/8;
24;F dur;28;21. Marchia;Joseph Michael Zink;;Mandora;;C;
25;F dur;29;22. Scherzando;Joseph Michael Zink;;Mandora;;2/4;
26;F dur;30;23. Menue;Joseph Michael Zink;;Mandora;;3/4;
27;d moll;30;Trio;Joseph Michael Zink;;Mandora;;3/4;
28;F dur;31;24. Siciliano;Joseph Michael Zink;;Mandora;;6/8;
29;F dur;32;25. Allemande;Joseph Michael Zink;;Mandora;;3/8;
30;F dur;32;26. Allemande;Joseph Michael Zink;;Mandora;;3/8;
31;F dur;32;Variatio;Joseph Michael Zink;;Mandora;;3/8;
32;F dur;33;27. Allemande;Joseph Michael Zink;;Mandora;;3/8;
33;F dur;33;28. Allemande;Joseph Michael Zink;;Mandora;;3/8;
34;F dur;34;29. Scherzando;Joseph Michael Zink;;Mandora;;6/8;
35;F dur;35;30. Polonese;Joseph Michael Zink;;Mandora;;2/4;
36;F dur;36;31. Andantino gratioso;Joseph Michael Zink;;Mandora;;2/4;
37;F dur;37;32. Menue;Joseph Michael Zink;;Mandora;;3/4;
38;d moll;37;Trio;Joseph Michael Zink;;Mandora;;3/4;
39;F dur;38;33. Amoroso;Joseph Michael Zink;;Mandora;;6/8;
40;F dur;39;34. Polonese;Joseph Michael Zink;;Mandora;;3/4;
41;B dur;40;35. Menue;Joseph Michael Zink;;Mandora;;3/4;
42;g moll;40;Trio;Joseph Michael Zink;;Mandora;;3/4;
