PieceNr;Key;PageNr;Name;Composer;Comment;Tuning;Concordances;TimeInz;Tab
1;g moll;1;Prelude;;;6g;;-;"{a}/ ,,a ',a3/2 {4}/ ,,c ,b1 {,a}/ ,,,c ,,c {5} ,,a \
',a3/2 {,,a}/ ,,,a ,,a {4} ,,,a ,,c (,,e/4 ,,c ,,a) \
'[,,,c{,,,a}3] ,,,,e ,,,a {a}"
2;g moll;1;Sarabande;;;6g;;3/4;"{a}3/2 '[,,aa/] {,a}1 | '[,,ca1] {,,a} '[,,aa] | \
{,,,a}1 ',,,c3/2 ,,,,e/ | ,,,a1 {a}2 :||: \
{a}1 '[,,da2] | {,a}1 '[,,ca2] |"
3;g moll;1;Sarabande;;;6g;;3/4;"[,aaa{a}/] [,aaa] '[,,a{a}2] | [,bc{4}1] [,,cc{,a}3/2] '[,aa{5}/] | \
'[,,aa{,,a}2] [,,ca{4}1] | (,,e/ ,,c ,,a) '[,,,c{,,,a}3/2] ,,,,e/ | \
,,,a1 {a}2 |"
4;g moll;1;Sarabande;;;6g;;3/4;"[,,aa{a}3/2] [,,aa/] [,,aa1] | '[,,ca{,a}3/2] ,a/ '[,aa{,,a}1] | \
,,c1 ,a ,,c | '[,a{,,,a}3] :|"
5;B Dur;1;Sarabande;;;6g;;3/4;",,,a1 ',,,a3/2 ,,,c/ | ,,a1 {a} ',,c | {,a}1 '[,,a{5}3/2] ([,a{,,,a}/4] ,c ,d)) | \
[,,a{,,a}/] ,,c ,,e '[,,c{,a}3/2] ,,,d/4 ,,c | ,,,d1 {5}2 |"
6;B Dur;1;Lorayen;;;6g;;3/4;"[,d{a}3/2] ,d/ ,d1 | '[,b{4}3/2] ,,c/ ,a1 | \
,,c1 '[,a{,,,a}3/2] ,,d/ | ,a1 ,,a {,,a} | \
'[,,c{,a}1] ,,,d ,,c | ,,,d1 {5}2 :|"
7a;g moll;1;Sarabande double 1;;;6g;;3/4;"[,aaa{a}1] [,aaa] {a} | '[,aa1] {4} [,bc] | [,bc1] {,a} [,,cc] | \
[,,cc1] {5} [,aa] | [,aa1] [,,aa{,,a}3/2] [,,aa/] | \
{4}1 [,,ca] ,,e | (,,c/ ,,a) '[,,,c{,,,a}3/2] ,,,,e/ | \
,,,a1 {a}2 :|"
7b;g moll;2;2;;;6g;;3/4;"[,aa{a}1] [,,cc] [,aa] | [,aa{a}1] [,,cc] [,aa] | \
[,bc{4}1] [,aa] [,bc] | [,,cc{a}1] [,,aa] [,,cc] |"
7c;g moll;3;3;;;6g;;3/4;"[,aa{a}1] ,a ,a | '[,a{a}3/2] ,,c/ ,a ,b | {4}1 {,,,a} {,,a} | \
'[,,c{,a}3/2] ,,,d/ ,,c1 | ,,e1 {5} {4} | \
{,,,a}1 '[,,a{,,a}3/2] ,,,c/ |"
7d;g moll;4;4;;;6g;;3/4;"[,a{a}3/2] ,,c/ ,a1 | ,,a1 '[,a{a}3/2] ,,c/ | \
,,a1 '[,b{,,a}3/2] a/ | '[,,c{,a}3/2] ,,,d/4 ,,c ,,,d1 | \
'[,a{5}3/2] ,,c/ ,a1 |"
7e;g moll;2;5;;;6g;;3/4;"[,aa{a}1] ,,,,,a ,,,,,b | [,aa,,a1] {{,a} {a} | \
[,bc{4}1] {,,,a} {,,a} | [,,cc{,a}1] {a} ,,,,,a |"
7f;g moll;2;6;;;6g;;3/4;"[,a{a}1] ,,c ,a | ,b1 ,d ,b | '[,a{a}3/2] ,,c/4 ,a ,,a1 | \
[,b{4}/] ,a ,b ,d ,b ,a | '[,,c{,a}3/2] ,,,d/4 ,,c ,,,d1 |"
8a;B Dur;2;Sarabande double 1;;;6g;;3/4;"[,aa{5}1] [,aa] [,aa] | '[,,c,,a3/2] ,a/ '[,,aa{a}1] | \
[,,aa1] ,,a '[,,c{,a}] | ,,,d1 ,,c ,,,d |"
8b;B Dur;2;2;;;6g;;3/4;"{5}1 [,aa] ',c | [aa1] c a | [cb{,,a}1] [cb] c | \
'[a{,a}3/2] ,b/ a1 |"
8c;B Dur;2;3;;;6g;;3/4;"[aa{5}1] [aa] a | '[,b{4}1] ,,c ,a | ,,a1 '[,a{,,,a}] ,,c | \
[,a{,,a}/] ,,a '[,,c{,a}3/2] ,,,d/4 ,,c | ,,,d1 {5}2 |"
8d;B Dur;2;4;;;6g;;3/4;"{5}1 ,a ,,,,,b | ,,,,d/ ,,,d ,,a ,a {a} ,,c | ,,,,d1 ,,,c ,,c | \
,a1 {a} ,,,a/ ,,a | ,,c1 {,a} ,,,d | ',,,c3/2 ,,,c/ ,,a {5} |"
8e;B Dur;2;5;;;6g;;3/4;"[aa{5}1] [cb] [aa] | [,bc1] [aa] [cb] | [aa1] [,bc] [,aa] | \
'[,,c{,a}3/2] ,,,d/4 ,,c ,,,d1 | {5}3 |"
9;g moll;2;Air;;;6g;;3/4;"[,,,a{a}1] ,,,c ,,a | ,,a1 '[,,c{4}3/2] ,a/ | \
'[,a{,,,a}1] ,a [,,,a{a}] | ',,,c1 ,,a ,,c | \
'[,,,c{,a}3/2] ,,,d/ {5}1 :|"
10;g moll;2;Hans Sop;;;6g;;3/4;"[,,aa{a}1] '[,,,c{,a}3/2] ,,,a/ | '[,,,,e{,,,a}1] ,,,,a '[,,,,e{,,,a}] | \
[,,,a{a}1] '[,,,c{,a}/] [,,a{a}] '[,,c{4}] ,a | \
,,a1 '[,,,c{,,,a}3/2] ,,,a/ | [,,,a'e{a}3] |"
11;g moll;2;Air;;;6g;;3/4;",,,a1 [,,,ae] [,aaa{a}] | '[,,c{4}3/2] ,a/ '[,,b{a}1] | \
,,c1 [,a{,,,a}] [,,a{,,a}] | '[,,,c{,,,a}3/2] ,,,,e/ ,,,a1 |"
12;B Dur;3;Courante;;;6g;;3/4;",,,a1 | [,,addb{5}3] | [,,a,,b1] '[,,c,,a3/2] ,a/ | \
[,a,,,b1] ,,a a | [,b{4}1] '[,a{,,,a}3/2] ,b/ |"
