PieceNr;Key;PageNr;Name;Composer;Comment;Tuning;Concordances;TimeInz;Tab
1;D dur;1;Courante;Gaultier;;;Conc_208;;",,,,e1 | [,,,,e{,,,a}1] ',,,c {,a}/ ,,a | \
[,,c{,,a}1] ',,e ,,,c/ > ,a | [,aaee{,,,a}1] ,,,,e1 > ,,,e | \
[,aae2] ,/ ,a | [,a,,e1] ,,,c/ ,c ,,a ,e |"
2;D dur;2;Courante;Gaultier;;;Conc_209;;"e1 | [ee{,,,a}3/2] ,f/ ',e ,c | ,a/ ,,,,a e ,,,,,e ,,a c | \ 
[,'e,,a3/2] ,c/ ,,a ,a | [,c,,,e/] ,e ,,,,,c ,,,d ,a ,a |"
3;D dur;3;Allemande;Gaultier;;;Conc_3491;;"[,ea{,,,a}3/2] c/ e ,,a ,,c ,,e | [,aVf/] ,,,,a/4 ,c ,e/ ,,,,c \ 
,,,,e ,e [,'c,c] ,a | [,c,e/] ,,,,,a ,e c e ,,,,,c [cc,,,e] > c | "
4;D dur;4;Sarabande;Gaultier;;;Conc_212;;",,,,a/ ,e [,'c,,,a1] > ,a | [,acb,c3] | \
[,a{,a}/] > ,a [,,aee1] > ,,a | [,,cc{a}1] [,,cc/] ,a ,,,,e1 | \
,,,,c/ ,,,c ,a ,,e ,,,,a ,a |"
5;D dur;6;Courante;Gaultier;;;Conc_210;;",,f/ ',,e> ,,c | ,,a1 ,,,,e ,,c | ,,,,c/ ,,,c [,,a,,e1] > ,,,,c | \
[,,,'ba1] {,,,a}/ ,,a ,,c ,,e | [,a,,e1] ,,,,,c > ,c | "
6;D dur;8;[Courante];Gaultier;;;Conc_1129;;",,a | [,,aee{,,,a}3/2] ,,a/ ,,c ,,,,e | ,,,c/ ,,a ,,,,e {,,,a} ,a > ,a | \ 
[,a,ee3/2] ,a/ ,c ,,,,,e | [,ea,a3/2] e/ 'c ,e |"
7;D dur;9;Sarabande;Gaultier;;;Conc_1130;;"{,,,a}1 | [,,aee1] [,,aee/] [,,aee] {a}1 | \ 
,,,,a1 [,,cc] [,,cc/] [,,cc] | [,,e,,a1] ,,,,e/ ,,e ,a1 | \ 
,,,,,c/ ,a ,,,,,e ,c ,,a ,c | "
8;D dur;10;Allemande;Gaultier;;;Conc_393;;"[,ea{,,,a}3/2] ,c/ ',a ,,,,a ,,a ,,,c | [,,,'b{,,,a}/] ,a ,,a [,,,c{,,a}] \ 
[,,a{,a}] ,,,,,f ,,,,e ,,a | [,,c{a}/] ,,e ,a ,,,,e \ 
[,a,,ea1] ',,,,c/ > ,,e |"
9;D dur;11;La gambade de Monsieur Gautier;Gaultier;;;Conc_207;;"[,aVf1] ',,e/ ,a ,,c [,ea] [c,,c] | [e,,,e/] {,,,a} e c e ,,,,,a [c,,,c] ,,,,,e | \
[,e,,a/] {,,,a} ,e ,,,,a [c,,,c] c [,e,,e] ,,,c | "
10;a moll;14;[Courante la Chámpre];Gaultier;;;Conc_146;3;",,d1 | [,,d,,a1] ,,,e ,c/ ,,,c | [,caa3/2] ',a/ ,,,,a ,,d | \ 
[,,'c,c1] {,,a}/ ,,,e ',,,d ,,,,a | [,,a,,d1] ,,,,,c ',,,d/ ,,a/4 ,,,d |"
