PieceNr;Key;PageNr;Name;Composer;Comment;Tuning;Concordances;TimeInz;Tab;TabNotation
1;F dur;1r;Prelude du ton F (G A K = Kalivoda);;;;;3;"[edd{,a}] [ccd{,,a}] [aad{,,,a}] [aac{a}] 'a ,,,h/4 ,a ,,h a \
V[,h] g Vh {4}/> ,,,,,d ,,,,,b (,,,,,d/ ,,,,,b) [aVdd,,a1]> a \
[abd,,a] ,,,,,a ,,d ,b a (,b ,a) ,,d ,a";
2;F dur;1v;Partie du ton naturelle F - Entrée;;;;;2;"[,,ded{,a}2] [,aVda] | [,,'aa{,,,a}3] ,/ [,,a{d}/] | [,a,a{b}1]> \
,a [,,'d{,,a}1]> ,,b | [,,'a{,a}2] ,,,a | [,,ded{,a}2] \
[aVda{,,,a}] | [,'ac{a}3] ,/ [,a{,a}/] | V[c,d{,,a}1]> c \
['a,a{,a}1]> ,c | [,'ac{a}1]> ,,,,,a {a}1 {,a} | ";
3;F dur;2v;Rondeau;;;;;3;"(,,a/ ,,b) | [,,d{,a}1] (,,d/ ,,b) [,,d,,a1] | ([,a,a,b1] ,c) \
a | [,,d{,a}1] ,a/ ,,d ([,,b{d}] ,,a) | [,,,'c{4}2] ,,d1 | \
[a,,,,a1] [,'c] [,a,,,b] | [,,d,,a1] [,,'b] [,,a{d}] | ";
4;F dur;3v;Gavotte;;;;;2;"[,,,'a{,a}/] ,,,c ,,a [,,b{a}] | V[,,d,,a1] [,,'a{,a}] \
[,ad,,b1] ,,,,,d/ ,c | [,ad,,,a1] {a}/ ,c [,'a{b}1] [,,d,,d/] \
,,b | [,,'a,a/] ,,,c [,,a,,d] [,,b,,b] [,,d,,a] ,a [,,'b{d}] \
,,a | ";
5;F dur;4v;Menuet;;;;;3;"[aVd,a1] [,'a2] | [,,'de{,a}1]> ,a ,,d1 | [,,b{d}1] (,,d/ \
,,b) [,,'a,,d] ,,,c | [,,a{,a}/] ,,,c ,,a ,,b ,,a1 | [ad,,a1] \
[,'a2] | [,,'de{,a}1] ,a ,,d1 | ";
6;F dur;5v;Chaconne;;;;;3;"[,,aad1] {,a} [,,aad] | [,,,ccd1] [,,dcc] (,,d/ ,,b) | \
[,,'aaa{,,,a}1] {,,a} [,,a{,a}1] | ,,,,,b/ ,,,c [,,,'c{4}1] \
(,,a/ ,,b) | [,,aad{,a}1] [,,aa] ,,a | [,,,ccd1] [,,dcc] \
(,,d/ ,,b) | ";
7;g moll;8v;Prelude du ton G;;;;;2;",,,,f1> ,,a ,,,f ,,a ,,,,f ,,a ,,,f ,,d ,a ,,,,f [,,,,'e1]> \
,b [,'a/]> ,,d ,a (,,d ,,b ,,a) ,,,c (,,a ,,c ,,d) ,a {a}3/2";
8;g moll;9v;Allemande;;;;;C;",a/ | [,abc{a}3/2] ,c/4 b Vc/ ['a,,,,a/4] ,b {d} ,a ,,,a/ \
,,,c/4 ,a (,b ,a) | ,,,,,a/4 ,,d ,,,b ,,,,c ,,,b/ (,a/8 ,,d) \
,a/4 ,,d [,,'b{a}/] ,,,,,a/4 ,,a ,,,,,b ,,,c ,,,,,d ,,a | ";
9;g moll;10v;Courante;;;;;3;",b/ ,a ,,d | [,,'b{a}1]> ,,a ,,,c1 | [,,,'ba1] [,,,cb] \
[,,ac,d] | [,,,'ba1]> ,,,c ,,a1 | [,,,c,b1] [,,ac,d] [,,,'ba] \
 | V[,,,c{a}1]> ,,a ,,b ,,,c | ,,,,,a/ ,,d [,,,'a1]> ,,,,b | ";
10;g moll;11v;Sarab;;;;;3;"[,ab{a}1] c e/ f | ['e,,,e1] ,a e | V[f{a}1] ,,,,,a/ a ,,d \
,b | [,'a{d}1]> ,,d (,,b ,,a) | [,,,cb1] ,,d ,,,,,d | ";
