PieceNr;Key;PageNr;Name;Composer;Comment;Tuning;Concordances;TimeInz;Tab;TabNotation
;;;;;Konkordanzen sind teilweise Pietro Prossers Dissertation (1996) entnommen;Additional concordances taken from Pietro Prosser's thesis (1996);;;;
1a;;3r;Variationes;;;Mandora;;3/4;",,,,d/ ,b ,,,,d ,b ,,,,d ,b | \
,,,,c/ ,b ,,,,c ,b ,,,,c ,b | \
,,,,a/ ,b ,,,,a ,b ,,,,a ,b |";french5tab
1b;;3r;[2.];;;Mandora;;3/4;",,,,,d/ ,b a1 ,,,,,c | ,,,,,a/ ,b a1 {a} | \
,,,,d/ ,b a1 ,,,,c | ,,,,d/ ,b ,,a1 {a} | [,b,,,d3] ||";french5tab
1c;;3r;[3.];;;Mandora;Conc_4919;3/4;",,,,,d/ ,b a ,b ,,,,,c ,b | ,,,,,a/ ,b a ,b ,,,,,,a ,b | \
,,,,d/ ,b a ,b ,,,,c ,b |";french5tab
1d;;3r;[4.];;;Mandora;Conc_4862;3/4;",,,,,d/4 ,b a ,b ,,,,,d ,b a ,b ,,,,,d ,b a ,b | \
,,,,,c/4 ,b a ,b ,,,,,c ,b a ,b ,,,,,c ,b a ,c |";french5tab
1e;;3r;[5.];;;Mandora;;3/4;"{,,a}/4 ,,a ,a ,,a {,,a} ,,a ,a ,,a {,,a} ,,a ,a ,,a | \
{,a}/4 ,,a ,b ,,a {,a} ,,a ,b ,,a {,a} ,,a ,b ,,a |";french5tab
1f;;3v;[6.];;;Mandora;;3/4;"{a}/4 ,a d ,a {a} ,a d ,a {a} ,a d a | \
,,,,,d/4 ,b a ,b ,,,,,d ,b a ,b ,,,,,d ,b a ,b |";french5tab
1g;;4r;[7.];;;Mandora;Conc_4838;3/4;"{a}/4 ,,a ,a ,,a {a} ,,a ,a ,,a {a} ,,a ,a ,,a | \
{a}/4 ,a d ,a {a} ,a d ,a {a} ,a d a |";french5tab
2;;4v;Marche;;;Mandora;Conc_4819;C;",d/ a | V[d{a}1] d/ c [d{a}1] [,d,a] | \
'[,a{a}1] ,,c/ ,a ,,a1 [,,ca] | \
{,,a}/4 ,,a ,d ,,a {,a} ,,a ,a ,,a";french5tab
3;;4v;Menuet;;;Mandora;;3/4;",d/ a | V[d{a}1] c/ a ,d1 | '[,a{a}1] ,,c/ ,a ,,a1 | \
,,,,d/ a ,,,,d a ,,,,d a | ,,,,c1 d/ e d1 |";french5tab
4;;5v;Marche;;;Mandora;;C;",,,a1 | {a}/4 ,,a ,a ,,a ,,c/ {,a} {a}/4 ,,a ,a ,,a ,,c/ {,a} | \
{a}/4 ,,a ,a ,,a ,,c/ {,a} [,aa{a}1] [,,ca] |";french5tab
5;;6r;Menuet;;;Mandora;;3;",d/ a | V[d{a}1] d/ c d1 | ,,a1 ,,a [,,ca] | \
'[,a{a}/] ,,c ,a ,,a [,,ca1] | '[,,a{a}3/2] ,d/ ,,,,c ,d |";french5tab
6;;6r;Trio;;;Mandora;Conc_4920;3;"{a}1 ,,a ,a | [,,c,a1] ,,c/ ,b ,a ,,c | {a}1 ,,a ,a | \
[,,c,a3] :||: ,,,,c1 ,d ,b | {a}/ ,,a ,a ,,a [,,ca1] |";french5tab
7;;6v;Aria;;;Mandora;Conc_5121;3/4;",d1 | '[,a{a}1] [,b,,a/] ,a [,,ca1] | {a}/ ,,a ,a ,,a [,,ca1] | \
'[,a{a}1] [,b,,a/] ,a [,,ca1] | '[,,a{a}3/2] ,d/ ,,,,c ,d |";french5tab
8;;6v;Guigue;;;Mandora;Conc_4687;6/8;",d/ | ,,,,c/ ,,a ,d ,,,,c ,,a a | ,,,,d/ ,b a ,,,,d ,b a | \
,d/ ,b ,a '[,a{a}] ,,c ,,a |";french5tab
9;;7r;Poure;;;Mandora;;3/4;",,,,a1 ,d c | [c,,a1] a/ ,c ,d1 | ,,,a1 c f | \
[f,,,a1] d/ a c1 | ,,,,a1 ,d c | [c,,a1] a/ ,c ,d1 |";french5tab
10;;7v;Allemande;;;Mandora;;3/8;"[d{a}/] ,,,,c ,,,a | [d{a}/] ,,,,c ,,,a | \
[d{a}/] ,,,,c ,,,a | [d,,c/] [d,,c] [c,,a] | \
[a,,,d/] [a,,,d] [,d,,c] | [,b,,a/] ,a [,d,,c] |";french5tab
11;;7v;Menuet;;;Mandora;;3;"[,da,c1] {a} [,,ca] | {a}/ ,,a ,a ,,a [ab,,d1]  | [,da,c1] {a} [,,ca] | \
{a}/ ,,a ,a ,,a [ab,,d1] | [,da,c1] {a} [ab,,d] |";french5tab
12;;8r;Guigue;;;Mandora;;6/8;",d/ | [dd{a}1] d/ [d{a}] c a | [,d,,c1] ,d/ [,d,,c] ,b ,a | \
[,b,,a/] ,d a [,d,,c] ,b ,a |";french5tab
13;;8v;Poure;;;Mandora;Conc_5141;C;"d1 | ,,,,c/ ,d ,,,,d a ,,,,c ,a ,,,,a ,b | \
'[,a{a}1] ,a ,,a [,,ca] | '[,a{a}1] ,b/ ,d [ab,,d1] ,b/ ,a |";french5tab
14;;8v;Trio;;;Mandora;Conc_4818;3;"{a}/ ,,a ,,,,a ,,a ,,,,c ,,a | ,,,,d/ ,,a ,,,,c ,,a ,,,,a ,,a | \
[d{a}1] d/ c d1 | {a}/ ,,a ,,,,a ,,a ,,,,c ,,a |";french5tab
15;;9r;Paisan;;;Mandora;;2/4;",d/ | [d{a}/] ,d ,d ,d | [f{,a}/] ,d ,d ,d | \
'[,a{a}/] [,,ca/4] ,a [,b,,a/] [,,ca] | [,aa{a}1] [,,ca] |";french5tab
16;;9v;Siciliana;;;Mandora;;12/8;",,a/ | [,b,,d/] ,d ,b [d,,c] b d [ab,,d] ,d a ,b1 [ab,,d/] | \
[,d,,c1] d/ [,b,,a1] d/ [,a{a}] ,,c ,a ,,a1 [ab,,d/] |";french5tab
17;;9v;Sarabanda;;;Mandora;Conc_5232;3;"[d,a1] | X[c,,a2] a/ ,d | '[,a{a}1] ,,c/ ,,a [,d,,c1] | \
[,b,,a/] [,{a}] ,,c ,a [,b,,a1] | [,,ca1] [ac,,a] [c,,a] |";french5tab
18;;10r;Capricio;;;Mandora;;C;",,c/ | ,d1 [c,,a] f [,d,a] | [,c{a}1] ,c/ ,a ,,c1 a/ c | \
[d,,,a1] a/ ,c ,,c1 f/ d |";french5tab
19;;10v;Trio;;;Mandora;;3/4;"{,a}/ ,d {a} ,d ,,,,a ,d | {,,a}1 d c | \
{,a}/ ,d {a} ,d ,,,,a ,d | {,,a}1 h f |";french5tab
20;;10v;Tardif;;;Mandora;;3;"[,d{,,a}1] [,d{,,a}/] [,d{,,a}] a ,c | \
[,d{,,a}1] [,d{,,a}/] [,d{,,a}] f ,c | \
[,d{,,a}1] [,d{,,a}/] [,d{,,a}] a ,c | \
[,d{,,a}1] {,a} {a} |";french5tab
21;;11r;Aria;;;Mandora;;C;",,c/ ,a ,c | [,d,a/] c a ,c [,d,a1] f/ ,,,e | \
,,,c/ d a ,c [,d,a1] f/ ,,,e |";french5tab
22;;11v;Trio;;;Mandora;;3;"{,a}1 {a} ,,,,a | [,d,a1] a/ ,c ,d1 | {,a}1 {a} ,,,,a | \
[c,,a1] f/ a c1 | [,d,a1] a/ ,c ,d1 |";french5tab
23;;11v;Menuet;;;Mandora;;3/4;"[,d,a/] ,,c ,d c a ,d | [a,,,a/] d a ,c ,d1 | \
{,a}/ ,d [a{a}1] [,c,,a] | [,d,a/] c a ,c ,d1 |";french5tab
24;;12r;Guigue;;;Mandora;;6/8;",,c/ | ,d/ {,,a} ,d a ,d {,a} | {a}1 ,,,,a/ [,d,a1] [ac,,a/] | \
[c,,a/] ,d c ,,,e/4 f ,,,c d ,,,a c |";french5tab
25;;12v;Trio;;;Mandora;;3;"[f,,e/] [d,,c] [c,,a] | '[a{a}1] ,d/ ,c ,d1 | \
[,d{,a}1] [a{a}] [,c,,a] | [,d,a/] ,c ,d a ,d1 | \
[,d{,a}1] [a{a}] [,c,,a] |";french5tab
26;;12v;Guigue;;;Mandora;;6/8;"f/ | c/ a ,d {,a} {a} ,,,,a | [c,,a/] a ,d {,a} {a} ,,,,a | \
[c,,a/] a ,d ,,,c d c | [ac,,a2] c/ d |";french5tab
27;;13r;Mar[c]he;;;Mandora;;3/4;"[,,a{a}1] [,,a{a}/] [,,a{a}] [,,a{a}] [,,a{a}] | \
[,a,,c1] ,,a/ {,a} ,,a1 | [,a,,c1] ,,,a/ {,a} ,,a1 | \
[,a,,c1] [,d,a] [,b,,a] | [,a{a}1] ,,a/ {,a} ,,a1 |";french5tab
28;;13v;Duoschee;;;Mandora;;3;"{a}/ d ,,,,c d ,,,a d | {a}/ d ,,,,c d ,,,a d | \
{a}/ d ,,,,c d ,,,,c d |";french5tab
29;;14r;Aria;;;Mandora;;3/4;"{a}/4 ,,a ,d ,a ,,,,c ,,a ,d ,,a a/ ,b | ,,,,c/ ,d d ,b ,a ,,c | \
{a}/4 ,,a ,d ,,a ,,,,c ,,a ,d ,a a/ ,b |";french5tab
30;;14r;Trio;;;Mandora;;3;"[,a{a}1] ,,a [,a{a}] | [,b,,a1] ,,c [,b,,a] | \
[,d,,c1] [,b,,a] [,a{a}] | [,,c,a2] {,,a}1 | \
(3{a}/ ,,a ,a) (3{a} ,,a ,a) (3{a} ,,a ,a) |";french5tab
31;;14v;Vivant Studiosi;;;Mandora;;C;",,c/ ,a ,c | [,d,a/] ,,c ,d a '[c,,a1] a/ ,d | \
[ac,,a1] [cd,a] [dc,c] c/ d | [fd,e1] d/ c [ac,,a1] ,c/ ,a |";french5tab
