PieceNr;Key;PageNr;Name;Composer;Comment;Tuning;Concordances;TimeInz;Tab
1;;1;Passaggio;;;OT;ConcR785;C,1;"[aaccca1] | \
[aac,,a/16] ,,,,,c ,,,,,e ,,,,,a ,,,,c ,,,,e \
,,,a ,,,,c ,,,c ,,a ,,c ,,,c ,a ,c ,d ,a | \
a/16 c e a h k l h n l k h f e c a |"
2;;1;[Prelude];;;OT;ConcR782;C;"[aab,,a1] | \
[,ab,,a/16] a ,d a ,c ,d ,a ,c ,,d ,a ,,b ,,d ,,a ,,b ,,,c ,,,e | \
,,,a/16 ,,,c ,,,,e ,,,a ,,,,c ,,,,e ,,,,a ,,,,c ,,,,,d ,,,,a ,,,,,c \
,,,,,d ,,,,,a ,,,,,c ,,,,,,d ,,,,,a |"
3;;1;Passaggio;;;OT;ConcR786;C;"[caaac1] | \
[caaac/] {a} | \
[,aaac/16] h f d c a ,d ,c ,a ,,d ,,b \
,,a ,,,c ,,,a ,,,,d ,,,,c | \
,,,,a/16 f d c a ,d ,c ,a ,,d ,,b ,,a \
,,,c ,,,a ,,,,e ,,,,c ,,,,a |"
4;;2;Passaggio;;;OT;;C;"[,daa{a}1] | \
[,daa/8] {a}/16 ,,,,,a ,,,,,c ,,,,,d ,,,,a ,,,,c ,,,,e \
,,,a ,,,,a ,,,,c ,,,,e ,,,a ,,,c | \
,,a/16 ,,b ,,d ,,,a ,,,c ,,a ,,b ,,d \
,a ,c ,d ,,d ,a ,c ,d a |"
5;;2;[fragment];;;OT;;C;",,,c/ ,,,,a/4 ,,,,b/8 ,,,,d | \
,,,c/16 ,,a ,,b ,,d ,a ,c ,d a c d f d \
c/32 a ,d ,b ,a ,,d ,,b ,,a |"
6;;2;Passagio J.V.d.Hoven A[nn]os 1614;Joachim van den Hove;;OT;ConcR208;C;"[,dda{a}/4] ,c/8 ,a ,,d ,,b ,,a ,,,c | \
[,,,a{a}/8] ,,,c ,,a ,,b ,,d ,a ,c ,d | \
[a,,,a/8] ,d a c [a,,,a] c d f |"
7;;2;Praambulum;Johan Baptiste Besard;CLFBes N°2;OT;ConcR509;C;"[,dda/] {a}/4 a | \
[bdda/] [a,d,e] | \
[,dddf/] f | \
[gd,f,d/] [f,,,,c] | \
[ddf,,d/4] ,,,,a [,d,,b] [a,,,d] | \
[b,,a/4] ,,,c [,d,d] [,ab] | \
[abb,a/4] {,,a} ,,,,d ,,,a |"
8;;3;Passagie;;;OT;;C;",,d/8 ,a ,c ,,d ,a ,c ,d ,a | \
,d/8 ,d a ,c ,d a c ,d | \
a/8 c d a c d f d |"
9;;3;Praludium Johan Rude Frances: A[nn]os 1615. 5.X[e]mb[er];Johannes Rude;;OT;;C;",a/4 ,c ,d a | \
c/4 ,a c e | \
[f,a/4] [e,c/8] c [a,d/4] ,,c/8 ,,a | \
[,ac/4] [,cd] [,df/8] ,c ,a/4 | \
[,cXf/4] ,,e/8 ,,c ,,e ,,f [,c,,,c] ,,e |"
10;;3;Praeludium;;;OT;;C;"a/ ,,d/4 ,c | \
,,a/4 ,d ,,b a | \
[c,a/8] a ,d ,c [,af] ,,d ,,b ,,a | \
[a,,c/4] ,d [,cd] ,,b |"
