Piece Nr;Key;Page nr;Name;Composer;Comment;Tuning;Concordances;TimeInz;Tab;TabNotation
;;;Many new concordances taken from Pietro Prosser's thesis (1996);;;;;;;
1;;1r;Preambulum Ex F;;Heading: Ciaconia Ex F;Mandora;;C;",,a/4 ,a d ,a ,,a ,a d ,a ,,a ,d c ,d ,,a ,d c ,d | \
,,a/4 ,a d ,a ,,a ,a d ,a ,,a ,a d ,a ,,a ,a d ,a |";french5tab
2;;1v;[sans titre];;;Mandora;Conc_4780;2/4;",d/4 a | V[d,,,,a/] ('c/4 a) [,d,a] a ',d/ | \
'[,a,,,a/] ,,c/4 ,a ,,a/ ,d/4 a | \
V[d,,,,a/] ('c/4 a) [,d,a] a ',d/ |";french5tab
3;;2r;Menuet;;;Mandora;;3/4;",,,a1 | [,,a,,a2] [,,ca1] | [,a,,,a1] (,,a/ ,,c) ([,aa] [,bc]) | \
[,de3] | ,,,,,a1 [a,,,d] (3a/ c d) | \
[,d,,a/] ,b [,d,a] ,b ([,a,,,a] ,b) |";french5tab
4;;2v;Gavotte;;;Mandora;Conc_4680;2/4;",,,,,a1 'c/ a | ,,,,c/ ,d [,b,,a] [,a,,,a] | \
[,b,,d/] a [,d,,c] [,b,,a] | ,,,,c/ ,d [,b,,a] [,a,,,a] | \
,,,,a/ ,b [,a,,,a] [,,ca] |";french5tab
5;;3v;Aria;;;Mandora;Conc_4681;C;"(,a/4 ,b) | [,da,,a/] ,a/4 ,,c [,,a,,a/] [ab,,d] [,d,,c/4] a ,d/ '[,a,,,a] [,,ca] | \
'[,a,,,a/4] ,,a [,b,,a] ,,c [,d,,c] ,,a [,b,,d] a";french5tab
6;;4r;[sans titre];;;Mandora;Conc_4682;3/4;"[,a,,,a/] ,d a ,d (,b ,a) | [,a,,,a/] ,,c ,a ,,,e [,,a,,a1] | \
V[,b,,d/] a a ,d ,b ,a | [,a,a/] ,,c [,a,,,a] ,,a [,,ca1] |";french5tab
7;;4v;[sans titre];;;Mandora;Conc_4683;6/8;"d/ | [d,,,,a/] c a [,d,,c] a [,b,,a] | \
[,a,,,a/] ,b ,d ,,a1 '[,,ca/] | \
[,a,,,a/] ,b ,d [,d,,d] ,b [,a,,,a] |";french5tab
8;;5r;[sans titre];;;Mandora;Conc_4684;C;,d/4 a c | ,,e/4 ,d d ,d ,,e ,d d ,d ,,e ,d d ,d ,,e ,d d ,c |;french5tab
9;;5v;[Menuet];;;Mandora;Conc_4946;3/4;",,c/ [,aa] [,bc] | [,de,,a1] [,de/] [,aa] [ab,,d] ,b | \
[,de,,a1] [,de/] [,aa] [,b,,a] ,,c | \
'[,b,,a1] ,a/ ,,a [,,ca] ,,,e | '[,,a,,a3] :||:";french5tab
10;;5v;[Trio];;;Mandora;Conc_4685;3/4;"V[h,,,,a1] d '[c,,a] | V[d,a2] [f,,a1] | \
V[h,,,,a1] d '[c,,a] | V[d,,,,a2] [,,ca1] | \
'[,,a,,a1] ,,a/ ,a [,,ca1] | '[,a,,,a1] ,a/ ,,a [,,ca] ,,,e |";french5tab
11;;6r;[sans titre];;;Mandora;Conc_4686;3/4;",d/ a | V[d,,,,a1] f '[c,,a/] a | [,d,,c1] [,b,,a] [,a,,,a] | \
[ab,,d1] [,da,c] [,bc,,a] | [,,a,,a1] ,,f/ h ,,,e f |";french5tab
12;;6v;[sans titre];;;Mandora;Conc_4687;6/8;",d/ | ,,,,c/ ,,a ,d ,,,,c ,,a ,d | ,,,,d/ ,,a a ,,,,d ,,a a | \
[,d,,c/] [,b,,a] [,a,,,a] [,a,,,a] ,,c ,,a |";french5tab
13;;7r;[sans titre];;;Mandora;Conc_4688;3/4;",d1 | '[,a,,,a1] (,,c/ ,,a) ,,c1 | '[,a,,,a1] (,,c/ ,,a) [,,ca1] | \
'[,a,,,a1] [,b,,a/] ,a [,,ca] ,a | '[,,a,,a2] :||: ,d1 | \
[,d,,c1] [d,,c] '[c,,a] |";french5tab
14;;7v;[sans titre];;;Mandora;Conc_4689;C;",d/ a | V[d,,,,a/] (c/4 a) [,d,,c/] a '[,a,,,a] ,,c/4 ,a (,,a ,,c) (,a ,b) | \
[,d,,c/] (,b/4 ,a) [,bc/] ,a/4 ,,c";french5tab
15;;8v;[sans titre];;;Mandora;Conc_4690;3/4;",d/ a c | V[d,,,,a1] ,,a 'f | V[h,,,,a1] ,,a [i,,,a] | \
V[l,,,,a1] '[i,,,a] 'f | '[c,,a1] (a/ c) ,d1 | \
,,,c/ ,c d ,c ,,,a [cd] |";french5tab
16;;9r;[sans titre];;;Mandora;Conc_4691;3/4;"V[d,,,,a1] [,d,,c] [,d,,c/] c | V[d,,,,a1] [,d,,c] [,d,,c/] c | \
V[d,,,,a1] [,d,,c/] ,a [,b,,a] ,,c | [,a,,,a1] ,,a2 | \
,,,a/ ,h f i 'h ,i |";french5tab
17;;9v;[sans titre];;;Mandora;Conc_4692;C;"[,,a,,a/] ,a '[,,ca] ,,a/4 ,,c [,a,,,a/] ',b ,a/4 ,b | \
[,d,,c/] a Vd [f,,e] '[c,,a] (3a/4 c a) ,d/ d |";french5tab
18;;10v;[sans titre];;;Mandora;Conc_4693;C;",d/4 a c | V[d,,,,a/] ,d '[,a,,,a] ,,c/4 ,,a [ab,,d/] [ab] 'a ,d/4 ,b | \
[,a,,,a/4] ,b ,d d [,da,c/] (,b/4 ,a)";french5tab
19;;11v;[Menuet];;;Mandora;Conc_4810;3/4;",d/ a c | V[d,,,,a1] ,,a [,,ca] | '[,a,,,a1] ,,c/ ,a ,,a1 | \
[ab,,d1] b/ a [,d,a] a | '[,a,,,a1] (,,c/ ,,a) [,,ca1] |";french5tab
20;;12r;[sans titre];;;Mandora;Conc_4694;3/4;",,,,,a/ ,,a ,,,,c ,,a ,,,a ,,a | ,,,,,a/ ,,a ,,,,c ,,a ,,,a1 | \
V[d,,,,a1] ('[c,,a/] a) ,d1 | ,,,,d/ a ,,,,a ,b ,,,,,a ,a |";french5tab
21;;12v;[sans titre];;;Mandora;Conc_4695;C;"[,,a,,a1] [,aa/] ([,aa/4] [,de]) [,de/] [,de/4] d '[c,,a/] V[d,,,,a/4] ,,a | \
a/4 ,b ,,,,d3/4 a/4 ,d/4 ,,a ,,,,c3/4 d/4 [,b,,a1] a/ ,d |";french5tab
22;;12v;[sans titre];;;Mandora;Conc_4696;3/4;",,,,,a/ ,,a ,a ,,a ,,,,,a ,a | [,,ca1] ,,c/ ,b ,a ,,c | \
,,,,,a/ ,,a ,a ,,a ,,,,,a ,a |";french5tab
23;;13r;[sans titre];;;Mandora;Conc_4697;3/4;"[,a,,,a1] ,a/ ,,c [,a,,,a1] | ,,,a/ ,,c ,b ,,c ,,,,,a ,a | \
[,,ca1] (,,,a/ ,,,c) ,,,a1 | '[,a,,,a1] ,a/ ,,c [,a,,,a1] |";french5tab
24;;13v;[sans titre];;;Mandora;Conc_4698;3/4;"[,d,,,a1] (a/ c) (d c) | [,de1] [,bc] [,aa] | \
V[,b,,a1] ,d/ a ,d ,b | '[,a,,,a2] [,,ca1] | \
,,,,,a/ ,a ,,,a ,,c ,,,,,a ,a |";french5tab
25;;13v;[sans titre];;;Mandora;Conc_4699;3/4;"[,,a,,a1] (,,a/ ,,c) ,a1 | [,,ca1] ,,c [,b,,a] | \
'[,a,,,a1] ,a/ ,,c ,a ,,a | [,,ca2] [,b,,a1] | \
'[,a,,,a1] ,a/ ,,c ,a ,,a | [,,ca3] :||:";french5tab
26;;14r;[sans titre];;;Mandora;Conc_4700;3/4;",,,a1 | ',,a1 ,,a/ ,,,e ,,a ,,,a | [,,ca1] ,,c/ ,,a ,,c ,,,a | \
,,,,,a/ ,a ,,,,a ,b ,,,,c ,d | [,,ca2] ,a1 |";french5tab
27;;14v;[sans titre];;;Mandora;Conc_4701;2/4;",,,a/ | '[,,a,,a/] [,aa] '[,a,,,a] (,,c/4 ,,a) | \
[,,ca/] [,bc] '[,b,,a] ,a/4 ,,c | \
([,a,,,a/4] ,b) ,d d ,d/ (,b/4 ,a) |";french5tab
28;;15r;[sans titre];;;Mandora;Conc_4702;C;"[,d,,c/] | ',a/ ,,a ',,c ,,a/4 ,,,e [,,a,,a1] y/ [,,ca] | \
,,,,,a/4 ,,a ,a ,,a ,,,,a ,,c ,b ,,c ,,,,c ,,a ,d ,,a";french5tab
29;;15v;[sans titre];;;Mandora;Conc_4703;3/4;",,,,,a/ ,a d ,a ,,,,,a d | '[c,,a1] c/ a ,d1 | \
[,d,,c1] a/ ,d [,b,,a] [,a,,,a] | [,,ca1] (,,c/ ,,a) ,,c1 |";french5tab
30;;15v;[sans titre];;;Mandora;Conc_4704;2/4;"[,a,,,a1] ,,,a/ ,,c | ,,,,,a/ a ,d ,b | \
[,a,,,a/] ,,c/4 ,,a ,,,e/ [,,a,,a] | [,,ca1] [,a,,,a] | \
[,b,,a/] (,b/4 ,a) [,b,,a1] |";french5tab
31;;16r;[sans titre];;;Mandora;Conc_4705;3/4;"[,a,,,a1] (,,c/ ,,a) [,,ca1] | '[,,a,,a2] [,,ca1] | \
'[,a,,,a1] (,,c/ ,,a) [,,ca1] | '[,,a,,a2] [,,ca1] | \
'[,a,,,a1] (,,c/ ,,a) [,bc1] | [,aa,,a2] [,,ca1] |";french5tab
32;;16v;[sans titre];;;Mandora;Conc_4819;C;",d/ a | V[d,,,,a1] d V[d,,,,a] [,d,a] | '[,a,,,a1] ,,c/ ,a ,,a1 [,,ca] | \
,,,,,a/ ,,a ,,,,a ,,a ,,,,c ,,a ([,b,,a] ,a) |";french5tab
33;;17r;[sans titre];;;Mandora;Conc_4788;3/4;"[,da,c2] [a,,,d1] | ,,c/ ,,a ,,,e ,,c ,,a1 | [,bc1] '[,a,,,a] ,,c | \
'[,a,,,a/] ,,c ,,a [,,ca] ,a ,b | [,d,,c2] [a,,,d1] |";french5tab
34;;17v;[sans titre];;;Mandora;Conc_4706;3/4;"[,,a,,a1] ,,a [,,ca] | '[,a,,,a/] ,,c (,,c ,,a) ,,a1 | \
[,aa,,a1] [,aa] [,bc] | [,de,,a/] [,bc] [,bc] [,aa] [,aa1] | \
[,de,,a1] [,de/] [,bc] [,aa1] |";french5tab
35;;18r;[sans titre];;;Mandora;Conc_4707;C;",,,a/ | '[,,a,,a/] ,a '[,a,,,a] (,,c/4 ,,a) [,,ca/] y ,,,a ,,,a | \
[,bc1] (,d/4 ,b) ,a ,,c [,a,,,a/] y ,,,,,a ,,,,,a |";french5tab
