Piece Nr;Key;Page nr;Name;Composer;Comment;Tuning;Concordances;TimeInz;Tab
;;;Many new concordances taken from Pietro Prosser's thesis (1996);;;;;;
;;;Parthia 1ma ex: B:;;;;;;
1a;B dur;4r;Adagio;;;Mandora;;3/4;"[,b,,d1] [,b,,d] [,b,,d] | [,b,,c1] [,b,,c] [,b,,a] | \
[,b,c1] [,b,c] [,b,d] | ,,,,,a/ (,d ,b ,a) [ab,,d1] :||: \
[d,,,d1] [d,,,d] [d,,,d] | [d,,,c1] [d,,,c] [d,,,a] |"
1b;B dur;4r;Variatio 1ma;;;Mandora;Conc_4790;3/4;",,,,d/ ,b ,,,,d ,b ,,,,d ,b | ,,,,c/ ,b ,,,,c ,b ,,,,a ,b | \
,,,c/ ,b ,,,c ,b ,,,d ,b |"
1c;B dur;4r;Vari[a]tio 2do;;;Mandora;Conc_4791;3/4;",,,,d/ ,b ,b ,b ,,,,d ,b | ,,,,c/ ,b ,b ,b ,,,,a ,b | \
,,,c/ ,b ,b ,b ,,,d ,b |"
1d;B dur;4v;Vari[a]tio 3tia;;;Mandora;;3/4;",,,,d/ ,b a ,b ,,,,d ,b | ,,,,c/ ,b a ,b ,,,,a ,b | \
,,,c/ ,b a ,b ,,,d ,b |"
1f;B dur;4v;Variatio 4ta;;;Mandora;;3/4;",,,,d1 [ab] [ab] | ,,,,c1 [ab] ,,,,a | ,,,c1 [ab] ,,,d | \
,,,,,a/ (,d ,b ,a) [ab,,d1] :||: ,,,,d1 [db] [db] | \
,,,,c1 [db] ,,,,a |"
1g;B dur;4v;Variatio 5ta;;;Mandora;;3/4;"(3,,,,d/ ,b d) (3,,,,d ,b d) (3,,,,d ,b d) | \
(3,,,,c/ ,b d) (3,,,,c ,b d) (3,,,,a ,b d) |"
1h;B dur;5r;Variatio 6ta;;;Mandora;;3/4;",,,,d/4 ,b a ,b ,,,,d ,b a ,b ,,,,d ,b a ,b | \
[ab,,c2] [ab,,a1] | [ab,c2] [ab,d1] | \
,,,,,a/ (,d ,b ,a) [ab,,d1] :||:"
2;B dur;5r;Harpeggio;;;Mandora;;C;"[ab,,d4] | [dd,,,a4] | [bd,,,a4] | [ba,,,a4] | [ab,,d4] | \
[ab,,a4] | [ac,,a4] | [ad,,a4] | [ac,,a4] |"
