PieceNr;Key;PageNr;Name;Composer;Comment;Tuning;Concordances;TimeInz;Tab
;;;;Elysabeth Romer's Lauten Buch;;;;;
1;;7r;Praeludium;;;OT;ConcR571;C;"[ccdeec3/2] c/ ,c ,,d ,,,e ,,,e | [ccdeec3/2] ,,,,,a/ [,c,,a] ,,a [,e,,c] [a,,,e] | \
,,d1 [c,,a] [ea,c] ,c | [f,,e1] ,,d [c,,a] ,,a |"
2;;7r;Praeludium;;;OT;ConcR1066;none;"[fda{,a}/4] d c a [c,,a] d f c [d,,c] c a ,d \
[a,,,d] c d a [c,,a] d c a
"
3;;7v;Intrada;;;OT;ConcR1252;C;"f1 [fdaa] d/ c a1 ,d [acd,a] | [,dda{,a}3/2] ,,,a/ a c [da,c1] [c,,a] [a,,,e] [,da,c] | \
[,cdca3/2] [f,a/] [h,,f1] [f{,a}/] \
[d,,,,a] [c,,,,c1] [a,,,,d/] ,d |"
4;;7v;Sans titre;;;OT;ConcR1007;C;"[,dda{,a}1] [afd,a] [cdda] [,da,c] | [acd,a1] [ccd,,c] [da,c,a] [cdda] | \
[acd,a2] {,a}/ a c ,d | [a,,,a/] d c a [c,,a] d c a |"
5;;8r;Sans titre;;;OT;ConcR571;C;"[ccdeec/] c ,c ,,d ,,,c ,,,c [ccdee] ,,,,e | \
[,c,,a1] ,,a [,e,,c] [a,,,e] | \
,,d/ [c,,a] [ea,c] ,c [f,,e] ,,d [c,,a] ,a [,h,ge] |"
6;;8v;Sans titre;;ff. 9r-25v vacuo / text;OT;;C;"[fdaa/] d [c,,a] a [dabc] c [a,,,d] d | \
[cdda/] a [,d,,c] c [abb,d] ,d [,b,,a] a | \
[,da,c/] ,b [,a,,,d] ,d"
7;;26r;Fantasia;;;OT;ConcR2671;C;"[ddef3/2] ,,f/ [dde] ,,,f [deg3/2] [ddf/] [deg] f [gd,f] ,f | \
[fg,d/] ,f [fd] ,,g [d,,c] ,,d [de1] |"
8;;26v;Fantasia;;;OT;;C;",,,,c1 ,,,,c/ ,,,,c1 [,a,c/] [,a,c] [,a,c] | \
[ca,a/] ,,,,c [ca,a] [ea,c] [fca] ,,,,,c [fcd,,c] ,,,,,c | \
[ea,,c/] c [ca,,c] ,,,,e"
9;;28r;Fantasia Emanuelis Adriani;;;OT;ConcR851;C;"f4 f2 c | d1 f ,d d c a | [cd2] [da] [ac] [cd] | \
[acd,a1] ,d ,c ,a [,cd2] [,da] |"
10;;29r;Tocata;;;OT;ConcR164;C;"[cdfec2] [cdfec] | [cdfec/] c ,d a c ,a ,,c ,,e | \
,a/ ,,,e ,,,a ,,,c ,,,e ,,,,c ,,,,,e ,,,,a |"
11;;30v;La Bataglia di Pavia;;ff. 32v-54v vacuo / text;OT;;C;"[cdd{,a}1] c/ c c1 [fcd,a] | [cdd{,a}1] a/ c ,d1 ,,d | \
[,,aa{,a}/] ,,a ,,a ,,a1 [,,d,a/] ,,b | \
[,,aa{,a}1] ,,,c/ ,,a ,,,a ,,,,a"
12;;55r;Vilanella / Bey mir mein Herz;;;OT;ConcR827;C;"[,dda{,a}1] [,ab,,d/] [acd,a] [,dda{,a}2] | \
[cdda1] [cdda] [f,,a] [da,c] [cdda] [acd,a/] ,d ,c ,a | \
[acd,a1] [,da,c] [,dba,d] [,da,c] [acd,a] ,a/ ,c [,dda1] :||:"
13;;55v;Soll ich den in lieb so;;;OT;Conc_4428;none;"[caa,c/] [caa,c] [caa,c] [caa,c] [bd,f,d] [fddf] [da,c] \
[caa,c] [caa,c] [,da,c] [,ca,,c] [,aba,d] ,,,,,a \
[cce,,c] ,f [cef,c] :||:"
14;;55v;Von frewden springt;;;OT;;none;"[cdda/] [cdda] [cdda] d c [dab,,d] [cdda] [aabc] [,aabc] \
[ha,f] [ha,f] [ha,f] [fd,a] d [c,,a] \
[,da,c] ,,,,a ,c [,dda{,a}] :||:"
15;;55v;Ach hertziges Hertz;;;OT;ConcR1004;C;"z1 [abd,a] [abd,a/] ,,,,,d ,,,,a ,,,,c | [abb,d1] [,dba,d] | \
[,bdca1] [,dba,d/] [abb,d3/4] ,,,,c/4 [,b,,a/] [,acc1] | \
[,acc1] [,bd/] [,dff] |"
16;;56r;Sans titre;;f. 56v vacuo - ff.57r/v missing;OT;ConcR1004;C|;"[cdf,c1] [cdf,c/] [cdf,c] | [cdda1] [acd,a/] [,da,c1] [acd,a/] [cdda3/4] a/4 | \
[,da,c1] [,cee,c] :||: [,cee,c/] [,da,c] | \
[acd,a1] [cdda3/4] d/4 [cdda/] |"
17;;58r;Venus hat mich gar …;;;OT;ConcR3249;C|;"[caa,c3/4] a/4 [caa,c/] [ha] | [fd,a3/4] d/4 [cdda{,a}1] | \
[acd,a/] [,da,c] [acd,a/4] ,c ,d a | [cdda{,a}1] z1 | [ccee/] [ea,c] [f,,c1] | \
[ha,,h1] [fe,,,c] |"
18;;58r;So scheid ich nun mit schmertz;;;OT;ConcR1008;none;"[,aabc/] [,aabc] [,aabc] [,aabc] [,bdca] [,aabc] ,c \
[,da,c] [,da,c] [,da,c] [,bdca] [,aabc] [,aabc] ,c \
[,da,c] [,da,c] [,da,c] [acd,a] [cdda] d"
19;;58v;Ach amor wie gantz wiederwertig sein [deine Sachen];;;OT;ConcR1257;C|;"[abd,a/] [aac,,a] [abd,a] | [,da,c1] [ab,,d] | \
[,da,c/] [,aba,d] [abd,a] ,a ,,d [aac,,a] :||: \
[dabc] c [ab,,d] c [dabc] [ab,,d] [,da,c] [,da,c] \
[abd,a] ,a ,,d [aac,,a] :||:"
20;;58v;Nun bin ich ein mahl frey;;;OT;ConcR1528;3;"[,bd,a1] [,abc] a | [,dff1] [,bd] [,acc] | [,bd,a1] [,abc] a/ ,,,c | \
[,dff1] [,bd] [,acc] | [,bdd1] ,a/ ,b ,,,a ,b ,a ,,d |"
21;;59r;Ohne dich muss ich;;;OT;ConcR2180;C|;"[,dff1] [ab,,d/] [c,da] | [da,c3/4] [c,da/4] [abb,d/] [,d,,c] | \
[,bb,d/4] ,,,a [,abc/] [,,dff/4] ,,,f ,,,e/ | \
[,aba,d/] [abb,d] [abb] [,d,,c] |"
22;;59v;Es ist auff erden kein;;;OT;Conc_373;3;"[,dda1] | [,dda3/2] ,c/ [,dda1] | [,cdca3/2] a/ [bbd,,b1] | \
[abb,d1] [aba] [,ddef] | [,cdca3/2] ,d/ ,c ,a | \
[,,dca1] ,a [,cdca] |"
23;;59v;Nun hab ich doch ain mahl;;ff. 60r/v text;OT;ConcR2186;C|;"[,bd,a3/4] ,d/4 [,bd,a] ,,,,c ,,,,d ,,,a | \
[,acc3/4] ,,d/4 ,,c/ [,,bcd] | [,,def/] [,abc] [,bdd] [,dda] | \
[,ace/] ,,d [,acc3/2] :||:"
24;;61r;Auf holdseligs bildt;;;OT;;C;"[dbb,d2] [abb,d] [abb,d1] | [aba,d2] [bbd,,b] [abb,d] | \
z2 [abb,d] [,dba,d3] [,dba,d1] | [,dba,d2] [,bdca] | \
[,acc,a2] | ,,c2 [da,c] | [caa,c3] [abb,d1] [fd,ca3] |"
25;;61r;Wen ich den gantz tag;;ff. 61v-62r text;OT;ConcR2187;C|;"[,abc/] ,b [,abc] [,,ab] ,a | [,abc/] [,bd,a] [,abc] | \
[ab,,d/] [ab,,d] [,df,a] | [,bdd/] [,dde] [,acc] :||: \
[ab,,d/] [ab,,d] [ab,,d] [bbdd] [bbdd] [,dff/4] ,,d ,,f |"
26;;62v;Wann ich gedenck;;ff. 63r/v vacuo/text - ff. 64r-64v missing;OT;ConcR3221;C;"[abd2] [,dff] | [,dff1] [,aba] [,bdd] [,dfa] | \
[ab,,d1] [da,c/] ,a [b,,a1] [a,d,d] | [,db,c2] [,bd,a1] ,b | \
[ab,,d1] ,,,a/ [,a,,c] ,,,,e1 [,ddf]"
27;;65r;Von noten ist das ichs;;;OT;ConcR611;C;"[,dff1] [,dff/] [ab,,d] [,dff1] [aabc] [,bdd] [,dff/] [,,def/4] ,,,f ,,,e1 [,ab,,d] :||: \
[,dff/] [d,,c] c/4 a [,cd,a/] ,d/4 ,c [cdda/]"
28;;65r;Ohn dich muss ich mich;;;OT;ConcR2180;C;"[acd2] [cdda1] [effc] | [fc,c3/2] [ea,c/] [cdda1] [a,d,e] | \
[,dda1] [,cdc] [,adc] ,,c | [,cd,a1] [cdda] ,,d [a,d,e] | \
[,dda1] [,cdc] [,acc,] ,,d/ ,,c | [,cdca3] :||:"
29;;65v;Ach wehe mir ist durchsschossen;;;OT;ConcR3240;C;"[acd1] [acd] [cd,a/] [cd,a1] [a,c,e/] [cd,a1] [ac,,a/] [a,d] \
[d,,c1] a/ ,,a [a,b] [,df] [add] [acd] [cd,a1] :||:"
30;;65v;Endt hatt der streitt;;;OT;ConcR2189;C|;"[,abc/] [,bdd] [,dfa] | [ab,,d1] [ab,,d/] [,dff3/4] ,d/4 [,bd] [,a,c] ,,d/ ,,c | \
[,cd,a3/2] :||: [abd/] | [abd/] [abd] [abd1] | \
[bd,a/] [da,c3/4] d/4 [ca,a/] |"
31;;66r;Wie schon bluet uns der Meien;;ff. 66v-67v vacuo/text;OT;ConcR2027;C;"[fcd,a1] [cdda] [cdda3/2] [aac/] [cdda] [cdda] [dfb,d1] \
[cdda] [fcd,a] [aac] [eacc/] [fcd,a] [fdd,f] [eacc] \
[fcd,a1] [,dfac] [,def,d/] [,ddef] [,dff,d] [,dff,d] [,ddef1] |"
32;;68r;Mit lieb ein Knaben zart;;ff. 68v-101r vacuo/text/missing;OT;;C;"[bbd,,b/] d [fdd,,b] [abb,d] [bbd,,b] d [,bd,,c] [abb,d] ,b [dbb,d] ,b \
[abb,d] [,db,ad] [,dba,d] [abb,d] ,a ,b ,d [abb,d] [abd,a] |"
33;;101v;Viver lietto voglio;;ff.102r/v missing;OT;ConcR1060;C|;"[cdd{,a}/] [cdd{,a}] [cdd{,a}] [,da,c] | \
[fcd,a1] [cdda/] [ddff] [cdda1] [ddff/] [fdd,a] | \
[hd,f,d1] f/ [ddf,,d] [hd,f,d1] f/ [ddf,,d] | \
,,g/4 ,,f ,,d/ [if,h,f]"
34;;103r;Pavana M. H. L;;;OT;;C;"[cdda1] [c,,a/] a ,d/4 a c d [f,,e1] | \
[fdaa1] [ef,c] ,f c/ e | [fcd,a1] [,cdca] | \
[acd,a/] ,d a c [a,d,e1] [acd,a/] ,,,c [,ea,c1] |"
35;;103v;Pavana Lachrijmae;;;OT;Conc_4415;C|;"[aab,,a/] ,,,c [,da/4] ,b | [,ab,,a/] ,,d [da1] | \
[ab,,d/4] f d/ [c,d] a | [,ea,c1] | [aab,,a1] ,a/ ,,,,,a | \
,,,,,d/ [,ab] ,d ,,,,,d |"
36;;104r;Pavana anglica;;Orlando sleepeth;OT;ConcR29;C|;"[aac,,a3/2] c/ [ea,c1] [caa,c] | [aac,,a1] h/ f [ea,c1] [caa,c] | \
[aac,,a3/4] c/4 [ea,c/] c/4 a | \
[,ea,c/] [aa,,,e] [aa,a] [,e,,c] |"
