PieceNr;Key;PageNr;Name;Composer;Comment;Tuning;Concordances;TimeInz;Tab
;;1r;Accords;;;;;;
1;D dur;1v;Preludium;;;;;C;",,,,a/4 ,,a ,a ,,a ,,,,a ,,a ,a ,,a {,,,a}/4 ,a a ,a {,,,a} \
,a a ,a | {,,,a}/4 ,c c ,c {,,,a} ,c c ,c"
2;d moll;2v;Menuet;;;;;3;"[,a,,a/] ,,a ,a ,,a [,a,,a] ,,a | [,c,,,e/] ,,a ,c ,,a [,c,,,a] \
,,a | [,d{,,,a}/] ,,a ,d ,,a [,d{,,,a}] ,,a | ,,,,,a/ (,c ,a) \
(,,e ,,c ,,a) | "
3;d moll;3r;Les Folies d'Espagne;;Segue Variatio;;Conc_525;3;"[,a{,,,a}1] ,a ([,a{,,,a}/] ,c) | [,,e,,a1] ,,e [,,'e,,a] | \
[,a,,a1] ,a [,a{,,,a}/] a | [,'c{4}1] ,c [,c{4}/2] c | \
[,d{,a}1] ,d ,d/ c | [,'c{4}1] ,c [,c{4}/] a | "
4;d moll;3v;Liuto Primo Variat. 1a;;;;;3;"[,d,,a/] a ,d a [,d,,a] a | [,c,,,a/] ,c ,c ,c [,c,,,a] ,c | \
[a,,,a/] a a a [a,,,a] a | [c{4}/] c c c [c{4}] c |"
5;d moll;4r;Liuto 2do Var. 1a;;on ff. 4r, 5r;;;3;"[,a,,a/] ,a ,a ,a [,a,,a] ,a | [,,e,,a/] ,,e ,,e ,,e [,,e,,a] \
,,e | [,a,,a/] ,a ,a ,a [,a,,a] ,a | [,'c{4}/] ,c ,c ,c \
[,c{4}] ,c |"
6;d moll;4v;Liuto primo Var: 2da;;;;;3;"[a,,,a/] ,a a ,a [a,,,a] ,a | [,c,,,a/] ,,e ,c ,,e [,c,,,a] \
,,e | [a{,,,a}/] ,a a ,a [a{,,,a}] ,a | [c{4}/] ,c c ,c \
[c{4}] ,c |"
7;d moll;;Liuto 2do Var. 2da;;;;;3;"[,a,,a/] ,,a ,a ,,a [,a,,a] ,,a | [,,e,,a/] ,,,e ,,e ,,,e \
[,,e,,a] ,,,e | [,a{,,,a}/] ,,a ,a ,,a [,a{,,,a}] ,,a | \
[,c{4}/] ,,d ,c ,,d [,c{4}] ,,d |"
8;d moll;5v;Menuet de Lauffensteiner;Lauffensteiner;;;Conc_1421;3;"k1 ,h ,,i | ,,,k1 ,,,,h ,,,,,i | {,,,a}/ ,,a ,a a ,,,,,e c | \
['a,,,a1] ,c/ a [,a{,,,a}1] | [f{a}/] e ,f e V[f{a}1] | "
9;d moll;6r;Gigue;;;;;6/8;",,a/ | [,a,,a/] ,,a ,a [,a,,a] ,,a ,a | [,c,,,e/] ,,a ,c \
[,c,,,a] ,,a ,c | [a{,,,a}/] c a [,c{a}] a ,a | [,,e,,a/] \
,a ,c ,,a1 ,,d/ | "
