PieceNr;Key;PageNr;Name;Composer;Comment;Tuning;Concordances;TimeInz;Tab
1;;1;Passemezo Giouanni Baptista Besardi in F.A.UT. p b molle;;;OT;ConcR1436;C;",,d1 ,d a | [bdd,,,a2] ,,,a1 f ,,,a d/ b a b d a | \
[bdda2] ,,,,,,a1 f ,,,a d/ b a1 ,d |"
2;;2;Chorea Anglica;;;OT;ConcR52;C;"[,aa,c3/2] ,,d/ ,a ,d ,c ,a | [,cee3/2] ,a/ ,c1 [cdda] | \
[a,,,e1] [,da,c] [,cd,a] [,a,,,d] | [,cee,c2] ,,,e | \
[cdda1] a/ c a1 ,,,,a |"
3;;2;Pa: Anglica;;;OT;ConcR44;C;"[,dda,,a1] ,c/ ,d [acd,a1] [cdda] | \
[dab,,d1] [c,,a/] a [,da,c1] [a,,,e] | \
[cdda1] [a,,,e] [,da,c] [a,,,,e/] ,d | \
[acd,a3/2] ,d/ a1 :||:"
4;;2;Praeludium;;;OT;ConcR3385;C;"a2 a1 ,d | ,b1 ,,d ,a ,,c | ,,d1 ,,,c ,b [,a,a] | \
[,,,cd1] ,,d [,,d,c] ,,c | [,,d,a/] ,,,,c ,a ,,b"
5;;3;[Gaillarde];;A Cordt auallée;OT;;none;"[iffff2] [haaaa] [fhha] [d,,f] f1 d2 [cd,,e] [a,,,c1] c \
[d,,c] ,c [cdca2] [,,af] ,,c ,,a ,,,e [,,fc] ,,e [,,ca] ,,e"
6;;3;sans titre;;;OT;ConcR71;3;"[aab,,a1] [aab] [aab,,a] | \
[aab,,a/] ,,a ,,b ,,d [aab,,a1] ,,a ,,b ,,d \
[aab,,a] [,dba,d] [,,dca] ,a/ ,b [,a,a] ,,d1 |"
7;;4;Intrada;;;OT;ConcR161;none;"f/ c ,d ,,d ,,a ,,,a ,,,,a ,,,,,c ,,,,,,a \
f c d a c ,d a ,c ,d ,a ,c"
8;;4;D D'Angleterre;;The Lord Zouche's Masque;OT;ConcR289;C;"[,,da,,a1] [,daa,,a] [,,aa,,a3/2] ,,b/ [,,da,,a1] ,a/ ,c | \
[,daa,,a1] ,,d [,aaa,,a] ,,d [,aaa,,a] ,,d [,,aa,,a/] \
,,,c ,,a ,,b [,,da,,a2] |"
9;;5;Dancket dem Herrn;;;OT;Conc_379 - ConcM51;C;"[aabc2] [aabc] | [,ea,c2] [aabc] [cdda1] | \
[dab,,d2] [dab,,d1] [cdda2] [aabc1] [,ea,c2] | [,ea,c4] :||:"
10;;5;List und Neidt;;;OT;ConcR1646;C;"[,,d,a1] ,,d [acdca2] | [,daa,,a3/2] a/ [cdda2] | \
[,da,c1] ,d [da,c] [cdda] | [acdca1] ,c [,daa2] :||:"
11;;5;Sarabanda;;p. 6 empty;OT;;3;"[daaa1] [daaa] [daa] | [c,,,a3/2] d/ c1 | \
[aba1] [aba] [aba] ,,,,,b/ ,d ,,a ,b | \
[,bc,,d1] [,bc] [,bc] ||"
12;;7;An Wasserflussen Babylon;;;OT;ConcR236 - ConcM153;C;"[fdaa2] [ha,f1] [fdaa] | [dda2] [fdd,a] | \
[da,c1] [da,c,a] [caabc2] | [aab,,a2] [caa,c1] [da,c] | \
[fcd,a3/2] [da,c/] [cdda1] [dab,,d] | \
[add,a1] ,c [,daa] ,,,,,,a :||:"
13;;7;Ein feste Burgk;;;OT;ConcR1509 - ConcM64;C;"[fcd,a1] | [fcd,a] [fcd,a] | \
[a,c,e] [ccde1] [ea,c] [fcd,a2] [ea,c] | \
[caa,c] ,e [aacc,a] | [fc,ca] | [ea,c] [ccde] | \
[a,c,e] [ccd,,c1] [,dba,d2] |"
14;;7;Joseph lieber Joseph mein;;;OT;Conc_1667;3;"[fdaa4] [c,,a2] | [,daa,,a3] a1 c d | [fdaa4] [ha,f2] | \
[fdaa2] z4 | [f,,a1] d c a c a |"
15;;8;Galliarda Gregorij;;unfinished;OT;ConcR1256;3;"[aabc,a1] c d a [caa,c] {,a} | \
[aabc,a1] ,d/ ,c ,a ,,d ,,b ,,a ,,,c {12}1 | \
[ddf,,d3/2] f/ h1 d [fdaa] {13} |"
