PieceNr;Key;PageNr;Name;Composer;Comment;Tuning;Concordances;TimeInz;Tab;TabNotation
;;;Incipits prepared with the help of Sarge Gerbode's transcriptions on his website;;;;;;;
1;;I.1r;Praeludium;;1;OT;;C;"f2 c1 d | f1 ,d ,a ,c | ,d1 [c,d] [a,b] ,,,c | \
[,da1] ,,,a [add] ,c | [,daa1] l h k |";germantab
2;;I.1v;Praeludium 2;;2;OT;;C;",a1 ,c ,d ,,,,,c | ,,,,,e1 ,,,,b ,,,,c ,c | ,d1 a c ,,,,e | \
,,,a1 ,,,c ,,,e f | [,da,c1] [c,a] [a,b] [,da] |";germantab
3;;I.1v;Aliud 3;;2;OT;;C;"[fdaa1] {a} [fdaa2] | [fdaa/] d c a c ,d a ,c | \
,d/ {a} ,,,,,c ,,,,,d ,,,,a ,d ,c ,a |";germantab
4;;I.2r;(Finale);;3;OT;;C;[ha,g,a3] f/ e | c/ ,f ,e ,c ,,f ,,d ,,c ,,a | H,,c ||;germantab
5;;I.2r;Praeludium 4;;3;OT;;C;"[aabc,a2] [caabc] | [da,c2] [caab] | [aabc3/2] ,,,a/ [a,b,d1] ,,,,c | \
,,,,a1 a/ ,d ,b1 [,a,,,e] | \
[,,d,a/] ,a ,b ,d a ,,,,c ,,,,d ,,,a |";germantab
6;;I.2v;Praeludium 5;;4;OT;ConcR3382;C;",,,,c/ ,c ,d a c ,,,,e ,,,a ,,,c | ,,,e/ e f ,,c ,,d e c ,,c | \
,,a/ a ,d ,,,c";germantab
7;;I.3r;Aliud 6;;5;OT;ConcR1066;C;"[fdaa/] d c a [c,,a] d f c | [d,,c/] c a ,d [a,,,d] c d a | \
[c,,a/] d c a";germantab
8;;I.3r;Exercitium;;5;OT;;C;h h e h f f c f | e/ e a e c c ,e c | a/ a ,c a;germantab
9;;I.3v;Praeludium 7;;6;OT;ConcR2127;C;"h2 h1 d | f1 h i h/ f | h1 ,a/ f [da1] ,,b | \
[c,d1] ,a [ab] ,a/ ,,d |";germantab
10;;I.3v;Praeludium 8;;6;OT;;C;"[aabc,a3/2] c/ [da,c,a2] | [caab/] d [cabc] a [aabc1] [abd,a] | \
[,da,c/] ,c [,aba,d1] [,bdca] [,aa,c] | \
[,aa,d/] ,,d/4 ,,b ,,d ,,a";germantab
11;;I.4r;Exercitium;;7;OT;;C;"c1 e f c | e1 a c ,e | a1 ,c ,e ,a | ,c1 ,,d ,a ,,c | \
,,d1 ,,a ,,c ,,,c |";germantab
12;;I.4v;Praeludium 9;;8;OT;;C;"[dabc1] [abb,d] [cdda] [,da,c] | [abb,d1] [,aba,d] [,bdca] [,abc,a] | \
[,abc,a/] ,,,,,c ,,,,,d ,,,,a [,da,c] ,c ,d a | \
[cdda/] a c d";germantab
13;;I.4v;R.;;8;OT;;C;"h1 e ,c/ a ,,d f | ,d1 c ,a/ e ,c a | ,,d1 c ,,f/ ,e ,,c a | \
,,d3/2 [ac/] ,a/4 ,c ,a ,c";germantab
14;;I.5r;Praeludium 10;;9;OT;;C;"[aabc1] [a,b,d] [abd,a] [aadc/] ,,c | [,bd,a/] ,d a ,,,,c ,,,,d ,,,a [,b,c] ,,a | \
[,ab/] ,b ,d ,,,,a ,,,,c ,,,,d [,a,a] ,,,c |";germantab
15;;I.5r;Ex G sol re ut Bmole Finale uel coloratura;;9;OT;;C;[aabcca2] | ,a/4 ,c ,e a c a ,e ,c ,a ,c ,e a c e f e |;germantab
16;;I.5r;R.;;9;OT;;C;"[,efec/4] ,a ,c ,e a c e f e c a ,e ,c ,e | \
a/ c a/4 c ,e ,c";germantab
17;;I.5v;Finale ex C sol fa ut;;10;OT;;C;"[acdca3/2] d/4 c a ,d | ,c/4 ,a ,d ,c ,a ,c ,d ,c \
,a ,,d ,,c ,,a ,,c ,,d ,a ,c |";germantab
18;;I.5v;Finale;;10;OT;;C;",,d/4 ,a ,b ,a ,b ,a ,,d ,a ,b a ,b ,a ,,d ,,b ,,d ,,b | \
,,d/4 ,,b ,,a ,,,c";germantab
19;;I.5v;Finale in F fa ut;;10;OT;;C;[,daa,,a2] ,a/4 ,c ,d a c ,d a c | d/4 a c a ,d ,b ,a ,b;germantab
20;;I.6r;Praeludium ex f fa ut 11;;11;OT;;C;"[,da,,,a2] [a,d,e1] [cdda] | [dab,,d1] [cdda] [acd,a/] ,d ,a ,c | \
[,da,,,a/] a c d [cdda] ,d a c | [,cd,a/] ,a ,c ,d";germantab
21;;I.6r;R.;;11;OT;;C;"[ea,c3/2] c/ a | ,e/ ,c ,a ,,d ,,c ,,a ,,,c/4 ,,,a ,,,,e ,,,,c | \
,,,,a/4 ,,,,e ,,,a ,,,c";germantab
22;;I.6v;Finale;;12;OT;;C;,b/4 ,a ,b ,a ,b ,a ,,d ,,b ,,d ,,b ,,a ,,,c | [,abc4] ||;germantab
23;;I.6v;Finale in G;;12;OT;;C;"[aab,,a4] | ,a/4 ,c ,e a c e f e c a ,d ,c ,a ,c ,d ,c | \
,a/4 ,,d ,,b ,a";germantab
24;;I.6v;Praeludium ex G sol ut;;12;OT;;C;"[aabc/] c d ,,,,d ,,,a a c ,,,,c | ,,,,d/ ,d a ,,,,c ,,,,c ,b ,d ,,,,,d | \
,,,,a/ ,a ,b ,,,,,c";germantab
25;;I.7r;Finale;;13;OT;;C;"[,accca1] ,,,,,a/4 ,,,,,c ,,,,,d ,,,,,a ,,,,,c ,,,,,d ,,,,a ,,,,,c ,,,,,d ,,,,a ,,,,c ,,,,,d | \
,,,,a/4 ,,,,,c ,,,,,d ,,,,,a";germantab
26;;I.7v;Finale;;14;OT;;C;[aac,,a3/2] ,a/4 ,c ,e a c ,e a c e a | c/4 e f e c a ,e ,c;germantab
27;;I.7v;(Finale);;14;OT;;C|;"[bd,a/4] ,,,,c ,,,,d ,,,a ,,,c ,,,d ,,,e ,,,d ,,,c ,,,a ,,,,d ,,,a ,,,c ,,,a ,,,,d ,,,,c | \
,,,,a/4 ,,,,c ,,,,d ,,,,a";germantab
28;;I.7v;Praeludium 13;;14;OT;;C;"[cdda2] [aacc/] c/4 a [,df,c/] ,f/4 ,d | [,cee,c/] ,a [,aba,d1] [,abc,a/] ,,,a [,cef,e] ,,e | \
[,aa,c/] ,d ,,,,,d ,a ,,,,a d c a |";germantab
29;;I.8r;Exercitium;;15;OT;ConcR783;C;"h1 ,a/ ,c ,d a c d | f1 ,,d/ ,a ,b ,d a c | \
d1 ,,b/ ,,d ,a ,b ,d a |";germantab
30;;I.8r;Aliud;;15;OT;;C;",,,,,a/4 ,,a ,,b ,,,c ,,a ,,b ,,d ,,a ,,b ,,d ,a ,,b ,,d ,a ,b ,,d | \
,a/4 ,b ,d ,a";germantab
31;;I.8v;Praeludium 14;;16;OT;;C|;"[aacc,a2] | [,cdca1] [,cdca] | [ccee,c2] | [,efec1] [,efec] | \
[ef,,,e1] [eghge] | [ghhe1] [ha,g] | [effc1] [fc,ca] | \
[,efec1] [ea,c,e/] a | [a,d,e1] [acd/] ,,,,,e |";germantab
32;;I.9r;Clausola;;17;OT;;C;"[fdda1] [cdda/] [cdda/4] d [fcd,,c/] ,,,,,d [acd,a] c | \
[da,c,a/] ,,,,,c [,dff,d] a [cdd,,,a] ,,,,a [,cde,c] ,d | \
[acd,e/] ,,,a [,abc] ,c";germantab
33;;I.9r;Finale;;17;OT;;C;h/ f/4 e c e f e c a ,e ,c ,a ,c ,e a | c/4 e f c;germantab
34;;I.9r;Finale;;17;OT;;C;"[aacc,a1] h/4 e f h e a c ,e a ,c ,e ,a | \
,c/4 ,,d ,a ,,c ,,d ,,a ,,c ,,,c";germantab
35;;I.9v;Coloratura;;18;OT;;3;"[acd,a/] f [,dda] c [,da,c] h | ,,,c/ e ,,,,e a ,,,,a f | \
,,,a/ c ,,,,c ,d ,,,,,d ,a |";germantab
36;;I.9v;Praeludium Italicum 15;;18;OT;;C;"a/4 c | d/4 c a ,d ,c ,a ,,d ,,b \
,,a ,,,c ,,,a ,,,,d ,,,,c ,,,,a ,,,,,d ,,,,,c |";germantab
37;;I.9v;Finale;;18;OT;;C;[caa,c1] ,a/ ,c ,e a c e | f/ e c a c a ,d ,c | ,a/ ,c ,d ,a;germantab
