PieceNr;Key;PageNr;Name;Composer;Comment;Tuning;Concordances;TimeInz;Tab
;;;Liuto Solo;;;;;;
1;F dur;3;Fantasie;Blohm;;;Conc_782;2/4;"{,a}/4 ,,,a ,,a ,,,a ""pia""{,a} ,,,a ,,a ,,,a | \
""for""{,a}/4 ,,,c ,,b ,,,c {,a} ,,,c ,,b ,,,c | \
{,,a}/ ,,,c ,,b ,,,c {,,a} ,,,c ,,b ,,,c | "
2;F dur;3;A Tempo Giusto;Blohm;;;Conc_783;2/4;"[,,d{,a}/] (,,a/4 ,,b) [,,d,,a/] [a{,a}] | [,'c{4}/] (,a/4 \
,c) [,,#d1] | [,,,,,#b/] ,a ,,,,,a/4 ,,d {a} ,,b | \
[,,'a{,a}/] ,,,c/4 ,,a [,,,'a1] :| "
3;F dur;4;Menuet;Blohm;;;Conc_786;3/4;"[a{,a}1] ,,d ([,,d{,,a}/] ,,b) | [,,'a{,a}2] [,,b{a}1] | \
,,,,,a/ ,,d [,a{a}] ,c [a{,a}] c | [,'c{4}2] [,d{,,,a}1] | \
[c{,,a}1] (,,d/ ,,c) V,,d1 | "
4;F dur;4;Polonoise;Blohm;;;Conc_784;3/4;"[,,,a{,a}/] ,,a [,,d{,a}1] [,,d{,a}] | [,a,,,b/] a/4 ,a \
[a,,,,b/] ,a [,,d,,a1] | [,a,,,b1] [c{a}] ([,d{4}/4] ,c) \
(,a ,c) | [a{,a}/] a/4 ,c [aVd1] {,a} :| "
5;F dur;5;Pastorale;Blohm;;;Conc_785;2/4;"[,,d{,a}/] [,,d{a}] [,,d,,a] ([,a{a}/4] ,c) | [a{,a}/] \
,,,a [,,,a{,a}1] | [,,,c{,,a}/] ,,a ([,,d{4}/4] ,,b) ,,a \
,,,c | ([,,b{,,a}/4] ,,a) ,,,c ,,a [,,,'a1] | "
6;F dur;6;Minuett;;;;;3/4;"[,,d{,a}1] ,a/ ,c a c | [,'c{4}1] (,a/ ,c) [,,d,,a1] | \
,,,,,b/ ,a ,,,,,a ,,d {a} ,,b | [,,'a{,a}1] ,,,c/ ,,a ,,,a1 | "
7;F dur;6;Presto;Blohm;;;Conc_787;6/8;"a/ | ([e{,a}/4] c a) (,c ,a) ,,d | ([,,b{,a}/] ,,a) ,,,c \
,,,a (,,a ,,d) | [,,,c{,,a}/] (,,a ,,b) [,,a{,a}] (,,,c ,,,a) | "
8;d moll;8;Air gracieux;;;;Conc_792;3/4;"[ed{,,,a}1] ,a [,,e{,,a}] | [,aVf{,a}1] ,,a ,a/ ,,d | \
V[,,b{a}1] {,a} [,,b{,,a}] | [,,b{,a}1] ,,a (3a/ c e) | \
[ea{5}1] 'c a | ([,d{4}/] ,c) ,a ,,d {6} [a,d] | "
9;d moll;8;Allegro;S.L.Weiss?;;;Conc_789;3/4;"e/ (e c) | ([,d,,a/] ,c) ,a a ([,c{a}] ,a) | ,,,,,a/ ,,e \
,,,e ,a ,c {a} | {,a}/ ,a {a} ,c ([,,f,,a] ,,e) | 
"
10;d moll;9;Bourée;;;;Conc_791;C;"e1 | [,a{,,,a}1] ,,e ,a [,,e{,,a}] | [,a{,a}1] ,,e ,a \
(3,,a/ ,,b ,,d) | [,,'b{a}1] {,a} {,,a} ,,d | [,,'a{,a}1] \
,,,c/ ,,a ,,,a1 (3a/ c e) | [c{,,a}1] ,a ,,e c | "
11;d moll;10;Minuetto alternativ;;;;;3/4;"[,aaa{,,,a}1] ,,a/ ,,,c ,,a ,,,c | [,,,'a{,,,a}1] ,,,,c/ \
,,,a ,,,,a1 | [,aa{,a}1] [,c{a}/] a (,c ,a) | [,,e,,a1] \
(,,c/ ,,e) ,,a1 | [,aa{,a}1] (3[,a{a}/] ,c ,d) [,'c,,,a1] | "
12;F dur;11;Polonoise;;;;;3/4;"[aVd{,a}1] [,,d,,a/] (,,b/4 ,,a) [,,'b{a}/] ,,a/4 ,,,c | \
{,a}/ [ad] ,,,,,a/4 ,,d (,,b ,,a) {a} (,,b ,,a) ,,,c | \
,,,,,a/4 a ,,d a"
13;d moll;11;Presto;;;;Conc_793;6/8;",,a/ | ([,a{,,,a}/] ,c) a [,c{a}] a ,a | [,,e,,a/] ,a ,c \
,,a1 ,a/ | {a}/ ,,b {,a} ([,,d{,,a}] ,,b) ,,d | [,,a{,a}/] \
,,,c ,,a ,,,a1 ,,a/ | "
14;F dur;12;Angenehm;;;;Conc_551;2/4;"[,,(a(a{,a}/] [,,d)e)] [,,bc{,a}] [,ab] | [,,de{,a}/] \
a [,,aa{,a}] [,,de] | [,,#de{4}1] (3[,,bc{4}/] ,,a ,,b) | \
[,,(b(c{a}/] [,,a)a)] {,a} [a,a] | [a,b{a}/] ,c ([,c,a,b] ,a) | "
15;F dur;13;In der Bewegung einer Menuet;;;;Conc_552;3/4;"[aVd{,a}1] (,,a/ ,,d) [,,b{a}] ,a | [,a,,,a1] ,,d [,,,a{4}] | \
[,,,,a{5}1] ,a [,,b{a}/] ,,,c | [,,,a{4}1] ,,,,c [,,,a{,a}] | \
[,,,c{,,a}1] (,,a/ ,,d) [,,c{,,,a}] ,a | "
16;F dur;13;Hinckend, in hurtiger Bewegung;;;;Conc_553;2/4;",,,,a/ | ,,,a/ ,,a {,a} ,,,,a | ,,,,c/ ,,,c ,,,,,a ,,,,c | \
([,,,,d{,,,a}/] ,,,,a) [,,a{5}] ,,,d | [,,aVe,a1] ,,,,,a/ \
,,a | (,,a/ ,,d {,,,a} ,,a | "
17;F dur;14;Anmuthig;;;;Conc_554;3/8;"[,,de{,a}/] [,,ff] [,,de] | [,,,ff/] [,,de] [,,aa] | \
[,,aa{4}/] [,,bc] [,,,cc{4}] | [,,aa{,a}/4] (,,,c ,,,a) \
{,a} (,,,,,a ,,,,,d) | [,,aa{,a}/] ,,,c [,,d{4}] | \
([,,d,a{a}/] ,,c) [,cd{a}] | "
18;F dur;14;Allegro;;;;Conc_555;C;",,a/ | ,a/ [a{,,,a}] [,,a,,a] [,,ee{a}] | [,aa{,a}1] \
[,ca,,e] | [a,a,a/] ,a ,,a [,,e{a}] | [,aa{,a}1] \
[a,a{,,,a}] | [,ca{4}/] ,,a [,,#c{,,,a}] {,,a} | [,,a,,a1] \
{6}/ :| "
19;F dur;14;Allegretto;;;;Conc_556;2/4;",,,a/ | [,,'a{,a}/] (,,,c/4 ,,,a) [,,d{,a}/] [a{,a}] | \
[,'a{,a}/] [,,d{,a}/4] {a} ,,,,,a/ a | ['a{5}/4] ,a ,a ,,d \
[,,'d{4}/] ,,b | [,,#b{,a}/] ,,a {5}/4 {4} {,,,a} {,,a} | "
20;F dur;15;Drolligt;;;;Conc_557;2/4;"[,,dc{,,a}/] | [,,a{,a}/] ,,,c ,,,a [,,,,c{4}] | [,,,a{,a}1] \
,,,,,d | [,,,a{6}/] (,,a/4 ,,b) [,,d{,a}/] (,,b/4 ,,a) | \
[,,,'c{4}1] {4}/ [,,dc] | [,,a{,a}/] ,,,c ,,,a [,,,,c{4}] | "
;;;Liuto Solo del Sig.re Kropffgans;;;;;;
21;F dur;16;Fantasia;Kropffgans;;;;C;"{,a}/4 a ,c a ,,d a ,c a {,a}/4 a ,c a ,,d a ,c a \
{,,a} c ,d c ,,d c ,d c {4} c ,d c ,,d c ,d c"
22;F dur;16;Allegro moderato;Kropffgans;;;;2;"[a,a{,a}/] e ([e{4}] c) | [#a{,,,a}3/2] [,,d{6}/] | \
[,a{5}/] ,c/4 a ,a/ [,,d,,a] | [,,#b{a}/] {4} [,,a{,a}1] | \
{,a}/4 e ,d e ,c e ,a e | "
23;d moll;17;Andantino;Kropffgans;;;;3/8;",,,,a/8 ,,,,a/ {,,,a} {,,,a} | ,,a/8 [,,aVe/] {4} {4} | \
,a/8 [,aVf/] {5} {5} | (3[,,e{6}/4] ,,c ,,a) [,,a,,a/] {a} | \
,a/8 ,a/ {,a} {,a} | ,b/8 b/ {a} {a} | b/8 b/ ,,,,,a ,,,,,a | "
24;F dur;18;Angloise;Kropffgans;;;;2;",,d/ a a [e{,a}] | ([e{,,a}1] c) {4}2 | ,,d1 ,f ,f \
[f{,,a}] | ([f{,a}1] e) ,,,a2 | {6}1 h ([h{5}] i f | "
25;F dur;19;Menuet;Kropffgans;;;;3/4;"{,a}1 h h | ([,i{a}/] ,h) ,i1 {,a} | {,,a}1 f 'f | \
([,h{,a}/] ,f) ,h1 {,,a} | {,,,a}1 f [,h{4}] | ([,h{5}1] \
,f) a | "
26;F dur;20;Polonoise;Kropffgans;;;;3/4;"([,,d{,a}/4] ,,a) ,,,a/ [,,,a,a] ,,,a [,,,a{,a}1] | \
[,,b{d}/] ,,b/4 ,a [,,d,,a/] ,,,a [,,,a{,a}1] | \
[,,b{d}/] ,,b/4 ,a [,,d,,a/] ,,,a [,,,a{,a}1] | \
(e/4 a) ,a/ [c{,,a}/4] ,c ,,d/ [,,c{,,,a}] a | "
;;;Sonata Ima;;;;;;
27;F dur;22;Largo;Kropffgans?;Concerto?;;;3/4;",1 [,,,a{,a}1] [,,a,,a] | [,,#d,,d2] ,3/8 e/8 ,c3/8 a/8 | \
,,d3/8 ,a/8 ,,a3/8 ,,d/8 [,,'b,c{a}1] [,,'y{4}] | \
{,a}3/4 (,,,a/8 ,,,c) ,,a [,,b(y] ,,d ,a ,c [ay)]"
28;F dur;22;Fantasia presto;;;;;C;"{,,,a}/8 ,,a ,d a ,d a ,d a ,,a ,d ""piano""{,a} ,,a ,d a ,d \
a ,d a ,,a ,d ""for.""{,a} ,,b ,a a ,a a ,a a ,,b ,a"
29;F dur;24;Tempo giusto;;;;;C;"[a,a{,a}1] [,,de{,a}] {,a}/ [,,de] [,ab] [,,bc] | \
[,,'b/] [,,'y{,a}] [,,'y{,,a}] {4} [,,'aa{,a}1] ,/ ,,d/ | \
a/4 ,,d [e{,a}] ,,d [c{,,a}] ,,d [a{,,,a}] ,,d [,c{4}] ,,d \
[e{,a}] ,,d [c{,,a}] ,,d [a{,,,a}] ,,d | "
30;F dur;26;Andante ma non molto;;;;;2/4;",,,a/ | ,,d/ ,,,d {,a} ,,d | ([,,#e/] ,,d) {,a} a | \
,,d/ ,,,d {,a} ,,d | (,,e/ ,,d) {,a} d | c/ ,,d {,,a} ,,d | "
31;F dur;26;Vivace;;;;;2/4;",h/4 f | h/ {,a}1 ,,h/ | a/ {a}1 ,,b/ | ,,d/ ,,,,,a1 a/4 \
,,d | ,a/ ,,,,,b1 f/4 ,a | ,,d/ ,,,,,a1 ,,d/ | [,,b{a}/4] \
,,,c [,,a{,a}] ,,,a a/ [,,a{,a}] | "
32;F dur;28;Minuetto Imo;;;;;3/4;",,d1 a [e{,a}] | [c{,,a}/] (,c ,a1) ,,d | ,,b1 ,a [a{,,,a}] | \
[,c{4}/] (,,d ,,b1) ,,a | ,,,c1 ,,b [,a{5}] | ([,,d{6}/] \
,,a) (,,,c1 ,,,a) | "
33;F dur;28;Minuetto IIdo;;;;;3/4;"([a{,a}/] e) ,,d ,,,,,a {a} ,,b | [,,a{,a}/] e ,,d ,,,,,a \
{a} ,,b | ([,,b{,a}/] ,,a) [a,,,,a] ,,d {a} ,,b | \
""pinao""([,,b{,a}/] ,,a) [a,,,,a/] ,,d {a} ,,b | "
34;F dur;30;Polaca;;;;;3/4;"{,a}/ a [ad,,,a] a [ad,,,d] a | {,a}/4 a (,c ,a) (,,d ,,b \
,,a) ,,,c [,,,'a1] | V[hVh1] {,a}/ [ki] V[hVh1] | \
V[fVf1] {4}/ [hh] [ff1] | "
;;;Sonata IIda;;;;;;
35;d moll;32;Fantasia allegro;;;;;C;"(3{,,,a}/4 ,d e) (3,,,,a/4 ,d e) (3{,,,a}/4 ,d e) (3,,,,a/4 \
,d e) (3{,,,a} ,f f) (3,,,,a ,f f) (3{,,,a} ,f f)"
36;d moll;33;Allegro;;;;;C;"[,a,,a1] [,,a,,a] [,,,'a{,a}3/4] ,,,,c/8 ,,,a ,,a/ {,,a} | \
{,,,a}/4 ,a ,,e ,a c a ,f e [f{a}/] ,f/4 a (,c/ ,a) | "
37;d moll;35;Affettuoso;;;;;6/8;"[,,,b{,,,a}/] ,,,,a ,,a ,a (,,e ,,c) | ([,,#c{,,,a}1] | \
,,a/) [,ac/] [,,ee] [,,cc] | [,,cc{,,,a}1] [,,ab/] [(e(e/] \
[c)c)] [ba] | [ba,,,a1] [,cd/] e/ ,,e ,c | "
38;d moll;36;Scherzando;;;;;2/4;",,a/ | ,a/ ,,e/4 ,a ,c/ [a,,,a] | ([,d,,,a/] ,c) ,,a e | \
[,'a/] ,,e/4 ,a ,c/ [a,,,a] | ([,d,,,a/] ,c) ,,a e | \
[e{d}/] ,a {,,a} c | "
39;d moll;37;Minuetto;;;;;3/8;"k/ ,h ,,i | ,a/ ,,a ,,,a | (,,,,d/4 ,,,,c) ,,,,a/ [,,a,,a] | \
[,,,'a{,,,a}1] [,,,,c{6}/] | {,,,a}/ ,,b a | [,c{4}/] \
,,,d ,,a | {5}/ ,,,c ,a | "
40;d moll;38;Variazione Un poco moderato;;;;;3/8;"{,,,a}/4 (e/8 c) ,d/4 e ,a ,,e | ,a/4 (,d/8 ,c) ,a/4 a ,,a \
,a | {,,,a}/4 (,,,e/8 ,,,c) ,,,a/4 ,,a ,,,,a ,,,,,e | "
41;d moll;39;Polaca;;;;;3/4;"[,a{,,,a}/4] a (e c a) (,c ,a) ,,e ,a/ ,a | \
""stacc""[,,aa{,a}1] [,,bc{,,a}] [,,,cc{6}] | \
([,,,,a{,,,a}/4] ,,,,c) (,,,a ,,,c) ,,a/ ,,a [,,a,c{4}1] | "
;;;Concerto di Mr: Kropffgans;;;;;;
42;d moll;40;Fantasia allegro;Kropffgans;;;;C;"{,,,a}/4 e ,d e ,a/4 e ,d e {,,,a}/4 e ,d e ,a e ,d e | \
{,,,a}/4 f ,f f ,a f ,f f {,,,a} f ,f f ,a f ,f f | "
43;d moll;41;Entrée allegro;Kropffgans;;;;C;"(a/ c) | e1 ,,,,a ,,,a ,,a | {,,,a}1 ,c/ c ,d e ,f f | \
e1 ,,,,a ,,,a ,,a | {,,,a}1 ,c/ c ,d e ,f f | "
44;d moll;42;Pastorale;Kropffgans;;;;3/8;"[ee/] ,,,,a {,,,a} | [gf/] ,,,,a {,,,a} | [ee/] ,,,,a \
{,,,a} | [cc/] ,,,,,a {6} | ['ba/] ,,,,a {,,,a} | \
[,,c{a}/4] ,c c ,e (,c ,a) | "
45;d moll;43;Paisane Allegro;Kropffgans;;;;2/4;",,a/ | (3[,a{,,,a}/] ,c ,a) (3a c a) | e1 {,,a}/ ,,e | \
[,a{,a}1] ,,a/ a | (3[a{,,,a}/] c a) {4}/ ,c | \
(3[,a{5}/] ,c ,a) {6}/ ,,d | "
