PieceNr;Key;PageNr;Name;Composer;Comment;Tuning;Concordances;TimeInz;Tab
1;F dur;1;Prelude;;;OT;;C;"[c,,a/] d c a [,d,,c] a c ,d | [a,,,d/] c a ,d [,c,,a] ,d a ,c | \
[,d,,c/] a ,d ,c [,a,,,d] ,c ,d ,a |"
2;F dur;2;Ballet;;;OT;ConcR567;C;"[c,,a1] {a}/ d c1 [a,,,a] | [,dd{a}1] ,,,,a ,,,a a/ c | \
[d{a}/] c a ,d [,c,,a] ,d a ,c |"
3;F dur;3;Vrai Aeneas;;;OT;;C;"[cdda1] [cdda/] [cdda] [f,,a1] [c,,a] | [da,c/] c a d [cdda1] {a} | \
[acd,a/] ,a ,c ,d [acd,a1] [cdda] |"
4;G dur;4;Alemandt M.C.S.;;;OT;;C;"[ha,,,a1] h/ f [ea,,,a1] a | [caa,c1] c/ a [,ea,c1] [,a,,,e] | \
[,c,,a/] ,d a ,c [c,,,,c] a ,e ,c |"
5;F dur;4;Galliard;;Frog Galliard;OT;ConcR172;3;"[cdda1] ,d a c [a,,,a2] | [,da,c2] ,c/ ,d [,ca,,c2] | \
[,a,,,d2] ,,,,a [,d,,c] | [acd,a1] ,d ,c ,a ,,d2 |"
6;C dur;6;Currant;;;OT;Conc_1756;3;"a1 | [acd,a3/2] c/ a1 | [,cd,a1] ,,d a | [acd,a3/2] c/ d1 | \
[cdda3/2] a/ ,d1 | [,cd,a3/2] ,a/ ,c1 | ,,d1 ,a [,c,,a] |"
7;g moll;6;Galliard;;;OT;ConcR71;3;"[aabc,a2] [aab1] [aab] [aab] [aab] | [aabc,a1] ,,a ,,b ,,d [aab,,a2] | \
[,d,,,d2] [,b,,a1] ,,,,c ,,,,d ,,,a | \
[,acc2] ,,,,,a1 ,,d ,,c2 |"
8;;7;Praelud;;;OT;;none;"[aa,c1] ,,,a [a,,,d] ,,,,c [a,,,a] ,,,,,e [,,d,a/] ,a ,b ,d \
a b a ,d ,b ,d ,b ,a ,,d ,,c ,,a"
9;C dur;8;Ballet;;Lord Zouche's Mask;OT;ConcR289;C;"[acd,a2] [f,,,a] | [,cd,a/] ,a ,c ,d a1 c/ d | [f,,,a1] a [c,,a] [a,,c] | \
[,cd,a/] ,a ,c ,d a2 |"
10;g moll;9;Bransle ['Currant' cancelled];;Packington's pound;OT;ConcR86;3;"[,,d,a1] ,,,c/ ,a ,b1 | [,acc,a1] ,,c ,,,c | [,,d,a1] ,,d/ ,a ,b1 | \
[,acc,a1] ,,c ,,,c | [,b,,d1] ,b/ ,d a1 |"
11;F dur;10;Ballet;;En me revenant;OT;Conc_4434;C;"[,dda1] [,cd,a] [,da,c] [a,,,e] | [cdda1] ,d ,,,a c/ d | \
[f,,a1] h [f,,,a/] d c a | [cdda1] ,d ,,,a2 :||:"
