PieceNr;Key;PageNr;Name;Composer;Comment;Tuning;Concordances;TimeInz;Tab;TabNotation
;;;;;S.3 Accord für Gitarre / Angelique;p.3 Accord Guitare / Angelique;;;;
1;C dur;4;Chaconne;;;Angélique;Conc_4034;3;"%%tabunderscoreis8
[,,a{,,,a}1] '[,,a{_a}3/2] ,a/ | '[,,,a,a3/2] ,,a/ [,,,,a{a}1] | \
a1 {_a} {a} | '[,a,a,a3/2] ,,a/4 ,a ,,a1 :||: d1 [dc{,,a}3/2] f/ | \
'[ba{,a}3/2] d/ {_a}1 |";
2;C dur;5;Sarabande;;;Angélique;;3;"%%tabunderscoreis8
,,a1 ',a a | [,a,a3/2] a/ ,,,,a1 | V,d1 ,,,a [a,a] | \
'[,a,a,a3/2] ,,a/4 ,a ,,a1 :||: ,,a1 ',a a | ,,,a1 ',,a ,a |";
3;C dur;6;Courante;;;Angélique;;3;"%%tabunderscoreis8
d/ | [dca{,,a}3/2] f/ 'd1 | [a,a1] [b,,,a] V[d,,,,a] | \
[f,a{a}3/2] f/ '[d{_a}1] | [b{,a}1] '[a,a{,,a}3/2] a/ | \
[,a,a,a3/2] ,a/ a c | [d{_a}1] '[c{,a}3/2] c/ |";
4;C dur;7;La sua double;;;Angélique;;3;"%%tabunderscoreis8
d1 | {,,a}/ ,c d f 'd ,d | ,,a/ a ,,,,a b ,,,,,a d | \
{a}/ ,,a f f {_a} d |";
5;C dur;8;Courante;;;Angélique;Conc_5276;3;"%%tabunderscoreis8
[,,a{,,a}1] ,a [a,a] | '[,a,a,a3/2] ,,a/4 ,a ,,a1 | \
,,,,a/ ,,a ,,,,,a ,,,a ,a {a} | {_a}/ ,,a a b d1 |";
6;C dur;9;Sarabande;;;Angélique;Conc_5273;3;"%%tabunderscoreis8
[a,a1] b d | '[d,,a3/2] d/ f1 | '[b,,,a1] ,,,a/ d [a,a1] | \
'[,a,a,a3/2] ,,a/4 ,a ,,a1 :||: [a,a1] 'b3/2 a/ | \
[,a,a3/2] d/ 'b1 |";
;;;;;S. 8 Accord [Gitarre];p. 8 Accord [Guitar];;;;
7;;11;Prel:;;;Guitar;;none;",,a/ (,,c ,,d) (,a ,c) (,,a ,,c) ,a ,,a ,,,e ,c ,,c ,,,,c ,,a ""[vacat]"", , , , ";french5tab
;;;;;Die Seite ist unvollständig, ein Teil ist abgerissen;The page is incomplete and torn.;;;;
