PieceNr;Key;PageNr;Name;Composer;Comment;Tuning;Concordances;TimeInz;Tab;TabNotation
1;;1r;1. Suspiri;;;OT;ConcR1445;3;"[abb,d1] [abb] [abb,d] | \
[abb,d1] [abb/] ,a ,b ,d | \
[abb,d1] [abb] [abb,d] | \
,,,,d/4 ,a ,b ,d a/ c d1 | \
,,,,,d/4 ,,a ,,c ,,d";italian7tab
2;;1v;2. Venendo da Bologna;;;OT;ConcR1461;3;"[fc,,a1] | [fc,,a1] ,c/ f e f | \
[fc,,a1] [fc/] e c a | \
[c,da/] ,a/4 ,c ,d a c e f e c a |";italian7tab
3;;2r;3. Munaro in Piva BB;;;OT;;3;"[acd,a1] | [acd,a/] ,d [acd,a1] [c,da/] [c,d] | \
[c,da1] [acd,a/] [,d,a] a/4 ,d ,c ,a | \
[acd,a1] [acd/] [acd,a] [acd,a1] | \
[acd,a/] ,d [acd,a] [c,da] [acd,a1] |";italian7tab
4;;2v;4. Trodero;;;OT;;3;"[,,d,a1] ,,d/ ,,c ,,d ,a | \
[abd,a1] ,,d/ ,a [abd,a] ,,d | \
,,,,,d/ ,,a ,,b ,,d ,a/4 ,c ,d ,b | \
[,a,a,d/] ,,d ,a ,c";italian7tab
5;;3r;5. Passo e meggio;;;OT;;C;"[,,d,a1] ,,d/ ,,c ,,d ,a ,b ,d | \
[abd,a1] [abd/] ,a [abd,a] ,d/4 ,b ,,d ,,b ,,a | \
[,a,a,d1] [,a,a] [,a,a,d] [,,d,,c] |";italian7tab
6;;3r;6. Donna imprestatime el vostro buratto;;;OT;ConcR1454;3;"[acd,a1] [acd] [acd,a] | \
[acd,a1] [acd/] ,,,,a [acd,a1] | \
[acd,a1] [,da,c/] ,c ,d/4 ,c ,a ,,d | \
[aacc/] ,,,,,a [aac] ,,d [aac] ,,a |";italian7tab
7;;3v;7. El Marchese desalucio;;;OT;ConcR1460;2;"[,b,,a1] [,ac,,a] | [,,d,a/] ,,c ,,d ,a | \
[,b,,a1] [,d,,c/] ,b | ,d/ ,a ,b ,d | \
[,ac,,a2] | [,ac1] ,,,,,a | [,b,,a/] ,a ,b ,d |";italian7tab
8;;3v;8. La monicella;;;OT;;2;"[fc,ca2] | [fc,ca1] [fc,ca] | [fc,ca2] | [hd,f2] | \
[fc,ca/] d c a | [cdda/] a ,d ,c | [,ddef2] | \
[,ddef2] | [da,a,d2] |";italian7tab
9;;4r;9. Franciosina;;;OT;Conc_4432;2;"[ddf,,d2] | [ddf,,d1] c/ a | [cdda/] a ,d ,b | \
[,daa/] ,b ,a ,,d | [,ab,,d/] ,,a ,,b ,,d | \
[,ab,,d/] ,b [,ab,,d1] | ,,,a1 [dabc] |";italian7tab
10;;4v;10. Bernardon;;;OT;;3;"z1 a1 ,d | [,c,,a3/2] ,d/ [,c,,a1] | \
[,,d,a1] [,ac,,a] [,c,,a] | \
[,d,a3/2] ,c/ [,d,a1] | \
[,ab,,d3/2] ,c/ [,db,,d1] | \
[,c,,a/] ,a ,c ,d [,c,,a1] |";italian7tab
11;;5r;11. LA lonbarda;;;OT;;3;"[,,def1] [,,def] [,,def] | \
[,ab,,d/] ,,a ,,b ,,d [,ab,,d1] | \
[ac,,a/] ,a ,c ,d [ac,,a1] | \
[c,da2] [c,da1] :||: [da,,,d1] [da,,,d] [c,da] |";italian7tab
12;;5r;12. LA Bertonicha;;;OT;ConcR2524;3;"[cdda1] [cdda] [cdda] | [cdda/] ,c ,d a [cdda1] | \
[da,a,d/] c d c a ,d | [ac,,a1] ,,d [ac,,a] | \
[cdda1] [cdda] [cdda] |";italian7tab
13;;5v;13. LA geomatria;;;OT;;2;"[cd,a2] | [cd,a1] d/ f | [hd,f2] | [fd,e1] ,,d | \
[da,c1] ,c | [da,c1] ,c/ ,a | [cd,a2] | [cd,a2] :||: \
[f,,ef2] | [f,,ef1] [d,,c] | [c,,a2] | [a,,ce2] |";italian7tab
14;;5v;14. Tantarrara chomartello;;;OT;;2;"z1 [cdda1] | [cdda2] | [da,,,d1] [c,da] | \
[a,bc1] [,daa] | [,c,ca/] ,a ,c ,d | \
[,c,ca1] [,dda] :||: z1 [a,bc1] | [a,bc/] ,d a c |";italian7tab
15;;6r;15. El Bataino;;;OT;;2;"z1 [,abc1] | [,ab,,a1] [,abc] | [,cd,a/] ,,c ,,d ,a | \
,a/ ,c [aabc1] | [aaa,c1] ,e | [aac,,a2] | [aac,,a2] :||: \
z1 [cdda1] | [cdda1] [cdda] |";italian7tab
16;;6r;16. LA castalda;;;OT;;2;"[aabc2] | [aabc1] [,ea,c] | [aabc1] c | [da,a,d1] c/ a | \
[cdda3/2] d/ | [cdda1] [aabc] | [,ea,c2] | [aa,c,a2] :||: \
[cdda3/2] d/ | [cdda1] [aabc] |";italian7tab
