PieceNr;Key;PageNr;Name;Composer;Comment;Tuning;Concordances;TimeInz;Tab;TabNotation
1;;1r;No. 1 d'ou vien se la;;;OT;;none;"[aabc1] [aabc2] [abd,a] [,efec] z1 [,efec1] [aabc] \
X[cdda/] ,,,,e [d,f,c1] [ffg,a] X,,,,h/ ,,f \
[,igf1] [ddda/] c d/4 c a c";italian7tab
2;;1v;No. 2 par ton regard;;;OT;ConcR1457;C;"[aa,c2] [aa,c1] ,c | [cdda2] [acd,a] | \
[,efec1] [,efec] [aabc] [cdda] | \
[ddff1] [dcbc] [,dda] c | [dabc1] a [da] [cda] | \
[acd1] [,ab] [cd,e] [fcd] |";italian7tab
3;;2v;No. 3 uignon uignette;;;OT;ConcR1328;none;"z1 [aacc1] [aacc] [,efec] [a,cce] [,eab/] ,c [,acc1] \
[acd,a] a [acd,a] [,efec] [aa,c,a2] [aacc1] [,cdca] \
[,efec] [a,cce] [ec/] ,,,a [,acc] c";italian7tab
4;;3r;No. 4 vos aue gran torto;;;OT;ConcR1757;C;"[,dda3/2] a/ c d [f,da1] | [,df,c1] [d,,,,d] [ddda] c | \
[dab1] ,,,,,d/ ,b [,d,,c1] [ab,,d/] ,a | \
[c,da1] [ea,ac] [fc,ca] [,,def3/2] ,a/ [,bd,a] ,d |";italian7tab
5;;4r;No. 5 Vng laboureur;;;OT;;C;"[,dda2] [bdda1] [bd,a] | \
[abd,a1] [a,d] [ab,ca/] ,d [ab,,a] b | \
[dffc1] [fddd] [fff,h] [eff] | \
[fbd,a1] a [ab,,a/] a [fbd,a] [,b,,a] |";italian7tab
6;;4v;No. 6 martin menoit;;;OT;ConcR1274;C;"[b,ddf2] [b,ddf] | \
[abb,d1] [bbd,,b] [,bd,d/] [a,b] [a,,d] ,,,c | \
[,fddf1] ,d [a,dca2] | [a,dca2] [a,dca1] [a,dca] | \
[dde,,d2] [dde,,d1] [bdda] | \
[dde,,d1] [bdd,a] [abb,d] [,dddf] |";italian7tab
7;;5v;No. 7 or Viencavien;;;OT;ConcR2307;C;",,d2 [,db3/2] ,,,d/ | [ab,c1] ,,,,d/ ,a [,dda] ,,,c [,,dd] ,b | \
[ddff/] ,d [a,b,d] b [abd] ,a [,bd] [,b,,a] | \
[,dda/] [a,,,d] [b,da] [,dd]";italian7tab
8;;6v;No. 8 Si mon malheur B.N.;;;OT;ConcR2095;2;"[cef,c2] | [cef,c1] [cef,c] | [effc1] [e,f/] [c,d] | \
[aacc1] [,efec] | [,ccce1] [,acc,e] | \
[,cdca/] ,e a ,,,,,e | [ca,b,c1] [ea,c,a] | \
,,,c/ [ca] [ca,bc1] |";italian7tab
9;;7r;No. 9;;;OT;;2;"[acdca1] | [acdca1] [c,,,a] | [ea,c,e1] ,,c | \
[fc,e,c/] ,,,,,e ,,,,a ,,,,c | \
[fc,ee1] [ec,c/] [c,,b] | \
[ec,ce1] c [a,c] ,e | [a,c,e1] [,cc] | \
[,cd,,c1] [cca] |";italian7tab
10;;7v;No. 10 hau le bois;;;OT;;2;",,d1 ,,d | [,,de1] [f,aa] | [,,aa1] [c,da] | \
[,ddef/] ,,,a [,,def1] | [cd,ac/] ,,,,,c ,,,,a [cdd] | \
[ac,,a/] ,,b [,ddef1] | [,d,ca/] ,c/4 ,a ,d ,c ,d/8 ,c ,a ,c |";italian7tab
11;;8r;No. 11 Le moy de May;;f. 9v empty;OT;ConcR1484;C;",d2 ,d1 ,d | f2 f/ e f h | [i,,h2] ,,,h1 ,,,h | \
[hd2] ,h/ d f h | [fg,a2] [,g,a1] ,,,a | \
[,f,h2] [i,,h1] ,,i |";italian7tab
12;;10r;No. 12;;;OT;;C;"[,dda2] [,dda] | [abb,d2] [,dff,d] | \
[,cdca1] [,cdca] [,dddf] [abb,d] | \
[bbdd1] [baba/] ,,,d [,bb,d1] a | \
[b,dd1] ,d [b,d] [ab,c] | [,dff1] [,,dd] [abdc] [dab] |";italian7tab
13;;10v;No. 13;;;OT;ConcR235;C;",d2 [fd1] ,d | [f,d1] [f,d] [ab] [ab] | \
[da1] d [b,da/] a [,d,d] ,b | \
[,dddf/] ,,,f [,,da] ,a [abd,a1] [,,d,a/] ,d |";italian7tab
14;;11v;No. 14 Plus mil Regres;;ff. 13r-13v empty;OT;;2;",,,c2 | ,,,c/ ,,,a ,,,c ,,a | [,,bc1] [,,da/] ,,,,d | \
[,a,a/] ,,,c ,,,a ,,,b | [,bd,a/] ,,b ,,d ,a | \
[,bd,a1] ,a/ ,,d | [,bd1] [,db/] ,,a |";italian7tab
