PieceNr;Key;PageNr;Name;Composer;Comment;Tuning;Concordances;TimeInz;Tab
;;;;;Accordo 1;;;;
1;g moll;1r;Sarab / 1;;PAN 5.006;6a;Conc_355;3;"[,#aaa2] {a}1 | \
[,#aaa2] ,,,,,d1 | \
[,bca1] [,'a] {,a} | \
[,,#cc2] ,,,,,b1 | \
[,aa1] ,,,,,d ,,,,a | \
,,,,b1 ,,a ,,,,a | \
,,,,,d1 ,,c/ ,a ,,a1 | "
2;g moll;1r;[Sarabande] 2;;PAN 5.209;6a;Conc_2604;3;"[,aaa1] {a} [,aaa] | \
[,#aa1] ,,c/ ,a ,,a1 | \
[,'b1] {,,a} [,'a] | \
[,,#c{,a}3/2] ,,,d/4 ,,c ,,,d1 | \
[,aaddb1] [,aad] ,,c/ ,a | \
[,,#a{,,a}3/2] ,,,c/4 ,,a ,,,a1 | "
3;B dur;1r;[Sarabande] 3;;PAN 5.014;6a;Conc_352;3;"[aaad1] [aaa] [aaa] | \
[,,,#c{,,,a}2] {a}1 | \
[faaa1] [faa] f | \
[#e{,a}3/2] f/ {,,a}1 | \
[cba1] [cba] [cba] | \
[a{,,,a}3/2] a/ ,,,,,d1 | \
[,bca3/2] a/ [,a,,,b1] | "
4;g moll;1r;[Sarabande] 4;;PAN 5.210;6a;Conc_355;3;"{a}1 [,aaa] [,aaa] | \
[,aaa,b2] ,,,,,d1 | [,baa3/2] a/ ,a1 | \
[,,c{,a}3/2] ,,,e/ ,,a1 | \
,,,,,b1 [,aaa] [,aaa] | \
[,,aab2] ,,,,,d1 | \
[,,#c{,,,a}3/2] ,a/ [,,a{a}1] | "
;;;;;Accordo 2;;;;
5;h moll;1v;Sarab 1;;PAN 5.010;2a;Conc_2605;3;"[aaa,,c1] [aaa] a | \
[#a,,,,c3/2] ,c/4 a ,a1 | \
[b{,,a}1] [a{,a}] [a{a}] | \
[,#c,,,a3/2] ,,d/4 ,c ,,d1 | \
[a{,,,a}1] [,c{,,a}] [,e{,a}] | \
[,#a{a}3/2] ,,c/4 ,a ,,a1 | "
6;G dur;1v;[Sarabande] 2;J. Héart;PAN 5.028;2a;Conc_313;3;"[,aaa{a}1] [,aaa] ,a | \
[,,#b,,a3/2] ,a/ ,,,,,c1 | \
[,,aa1] [,,aa] [,,a,,d] | \
[,,,#c{,,,a}3/2] ,,a/ {a}1 | \
{a}/ ,,b ,,a ,,b ,,d ,,a | \
,,,,,a/ ,,,c ,,a ,,b ,,d ,,b | "
7;G dur;2r;[Sarabande de Gautier] 3;Gaultier;PAN 5.001;2a;Conc_272;3;"{a}1 | \
[baa1] [baa] | [#b,,a3/2] a/ ,c1 | \
[,aaa,c1] [,aaa] [,cb,,d] | \
[,#aa{a}3/2] ,,b/ [,,'a1] | \
[,,b,,a1] ,,,e ,,d/ ,,b | \
[,,'a{,,a}1] d/ 'b a [,c{,a}] | "
8;D dur;2r;Aria / 4;;Courante, Privé de deux beaux yeux - PAN 4.049;2a;Conc_1052;3;"a1 | \
[aadca3] | \
[,c{a}/] ,e [,#c,,,a3/2] ,,d/4 ,c | \
,,d1 ,,,,,c ,,,,e | \
[,#aae3/2] ,a/ [,c{a}] a | \
[baaa1] {a}/ d b a | "
9;G dur;2r;[Sarabande] 5;;PAN 5.108;2a;Conc_2606;3;"[,aaa{a}1] b [b,,,,c] | \
,a1 b d/4 b a/ | \
f1 {a} ,,,a | \
[faa2] ,,,f/ ,a | \
[,,#f3/2] ,,,,,d/ ,,,,,a1 | \
,,d1 [,,#c,,a3/2] ,a/ | "
10;G dur;2r;[Sarabande] 6;;PAN 5.211;2a;Conc_2607;3;"[baaa{a}1] [baa] [baa] | \
[a,,,a3/2] ,c/4 a ,a1 | \
[baa{a}1] [baa] [baa] | \
[#d{,a}3/2] ,f/4 d ,f1 | \
[,aaa{a}1] [,aaa] [,aaa] | \
[,,#b,,a3/2] ,,d/ [,,a{a}1] | "
11;D dur;2v;[Sarabande] 7;;PAN 5.212;2a;Conc_2608;3;"{,,,a}1 [de] f | \
{,,a}1 [bc] d | \
{,a}1 [bc/] [aa] {a}1 | \
[,#c,,,a3/2] ,,d/4 ,c | ,,d2 :||: \
{,,,a}/ ,c a b d a | "
12;G dur;2v;[Sarabande] 8;;PAN 5.107;2a;Conc_2609;3;"[baa{a}1] [baa] d/ b | \
[#a,,,a3/2] ,c/4 a ,a1 | \
[b,,,,c1] [d,,,,a] [f{a}] | \
[#d,,,a3/2] ,f/4 d ,f1 | \
[aad1] b d | \
[dcc3/2] b/ [a,d1] | "
13;G dur;2v;Supra [Sarabande] 9;;PAN 5.211;2a;Conc_2607;3;"[baa{a}1] [baa] [baa] | \
[a,,,a3/2] ,c/4 a ,a1 | \
[baa{a}1] [baa] [baa] | \
[#d{,a}3/2] ,f/4 d ,f1 | \
[,aaa{a}1] [,aaa] [,aaa] | \
[,,#b,,a3/2] ,,d/ [,,a{a}1] | "
14;G dur;3r;[Sarabande] 10;;crossed out - PAN 5.107;2a;Conc_2609;3;"[baa{a}1] [baa] d1 | \
[a,,,a3/2] ,c/4 a ,a1 | \
[b,,,,c1] [d,,,,a] [f{a}] | \
[#d,,,a3/2] ,f/4 d ,f1 | \
[a,d3/2] b/ d1 | \
[d,c3/2] b/ [a,d1] | "
15;D dur;3r;Alemanda / 11;;PAN 3.120;2a;;C;"[,adca1] {,,,a}/ ,c a b d b | \
{,,,a}1 ,,,,a ,,,c [aad3/2] ,c/ | \
a/ ,,d [,cc3/4] a/4 [,aa3/4] a/4 [,c,a3/4] [,'a/4] | "
16;G dur;3r;Ballet / 12;P.Gaultier;PAN 12.044;2a;Conc_1152;3;"a1 b ,a/ ,,b | \
[,,#aa{a}3/2] ,,b/ ,a ,a [,a,,,c] ,a | \
[,#aaa{a}3/2] ,a/ [,c,,,d] b [#a,,,a3/4] d/4 | \
[#baa{a}3/2] d/ f ,,,a f f | "
17;D dur;3r;Cour.;;La Princesse - PAN 4.129;2a;Conc_2610;3;"a/ | \
[aad3] | \
[,c,c1] ,,c ,a | \
[,aae3/2] ,e/ [,#c] ,a | \
,,c1 ,,,,e [,a,,,c] | \
[,c,,,a1] [,#c{a}3/2] ,,d/4 ,c a {,a}2 :| "
18;G dur;3v;Chaldan / 13;;Baise-moi ma Jeanneton - PAN 13.035 - for double see 5v (2);2a;Conc_2629;3;",,,a/ ,,,c [,,#a{a}3/2] ,,,c/ | \
[,,,'a1] ,,d [,,dc{,a}/] ,,b | \
[,,'aa{a}3/2] ,,b/ ,a ,,,,,c | \
[,,b,,a1] [,,a{a}] [,,,c{,,,a}3/2] ,,,,a/ ,,,a2 :| "
19;D dur;3v;Ballet / 14;;PAN 12.045;2a;;C;",a1 | \
[,adca1] d [d{,a}] [b{,,a}] | \
[a{a}1] ,a ,,,,a ,,c/ ,a | \
[,cc,,a1] [,cc] [,cac] [,'a] | \
[,,c,,a1] ,,,c2 ,c/ a | "
20;e moll;3v;Bella Pastora;;PAN 13.064;2a;Conc_2611;C;"[bca{,,a}2] [bca] | \
[aba,,c2] [aba] | \
[,cba,d/] [,cab] [,#a{a}/] ,,b/4 ,a ,,a1 ,c | \
[,,b,,a/] ,,,c ,a ,,b ,,a ,,,,,c ,,a ,,,,,d | "
21;G dur;3v;Canzon Francese;;Le Pont Breton - PAN 13.034;2a;Conc_2612;3;"[,,a{a}1] ,,,a [,,#b,,a3/4] ,a/4 | \
[,a,,,c3/2] b/ [b,,,,d1] | \
[a,,,a3/2] d/ [b,,a1] | \
[d{,,,a}1] a [b{,,a}] | \
,c/ [a{,a}] ,a [,c{a}] ,a [,,c,,a3/2] ,a/ [,a,,a1]"
22;G dur;4r;Courante / 1;;PAN 4.286;2a;;3;",a1 | \
[,#aaa{a}3] | \
[,ab,,d1] a [b,,,c] | \
['a,,,a1] ,a [b,,,,c] | \
[b{a}1] [#d,,,a3/2] ,f/4 d | \
f1 ,,,a {a} | \
[#d{,a}1] f/ d {,,a} ,f | "
23;D dur;4r;[Courante] 2;;Courante La Chabotte - PAN 4.202;2a;Conc_323;3;"d1 | \
[da{,,,a}3/2] b/ a ,c | \
[a{,a}1] [,c,,a3/2] ,a/ | \
[,,c,,a3/2] ,a/ ,c1 | \
[,,,c{,a}1] ,,d [,,c{,,a}1] | \
[,,dc3/2] ,c/ a b | \
#d1 [bc{,,a}] 'a1 | "
24;D dur;4r;Duble;;of Courante La Chabotte - PAN 4.202;2a;;3;"d1 | \
[da{,,,a}1] d/ b a ,c | \
{,a}/ a {a} a ,c ,a | \
,,,,,a/ ,,a ,,c ,a ,c | \
{a}/ {,a} ,,c ,d {,,a} ,,c ,a | "
25;D dur;4v;[Courante] 3;;PAN 4.002;2a;Conc_279;3;"d1 | \
[da{,,,a}3/2] b/ a ,c | \
[a,,,a1] [,c,,,a3/2] ,a/4 ,c | \
[,a,,,c1] [,,,,,'a] {a} | \
[d{,a}1] f [h{,,a}] | \
[i{,,,a}1] a [b{,,a}] | \
[d{,a}1] f/ d [b{a}] a"
26;D dur;4v;[Courante] 4;;PAN 4.287;2a;Conc_2605;3;"a1 | \
[#a,,,a3/2] ,c/4 a ,a1 | \
[b{a}/] a [,c,,,a3/2] ,,d/4 ,a | \
,,d2 {,,,a}1 | \
[#aa,,a1] ,c ,a | \
[,#c3/2] a/ c d | "
27;h moll;4v;[Sarabande] 5;;PAN 5.209;2a;Conc_2604;3;"[aadca1] [aad] a | \
[#a,,,a3/2] ,c/4 a ,a1 | \
[b,,,c1] d [a,,,a] | \
[,c,,,a3/2] ,a/4 ,,c ,a1 | \
[aad,a1] [aad] [,c,,,a] | \
[,#a,,,c3/2] ,,c/4 ,a ,,a1 | "
28;G dur;4v;Sarab. / de Har;J. Heart;Sarabande de Madame Francoise - PAN 5.004;2a;Conc_284;3;"{a}1 [,aaa2] | \
[,aaa,'c2] {,a}1 | \
[,,#b3/2] ,a/ [,,aa{a}1] | \
[,,,c{,,,a}3/2] ,,,a/4 ,,,,e ,,,a1 :||: \
{a}1 [,,aaa2] | \
[,,,c{,a}3/2] ,,a/ ,,b1 | "
29;G dur;5r;[Courante] 6;;"La Royale ""Philis qui sans deseein de me vouloir plaire"" - PAN 4.130";2a;Conc_4356;3;"b1 | \
[baaa1] {a}/ d b d | \
[a,,,a1] [b,,,c] [d,,,e] | \
[,'aaa1] {a}/ ,,b [,,'a] ,,,c | \
[,,a'a1] [,,,#ca3/2] ,,a/ | \
,,,a1 {a} ,,b | "
30;G dur;5r;[Courante] 7;;PAN 4.288;2a;;3;",,,a/ | \
[,,#aa{a}3/2] ,,b/ ,a1 | \
[,c,,,d1] [#a,,,a3/2] ,c/4 a | \
b1 ,,a {a} | \
[baaa3/2] d/ b d | \
#a1 ,,,,c [,c,,,d] | \
[,a,,,c1] [,,bcca3/2] ,a/"
31;D dur;5r;[Courante] 8;;PAN 4.289;2a;;3;"a1 | \
[aadca3/2] b/ d1 | \
[d{,a}1] [#b{a}3/2] a/ | \
[,c,,,a1] ,,,c [,,,'a] | \
,,,,e1 ,a [,c,a] | \
[a,,,a1] ,a a/4 b d/ | \
[d{,a}1] [#b{a}3/2] 'a/ | "
32;a moll;5v;[Courante] 9;;PAN 4.290 - for double see on 6r (1);2b;;3;",c1 | \
[,cbc,a3/2] d/ c d | \
[#c{,,a}2] d/ f/4 f | \
f3/2 ,c/ a ,c/4 a | \
[b{,,a}1] ,,a [b,c] | \
[,dd{,,,a}1] ,,,c ,,a | \
[,c{,,a}/] ,a ,,b ,,a [,,,c{,a}1] | "
33;G dur;5v;Double super Cor.;;PAN 13.035double of Chaldan see 3v (1);2a;;3;"{a}/ ,,b ,,a ,,,c | \
,,,a/ ,,,c ,,a ,,b ,,d {,a} ,,b ,,d | \
,,a/ {a} ,,a ,,b ,a ,,,,,c ,c ,a | "
34;G dur;5v;Courante;;PAN 4.128;2a;Conc_2613;3;"f1 | \
[faa{a}1] [a,,,a/] f #d ,f/4 d | \
[faa{a}1] ,,,a/ d b3/4 d/4 b a | \
[,c,,,d1] a [b,,,,c] | \
[d,,,,a1] {,a} d | "
35;a moll;6r;Double supra Cor.;;of Courante (5v) - PAN 4.290;2b;;3;",c1 | [,,,c,a/] ,,a ,,b ,a ,c a | \
[c{,,a}1] d/ f d f | \
,,,,,a/ g f ,a ,c a | \
{,,a}/ a b ,,a ,,c b | "
36;D dur;6r;Idem / Duble;;Bergamasco Double - PAN 13.037;2a;;3;"d/ | \
[d,,,a1] {,,,a} f | \
[f,,a1] {a} ,a | \
[,cc,,a1] ,,,c d/ b | \
a/ ,c ,a a d b | \
a/ [bc] [aa] [,cc] [,aa] [,cc,,a] | "
37;G dur;6v;Bergamasco;;PAN 13.057;2a;Conc_45;3;"[,,aaa{a}2] [,,aaa{a}1] | \
[,,bca{d}1] [,,bca{d}] [,,,ca{,,,a}/] [,,,ca] | \
[,,#aaa{a}3/2] ,,,c/4 ,,a ,,,a1 | \
[,,aaa{,,,a}1] [,,aaa] [,,bca{d}/] [,,bca{d}] | \
[,,,#c{,,,a}2] ,,a/ ,,c ,,,e | "
38;G dur;6v;Doubla;;of Bergamasco - PAN 13.057;2a;Conc_45;3;"[,aaa{a}2] [,aaa{a}1] | \
[,cba,d2] [,cba1] | \
[,a,,a1] ,c/ ,a ,,b1 | \
[,,'aa1] ,,,c/ ,,a ,,,a1 | \
[,aaa{a}2] [,aaa1] | \
[,cba,d2] [,cba1] | "
39;G dur;6v;Sarab.;J. Heart;PAN 5.028 see 1v (3);2a;Conc_313;3;"[,aaa{a}1] [,aaa] [,aa] | \
[,,b,,a3/2] ,a/ [,aa,,c1] | \
[,,aaa1] [,,aaa] ,,,,,d | \
[,,,#c{,,,a}3/2] ,,a/ ,,,a1 :||: \
[,,bac1] [,,ba] [,,ba] | \
,,,,d3/2 ,a/ ,,a1 | \
,,,a1 ,c ,,b | "
40;G dur;6v;Cour. / H.;Gaultier;PAN 4.127;2a;Conc_1662;3;"b/ | \
[baaa{a}2] d/4 b/ | \
#a1 ,,,,a/ ,c ,a ,,b | \
[,,#a1] {a} ,,,,a | \
[,,a#a3/2] ,,a/ ,,b ,a | \
,c1 ,,,,,d ,,,,,c | \
[,,,,,'a3/2] d/ b d | "
;;;;;Accordo 3 [d-Moll];Accordo 3 [d minor];;;
41;d moll;7r;Alemande / 1;Merville;;;Conc_3458;C;"a/ ,a a c e ,,a ['c,c] ,,e | \
,,f/ [aa] [,cf,,a] ,,e ,a [,,e,,b] ,,b | \
,,d/ ,,,,,a ,,,,d ,a ,,,c [,,de] ,a [,,bc] ,c | "
42;d moll;7r;[Sarabande] 2;Bechon;;;Conc_387;3;"e/ ,f [aaaaa1] e | \
[eaaaa{,,,a}1] ,a ,c | \
[a,,,a1] [ca] c/ a | \
[,c,,,a1] ,,d ,a | \
[,a,,,'b1] ,c [a,,,,a] | \
[c{a}1] c/ e f1 | "
43;d moll;7v;Saraban/de;G.Pinel;;;Conc_4218;3;"[,,a{,,,a}1] [,,aaa] ,,,c/ ,,,,,d | \
[,,b,,b1] [,,baa] [,,,,,'a] | \
,,b1 [,,bcc3/2] ,,a/ | \
[,,aaa1] {,a} ,,,,,d/ ,,a | \
[,,,cdd1] [,,,cdd] ,,a | \
[,,aaa{,,,a}1] [,,aaa] ,,c | "
44;d moll;7v;[Courante];;Courante de la Reine;;Conc_4382;3;",a1 | [,abc{a}3/2] ,a/ ,c ,e | \
[c,,,,d1] (e ,f) | \
 [,'ea,a3/2] {d}/ [cf1] | \
[ed,,,a3/2] [,cde/] ,e1 | \
[cabc{a}1] [,a,c,a] ,a | \
[ca,,,b1] [,a,c,c3/2] ,a/ | "
45;d moll;8r;Courante;;;;Conc_3997;3;"e/ | \
[eaaaa3/2] e/ c a | \
[,c,,,d1] a [,a,,,b] | \
[,,e,,a1] ,,a ,c | \
[,a{,a}1] [,c{,,a}] ,a/ ,c | \
[a{,,,a}1] ,,,,a e | \
[bdf1] ,,d [f,,f] | "
46;d moll;8v;Sarabanda;;;;;3;",,,,a ,,,a ,,a ,a a [,c,,,a] a [,a{b}] [,a{a}] | \
,c ,a [,,e,,a] [,a,,a] {,,,a} | | \
[e,,,,a] c a ,c [a,,,a] [f{a}]"
47;d moll;8v;Cour.;;Le Gris de lin;;Conc_3460;3;",,,,a ,,,a ,,a ,a a ,c ,a ,c [,,e,,a] [,a,,a] \
{,,,a} ,,,,a ,,,a ,,a ,a a ,c ,a ,c [,,e,,a] [,a,,a] {,,,a} | "
48;d moll;8v;Cour.;;Bransle des Frondeurs simplified;;Conc_92;3;"[,aaa{,,,a}] ,c a c [eaaaa] [,c,,,e] [a,,,a] ,c a ,c ,,,,,a | \
[,aaa{,,,a}] ,c ,a ,,d [,,c{,,a}] ,,a [,,a,,a] :| "
49;d moll;9r;Cour.;;;;Conc_1475;3;"[e{,a}] c e c [a,,,a] [,c,,a] a [,a,,a] {,,,a} | \
[,c,,,d] a c ,,d [a{,a}] [a{4}] ,c [a{,a}] | \
[c{a}] e c a"
;;;;;[Andere Stimmungen];[Other Tunings];;;
50;g moll;9r;Sara/ban/de;;PAN 5.148;6a;Conc_1659;3;"[aaaddb1] [aaa] [aaa] | \
[caaa{a}3/2] e/ f1 | \
{,,,a}/ f [e,,,a3/2] ,f/4 e | \
,f1 {,,a} ,,,a | \
h1 {,a}/ f e ,f | "
