PieceNr;Key;PageNr;Name;Composer;Comment;Tuning;Concordances;TimeInz;Tab;TabNotation
1;;1r;Gassenhaur von Hans von Mentz;;;OT;ConcR1596;3;"[b,da1] | [b,da/] ,d ,b ,,e ,,d ,,b | \
[b,da1] [,d3/2] [bd,a/] | [a,b,d/] ,,d ,,b ,,,d ,,,c ,,,a | \
[a,b,d1] ,b3/2 [a,b,d/] |";italian7tab
2a;;2v;Inviolata / Josquin / quinque vocum;Josquin des Prez;;OT;ConcR2116;;"a2 a | a2 a | c2 c | [e,,c2] ,,,c1 h | ,,,c/ f e1 ,,,c/ c a1 | \
[,ea1] ,c [,ca] ,a/ ,,d |";germantab
2b;;3r;Sec.da Pars. Nostra ut pura;Josquin des Prez;;OT;ConcR2117;;",,,c2 ,,,c2 | ,,c2 ,,d | [,,cc2] [,a,c] | [,ac1] ,,d/ ,,c [,,de2] | \ 
[,,cc1] ,,,,,a/ ,,,,,c [,a,,,e/4] ,,,,a ,,,,c ,,,,e |";germantab
2c;;3v;Tertia Pars. O Beningna;Josquin des Prez;ff. 4v-6r vac.;OT;ConcR2118;;"[,ac2] [h,,g] | [haa,g2]  [caa,c] | [c,de,c] [f,de,c] | \  
[f,dc,a1] e/ c [a,dc,a1]  a/ c |";germantab
3a;;6v;Benedicta es coelorum / 5 vocum / Josquin;Josquin des Prez;;OT;ConcR1599;;"[a,,c2] [a,,c/] ,,,b ,,,c ,,a | [a,c1] ,,d [a,,c] a | \ 
c/ a ,e ,c [ce1] ,a |";germantab
3b;;7v;Sec.da Pars. Per illud ave;Josquin des Prez;;OT;ConcR1600;;",a/ ,c ,d a  [cd1] ,d | [fd1] f [fc] ,,d/ ,a | \ 
[ec/] ,e [af1] ,e/ a ,c ,e |";germantab
3c;;8r;Tertia Pars. Nunc mater;Josquin des Prez;ff. 8v-10r vac.;OT;ConcR1601;3;",a1 ,a ,c | [,d,,c1] ,,,,c [,c,,e] | \ 
[c,da1] ,a [e,,c] | [f,d,e1] [,,ab/] ,,c [eacc] |";germantab
4a;;10v;Deus venerunt gentes / Concilium / 4or vocum;;;OT;;;"[,aa,c2] [,aa,c1] ,,,,e | [,aabc1] ,,,c [,aacc] ,,,b | \ 
[,acc,a2] [,acc,a] | [aac,,a2] [aac,,a] |";germantab
4b;;11v;Sec.da Pars. Effunde iram tuam;;;OT;;;",,,c2 ,a | [,a,,,a1] ,a [,a,,c] ,a/ ,,d | [,,c,c1] [,,a,c] [,,a,c] ,,,c/ ,,,b | \ 
[,,e,ed2] [,a,b,e1] [,,e,,a/] ,,,,,c |";germantab
4c;;12r;Tertia Pars. Adiuva nos;;ff. 13v-14r vac;OT;;;"[,acc,a2] [,acc,a] | [,aabc2] [,aabc] | [,cdca2] [,cdca] | \ 
[,cdca2] [,cdca] | [,acc,a2] [,acc,a] | [,acc1] ,,d [,acc] [,,ab] |";germantab
5a;;14v;Qui habitat / 4or vocum / Josquin;Josquin des Prez;;OT;ConcR1998;;",,,c2 ,,,c1 ,,,c | ,a2 ,a1 ,,e | [,a,c1] [,,,c] [,a,c] [,c,c] | \ 
[,daa2] [,ab1] ,,,c | [da,c1] [dc,c] [cdaa2] |";germantab
5b;;16r;Sec.da Pars. Non accedatt;Josquin des Prez;ff. 17v-18r vac.;OT;ConcR1999;3;"a1 a a | [d,,c] ,,,c [a,,c] | [,db1] d ,,,c | \ 
[ca,,c1] [,a,,c] ,,,,c | [,,ded1] [,,de/] ,,a [,aa,c1] |";germantab
6a;;18v;Audi filia / Gombert ;Nicolas Gombert;;OT;ConcR2708;;"d2 d | a2 f | [f,g1] d [db] f | ,,d/ d b a [bd2] | \  
a/ ,d ,b/4 ,a ,b ,d [ab1] [bd] |";germantab
6b;;19v;Sec. Pars. Specie tua;Nicolas Gombert;ff. 21r-22r vac.;OT;;;"d2 d1 d | f2 d | [ab1] d [f,g] [i,g] | \ 
[d,d1] [c,d] [da] [bd] | [a,b1] ,d/ ,b [,db] ,b ,a/4 ,b ,d a |";germantab
7a;;22v;Vita in ligno / Quinque vocum;Ludwig Senfl;;OT;ConcR1801;;"a2 ,d | [a,,c2] [b,,a] | [aa,c2] [,ddd1] ,b | \  
,,,c1 a [b,,a] ,a | [ab,,d1] d [,a,a] b/ a |";germantab
7b;;23r;Sec. Pars. Qui prophetice;Ludwig Senfl;;OT;ConcR1991;;"a2 [,df] | [a,d1] b ,a [ab] | ,d1 ,a [,bd2] | \ 
,,b1 a b [da] | [ab1] [bd] [da] [ab] |";germantab
7c;;23v;Tertia Pars. Qui expansis;Ludwig Senfl;ff. 24v-26r vac.;OT;ConcR1992;;",,,c2 ,,,c | [,a,a2] [,a,c] | [,,dd1] ,,,d/ ,,,c [,a,a1] [,b,,d] | \ 
[,,d,a/] ,a [,,d,d1] ,,,,c ,,c | \ 
[a,d,a1] [,,b,d] [a,b,d/] ,,,a ,,,c ,,,d |";germantab
8;;26v;Haec dicit dominus / 6 vocum / Josquin;Josquin des Prez;ff. 27v vac.;OT;;;"[a,,c2] [a,,c] | [,cde2] [,cde] | \
[,eabc1] ,,,,c [,eabc] ,a | [,ac,,e2]  [,acc,e1] ,,,c | \ 
[,,,ca2] [,c,cef1] ,,,,c |";germantab
9;;28r;Ung Jour passé avec collette mes batoye secretement;;;OT;;2;",d3 | [f,d3/2] f/ | [cd1] f/ ,d | [ha1] [fd] | \
[fc1] [cd] | ,c/ ,a/4 ,c [,df] ,c ,d a | \
c/ c [f,d] f | [ac/] ,c [df] ,f |";italian7tab
10;;28v;Letare et exultare / p.mo;;;OT;;2;"c2 | c2 | b/ ,e d b | c/ a c/4 a c d | \
[ca/4] a c d c a c/8 a ,d ,c |";italian7tab
11;;29v;Frisque gaillart;;;OT;ConcR1758;2;",,,,c1 ,,,,c/ ,,,,c | ,,,c3/2 ,,,,c/ | \
,,,c/ ,,a ,,c ,,d | [,,c,c1] [,aa,c/] ,,,,c | \
[,a,c/] [,ac] [aa] [,,d,c] | [,,cc/] [,ade] [aac] [ccd] |";italian7tab
12;;30v;Contre Raison N.2;;;OT;;2;"a2 | a/4 ,d ,c ,a ,c ,d a/8 ,d a c | \
d/4 ,,a ,,b ,,d ,a ,c ,d/8 ,c ,d a | [ca1] c |";italian7tab
13;;31r;Trop tost iay creuy prenant tel plaisir;;;OT;;2;"[aabc2] | [caa,c/] a [c,def] d | \
[fc,ca/] ,,,,c [ff,,e] ,,,a | \
[dffc1] [d,fc] | [dffc1] [ddff] | \
[cdda1] [aabc] | [caa,c/] a c/4 a c d |";italian7tab
14;;31v;Jhean de lagny mon belamy;;;OT;ConcR1472;2;"a1 [ca/] e | [fc/] ,e [ef,c1] | [ce,ec/] ,,c [acd,e] ,,,b | \
[eacc1] [,eab/] ,a | [,c,ce/] ,c [,ec,c] ,e | \
[a,ccf1] [,a,c/] [,a,b] | [ac,ce1] [acc/] [a,,,c] |";italian7tab
15;;32r;Recercata a Joan Henrico Herwart;;;OT;;C;"[dabc1] [abb,d] [f,dd] ,d | \
[da,c/] ,c ,d/4 ,c ,a ,c [bd,a1] ,,d | \
[abd1] ,,,c [,db,c] ,,,,,d/ a | \
[bbd,a1] [aab,,d] [,,,,ab/] ,d [,def,d1] |";italian7tab
16;;33r;sans titre;;;OT;;2;"[dabc/] a/4 b d f a ,d | [abb,d1] [,dbac] | \
[bbd,a1] [aab,,d] | [,d,ac1] [,,bcd/] ,b | \
[,bdca1] [,dba,d] | ,a1 [,bbcd] | d1 ,,b | [bbd1] [aab] |";italian7tab
17;;33v;unfinished piece;;;OT;;2;"[,d,a1] ,a/ ,,,c | [,,de1] [,dff] | a1 [c,de] | \
[da,c1] ,c | [cd,a1] ,a/ ,,,c | [,,de1] [,dff] | \
a1 [c,de] | [da,c1] ,,,,,a | [c,d,,c1] [a,b,,d] |";italian7tab
18a;;34r;[La bataglia francese];;part a;OT;ConcR1279;C;"f2 f1 f | [fd2] [fd1] ,d | [cd,a2] [cd,a1] [cd,a] | \
[cd,a/] ,,,,e ,,,a ,,,c [cdda] d [cdda1] | \
,,,,a/ [add] ,c ,a [ac,,a]";italian7tab
18b;;34r;sans titre;;part b;OT;;C;"[acc,a/] ,a ,c ,d [a,d,a] ,d a c | \
[a,d1] ,d [,cd] [,ad] | \
[,,de/] ,,,a [,db] ,,a ,,,c ,c ,d/4 ,c ,a ,c |";italian7tab
18c;;35r;sans titre;;part c;OT;;3;"[cd,a2] [c,d1] | [cd,a1] ,,d ,,,a | [cdaa2] [,,da1] | \
[,daa1] ,,d [c,da] | [cd,a2] [,daa1] | \
[fd,ef1] ,,,,f [,d,,f] | [fdd,f2] [,d,,f1] | \
[fdd,f1] [,d,,f2] |";italian7tab
18d;;35v;sans titre;;part d;OT;;C;"[,dda,a2] [cd/] d | [fd2] [fc1] | [ad1] c ,,d | \
[da1] [ac] [,,d,a] | [cdda2] [,,d,e1] | [,,b,c1] ,,a ,,,,a | \
[,,,ac1] [,,,ce2] | [,,aa2] [cdaa1] |";italian7tab
19;;34v;sans titre;;;OT;;C;"f2 f1 f | [hd/] c/4 e f e f/8 e c e [fd/] ,d a/4 c d a | \
[cd,a/] ,a/4 ,c ,d ,c ,a ,c";italian7tab
20;;36r;sans titre;;preceded by two fragments;OT;;3;"f4 c2 d | [fd2] c [da] ,c | [cd1] d/ c a ,d ,c ,a | \
[acd2] ,,a [aab] ,,d1 ,d | [,cd,a2] a [,,,ac] [,,,ce1] ,,d |";italian7tab
21;;36v;sans titre;;;OT;;3;"f2 f1 f | [fd/] c/4 e f e f/8 e c e [fd1] ,d | \
[cd,a/] ,a/4 ,c ,d ,c ,a ,c [cd,a/] a c/4 a c d |";italian7tab
22;;37v;[Fantasia];Abondante;;OT;ConcR2707;C;"f4 c2 h | [fd2] ,d ,,f [df] | \
[cd1] d/ c d c d/4 c a ,d [acd2] ,,d | \
[fca2] [ca,a] ,,d [cdf,c] |";italian7tab
23;;38r;Ain frannzosisch Liedt gennat;;;OT;;2;",d3/2 a/ | b/ ,d/4 a b ,d a b | [db/] a/4 b d a b d | \
[f,da/] ,,,,d ,,,a ,,,c | [f,dd1] ,,,c/ ,,,a |";italian7tab
24;;38v;Anthonius Rota Super flumina Babilonis de Le Fage;;;OT;ConcR236;C;",d2 [,d,a1] a | [c,,a1] [d,,c] [f,aa] ,,b/ d | \
[c,da1] [a,,ce] [,,a,c/] ,d [,dbac1] | \
[,,d,a1] [,c,c] [,daa] ,,,a/ ,,b | \
[,,da1] [,,,ce] [,daac] [,,b,c] |";italian7tab
25;;39v;A. Rotta. S. parte Si oblitus fuero;;;OT;;C;"[acdca2] [acdca1] [acdca]| [acdca/4] ,a ,c ,d a c d a \
[cdda,a/] f d/4 c a ,d | [acdca/] ,a [fc] ,d [aa,c,c1] [ef] |";italian7tab
26;;40v;Pour Vng petit coup;;;OT;ConcR1690;2;"a/ a c e | [f,d/] ,,d ,a [fc] | [cd/] c f ,d | \
[ea,c/] [,a,c] [cda] ,,c | [a,d,a/] [,c,,a] [,e,,c] [a,d,e] |";italian7tab
27;;41r;Ian de Lany;;;OT;ConcR1472;2;"a1 [ca/] e | [fc/] ,e [ef,c1] | [ce,ec/] ,,c [acd,e] ,,,b | \
[eacc1] [,eab/] ,a | [,c,ce/] ,c [,ec,c] ,e | \
[a,,c1] [,a,c/] [,a,b] |";italian7tab
