PieceNr;Key;PageNr;Name;Composer;Comment;Tuning;Concordances;TimeInz;Tab;TabNotation
1;;1v;[end of piece];;;OT;;3/4;"y y y | y3/2 d/ f1 | [f,,a3/2] d/ c1 | [a,,,a3/2] ,d/ ,c1 | \
[,a,,,d3/2] ,d/ [,cd,a1] | [,d,,c3/2] c/ [a,,,a1] | \
[c,,a3/2] d/ c1 | [a,,,a3/2] ,d/ ,c1 |";germantab
2;;2r;10. Soll den die Treye mein;;missing preceding pages?;OT;ConcR828;none;"[,d,a1] | [,d,a/] {a} [,d,a] [a,,,a] c | {a}3/2 [c,,a/] [c,,a] {a} [c,,a] [a,,,a] [c,,a] {a} | \
[a,,,a3/2] [c,,a/] [d,,c] [c,,a] [a,,,a] \
[,d,,c1] [a,,,a/] ,,,c1 |";germantab
3;;2r;11. Gott gruss Euch schone schaferin;;;OT;ConcR827;3/4;",a/ ,c |: [,d,,c2] [,d,a1] | [a,,,a2] [a,d1] | [c,,a2] f1 | \
[d,,c2] [c,,a1] | [a,,,a3/2] ,d/ ,c1 | [,d,a1] {a} ,a/ ,c | \
[,d,,c3/2] ,c/ ,d1 |";germantab
4a;;2v;12. Passameso;;;OT;;C;",,d/ ,a | [a,,,a/] ,c a c a ,c [,d,,c] ,,c | \
[a,,,a/] ,d a c a d [c,d] [a,b] |";germantab
4b;;2v;13. Saltarelle;;missing pages;OT;;3/4;",,d/ ,a | [a,,,a3/2] ,d/ ,c ,a | [,,d,,c1] [,a,,,d] [,c,ca] | \
[,d{a}1] d c/ a | [c,,a1] [a,d,e] [,d,,c/] ,,c | \
[,c,ca3/2] ,a/ ,c ,e |";germantab
5;;3r;[end of piece];;;OT;;3/4;"y y y | y3/2 ,,c/ ,,a ,,c | [,,e,,c2] [c,,a1] | [c,,a3/2] a/ ,d1 | \
[,c,ca3/2] ,d/ a1 | [,d,,c3/2] ,c/ [,a,,,d1] | \
[,,e,,c2] c/ a | [,d,,c3/2] ,c/ [,a,,,d1] |";germantab
6;;3r;24. Galliarde;;;OT;;3/4;",d/ a | [c,,a/] c c c c c | [c,,a3/2] a/ c e | [f,,,a1] [,a,,c/] f c e | \
[f,,,a1] ,,,c/ ,d [f,,,a1] | [f,,a/] f f f [f,,a] d |";germantab
7a;;3r;25. Kleine Magdlein;;;OT;;C;"[,d,a1] ,d [,d,a] a/ c | [d,,,,d1] ,,,a [dab2] | \
[,d,a1] a/ c [c,,a] a ,d1 | [a,,,a1] ,,,c [acd2] :||:";germantab
7b;;3r;26. Nachdantz darzu;;;OT;;3/4;"[,d,a2] ,d1 | [,d,a3/2] a/ c1 | [d,,,,d3/2] c/ a c | [d,,,,d2] y1 | \
[,d,a3/2] a/ c1 | [c,,a3/2] a/ ,d1 | [a,,,a2] ,,,c1 | \
[acd2] y1 :||:";germantab
8a;;3v;27. Pasameso;;;OT;;C;"[a,,c/] c [d,,c] a | [d,,c1] [f,,e/] [c,,f] [f,,e] [d,,c1] [c,,a] | \
[a,,c/4] a [d,,c1] [f,,a] [c,,a] [f,,a] | \
[d,,c/] ,c ,d ,a [c,,a1] {a}/ [c,,a1] |";germantab
8b;;3v;28. der ander theill zu dem pasameso;;unfinished;OT;;C;"[a,,c/] c [d,,c] a | [d,,c1] [f,,a] [h,,f] [f,,a] [d,,c] [c,,a] | \
[a,,c/] a [d,,c1] [f,,a/] [h,,f1] [f,,a] [d,,c/] ,c |";germantab
9;;4r;1. Nun kumt der Heiden Haillandt;;;OT;;C;"[aabc1] [abd,a] [,daac] [dab,,d] | [cdda/] [abb,d] [caa,c] ,e H[aac,,a2] || \
[aabc1] [dabc] | [fcd,a1] [dabc] | [fdaa1] [ha,f] H[dab,,d2] || \
[dbb,d1] [fcd,a] |";germantab
10;;4r;2. Ein Kindelein so lieblich;;;OT;;C|;"[,dda1] |: [,dda1] [,daac] | [acd,a/] d c a | [dab,,d/] [cdda] [da,c] [acd,a] | \
[,dda{a}1] y/ [cdda] | [acd,a/] c [,daac] a |";germantab
11;;4r;3. Puer natus in Bethlehem;;;OT;ConcR1504;3/4;[dab,,d/] c a ,d [acd,a1] | [,daac/] ,c ,d a [,daac1] |;germantab
12;;4v;4. Gelobet seistu Jesu Christ;;;OT;ConcR1021;C|;"[,dda/] | [,dda1] [,dda] | [acd,a1] [,daac] | [dab,,d/4] ,,,,a ,,,,c ,,,,d [fdaa/] c | \
H[dab,,d2] | [cdda/] d [fdaa1] | [ha,f1] [fcd,a/] d |";germantab
13;;4v;5. O Mensch bewein dein Sinde gross;;Title crossed out;OT;;C|;"[,,dca2] | [,,da,c1] [,acc,a] | [,cdca/] ,a [,,da{a}1] | \
[,cdca/] ,a [,c,,,c] ,e | H[aac,,a2] | [,dda/] ,a [,ca,,c] ,d |";germantab
14;;4v;6. Erstanden ist der Heilig Christ;;;OT;Conc_1765;3/4;"[fcd,a1] | [fcd,a2] [fdda1] | [ecc,e3/2] f/ [ha,g1] | \
[fcd,a3/2] [ea,c/] [caa,c1] | H[aac,,a2] [aac,,a1] | \
[caa,c3/2] e/ [fdde1] | [eac,,a3/2] a/ [cdda1] | \
[acd,a3/2] ,c/ [,dda{a}1] |";germantab
15;;5r;7. Jesus Christus unser Heyland;;;OT;ConcR2044;C|;"[aac,,a2] | [acd,a2] | [,daa,c1] [aac,,a] | [cdda1] [acd,a] | \
[,daacf2] | [,acc,a2] | [,daac1] [acd,a] | [cdda{a}2] | \
[acd,a1] [,ea,c] | H[aac,,a2] | [da,c,a2] | [caa,c1] [abb,d] |";germantab
16;;5r;8. Nun bitten wir den H. geist;;;OT;Conc_377;C;"[,dda2] [acd,a1] [acd,a] | [,daac1] ,c [,aba,d2] | [,,da,c1] [,daac] [,dba,d] [,cd,a] | \
[,dda{a}4] | [cdda1] d [fdaa2] | [ha,f2] [fdaa1] d |";germantab
17;;5r;9. Dannckedt denn Herren;;Title crossed out;OT;Conc_379;C|;"[aabc/] ,d a c | [dabc1] c/ a | [,ea,c1] ,a | [dabc1] [fdaa] | \
[ha,f3/2] [ha,f/] | [fdaa3/2] [dabc/] | [caa,c2] | [caa,c2] | \
[caa,c1] a/ c |";germantab
18;;5v;10. Herr Gott nun sey gebreissett;;Title crossed out;OT;;C|;"[,dda1] | [,dda1] [cdda] | [acd,a1] [,daac] | [,ca,,c1] ,,e | \
[,aabc2] | [caa,c/] ,d a c | [da,c,a/] c [acd,a2] | [cdda1] | \
[aab,,d1] ,d/ ,,a |";germantab
