PieceNr;Key;PageNr;Name;Composer;Comment;Tuning;Concordances;TimeInz;Tab
;;1r;Playing instructions;;;;;;
1;E dur;2r;Aria Larghetto;C.H. Graun;Figlio se più non vivi (Artaxerxes, 1743) - cont'd on f. 22v (unfinished);;;3/4;"[,k{,,a}3/4] i/4 [,k{,,a}1] [,#h{5}] | \
[,'g{,,a}1] {,,a} {,,a} | \
[,c{a}3/4] d/4 [,e,,,a3/4] e/4 [,g{5}3/4] g/4 | \
['e{4}1] {,,,a} {,,a} | \
[i,,,,a1] ,,,,,a [g,,,,a/4] e ,g ,e | "
;;2v;Tuning indications;;;;;;
;;4r;Tablature signs;;;;;;
2;B dur;4v;Cadence;;;;;none;"{,a}/4 ,,,a ,,,c ,,a ,,b ,,d ,a ,b a/ ,f/4 e ([f{,,,a}/] \
e/4) ,f [,d{,,a}/] f {,,a}/4 (f e) ,f ,d (,b ,a) (,,d ,,b ,,a)"
3;B dur;4v;Variaz I;;;;;none;"{,a}/4 (,,,a ,,,c) (,,a ,,b) ,,d (,a ,b) (a c) e f1 \
(h/4 f) (,h ,f) (,,i ,,g) (,,f ,,d) (,,b ,,a) (,,,c ,,,a) \
(,,,,b ,,,,a)"
4;B dur;4v;Variaz II;;;;;none;"(3{,a}/4 ,,,a ,,,c) (3,,a ,,b ,,d) (3,a ,b ,d) \
(3{,a} ,d c) (3e f h) (3h k l) (3l k ,l) (3,l ,i ,h) \
(3,h ,f ,d) (3,d ,b ,a)"
5;B dur;4v;Variaz III;;;;;none;"(3{,a} f e) (3,f ,d ,b) (3,b ,a ,,d) (3{,,a} c a) (3,b ,a ,,d) \
(3,,d ,,b ,,a) (3{4} ,b ,a) (3,,d ,,b ,,,e) (3,,,e ,,,c ,,,,d)"
6;B dur;5r;"Prelude à la maniere de Carillon
 de Sig.re Falckenhagen";A.Falckenhagen;;;;C;"""Arp.""{5}/8 ,,f ,a f ,a ,,f [faf{5}1] [faf{5}] [faf{5}] | \
[hgg{5}1] [hgg{5}] [hgg{5}] [hgg{5}] | \
[kai{5}1] [kai{5}] [kai{5}] [kai{5}] | \
[lal{5}1] [lal{5}] [lai{5}] [lai{5}] | "
7;F dur;5r;Aria 'La sagesse est un grand bien';;;;;C;"[a,d{,a}3/2] e/ [ca{5}1] a | \
[,c{4}1] c/ ,c [aVd{,a}2] | \
[,c{4}3/2] [a{,,,a}/] [c{,,a}1] [e{,a}] | \
[,c{a}3/2] ,a/ [,,dc{a}2] :: \
[,cd{4}3/2] [aa/] [cc{,,,a}] [ed] | "
8;A dur;5v;Praeludium;;;;;none;"[ece,,a1] [ece,,a] [ece,,a] [ece,,a] | \
[dcc{,,a}1] [dcc{,,a}] [dcc{,,a}] [dcc{,,a}] | \
[ece{4}1] [ece{4}] [ece{4}] [eca{6}] | \
[,eae{,,,a}1] [,eae{,,,a}] [,eae{,,,a}] [,eae{5}] | \
[,acd{5}1] [,acd{5}] [,acd{5}] [,acd{,,a}] | "
9;D dur;5v;Praeludium;;;;;none;"[,aab{,,,a}1] [,aab{,,,a}] [,aab{,,,a}] [,aab{,,,a}] | \
[,aab{,a}1] [,aab{,,a}] [,aab{,a}] [,aab{,,,a}] | \
[,cac{a}1] [,cac{,,a}] [,cac{,,a}] [,cac{a}] | \
[,cac{,,a}1] [,cac{4}] [,cac{,,a}] [,cac{a}] | \
[,cac{,,a}1] [,cac{4}] [,aab{,,,a}] [,aab{,,,a}] | "
10;F dur;5v;Praeludium;;;;;none;"""Arp.""{,a}/4 ,,a ,d a [aab{,a}1] [,cbc{,a}] [ada{,a}] |: \
[ada{6}1] [ada{5}] [ada{4}] [ada{,,,a}] :| \
[ada{6}1] [ada{5}] [ada{4}] [ada{4}] | \
[adb{4}1] [,cbc{4}] [ada{a}2] ::"
11;A dur;5v;Cadence Variation III in A-Dur;;see 6r;;;none;"(3{,,a}/ e d) (3,e ,c ,a) (3,,e ,,c ,,a) | \
(3{,,,a}/ ,e ,c) (3,,e ,,c ,,a) (3,,,e ,,,d ,,,,c) | \
(3{4}/ ,,c ,,a) (3,,,d ,,,b ,,,,c) (3,,,,c ,,,,a ,,,,a) | "
12;D dur;6r;Cadence in D-Dur;;;;;none;"{,,,a}/8 (,,,,e ,,,,c ,,,,e) (,,a ,,c ,,e) (,a ,c ,e) ,f \
(,h ,k) (i k) [,,#k3/4] [,,k{,,,a}/4] (k i) (,k ,h) [c(f] \
,e ,c [,a)] (,,e ,,c) (,,,e ,,,c) (,,,,e ,,,,c) | "
