PieceNr;Key;PageNr;Name;Composer;Comment;Tuning;Concordances
;;Luth Solo da Daube;;;;;
1;F dur;1r;Allegro;Daube;;;
2;F dur;2r;Amoroso;Daube;;;
3;F dur;2v;Cantabile;Daube;;;
4;e moll;3r;Adagio;Daube;;;
5;e moll;3v;Cantabile;Daube;;;
6;e moll;4r;Allegro;Daube;;;
7;d moll;5r;Fantasia;Daube;;;
8;d moll;5r;Sonata a 5 - Allegro;Daube;;;
9;d moll;5v;Andante;Daube;;;
10;d moll;5v;Tempo di Menuet;Daube;;;
11;A dur;6r;Entré;Daube;;;
12;A dur;6r;Allegro;Daube;;;
13;A dur;6v;Arioso;Daube;;;
14;A dur;6v;Men alter;Daube;;;
15;A dur;6v;Menuet;Daube;;;
16;A dur;6v;Bouree;Daube;;;
17;A dur;7r;Harlequinade;Daube;;;
18;A dur;7r;Gigue;Daube;;;
