PieceNr;Key;PageNr;Name;Composer;Comment;Tuning;Concordances;TimeInz;Tab;TabNotation
;Faszikel a;Fascicle a;Page nr is a) by Fascicle and b) overall;;;;;;;
1;F dur;a1;Prelude Weiss;;;;Conc_3357;C;"[ccd{4}/] [ccd{4}] [ccd{4}] [ccd{4}] | \
[edd{4}/] [edd{4}] [edd{4}] [edd{4}] | \
[ffd{4}/] [ffd{4}] [ffd{4}] [ffd{4}] | \
[hhi{,a}/] [hhi{,a}] [hhi{,a}] [hhi{,a}] | \
[kii{,a}/] [kii{,a}] [kii{,a}] [kii{,a}] | ";
2;F dur;a2;Menuet;;;;Conc_3783;3/4;"[add{,a}1] (,c/ ,a) (,,d ,,b) | ,,a1 [e,d{,a}] [c,d{,,a}] | \
[e,d{,a}1] (c/ a) (,c ,a) | ,,d1 [h,,,,a] [f{a}] | [h,,,,a1] \
f/ ,h ,f a | [f{a}1] 'e/ ,f [e{,a}1] | ";
3;B dur;a3;Rondeau;Weichenberger;;;Conc_681;C;"a/ ,b | [,'a{d}1] (,,d/ ,,b) [,,a{,a}1] (,,,c/ ,,,a) | \
{,,,a}/ ,,,,a ,,,a ,,b {,,,a}/ ,,b {4} ,,d | [,a{d}1] \
,,d/ ,a ([,b{,,a}] ,a) (,,d ,,b) | [,,'a{,a}1] (,,a/4 ,,b \
,,d/) ,,,a1 (a/4 c a/) | ";
4;D dur;a4;Menuet;;;;;3/4;"{,,,a}/ ,a ,e ,a {,,,a} ,e | {,,a}/ ,c c ,c {,,a} | \
{,a}/ e {,,a} c {,,,a} ,e | [,c{4}/] ,,e ,,a ,,,,c ,,,,,a1 | ";
;Faszikel b;Fascicle b;;;;;;;;
;----;b1,2;[Accord ordinaire];;;;;;;
;----;b3;[Scales];;;;;;;
5;B dur;b4;Menuet;;;;Conc_2350;3;"[f{5}] [f{4}] [f{,,,a}] [f{,,a}] a ,a ,,b a [c{,,a}] \
[a{,,,a}] [,b{4}] [,a{5}] ,,d ,a [,,b{5}] | [f{5}] \
[f{4}] [f{,,,a}] [f{,,a}]";
6;D dur;b6;Intrada;;Partie in D Dur con Violino...Basso C.;;;C;"[baa{,,,a}1] [,cee,a] [,aab{,,,a}/] (,,e/4 ,,c) ,,a/4 ,,,c \
(,,,,e ,,,,c) | {,,,a}/ ,e [c{,,a}] ,e ([,e,,,a/] ,c) ,,a \
[,ce] | [,ce,,a/] [,,ee] [,,ee] [,ea] [,ea,a/] ,a ,a [,ea,a] | ";
7;D dur;b7;Ballo;;;;;2/4;"[,,aba/] ,a [,,e,,a] ,c/4 ,,e | [,a,,a/] (,e/4 ,a) [,c,,,a/] \
c | {,,,a}/ [e{,a}] [c{,,a}] [,e{,,,a}] | ([,c{4}/4] ,a) \
(,,e ,,c) [,,'a1] | [,,cc{a}/] ,a [,,a{,a}] ,a | ";
