PieceNr;Key;PageNr;Name;Composer;Comment;Tuning;Concordances;TimeInz;Tab;TabNotation
1;;120r;1. Carenen Saphicium;;;OT;;3;"[,dda2] [ac,,a1] [c,da2] [da,,,d] [c,da] [ac,,a/] ,d a ,c [,da,c2] [ac,,a1] [c,da2] H[ac,,a] | \
[da,,,d2] [da,,,d1] [ac,,a2] [f,aa1] [da,,,d]";germantab
2;;120r;2. Der schrei / ber im korb recht (?);;;OT;ConcR3215;C;"[f,da2] [h,,f,d1] [f,,ca] | [ca,a/] a c a [,dda1] [f,de] | \
[f,de1] [ea,c] H[f,d,a] | [f,aa1] [f,aa] [da,c/] c d a |";germantab
3;;120v;3. der gutz ganntz;;;OT;ConcR3216;C;"[a,,c,a1] [a,,c,a] c/ a ,d ,c | [a,bc1] [c,de] [da,c] ,a/ ,a | \
[da,c1] [da,c] c/ a ,d ,c | [da,c2] [ha,f1] ,a/ ,c |";germantab
4;;121r;4. Zart schone fraw;;;OT;ConcR2108;C;"[ca,,c2] [ca1] ,,,c | [c,da/4] a c d c/ a [c,da1] [a,d,e] [,d,,c/] [a,,,e] \
[c,da1] [dab] ,,d/ ,,b ,,d/4 ,,b ,,a ,,,c";germantab
5;;122r;5. Wegwart dein art;;;OT;ConcR3217;C;"[a,,c1] ,e/ a c a ,d ,c [,da,c1] a/ ,d ,c ,a \
[,c,ca2] z2 [,cd,a/] ,a ,d ,c |";germantab
6;;123r;6. Es daget vor dem frolz;;;OT;ConcR528;3;"[a,,c,a1] [a,bc] ,,,c/ ,,,a ,,,,d ,,,,c [a,b,d1] a/ ,d a c \
[da,,,d1] d/ c a ,d [,bd,a1] ,b/ ,a ,b ,d";germantab
7;;123v;7. Muter Liebe muter;;;OT;;C;"[,dda2] [,dda1] [ac,,a] | a/ c d a [c,da] a c d | \
[c,da1] [c,da] d/ c d a | [c,da2] [ac,,a1] [,db,,d] |";germantab
8;;124r;8. Weyl ich ein Junges meydlin;;;OT;;C;"[da,,,d/] c d f [da,,,d1] [da,,,d] | f/ d c a [c,da] a c d | \
[c,da1] [c,da2] [c,da1] | [da,,,d/] c d f [da,,,d1] [c,da] |";germantab
9;;125r;9. F du mein schatz;;;OT;ConcR3218;C;"c/ a c e | [f,d,a2] f1 ,,,,a | [f,aa2] [f,aa1] [d,bc] | \
[c,da1] ,,b/ ,,d ,a ,,d ,,b ,,a | \
[d,,c/] ,,,c ,,a ,,b ,,d ,a [ca,a1] |";germantab
10;;125v;10. Nach allem wunsche gar;;;OT;;C;"[a,,c1] ,,,a/ ,,,c ,,a ,,,c ,,,a ,,,,d | [,da,c2] [da,c1] ,c | \
[cd,a2] [cd,a1] [a,,ca] [,d,c] | [,cde1] ,c/ ,a [,cde2] |";germantab
11;;126v;11. In allem Reich ist nit Irs gleich;;;OT;;none;"[,dda1] ,d/ ,c ,f ,d ,c ,d [,db,c2] [,,def1] ,,,a [,b,ca] [,db,c] [,b,cd] ,,,,c/ ,,,,a | \
[,ab,,d1] | [c,da1] ,,,a c/ d f c |";germantab
12;;128r;12. Brauns meydlin murr nit;;;OT;;C;"[a,d,a2] [,cd,a1] [,cd,a] | [a,,ce1] [a,,ce] [,da,c] [,da,c/] ,,c | \
[,cd,a2] z1 [,cd,a] | [a,c,e1] [c,aa] [ca,,c/] a ,d ,c |";germantab
13;;128r;13. Ich hoff die zeyt;;;OT;;C;"[,dda2] ,,,a/ ,,,e ,,,c ,,,a ,,,,d ,,,,c | \
[,b,ca1] ,,,c/4 ,,,a ,,,c ,,a [,ab,,d1] [,bd,,b] | \
[,b,,a/] ,a ,b/4 ,a ,,d ,,b [,,def1] ,,,a |";germantab
14;;129r;14. Yetz scheyden bringt mir schmerzen;;;OT;;C;"[,db,,d2] [,db1] ,,,,,d | [,,,ca/] ,d ,c ,a [,c,ca] ,d a ,c | \
[,d,ac1] [,ab,,d] [,,da/] ,,b ,,d ,,a | H[,db,,d] | \
[d,,a,d2] [da,,d1] [d,,c] |";germantab
