PieceNr;Key;PageNr;Name;Composer;Comment;Tuning;Concordances;TimeInz;Tab
;;;All taken from Pietro Prosser's thesis (1996);Alles Pietro Prossers Thesis entnommen;;;;;
;;;Fasz. B. Galichona;;;;;;
1;;1;Jntrada;;;Mandora;Conc_5049;C;",,,,,a/ (b a) ,d ,b ,,d (,,c ,,a) | \
,,,d1 ,,,c/ ,,,a ,,,,d ,,,,b ,,,,a ,,,,,c |"
2;;2;Teutscher Tanz. Der lustige Hanßwurst;;;Mandora;Conc_5050;3/4;[,bc,,a2] (,,c/ ,,d) | [,b,,a1] ,,c ,,,d | ,,,,d1 y y y
3;;2;Trio;;;Mandora;Conc_5051;3/4;"[fg,,,a1] [fg,,,a] [fg,,,a] | [gi,,,a1] [gi,,,a] [gi,,,a] | \
y y y"
4;;2;Andante.4. Arlequino;;;Mandora;Conc_5052;2/4;"[,bc,,a1] [,dd,,a] | [,bc,,a/] [,bc,,a] [,bc,,a] ,,,a/4 b | \
y y y"
5;;2;Trio;;;Mandora;Conc_5053;2/4;V[,d,a/] ,,c ,,,d ,,,a | V[,d,a/] ,,c ,,,d ,,,a | y y y
6;;3;Menuetto 6. Die verliebte Columbina;;;Mandora;Conc_5054;3/4;"(f/ g) | [i,,,,a/] ,f V,g1 (f/ g) | [i,,,,a/] ,f V,g1 [bb,,a] | \
y y y"
7;;3;Arioso;;;Mandora;Conc_5055;3;f/ d | 'c1 ,,,a ,,,d | ,,,b/ ,d d1 d3/4 b/4 | y y y
8;;4;Andante 8. Il Signore Pantalone;;;Mandora;;2/4;"V[b,,,,a3/4] [,bc,,a/4] [,bc,,a3/4] [,dd,,a/4] | \
[,dd,,a3/4] [,bc,,a/4] [,bc,,a1] | \
,,,,,a/ ,,,,,a/4 ,,,,,c ,,,,a/ ,,,,a/4 ,,,,b | \
,,,,d/ ,,,,d ,,,,,a1 |"
9;;4;Teutscher Tanz 9. Der dume Peterl mit dem Pock;;;Mandora;Conc_5056;3/4;"([b,,,,a/] a) (d a) Vb1 | ([b,,,,a/] a) (d a) Vb1 | \
([,b,,,a/] ,d) ,b ,,d ,,c ,,a |"
10;;4;Trio. 10. Die einfältige Lisel mit der Leyer;;;Mandora;Conc_5057;2/4;[,g,,,a/] ,i f g | Vi1 f/ ,g | Vg1 ,i/ ,f | y y y
11;;5;Arietta. Der verliebte Leander;;;Mandora;;3/4;",,,,,a/ ,,c ,b b f i | i1 g [fg] | ,,,,d/ ,,a ,b a d g | \
y y y"
12;;5;Palletto 12. Der Hanswurst u[d] Columbina;;;Mandora;Conc_5058;3/8;"[,,c,,a/] ,b ,,c | [,,d,,a/] ,d ,,d | [,,a,,a/] ,,d ,,a | \
[,,c,,a/] (,,c/4 ,,a) ,,,d/ | y y y"
13;;5;Trio. 13. Columbina Solo;;;Mandora;Conc_5059;3/8;[,d,a/] b ,d | Vf1 ,,,,a/ | [,d,a/] b ,d | y y y
;;;Solo;;;;;;
14;;6;Cantabile;;;Mandora;;6/8;"a/ | V[f,,,a3/4] a/4 ,d/ [,bc,a3/4] ,a/4 ,,c/ | \
[bd,,a1] [ab,,a/] [ab,,a1] Vf/ | y y y"
15;;7;Allegretto;;;Mandora;;2/4;"V[f,,,a1] [a,,,,a/4] ,d (,b ,a) | \
V[,,c,a1] (,,,c/4 ,,,a) ,,,,d ,,,,c | y y y"
16;;8;Tempo di Menuetto;;;Mandora;;3/4;"(3[f,,,a/] h f) (3[f,,,a] h f) (3[f,,,a] h f) | \
Vh1 ,,,,,a ,,,,,a | y y y"
17;;8;Trio alternat.;;;Mandora;;3/4;"(3,,,,a/ ,,c ,c) (3a ,c ,,c) ,,,,a1 | ([f,,,a1] e) [cd] | \
[ac1] [,de] [,cc,a] | y y y"
18;;9;Cantabile;;;Mandora;;3/4;"V[,d,a/] ,,,,,a V[,d,a] ,,,,,a [,d,a/4] a ,d a | \
[cd,a/] ,,,,,a [cd,a] ,,,,,a ([c,,a/4] a) (c d) |"
19;;10;Menueto;;;Mandora;;3/4;V[,d,a1] ([,c,,a/] ,d) a ,c | V[,,d,a1] ,,,,a ,,,,,a | y y y
20;;10;Trio;;;Mandora;;3/4;"V[,d,a3/4] ,,,,,a/4 ,,,,,a1 [ac] | \
[bd3/4] ,,,,,a/4 ,,,,,a1 [df] | y y y"
21;;10;Polonese;;;Mandora;;3/4;"V[,d,a/] ,,,,,a V[,d,a] ,,,,,a V[,d,a] ,,,,,a | \
[,c,,a/] ,c/4 a [,d,a/] ,d/4 c V,,c1 | y y y"
22;;11;Trio;;;Mandora;;3/4;"[,d,a3/4] (b/8 a) [,d,a/] ,,,,a ,,,,,d ,,,,,a | \
[,d,a3/4] (b/8 a) [,d,a/] ,,,,a ,,,,,d ,,,,,a | y y y"
23;;11;Menuet;;;Mandora;;3/4;,,,,,a1 c/ ,d (d a) | ([,d,,a1] ,c) V[,d,a] | y y y
24;;11;Trio;;;Mandora;;3/4;"(3,,,,a/ ,c a) (3,,,,a ,c a) (3,,,,a ,c a) | \
[cd,a1] [cd,a] [cd,a] | y y y"
25;;12;Ungarischer Tanz;;;Mandora;;2/4;,,,,,a/ [cd] [ac] [cd] | [df,,a1] [ac,,a] | y y y
26;;12;Trio;;;Mandora;;2/4;,,,,,a/4 ,,c ,d b f/ f | [f,,,,a1] b/ ,d | y y y
27;;12;Türkischer March;;;Mandora;;C;"V[,,c,a1] [,,c,a] [,,c,a] (,a/ ,c) | \
([,d,a/] ,c) ,d a [,d,a1] ,,,,,a | y y y"
28;;13;Arlequinate;;;Mandora;;2/4;"V[,d,a/] ,,,,a ,,,,,e ,,,,,a | V[,d,a/] ,,,,a ,,,,,e ,,,,,a | \
y y y"
29;;13;Trio;;;Mandora;;2/4;,,,a/4 ,d b ,d ,,,a ,f d ,f | ,,,a/4 ,g f ,g ,,,,,a1 | y y y
