PieceNr;Key;PageNr;Name;Composer;Comment;Tuning;Concordances;TimeInz;Tab
1;F dur;0v;[Sarabande];;Sarabande de Madame Francoise;PAN 5.004;Conc_284;;"{,a}1 ,,d {a}  [,,d,,a3/2] ,a/ ,,d1  [,,'b{a}3/2] ,,d/ [,,a{,a}1]  \
[,,,'c{4}2] ,,,a1 || {,a}1 ',,a2 "
2;F dur;1r;[Sarabande];;;;;;{,a}1 [edaa] [edaa] {,,a} 'c2 {,,,a}1 [aaaa] {,,a} {,a} ['c{4}2] ||
3;d moll;1v;Sarabande de Launay;;;;Conc_4521;;"[,aaa{,,,a}1] ,c [a,,,a] |  [,c,,,a3/2] a/ [,a,,,b1] | \
,,,a/ ,,,c ([,,a,,a] ,,b ,,d) | [,,b,c,a3/2] ,,a/ [,,aad{,a}1] | \
[,,,c{4}1] [,,,ccd3/2] ,,a/ |"
4;d moll;2v;Courante de Launay;;;;;;",a/ | [,aaa{,a}3/2] ,c/ a c | [aa,,a1] [c{,,a}3/2] e/ | \
[edaa{,a}3/2] c/ ['a,,,,a] ,c | [,a,,,b1] [,'cb{a}3/2] ,a | \
,,,,,a/ ,,,e ,,e ,a ,c"
5;d moll;3v;almende de Launay;;;;Conc_4116;;"[,aaa{,a}3/2] ,c/ [ac,,a] ,a [ec,,,e/] c/  | [‘a,,,a3/2] [,c,,,d/] [,a,,,b] ,,,,,a [,'cb{a}3/4] ,a// | \
[,,ee,a/] ',,,c ,a ,,,,c [,aa,d/] {a} [,a,,,a3/4] ,,e// | [,aaa{,,,a}]"
6;d moll;4v;Prelude;;;;;;{,,,a/} ,,a ,a ,c a ,a a c ,,,,a ,a e 'c ,,,,,e ,,a ,c a c ,,,,a ,a a ,,,,,d ,c a 
7;d moll;4v;Sarband de Launay;;;;;;"[,aaa{,,,a}1] c e | ,,,,,e/ ,c e c ['a,,,a1] | {a}/ c ['a,,,a] ,c a1 | \
[,ca,,a3/2] ,a// ,,e ,a1 ||  "
8;A dur;5v;Prelude sur le second accort de Mr. de Launay;;;;;;,,,,,a/ ,,a ,,c ,,e ,a ,,,,c ,,,,,a ,,a ,c ,,,,a ,,a ,e ',c ,a ,c ,,,,,e ,c
9;d moll;6v;Courante de Launay sur l'accord Commun;;;;;;",a/ 'a c |  e1 ,,,,a ,,,,c |  [e,,,d1] c3/2 a/ |  ,c1 ,,,,,a/ a ,c {a} |  \
[,aa{,a}1] [,,'c{,,a}3/2] ,,e/  [,aaa{,,,a}1]"
10;d moll;7r;Sarabande du uieux Gautier;;;;;;"[,af3/2] ,a/ ,a ,c |  [,,e1] ,,,,,a ,,a ,,,c ,,a | ',,,a1 ,,,,a/ ,a (3,a,c,d  | \
',a1 ,,,,,a ,,,a |"
11;a moll;8v;almende Gigue de Launay;;;;Conc_4522;;",,a/  | [,,aeca3/2] ',,c/ ,,d ,,a [,c,d] ',a | ,,d/ ,,,,,a ',,,c ,,,a (3,,a,,c,,d [,,'c,a3/4] ,,a// | \
,,,,c/ ,,,d {,,a} "
12;a moll;9v;Courante de gautier;;;;Conc_16;;",c/ ,,,,,a ,c  | ,,a3  |  {b}/ ,,c ,,,,c3/2 ,,c/  | [,,d,,a3/2] ,,a/ ,,c ,,d  \
,,,,,c/ ,a {a}3/2 ,c/  | [,cdc{4}3]"
13;a moll;10v;Sarabande de gautier;;;;Conc_2;;"[,cde1] e/ ',,,c ,,,a e |  [c,,,c/] ,c c ,,c ,,d e |  \
,,,,a/ ,a a ,,d ',,c a |  [,c,c,d3] "
14;a moll;11v;almende Gigue de uieux gautier;;;;Conc_1298;;",c/ ,,d ,a  |  ,c ,,a e ,,c ,,d e ['da] b |  \
[dc3/2] ',a/ ,,d e ,,c 'd  |   e/ ,,a "
15;a moll;12v;Courante de Launay;;;;;;",,,d/ ,,a ,,c  |  ,,c/ V,,d ,,,,,a1 ',c/ ,c  |  [,c{a}1] [e{,a}/] ,c ',a e  |  \
[d{,,a}/] [dd] [ee1] [gg]  |  [hh,,,a1]"
16;a moll;13v;Sarabande de Launay;;;;Conc_1990;;"[,,a,,a1] [,,c{b}] [,,d,,a] |  [,,'cc{a}3/2] ,,d/ [,,aa{,a}1]  |  \
[,c{,,a}1] ,,,,c [,aa,d1]  |  [,'a{a}3/2] ,,d// ,a ,,d1 "
17;F dur;14v;Air du balet Dioniso;;"Lully Les Pecheurs de corail  ""Les Amants magnifiques""";;Conc_4528;;"[adda{,a}2] [c{,,a}3/2] c/  |  [ed{,a}3] e1  | \
 [f{a}1] [e{,a}] [c{,,a}] [a{,,,a}] | [,c{4}3/2] ,a/ [,,d,,a2]"
18;F dur;15r;[Les Bergers];Lully LWV 38/2; 'George Dandin';;Conc_339;;"a1 | [adda{,a}3/2] ,c/ ,a1 | [,,d,,a2] ,a1 | [,a,,,b1] [,,d,,a] [,,b{a}] | \
[,,'a{,a}1] ,,,a ,,d1 | [,,d,,a3/2] ,a/ ,c1 | [a,,,,a] [,a,,,c3/2] c/ | [,'c{4}2] ||"
19;F dur;15v;almende de Launay;;;;Conc_171;;"[,,aad{,a}3/2] [,,b{a}/] [,,da,a] ,,,,d [,'ab{a}3/4] ,c// |  \
[add{,a}3/2] ,,,a/// ,,d ,a ,c [a{,a}/] (3ace ['c{,,a}/] [a{,,,a}] |"
20;F dur;16v;Courante cauallerie de Launay;;;;Conc_3701;;"a/ |  [adda{,a}3/2] c/ e1 |  [ed{,a}1] ['c{,,a}] [a{,,,a}] | \
[h{4}3/2] h/ f ,h  |  [f{4}1] ['f{,,a}3/2] ,h// f  |  ,h1 {,a} ,,,a "
21;F dur;17v;Sarabande graue de Launay;;;;Conc_2147;;",,a/ |  [,,aadd{,a}1] ,,a3/2 ,,b/ |  [,,dccd{,,a}3/2] ,,d/ ,,d1 |  \
[,aaa{,,,a}1] [,'cd3/2] [a,c/]  |  [,'cd{4}3/2] ,a/ ,,d ,,,,,b  |"
22;C dur;18v;almende de Launay;;;;Conc_4523;;",,d/ |  [,,dccd{4}3/2] ,a/ ,c ,,d a ,,c | \
[,cd/] a// c e/ ['cc] [aa] [,cd] [,'aa{,a}/] ,,d  | "
23;C dur;19v;Courante de Launay;;;;Conc_4524;;",,d/ |  [,,dccd{4}3/2] ,,,c/ ,,a ,,c  |  [,,de1] ',,,c ,,,b/ ,a  |  \
[,,'cc1] {a}/ ,,d ,a ,c  |  a/ ,,,,c ['aa,,a3/2] ,c// a  |  ,c1"
24;C dur;20v;balet pour Le roy a chambourt;;Lully Ballet de Flore 1669;;Conc_4529;;" [,,d{4}1] ,,d/ ,a  |  [,c,,,d1] ,c/ a [c,,,c1] c/ a |  \
[,'c,,,d1] ,c/ a [c{,,a}] e [c{,,,a}] a  |  [,'c{4}1]"
25;F dur;21v;La Suisse de Launay;;;;Conc_3718;;"[,,,ad{,a}2] [,,,'c{,,a}3/2] ,,,c/  |  [,,a{,a}1] ,,,a1 [,,d,,a] [,,d,c]  |  \
[,,d,d1] ,a/ ,c [adda{,a}1] a  |   [adaa2] [,,d,,a/] ,a [,,d{a}] ,,b  |  [,,a{,a}/]"
