PieceNr;Key;PageNr;Name;Composer;Comment;Tuning;Concordances;TimeInz;Tab
;;;Heft 1 (Duo für 2 Lauten);Heft 1 (Duo for 2 lutes);Ex A# Liutho Primo;;;;
1;A dur;f.01-1v;Introd=;;;;;2;",,a/4 ,,c | [,,e{6}/] ,,e/4 ,a ,c/ ,e/4 d | [e{4}/] ,c [,ce{4}] \
,c | [,e{,,,a}/4] e d e [,c{4}/4] e d e | e/ ,c [,ce{4}] ,c | "
2;A dur;f.01-2v;Andante;;;;;3;"[,h,,,a1] [,h{a}] [,h{,a}] | [,h{,,a}1] [,h{,,,a}] [,h{4}] | \
[gh{,,,a}/] k ([i{,,a}] g) (,h ,g) | [,,ae,a1] [,,ae{a}] \
[,,ae{,a}] | [,,ae{,,a}1] [,,ae{,,,a}] [,,ae{4}] | [,,c{,,,a}/] \
,a ([,,e{,,a}] ,,c) ,,a ,,,d | "
3;A dur;f.01-3r;Menuet;;;;;3;"[ece,,a1] ,,a [,,a{4}] | ([,,a{6}/] ,,e) [,,c{,,a}] ,,,d \
[,,a,,a1] | [,ce,,a1] ,,a [,,a{4}] | ([,,a{6}/] ,,e) \
[,,c{,,a}] ,,,d [,,a,,a1] | ([,e{,,,a}/] ,c) ,e1 [,c{4}] | "
4;A dur;f.01-3v;Vivace;;;;;3/8;",c/ | [ece,,a/] ,,a [,,c{,,a}] | [,,e{6}/] [,a{5}] [,c{4}] | \
[,e{,,,a}/]> c ,e/ | [,e{,,,a}/] [,c{4}] ,c | [,a{5}/] (,e/4 \
,c) ,a ,,e | [,,c{a}/] ,a/4 (,,e ,,c ,,a) | "
;;;;;Liutho Secundo;;;;
5;A dur;f.01-5r;Introd=;;;;;2;",,a/4 ,,,d | [,,a{6}/] ,,a/4 ,,c ,,e/ ,d/4 e | [ec{4}/4] ,a \
,,e ,a [,ce{4}/] ,c | [e{,,,a}/] ,e/4 e [,'c{4}/] e | [ec{4}/] \
,c/4 ,a [,,e{6}/4] ,c e/ | "
6;A dur;f.01-5v;Andante;;;;;3;",,,,,a/ ,,h ,h i ,h ,,h | {,,a}/ ,,h ,h i ,h ,,h | [gh{,,,a}1] \
,g [,'g{,,a}] | ,,,,,a/ ,,,,c ,,,e ,,e ,,,e ,,,,c | "
7;A dur;f.01-6r;Menuet;;;;;3;"[,,ae,a1] ,,a [,,a{4}] | ([,,e{6}/] ,,a) [,,,d{,,a}] ,,c \
[,,a,,a1] | [,,ae,a1] ,,e ,c | ([,,e{6}/] ,,a) [,,,d{,,a}] \
,,c [,,a,,a1] | [,ac{5}/] ,,e ,a1 [,,e{6}] | "
8;A dur;f.01-6r;Vivace;;;;;3/8;",c/ | [,,e,,a/] ,,a [,,c{,,a}] | [,,a{6}/] ,,c ,,e | \
[,ac{,,a}/]> ,c ,a/ | [,a{5}/] [,,e{6}] ,,e | [,,c{5}/] ,a \
,e | [,a,,,c/] ,,c ,,a | "
;;;Heft 2 (Solo?);;Ex A#;;;;
9;A dur;f.02-1v;Capricio;;;;;2;"[ece,,a/] e [ec{a}] e | [ec{,a}/] e [ec{4}] e | ([g{,,,a}/4] \
e) (,g ,e) ,,h/ k | ([i,,,,a/4] g) (,h ,g) V[,h1] | "
10;A dur;f.02-2r;Adagio;;;;;3;"[,,ae,a/] (,,e/4 ,,c) [,,'a{,a}1] {,,a} | [,,a{,,,a}/] (,,e/4 \
,,c) [,,'a{4}1] {5} | ([,,a{6}/4] ,,c) ,,e ,a ,c1 [,ea{,,,a}] \
 | {,,a}/4 ,,,d ,,c ,a [,,'e,,a1] {6} | "
11;A dur;f.02-2v;Allegro;;;;;2;"[ece,,a/] ,,a [,,'a{4}] ,,a | ([,,a{6}/4] ,,c) ,,e ,a [,c{4}/] \
,,a | [,,'a{6}/] ,,a ([e,,,,a/4] d) e ,c | [,e,,a/] [,c,,,e] \
{,,a}/4 ,,,d ,,c ,a | "
12;A dur;f.02-3r;Paysan;;;;;2;"[,,a{6}/] [,,c{5}] [,,e{4}] [,a{,,,a}] | [,c{,,a}1] [,e{,a}] | \
([e{,a}/4] d) ,e d e/ ,e | [,c{,,a}1] [,e{,a}] | [,c{,,,a}/] \
,a/4 ,,e ,a/ ,,c | [,,e,,a/] ,c {6}1 | "
13;A dur;f.02-3v;Menuet;;;;;3;",,,,,a/ ,,e ,c ,,e e1 | ([i,,,,a/] g) ,h1 {a} | [,h{,a}/] \
,g ,h g [,h{,,a}] g | ([i,,,,a/] g) ,h1 [,,h{4}] | "
14;A dur;f.02-4r;Vivace;;;;;3/8;"[,,a,,a/] ,,e ,c | e3 | [,h{6}/] (i/4 g) (,h ,g) | ,h3 | \
[,e{,,,a}/] ,a ,,c | [,c{4}/] ,,e ,,a | {5}/ [,ac] [,,e{6}] | \
[,,'c{,,a}3] | "
;;;Heft 3 (2. Laute);Heft 3 (2nd lute);;;;;
;;;;;Ex D# Liutho Secundo;;;;
15;D dur;f.03-1v;Allegro;;;;;2;",,a/ | [,,,,a{,,,a}1] ,,,b | ,a/ ,a/4 ,,a e1 | ([,a{,,,a}/4] \
,c) (,e ,a) e1 | [c{5}/] c/4 ,c [,e{,,,a}/] (,e/4 ,a) | \
[,c{a}/] ,c/4 ,,e [,a{,a}1] | "
16;D dur;f.03-2r;Menuet;;;;;3;",,a1 | [,a{,,,a}/] ,,a ,c ,,a ,e ,,a | [e{,a}2] ,e1 | \
([,e{a}/] ,c) (,c ,a) [,c,,,a] ,,e | [,aVf,a2] ,e1 | [,'a{5}2] \
,c1 | [,,'e{6}2] ,,c1 | "
17;D dur;f.03-2v;Andante;;;;;3;"{,,,a}/ e (,e ,a) ,e e | {,,a}/ c ,c ,,e ,c c | [,aa{,a}1] \
[,c{a}] [,,'e,,a] | [,af,a1] ,,,,,a {,,,a} | {,,,a}/ ,,,,c \
,,,b ,,a ,,,b ,,,,a | "
18;D dur;f.03-3r;Har:;;;;;2;"[,aa{,,,a}/]> ,c ,e/ c | [,e{,a}/]> c ,e/ ,c | [,e{,,,a}/4] e \
(,e ,a) [,c,,,a/4] c ,c ,,e | [,af,a1] {,,,a} | [,a{,,,a}/] \
,,a ,e ,,a | "
19;D dur;f.03-3v;Menuet;;;;;3;"[,a{,,,a}/] e c ,e (,c ,a) | [,,'e,,a1] {a} {,a} | {a}/ ,c c \
,c ,,,,,a ,,e | ([,e{,,,a}/] ,c) ,e c ,e1 | {,,,a}/ ,,f ,e \
,,f g1 | "
20;h moll;f.03-3v;Trio;;;;;3;"{5}/ ,,c ,,,b ,,c ,,,,a ,,c | [,a{5}/] ,,e (,,c ,,e) ,a ,,c | \
(,e/ ,a) ,,c ,a ,e ,,c | [,a{5}/] ,,e (,,c ,,e) ,a ,,c | "
21;D dur;f.03-4r;Polon.;;;;;3;"[e,,,,a/] [e,,,,a/4] [c{a}] [,e{,a}1] [,c{,,a}] | [,a{,,,a}/] \
(,a/4 ,e) [e{,a}1] [c{,,a}] | [,aa{,,,a}/] ,e ,,,,,a/4 ,,e ,c \
,,e [,a,,a1] | {,,,a}/4 ,,,,c (,,,b ,,,c) [,,,b{,,,a}1] \
[,,,,a{,,,a}] | "
