PieceNr;Key;PageNr;Name;Composer;Comment;deuNotes;engNotes;Tuning;Concordances;TimeInz;Tab
1;d moll;1v;prelude;;;;;;;C|;",a/ ,,,,a ,,,a ,,a ,,,,c ,,,c ,,d ,,,,a ,,,a ,,b \
,,,,,d ,,,,,c ,,a ,,,,,b ,,,,a ,,,a ,,,,c ,,,,,a"
2;d moll;2r;Gavotte;;;;;;Conc_4491;C|;"[,aaa{,,,a}1] [,,d{,,a}/] ,,b [,,aa{,a}1] ,,,a/ ,a | \
,,,,c/ ,c ,,,,a ,d '[,ca,,a1] [,aaa{,,,a}] | \
X[,daa{,a}1] '[,c{a}/] ,a [,,d,,a1] {d}/ ,,a |"
3;d moll;2r;Sarabande;;;;;;Conc_5365;3;"[,aaa{,,,a}3/2] ,d/ ',c ,a | '[,,d{,a}1] > ,,,f [,,a{,a}] | \
{a}/ ,,,,a ,,b ,,,,c {,a} ,,a | '[,,,c{,,,,a}3/2] ,,,a/4 ,,,,c ,,,a1 |"
4;d moll;2v;Gigue;;;;;;Conc_5366;3;",a/ | [,aaaa1] > ,c V,d | [,daa{,,,a}1] > ,c ,a | \
[,,dc{,,a}1] > ,a ',,b | [,,aa{,a}2] {a}1 | '[,,aa,a1] > ,,b V,,d |"
5;d moll;3r;Sarabande;;;"Schluss fehlt im Film; evtl wurde eine Doppelseite nicht aufgenommen.";"End is missing; possibly a double page hasn't been photographed.";;Conc_2875;3;"[,aaa{,,,a}1] ,c ,,,,a/ ,d | '[,ca,,a3/2] (,a/4 ,,e) ,a1 | \
[,aaa{,,,a}1] [,aaa] ,a | '[,,d{,,a}1] > ,,,f [,,a{,a}] | \
[,,a{,a}1] [,,da] ,a | '[,,b{a}1] > ,,a [,,aa] | "
6;d moll;3v;Air;;;"Anfang fehlt im Film; evtl wurde eine Doppelseite nicht aufgenommen.";"Beginning is missing; possibly a double page hasn't been photographed.";;;;
7;d moll;4r;Rigodon;;;;;;;C|;"[eaa{,,,a}2] X,d1 > c | [eaa,a3] ,f/ e | \
[f{a}1] [e{,a}] [c{,,a}] V[e{,a}] | '[aaa{,,,a}2] ,c1 [,aa,a] | \
'[aaa{,,,a}2] [,c,,,a1] > a | "
8;F dur;4v;Menuett;;;;;;;3;"[e{,a}/] f 'e ,f [a{,,a}1] | [,c{,,,,a}/] ,d ,c ,a [,,d,,a1] | \
[a,d,,a/] > c 'a > ,c [,a,,,b1] |"
9;d moll;5r;Menuett;;;;;;;3;"[,afa{,,,a}2] [,af1] | [,ca,,d2] [,ca,,d1] | [,d,,a1] [,c,,,d] [,a,,,b] | \
[ece,,a2] [ece1] | [,afa{,,,a}2] [,af1] | [,ca,,e2] [,ca{a}1] |"
10;F dur;5v;Chaconne;;;Schluss fehlt im Film und evtl. ebenfalls im Manuskript;End is missing in film is missing in film and probably also in the manuscript.;;Conc_308;3;"[,,aa{,a}1] ,,b ,,d | [,,dc{,,a}1] > ,,b [,,aa{,a}] | \
[,,baa{,,,a}1] {,,a}/ ,,d {,a} ,,a | '[,,,c{,,,,a}3/2] ,,,a/4 [,,,,(c] [,,,ad)1] :|| "
