PieceNr;Key;PageNr;Name;Composer;Comment;Tuning;Concordances;TimeInz;Tab
;;;page numbers as at page bottom of ms;;;;;;
1;d moll;3;Entrée de Luth P.;G. Pinel;;;Conc_3615;C;",a/ ,,a ,a [,'c] a ,a e1 {,,,a} ,,,,a ,,,a ,,a ,a e e e \
,,,,a ,,,,,e ,c ,,a"
2;d moll;4;Brandle des Frondeurs;G. Pinel;;;Conc_92;C;"[,a,,a/] ,c a c | [e,,,,e1] ,c ['aaa,a3/2] ,c/4 a | \
,c1 ,,,,,a [,,a{,a}/] ,,c ,,d ,,a | [,a{,,,a}1] ,,d"
3;d moll;6;Courante P.;G. Pinel;;;Conc_3616;3;"e/ ,f/> e | [,'d1] ,,f/ a [,'ca] a | ,,b/ ,a [,abc1]> ,c | \
,,,e/ ,,e ,,,,,a ,a ,c ,,a | "
4;d moll;8;(Sarabande);Rochechouart, G. de;Se voi luci amate;;Conc_5095;3;"[,aaaa1] | 'e/> ,,,,a [ec,,,e1]> e | [ed,,a1] [eef1]> ,e | \
V[,f{a}1] ['c,c1]> a | [,'c,,,d1] [,cdc1]> [a,,,,a] | \
[,a,,,'b1] [,a,c1]> ,c | "
5;d moll;10;Courante P.;G. Pinel;;;Conc_3617;3;"e/ | [eda{,,,a}3] | {a}/ c ,a e 'c ,d | \
[,'c1] ,,,,,a/ ,d [,'c] ,a | ,,,e/ ,,e [,a,f] ,,a \
[,'c,a] e/4 ,c | a1"
6;d moll;12;Prelude P.;G. Pinel;;;Conc_3618;C;",,a/ [,,ae1] {,,,a} [,,,'c/]> ,,a [,,,'a1] ,,,,c/4 ,,,a \
,,,,,f ,,,,a1 ,,,a ,,a ,,,,,d [,,,,,'b2]"
7;d moll;14;Allemande P.;G. Pinel;;;Conc_3619;C;",,a/ | [,,aaa{,,,a}1] ,,,,a/4 ,,,c ,,a ,,c V[,,d,,a/] ,,a \
{d}/4 ,,a ,a ,,,c | [,,ee,a/] ,,,e [,,,'c] V[,,,e] \
[,a,'a] e ['c,,,c] V[e,e] | "
8;d moll;16;Courante P.;G. Pinel;;;Conc_3620;3;",a/ | [,aaa{,,,a}3] | ,,,,,a/ ,,d ,,,a ,a {a} ,,b | \
[,,aadd{,a}3] | {4}/ ,,,c ,,,,c ,,a {,,,a} ,,,a | [,,baa3/2]"
9;d moll;18;Sarabande P.;G. Pinel;;;Conc_3621;3;"{,,,a}1 | [,aaa1] [,aaa] {a} | [,,'cca2] {,,a}1 | \
[,,dcc1] ,,,,,d {,a} | [,,aad2] ,,,,,b1 | [,,,aa1] \
[,,,,,'a] {a} | [,,,'ca1]> ,,a [,,,'a1] | "
