PieceNr;Key;PageNr;Name;Composer;Comment;Tuning;Concordances;TimeInz;Tab;TabNotation
;;;Incipits prepared with the help of Sarge Gerbode's transcriptions on his website;;;;;;;
1;;1v;Ich stund an einem morgen. Iuo d Vento;Ivo de Vento;;OT;ConcR2054;C;"f1 [fh/] ,h [,hi] [,hi] [,hi] ,,i | \
[fhi1] [,hik/] ,,,k [,fhh] [,fh] [,ddef] [,d,e] | \
[,dfec/] ,,,e [,d,f,d] ,,,,d";germantab
2;;1v;Ich solt ein mal spazieren gehn. Iuo d Vento;Ivo de Vento;;OT;;C;",d1 [fd/] ,d [f,d] f [,df1] | [ac/] ,d/4 a [cd1] [,,da] [cdda/] ,,,a | \
[acd,a/] [acd] [da,ac] c [a,dce] f [fddef] ,,d |";germantab
3;;2v;Ach medlein fein, ich bin dir von Herzen Gold. Iuo d Vento;Ivo de Vento;;OT;ConcR2055;C;"a/ ,d [a,,c/4] ,d a c [dffc] c ,f ,d ,f c d f | \
[hi,,h/] f ,i ,h/4 ,f [hhlk,h1] [hh,k] |";germantab
4;;2v;Ich waiß mir ein feins brauns megedlein. Iuo d Vento;Ivo de Vento;;OT;ConcR2056;C;"[,df/] ,,c/4 ,,d [c,f] ,c ,,d ,f [ccf1] [cef/] [cef] | \
[aa,g1] [cce] [cef] [df,c] | \
[cef,c1] [,,,ec] [,,a,eg] [,aabc/] [,,abc] |";germantab
5;;3v;Mir ist ein feins brauns Megedlein. Iuo d Vento. 5 Voc;Ivo de Vento;;OT;ConcR2057;C;"f1 [cd/] a/4 c [acd/] [ac] [,ab] [,d,f] | \
[,,de/] [cd,a] [add] [acd] [cdda/4] a c d [fd,ef/] [,,de] |";germantab
6;;3v;Frisch ist mein Sinn. Iuo d Vento. 4 Voc;Ivo de Vento;;OT;;C;"f1 [cd/] ,d [fcd] ,,d [,daa] ,,,a | \
[,,d,e/] ,,,,a [c,,a] ,d [,df] [a,d] [cd,a] ,,d | \
[,,,ac/] [,,,ca] [,daa] f";germantab
7;;4r;Wo soll ich mich hin kehren? Iuo d Vento. 3 Voc;Ivo de Vento;ff.4v-6r empty;OT;;C;",a1 [c,d/] ,,a [a,d] [,cd] [,dff] ,f | \
[,cde/] [,,de] [,dff] [h,ff] [fca] [cd] [df,c] d | \
[cd/] ,,f [fcd] ,,a";germantab
8;;6v;Come Laura vit' amor. A 6 C T D;Phil. Di Monte;;OT;ConcR2066;C;",c4 | ,c4 | [bc4] | [ce4] | [egh1] ,h/4 e [fh2] | \
[e,h/] ,h ,f ,e ,h ,g ,h ,g ,e ,g |";germantab
9;;6v;Su su su. A 6 C T D;Gio Ferretti;;OT;;C;"a1 a [hf] [hf] | [hi,,h1] [h,,,h/] ,h [dffc] ,d [aa,c1] | \
[a,b/] ,b [illh1] [hhkk,h] [,,k,,h] | \
[hklkk,a1] [,k,k,a] [hfffh] [h,f,h] |";germantab
