PieceNr;Key;PageNr;Name;Composer;Comment;Tuning;Concordances;TimeInz;Tab;TabNotation
1;;1r;Ha tu mich genommen mitt 2 stimmen;;;OT;ConcR2013;3;"[,,d,a1] | [a,,,d2] [a,,,d1] | [a,,,d1] b/ a ,d ,b | \
[,db2] [,db1] | [,db2] [,db1] | [a,,,d2] [a,,,d1] | [,db2] [,bd1] | \
[,a,c2] [,a,c1] | [,a,c2] [,a,c1] |";germantab
2;;1r;Iam satis terris mit 3 stimmen;;;OT;;none;"[,dda1] [,ab,,d2] [,ab,,d] [,ab,,d] [,ab,,d] [,dda1] [,dda] \
[,c,ca2] [,c,ca1] [,da,c] ,d/ ,c ,a ,,d H[,ab,,d]";germantab
3;;1v;Unser köchin kan auss der massen kochen wol;;;OT;ConcR2074;3;"[,dda2] [,dda1] | [ac,,a2] [c,da1] | [da,,,d2] [da,,,d1] | \
[c,da1] d/ c a ,d | [ac,,a2] [ac,,a1] | [,dda2] ,,,a1 | \
[,dda2] [,dda1] | [ac,,a2] [ac,,a1] |";germantab
4;;1v;Ein guttes Dentzlein;;Salve puella;OT;ConcR2028;C;",,,,,a1 | [,,dca1] ,,a/ ,,c ,,d ,,c ,,d ,a | [,cd,a2] [,cd1] ,,,,a | \
[,cd,a1] [,aa,c] [a,d,a] [aa,,c/] ,e | [a,,c,a2] [a,,c1] ,,,,,a | \
[a,,c,a4] ||";germantab
5a;;2r;Hab dir mein Leiden;;;OT;;none;"[a,,c,a2] a | ,d3 a/ ,a | [,c,ca2] [,,dca] | \
[,aa,c2] ,a/ ,c ,d ,a | [,cd,a2] H[,,dca] ||";germantab
5b;;2r;Nachlauff;;;OT;;none;",,,,,a1 | [,,dca1] ,,a/ ,,c ,,d ,a | [,cd,a2] [,cd1] ,,,,a | \
[,aa,c1] [a,d,a] [,ea,c2] | [a,,c,a2] [a,,c1] ,,,,,a ||";germantab
6;;2v;Ein gutter Welscher Denntzlein El Burato genanndt;;;OT;ConcR1454;3;",d/ ,c ,d a c d | [c,da1] [c,da] [da,c] | [c,da1] [a,b,d] [,da,c] | \
[,cd,a2] [,cd/] ,,,,a || ,d/ ,c ,d a c d |";germantab
7;;2v;[Preludio?];;;OT;;none;"a/ c d a d c a ,d | a/ ,d ,c ,a ,d ,c ,a ,,d | \
,a/ ,c ,e a";germantab
8a;;3r;Gassenhawer;;;OT;;none;"[ab,,d2] [ab1] ,,,,d [ab,,d1] [ab,,d] [ab] [,da,c1] [,bd,a] \
[,ab,,d2] [,ab1] ,,,,,d [,ab,,d] [,ab,,d2] [,ab1] [,ab,,d] [,ab,,d] \
[,bd,a2] [,bd1] ,,,,a [,bd,a]";germantab
8b;;3r;Nachlauff;;;OT;;none;"[ab,,d2] [ab,,d1] ,,,,d [ab,,d2] ,,,,c1 ,,,,a [,ab,,d2] [,ab1] ,,,,,d \
[,ab,,d/] [,ab] [,ab,,d] [,bd,a] ,a ,b ,d a ,d";germantab
9a;;3v;Ach mägdlin fahr mit mir uber Rhein Tantz;;;OT;ConcR2037;C;"[f,d,a1] |: [f,d,a1] [f,d] ,,,,a [f,d,a] | [e,,c,a2] a/ c e a | \
[c,a,c1] [a,d,a] [aa,,c] ,e | [a,,ca1] [a,,c] ,,,,,a [f,d,a] :|";germantab
9b;;3v;Nachlauff;;;OT;;C;"[f,d,a2] [f,d1] ,,,,a | [e,,c,a2] a/ c e a | [c,a,c2] [a,d,a1] [,ea,c] | \
[a,,c,a2] [a,,c1] ,,,,,a || [f,d,a2] [f,d1] ,,,,a |";germantab
10;;4r;Ach mägdlin Rhein;;;OT;;3;"[aa,c1] | [aa,c2] c1 | e/ a c a ,d ,c | [,aa,c2] [,ea,c1] | \
[aa,c1] ,d/ a c d | [f,d,a1] [,da,c2] |";germantab
