PieceNr;Key;PageNr;Name;Composer;Comment;Tuning;Concordances;TimeInz;Tab;TabNotation
1;;2;XI/ haußmen;;;OT;;none;"[ca,f2] [,fcf1] [ae,a] [ffcf2] | [c,,f1] f f a/ ,f [aca,a] || \
[a,,a1] a/ a a1 [a,,a] [,f,c2] [a,,,d] [c,,,c] | \
[c,,f2] [a,,a3/2] a/ [a,,a1] [,f,f]";
2;;3;[Bass];;;staff;;;;
3;;3;[Bass];;;OT;;none;"[,e,a2] [,e,a] [,a,,c] [c,,d4] [,aaa] [,acf] | \
[,e,a] [,e,,c] [,e,,c] [,g,c] [,g,c] [a,,,a] \
[a,,a] [,f,c] [,e,,c] [,c,c]";
4;;3;[? Gavotte (unfinished)];;;OT;;C;"[a,a/] c e f [h,a1] [f,f] | [e,a2] [c,,c] | \
[a,,,a/] c [e,,a] a [f,a,a1] [e,a] | \
[c,,c] [,ca1] ,e/ ,f [a,a1] [,f,c] |";
5;;5;Cadences;;;;;;;
6;;6;Sarabande;;;staff;;;;
7;;6;En reuent [de Saint Nicolas];;;staff;;;;
8;;6;Pauane [d'Espagne];;;staff;;;;
9;;7;Sarabande;;;staff;;;;
10;;7;En reuent [de Saint Nicolas];;;staff;;;;
11;;7;"[En revenant; 2. partie)";;;OT;;none;"[,eaa1] [,eaa] [,ce,a] [,ca,a] [,a,,c2] '[,,ee] [,a,,c] \
[,a,,c] [,,e,a] [,acf] [,acf] [a,,e] [,f,c] | \
[,c,,a1] [,e,a] '[,c,,a2] [f,,e] ,,,f '[eca3/2] c/4 e f1 ,,,a";
12;;8;[Chanson?];;;staff;;;;
13a;;9;[Chanson?];;same as 9 (2);;;C;",,,,d1 d ,,,f c | ,,,a1 a [,f,c2] | [a,,d3/2] ,f/ [a,,a] c | \
[d,,,d2] ,fd,d :||: [,f,,d1] [,,,ac] [,f,c] ,,,d | \
[,fcf3] [,c,,d1] |";
13b;;9;[Chanson?];;same as 9 (1);;;C;",,,,d1 d ,,,f c | ,,,a1 a [,f,c2] | [a,,d3/2] ,f/ [a,,a1] c | \
[d,,,d2] [,fd] :||: [,f,,d1] ,,,a [,f,c] ,,,d | \
[,fcf1] ,d ,c ,,,,d |";
14;;10;[Chanson?];;;Mandora;;C;"[d,,,d1] f/ d c ,,,f d c | [a,,a] ,f a c ,f ,,,c ,d ,f | \
a ,,,d ,,d ,,b ,,a ,,,f a c |";french5tab
15;;11;111/ haugmen;;;staff;;;;
16;;12;O trop heureux;;;staff;Conc_285;;;
17;;12;[O trop heureux];;;Mandora;Conc_285;C;"[,,d,d4] | [,f,,c3] ,d1 | [,c,,d2] [,da1] [,f,f] | \
[a,,d2] [,f,,d] | [,d,d2] [,c,,d3/2] ,d/ | [,fd2] [,ea] | \
[,fcf4] | ,f4 || [,f,f4] | [,ca,a2] [,d,d1] ,d |";french5tab
18;;13;[O trop heureux];;;Mandora;Conc_285;C;"[,af3] [ace3/2] ,f/ | [,ef1] [,fc/] [a,a] ,,,f c '[a,,a3/4] ,f/8 a | \
,f1 ,,,f '[,e,a3/2] ,f/ | a1 ,,e ,,c ,f | 'a1 ,,,,a [ace2] |:|";french5tab
19;;14;Fuyez amants;;;staff;;;;
20;;14;[Fuyez amants];;;Mandora;;none;"[,f,f1] [,f,f2] [,ca1] [,ac2] [,cd1] [,ac] [,,d,a2] [,,cf] \
[,f,f1] [a,,a2] [c,,c1] [d,,,c2] [c,,f1] [c,,f] \
[a,,a2] [,fcf] |:| c1 [ca,f2] a1 [a,,a2]";french5tab
21;;15;[Fuyez amants];;;Mandora;;none;",f1 [,fcf3/2] ,e/ [,ca] ,e ',a1 ,,c ,c/4 ,a ,,d/ ,,,,a ,a ,,d \
',,c1 ,,,f ,f1 '[a,,e] ,a [c,,f] [dcd] f/ d c ,,f";french5tab
22;;16;C'est trop courir les caues;;;staff;Conc_275;;;
23;;16;[C'est trop courir les eaux];;;Mandora;Conc_275;none;",c1 [,c,,a] [,a,,c] [,c,,d] [,a,a] ,,d/ [,,cc2] | \
[c,,,a/] ,e [,f,c1] [a,,,d] [c,,,c3/2] a/ [,g,c] |:| \
a1 [acd,a2] [,f,c1] [aa,a/] c [d,,,d1] |";french5tab
24;;17;[C'est trop courir les eaux];;pp. 18-19 Examples;Mandora;Conc_275;none;"a [adaa] [,f,c] [a,,d] [,f,f/4] ,d ',c1 ,,a ,,,,a a/4 c [d,a] \
,,,f [f,,d1] [h,,,h3/2] f/ 'e1 ,,a ,,,,a |:|";french5tab
25;;20;[Air de cour];;;staff;;;;
26;;20;[Air de cour];;"p. 22 empty; p.23 Counterpoint examples";Mandora;;none;"[,a,f3/2] ,a/ [,f,c1] [a,,a] [ca,f2] [d,,,d3/2] f/ \
[c,,f1] [a,,a] [c,,f/] d [f,,,c1] [,f,,d/] ,f \
[,e,a] [,f,c] [a,,a2] |:|";french5tab
27;;24;Contrepoint simple;;followed by example;;;;;
28;;25;Contrepoint figuré;;"p. 26 empty; p.27 interval indications for the mandora; pp.28-33 counterpoint examples; pp.34-35 empty; equivalence lute/mandora tablature";;;;;
29;;37;[tablature study?];;;Mandora;;none;",a1 | [,aaa2] | [,c,,a/] ,a ,c ,e ,f ,c | \
',e ,,,a ,,a [,e,a] ,f [,fcf] [a,,f] ,f || \
[,,ac1] ,,c/ ,,d ,,c3/2 ,,,a/ |";french5tab
