PieceNr;Key;PageNr;Name;Composer;Comment;Tuning;Concordances;TimeInz;Tab
1;F dur;1r;Aria;;;;Conc_1397;C;"[ad{,a}1] [ad{a}] [ad,,,a] [ad{,a}] | \
[cc{,,a}1] [ed{,,,a}] [cc{4}/] ,,d T,,d1 | \
[#e{,a}1] [#f{a}] ([h,,,,a/] a) \
[a,,,,b] (c/4 a) | \
[,'c{4}3/2] ,d/ [ad2{,a}] :| "
2;F dur;1v;Men;;;;;3/4;"[,,a{,a}1] [,,'b{a}] ,,a/ ,,b | \
[,,d,,a1] [,,a{,a}] [,a,,,b] | \
[,,d,,a1] [,,a{,a}] [,a,,,b] | \
[,,d,,a1] [,,b{a}] ,,d/ ,,b | \
[,,'a{,a}1] ,,b/ [,,'a] (,,,c ,,,a) | "
3;F dur;1v;Sarab Double;;;;;3;"{,a}/ ,,a ,,,a ,,a {a} ,,b | \
,,,,,a/ ,,d ,,,a ,,d ,,,,,a ,,d | \
{d}/ ,a ,,b ,a {a} a | \
{4}/ a (,c ,a) (,,d ,,b) :| "
4;C dur;2r;"Aria ""Kom ach kom mein wehrtes Leben""";;;;ConcM2;C;"[,,dcc{4}1] ,a/ ,c/4 a [,cd1] [e,d{,a}] | \
(['c{,,a}/] a) (,c ,a/4) ,,d ([,,'c{a}3/4] \
,,a/4) (,,,c/ ,,,a) | \
[,,dcc{4}1] ,a/ ,c/4 a [,cd1] [e,d{,a}] | "
5;C dur;2r;"Aria ""Ihr angenehmen Westen Winde""";;;;;C;"[,,dcc{4}/] ,a ,c a (c a) | \
[,'c,,,d2] [,a,,,c1] | \
[,,dc{,,a}1] [ed{,a}] [cc{,,a}/] [ed] | \
['a,,,,a1] [,a,,,c] [,c,,,d] | \
[,a{a}/] ,c [a,,,,a] ,c [,a,,,c] ,,d | "
6;d moll;2v;Men;;NOTO;;;3;"[,'aaa{,,,a}1] ,a/ ,c a [,'a] | \
([,,e,,a/] ,,c) ,,a1 e/ c | \
['a{,,,a}/] ,c ,a ,c a [,'a] | \
([,,e,,a/] ,,c ,,e) ,a ,c [,,'a] | "
7;F dur;3r;Jänscher March;;;;;C;"[,,da{,a}/] ,,b ,,a ,,b [,,d,,a1] [,a,,,b] | \
[,,d{,a}/] ,,b ,,a (,,,c ,,,a1) (a/4 c a/) | \
[,'c{4}1] [a{,,,a}] [c{,,a}] [e{,a}] | \
['c{4}/] a [,'c] ,a [,,d,,a1] [,,d{,a}] | "
8;C dur;3v;"Aria ""Wilstu mich den gantz verlasßen""";;;;ConcM1;C;"[,cd{4}3/2] [,ac/] [,cd{4}3/2] a/4 ,c | \
[,ac{a}3/2] [,cd/] [,ac{a}1] [cc{,,a}/] [ed] | \
[#aa,,,a3/2] [,a{a}/] [,cd{4}2] :: \
[cc{4}1] (3[cc{,,,a}/] e c) [cc{,,a}1] [cc{4}] | "
9;F dur;3v;Aria;;;;;C;"[ad{,a}3/2] [,,d{a}/] [,,d,,a1] (e/ c/4 a) | \
['c{4}3/2] [,,d{,,,a}/] [,,d{,,a}1] 'c | \
([e{,a}/] c) ([c{,,a}] a) ([,d{,,,a}] ,c) \
V[,c{4}] ,a/4 ,,d | "
10;F dur;4r;Men;;;;;3/4;"[,,a{,a}1] [,,'b{a}3/2] ,,a/4 ,,b | \
[,,d,,a1] ,,d ,,,a | \
[,a{d}1] [,,a,,a] [,,b{a}] | \
[,,'a{,a}/] ,,,c ,,a ,,b [,,'a1] | \
[,,'a{,a}1] [,,'b{a}3/2] ,,a/4 ,,b | "
