PieceNr;Key;PageNr;Name;Composer;Comment;Tuning;Concordances;TimeInz;Tab;TabNotation
1;;2r;Recercare;;;OT;ConcR1284;C;"[aa,,,a3] c1 | e1 f h2 | ,,,,,a1 f e c | \
a1 ,d ,c ,a | [,c,,a2] ,,d1 ,a | ,c1 ,d [aac2] | \
[,ea,c2] [aa,c] | [,,a,c2] ,e |";italian7tab
2;;3r;Recercare;;;OT;ConcR463;C;"[aa,c3] ,,a1 | [a,c2] ,,d | a2 ,,c1 ,,a | \
[a,c2] ,,d | [ca2] ,d | c2 ,c1 ,a | \
[c,d2] ,a | c2 ,,d1 ,,c | [c,a3] ,,c1 |";italian7tab
3;;3v;Recercare;;;OT;ConcR447;C;"[a,,c3] ,,a1 | ,,c2 ,,d | a2 ,,c | \
[c,a3] ,,c1 | ,,d2 ,a | c1 ,,d ,,c ,,a | \
[e,,c2] [c,a] | ,,c2 [a,d] | ,,a2 ,e |";italian7tab
4;;4v;Recercar;;;OT;ConcR1291;C;"[aa,c4] | [aa,c4] | [ac,,a2] ,,d1 ,a | \
,c1 ,e a c | [ea,,,a2] a | ,d1 ,c ,a ,,d | \
[,ac,,a2] ,,,c1 ,,a | ,,c1 ,,d ,a ,c |";italian7tab
5;;4v;Recercar;;;OT;ConcR450;C;"[f,,a3] d1 | [c,,a1] a ,d ,b | [,a,,,d1] ,,d ,,b ,,a | \
[,a,c1] ,,,a ,,,,d ,,,,c | [,b,,a1] ,d a ,d | \
,b1 ,a ,,d ,,b |";italian7tab
6;;6v;Recercar;;;OT;ConcR1285;C;"[fdaa4] | [fdaa4] | [dabc2] ,c | [cdda4] | \
[acd,a2] c | ,,d1 a ,d ,c | [,ab2] a | ,,a2 ,d | \
[f,,ca2] ,c1 ,a | [fd,ca2] ,c |";italian7tab
7;;7v;Recercar;;;OT;ConcR1286;C;"[,d,a3] a1 | c1 d f2 | ,,d2 d1 c | [a,d2] c | \
[da2] c | ,a/ ,d a c d a c d | [c,d2] a |";italian7tab
8;;7v;Recercar;;;OT;ConcR1292;C;"[,daa4] | [,dda4] | [,daac4] | [,dba,d4] | \
[,ddef2] [,ddef] | ,,f2 [acd,a] | ,d2 [acd,a] | \
[cdda4] | [acd,a2] c | [dabc2] a | [,abc2] [dc] | \
[cdda2] a | [cd2] a |";italian7tab
9;;8v;Recercar;;;OT;ConcR1293;C;",a4 | ,,e2 ,a | ,,,,c1 ,c ,d2 | ,c2 ,d | [ca4] | \
[b,c2] [c,d] | ,,a1 e f2 | [e,,d2] [f,a1] ,,,c | \
,,a1 ,,c [,,de2] | [,,cd2] [,,ae] |";italian7tab
10;;9r;Recercar;;;OT;ConcR1294;C;"[,aa,c4] | [,aa,c4] | [,ab,,a2] ,,,c | [,ab,,a2] ,c | \
[,d,,c2] ,a1 ,c | ,d1 a [ca2] | ,,d2 [a,b] | [,da2] ,c | \
,,,c2 [,a,a] | [a,,,e2] ,,e |
";italian7tab
