PieceNr;Key;PageNr;Name;Composer;Comment;Tuning;Concordances;TimeInz;Tab;TabNotation
1a;;2r;Pauana detta la Borroncina dell'Eccellente P.Paulo Borrono da Milano;P.P. Borrono da Milano;;OT;ConcR1547;C;"z2 [,ab,,d1] ,b | [,db,cd4] | [,db,cd1] ,a [,b,,,d] ,d | \
[abb,d3] ,d1 | [,bdd,b2] [,ab,,d] | \
,,,a1 [,dd] [,,bc] [,,b,d] | ,,,a1 [,,bc] ,,,a [,dd] |";italian7tab
1b;;2v;Altro modo;;;OT;;C;"[,,b,,d2] [,aba,d1] ,b | [,db,,Xd1] ,,,a/ a [d,,,d] ,b ,a ,,d | \
[,ab,,Xd/] ,,d ,a ,b [,d,,,d] ,a [,b,,,d] ,d |";italian7tab
2a;;3v;Saltarello Primo;;;OT;;3;",,,d4 [,ab,,d1] ,b | [,ab,,d2] ,,,a ,,,,,d | \
[,db,,d2] ,,,a1 ,a ,b ,b | [ab,,d2] ,,b [,d,,c] | \
[,bd,,b2] ,,,d [,ab,,d] |";italian7tab
2b;;4r;Altro modo;;;OT;ConcR1733;3;"[,ab,,d2] ,,,a [,ab,,d1] ,b | [,db,,d2] ,,,a ,,,,,d | \
[da,a,d1] X,,,,,c c c a ,d | [ab,,Xd1] ,d a c d c |";italian7tab
3a;;4v;Saltarello secondo della Duchessa;;;OT;ConcR1831;3;",,,,,d2 [,db,,d1] [,db,,d] [ab,,d2] | \
[,db,,d3] ,b1 [,ab,,d2] | \
[,db,,d2] [,b,,a] [,,d,,c] | \
[aa,,,a2] ,,,c ,,,,,a | \
[ab,,d2] X,,,,d1 d c a | \
[db,,,d2] X,,,a1 ,b [,ab,,d2] |";italian7tab
3b;;5r;Altro modo;;;OT;ConcR1734;3;"[,dba,d2] [,dba,d] [abb,d] | [,db,cd1] ,b ,b ,a ,,d [,ab,,Xd2] | \
,,,a1 ,d [,b,Xca] ,a ,,d ,d | \
[aa,Xc,a1] ,b ,b ,a ,,d [,,cXc,a2] |";italian7tab
3c;;5v;Le riprese;;;OT;;3;"[da,,,Xd1] c d a c d | d1 c ,d2 ,,d | [cd,a1] a c d f c | \
[da,,,d2] ,,,a ,,,,,d |";italian7tab
4;;6v;Saltarello terzo detto La Barbarina;;;OT;ConcR1735;3;"a1 c [da,,,Xd2] d1 c a | \
[,db,,Xd2] ,,,a1 ,a ,b ,d | \
[ab,,d2] [,d,,c] [,b,,a] | \
[,ab,,Xd2] ,,d1 ,,d ,,b2 |";italian7tab
5;;7r;Pauana nouissima detta la Moniardina dell'Eccellente P. Paulo Borrono da Milano;P.P. Borrono da Milano;;OT;ConcR1730;C;"z2 [,bb,d1] ,d | [abb,d3] ,d1 | \
[,bbcd3/2] ,d/ [abb,d2] | \
[,db,Xcd1] ,,,a/ a ,d ,b ,a ,,,d | \
[,ab,,Xd1] ,,,a/ ,,d ,a ,,b ,,d ,a |";italian7tab
6;;8r;Saltarello Primo;;;OT;ConcR1736;3;",,,,,d4 [,bb,d1] ,d | \
[abb,d3] ,d1 a2 | \
[,bb,d2] ,,,c [abb,d] | \
[,db,,Xd2] ,,,a1 ,b ,a ,,d | \
[,ab,,Xd2] ,,,a1 ,,b ,,d ,a |";italian7tab
