PieceNr;Key;PageNr;Name;Composer;Comment;Tuning;Concordances;TimeInz;Tab;TabNotation
1;;A2r;Fantasia di M. Francesco Milanese;;;OT;ConcR1315;none;"[,dda3/2] a/ c d f1 ,,,a/ d c a [,db1] a ,,b [,da] [d,,c] a \
[f,,a/] d c a ,d ,c [,a,a] ,,d";italian7tab
2;;A2v;Fantasia di M. Francesco Milanese;;;OT;ConcR1314;none;"f2 i3/2 h/ f1 e [f,d] c [ab] d/ ,a [c,d1] [a,c] ,,d [,ea] \
[a,,c] ,,b/ ,d ,a ,,a [,b,a1] ,d/ ,b [,a,b] ,,d";italian7tab
3;;A3v;Fantasia di M. Francesco Milanese;;;OT;ConcR170;none;"h2 i h ,a1 h [,ig] f [ca] d ,,,,c [ca] [,,b,d] [a,d] [,,a,c] \
,e/ ,c ,e1 [,a,,c] [,,d,d1] ,,b ,,a ,,,c";italian7tab
4;;B1r;Fantasia di M. Francesco Milanese;;;OT;ConcR1316;none;",d2 a3/2 ,d/ a c d1 [c,,a] f [d,,c] a/ ,,,a ,,,c ,,a [,db1] \
,,a [,cd] [,ab] a ,,,a [,da] [,,,ca] ,c";italian7tab
5;;B1v;Fantasia di M. Francesco Milanese;;;OT;ConcR1326;none;"[,cc,d2] [,cc,e2] [,cde,c2] [,daac1] [,acc,a1] a \
[,,,c,d/] ,d ,c ,a [,,de,c1] ,c ,,,,a/ ,a ,,d1 [e,c,c] ,,a \
[ea,,,e] ,,,d [f,de,c2] [cd,ac2] [ea,c,a1] h";italian7tab
6;;B2r;Fantasia di M. Francesco Milanese;;;OT;ConcR1321;none;"[,cc,e2] [,cc,e] [,cd,,c] [,,d,,c1] ,,c/ ,,a \
[,c,de3/2] ,,a/ [,cc,e1] ,,,d [,,def] ,a/ ,,,,e [,c,,a1] \
[,d,,c] ,,a [,c,,e] [,,aa] ,a";italian7tab
7;;B2v;Fantasia di M. Francesco Milanese;;;OT;ConcR1317;none;"c2 f h f ,,a1 f ,,d/ d c a [,df1] ,a [,cd] c ,,,,,c ,c \
,,,,a/ ,a ,,d ,,b [,,a,c1] ,,,a [,,,ca]";italian7tab
8;;B3v;Fantasia di M. Francesco Milanese;;;OT;ConcR1322;none;"f3/2 d/ c a ,d1 d c [a,d] f/ ,,b ,,a [d,,c] [c,,a] a [,db1] \
,,a [d,,c] [c,d] a/ ,,b [f,a] ,,,c ,,,a";italian7tab
9;;B4v;Fantasia di M. Francesco Milanese;;;OT;ConcR1324;none;"[a,d2] [a,d1] ,,c/ ,,a [a,c1] ,,,c [,da] ,,c [,cd] \
,,,,a/ ,,,,c ,,,,e ,,,a [,a,c1] ,,,,a [,,d,e] [,a,,c] ,d \
[,,,ca] ,c/ ,a [,c,c1]";italian7tab
10;;C1r;De mon triste di M. Francesco Milanese;;;OT;ConcR1318;none;"[a,,c3/2] ,,a/ ,,b1 ,,d [a,bc/] ,,a ,,b [,,de] \
[,ab1] [,bd] [a,bc] a/ [,,de] [aab1] [abd] [da,c/] \
,,a ,,b ,,d ,a1 [db,c] [c,da]";italian7tab
