PieceNr;Key;PageNr;Name;Composer;Comment;Tuning;Concordances;TimeInz;Tab;TabNotation
1;;A1v;1. PATER NOSTER di jusquin a sei;;;OT;ConcR1280;C;"[af2] [af1] [af] | \
[a,,c/4] ,d ,c ,a ,c/8 ,a ,c ,d a/4 ,c [df,c/] ,,,,,a [df,c] a | \
[df,c/] ,,,e [d,b] ,,d [cef2] |";italian7tab
2;;A4r;2. AVE MARIA di jusquin a sei;;;OT;ConcR1281;C;"[,,bc2] [,,bc1] [,,bc] | \
[,,aa/] ,,,c ,,,a ,,,,e [,,a,c] ,,,,e ,,,a ,,,,c | \
[,,,ce/] ,,,,c ,,,,e ,,,a [,,,ce] ,,,e/8 ,,,c ,,,a ,,,,e";italian7tab
3;;B1v;3. stabat mater di jusquin a 5;;;OT;ConcR1282;C;"[,,b,,d2] [d,b,,d/] ,,d/4 ,a ,b ,c a c | \
[d,bc/] [b,,a] [a,,,d] [,d,,c] [abb,d] ,d ,b ,a | \
[,bdd/] ,,b ,,,d ,,,c [,g,df] ,,f/4 ,,d ,,g/ ,,f |";italian7tab
4;;B4r;4. Fantasia di F. da milano;Francesco da Milano;;OT;ConcR1283;C;",,b2 ,,b1 ,,d/ ,a | ,b1 ,,,,d [,b,,d] ,,,a/ ,,,c | \
,,,d1 ,b,d ,,,d | ,,b/ ,b ,d/4 ,b ,a ,,d [,ab1] [,,dd] |";italian7tab
5;;C2r;5. Fantasia di F. da milano;Francesco da Milano;;OT;ConcR1284;C;"[aa,,,a3/2] c/ e f h | ,,,,,a/ f e c a ,d ,c ,a | \
[,c,,a1] ,,d/ ,a ,c ,d [aac1] | [,ea,c1] [aa,c] [,,a,c] ,e |";italian7tab
6;;C3r;6. Fantasia di F. da milano;Francesco da Milano;;OT;ConcR463;C;"[aa,c3/2] ,,a/ [a,c1] ,,d | a1 ,,c/ ,,a [a,c1] ,,d | \
[ca1] ,d c ,c/ ,a | [c,d1] ,a c ,,d/ ,,c |";italian7tab
7;;C4r;7. Fantasia di F. da milano;Francesco da Milano;;OT;ConcR447;C;"[a,,c3/2] ,,a/ ,,c1 ,,d | a1 ,,c [c,a3/2] ,,c/ | \
,,d1 ,a c/ ,,d ,,c ,,a | [e,,c1] [c,a] ,,c [a,d] | \
,,a1 ,e [a,,c,a3/2] ,,,,,c/ |";italian7tab
8;;D1r;8. Fantasia di F. da milano;Francesco da Milano;;OT;ConcR450;C;"[f,,a3/2] d/ [c,,a] a ,d ,b | \
[,a,,,d/] ,,d ,,b ,,a [,a,c] ,,,a ,,,,d ,,,,c | \
[,b,,a/] ,d a ,d ,b ,a ,,d ,,b |";italian7tab
9;;D3r;9. Fantasia di F. da milano;Francesco da Milano;;OT;ConcR1285;C;"[fdaa2] [fdaa] | [dabc1] ,c [cdda2] | \
[acd,a1] c ,,d/ a ,d ,c | [,ab1] a ,,a ,d | \
[f,,ca1] ,c/ ,a [fd,ca1] ,c |";italian7tab
10;;D4r;10. Fantasia di F. da milano;Francesco da Milano;;OT;ConcR1286;C;"[,d,a3/2] a/ c d f1 | ,,d1 d/ c [a,d1] c | \
[da1] c ,a/4 ,d a c d a c d |";italian7tab
11;;D4v;11. Le plus gorgias du monde;;;OT;ConcR1287;C;",,,c1 ,a ,,b ,,,c | [,a,c1] ,,f/ ,c ,d [a,d] [c,a1] | \
,,b/ a [a,d1] ,,a/ ,e ,f/4 ,e ,c ,e | [a,,c1] ,a ,,b ,,,c |";italian7tab
12;;E1v;12. Tu disois;;;OT;ConcR1288;C;",,,,a1 ,,,c ,,,c ,a/ ,,,c | \
[,a,a1] ,,,c/ ,a [,,d,e1] [,a,,c] | \
[,,bc1] ,,,c [,,da/] [,,b,c] ,,,c ,,b | \
[,,def1] [a,,c] a h/ ,f |";italian7tab
13;;E2v;13. Pour quois alles uous seullette;;;OT;ConcR1289;C;",,a1 ,a ,a c/ ,a | [c,d1] ,a/ c [b,c1] [c,a] | \
[,d,,c1] [c,,e/] ,,,a [,a,c1] [,c,c/] ,,d | \
[a,,,e/] ,d ,c1 [,,,,ec] [,,,ac] |";italian7tab
14;;E3v;14. Nous bergiers;;;OT;ConcR1290;C;",d3/2 ,d/ [bd1] [bd] | [db1] [da] [f,d] [f,d] | \
[,,,af/] ,,,,e ,,,f ,,,c [,,,df1] [,,,df] | \
[,,,fd1] [,,,f,g] [ff,h,f3/2] [ff,h/] | \
[ff,h1] [ff,h,f] [h,i] h/ ,,i |";italian7tab
