PieceNr;Key;PageNr;Name;Composer;Comment;Tuning;Concordances;TimeInz;Tab;TabNotation
1a;;A1v;Dell'vcelli - La canzon;;;OT;ConcR1275;C;"a2 a1 a | a1 ,b ,d a | [b,d2] [a,d1] [,dd] | \
[,cd2] ,,d1 ,d/ ,c | ,d1 ,,e [a,d] ,,b | [fg,d2] [ff1] [fd] |";italian7tab
1b;;A2v;2. parte secunda;;;OT;ConcR1276;C;",,,d3 ,,,c1 | [,,,df2] ,,,,f1 ,,,d | [,,,cd2] [,,d,c1] ,,,,a | \
,,,,c/ ,,d ,,c ,,a [,,d,c1] [,,c,c] | \
[,bd,a1] ,,,c/ a ,d ,b ,a ,,d |";italian7tab
1c;;A3v;3. parte terza;;;OT;ConcR1277;C;",,,d/ ,,,c ,,,d/4 ,,,c ,,,a ,,,c ,,,d1 ,,,c | \
[,,ddf1] ,,,,d ,,,,f ,,,d | ,,,c1 ,,,,d [,,d,c] ,,,,a | \
,,,,c/ ,,d ,,c ,,a ,,d1 [,,c,c] |";italian7tab
1d;;B1r;4. quarta parte;;;OT;ConcR1278;C;",,,d3 ,,,c1 | [,,,df1] ,,,,d ,,,,f ,,,d | \
 ,,,c1 ,,,,d [,,d,c] ,,,,a | \
,,,,c/ ,,d ,,c ,,a ,,d ,,c ,,d/4 ,,c ,,a ,,c |";italian7tab
2a;;B2v;5. La bataglia francese;;;OT;ConcR1279;C;"f4 | f2 f | [fd4] [fd2] ,d | [cd,a4] | [cdda2] [c,,a] | \
[c,da1] ,,,,e [,,da] ,,,c | [cdda1] d [cdda2] | \
,,,,a1 [add] ,c ,a |";italian7tab
2b;;B4v;6. seconda parte de la bataglia;;;OT;ConcR2119;C;"[cdda4] | [cdda4] | [cdda/] c c c c1 c | [c,da/] c c c c1 f | \
[cdda/] ,d ,d ,d ,d1 ,d |";italian7tab
3;;C3v;7. Hors enuieulx retires uous;;;OT;ConcR1269;C;",d3 ,d1 ,c2 ,c | [fd2] ,,d1 f [f,g2] [e,f] | \
[f,d1] ,a [ab] ,d [df2] [bd] | [a,d2] ,c [,dff1] ,,g [,dff] a |";italian7tab
4;;C4v;7. Martin menoit di Ianequin;;;OT;ConcR1274;C;",d2 a1 b [d,b2] [b,d1] ,a | \
[abd2] [fb,,a1] ,d [ff,,d] ,,,a [effc] ,,,c | \
[fbdd2] [bd,a] [fgih] [ffhh] | \
[bd,a1] [d,,c] [f,dd2] [da,c1] ,b [bd,d] [,db] |";italian7tab
5;;D1v;9. Fortune a lors;;;OT;ConcR1272;C;"[ddf,,d4] [ddf,,d2] [cdda] | \
[aab,,a1] ,,,,,c ,,,,,d ,,,,a [,dfec2] [,cdf] | \
[cdf2] [cdf,c] [dabc] [dabc] | \
[acd,a1] ,,b [f,a,a] [d,,c] [c,da] [a,,,e] [,d,ac] [,c,,a] |";italian7tab
6;;D2r;10. Pour auoir paix;;;OT;ConcR1268;C;"[,adda2] ,d [cdda] [dd,ac] | \
[f,g,hf2] [i,,h1] h [f,g] [d,f] [cbd,a] a | \
[cdda1] a [ffg,d2] [fdfa] [ea,c] | \
[fbd,a2] [,,dc] [,bd] [abd,a] |";italian7tab
7;;D2v;11. sur toutes fleurs iaime la margarite;;;OT;ConcR1270;C;"c4 | d2 a | [c,f2] ,e | [ac2] [c,def] | [,ab2] [a,bc] | \
[,,de2] [,dfac] | [,b,cd2] [,,def] | [,a,,c2] [,,bc,d] | \
[,,a,a1] ,,,b [d,,bc2] | [d,,c,a2] [aabc] |";italian7tab
8;;D3v;12. Fantesia di F. da milano;Francesco da Milano;;OT;ConcR1265;C;"f4 h2 f | ,d2 c [df] [fd] | h2 ,a [fd] [cd] | \
[df2] c1 a [cd2] [da] | [ac2] [ef1] ,,d ,a d [ac2] |";italian7tab
9;;D4r;13. Fantesia di F. da milano;Francesco da Milano;;OT;ConcR1264;C;"[a,,c3] ,,a1 [a,b2] ,,d | \
a1 ,,b ,,d/ ,,b ,,a ,,,c [,ea2] ,,b | \
d1 ,,a ,,,c2 c ,,,b1 ,,,,e | \
[,a,b2] ,,,,c [,,d,d1] ,,b";italian7tab
10;;E1r;14. Fantesia di F. da milano;Francesco da Milano;;OT;ConcR1263;C;"[a,,c3] ,d1 ,c2 ,a | [,,de2] ,,c ,,a4 | \
[,,cc3] ,,,a1 ,,,,e2 ,,,,c | [,,d,a2] ,,,,,e [,,d,,c4] | \
[,,c,,a2] ,,,c1 ,,a ,,c ,,d ,a ,c |";italian7tab
11;;E2r;15. Fantesia di F. da milano;Francesco da Milano;;OT;ConcR1266;C;"f4 d2 c | ,d2 a [c,d1] a ,d ,c | \
[,ab2] [,ca] [,d,a] [,c,c1] ,a | \
[,,de1] ,,,c ,,,a ,,,,e [,a,cc2] [,,d,e] |";italian7tab
12;;E2v;16. Pour tant si je suis brunette;;;OT;ConcR1271;C;"[aa,c4] [dffc2] [dffc] | [dffc1] c [ddff] f [ddff2] [cdda] | \
[,abc1] ,,d ,a ,c [,efec2] ,,,e | \
[aabc1] ,,d ,,b ,,a [aabc2] [acbc] |";italian7tab
13;;E3v;17. Reveilliez moy;;;OT;ConcR1267;C;"[,daa4] [adaa2] [,daa] | [fc,ca2] f [c,,,c] [,d,a1] c | \
[cd,ac2] [cd,ac] [dd,a,d3] [cd,a,d1] | \
[aab,,d2] [,dff,d] [,c,ca] a | \
[ac,,a2] ,,d1 ,d [,cd,a2] f1 ,,b |";italian7tab
