PieceNr;Key;PageNr;Name;Composer;Comment;Tuning;Concordances;TimeInz;Tab;TabNotation
1;;2r;Caldibi castigliano;J. Dalza;;OT;;C|;"[,bd,a1] [,db,c] | [a,b1] ,,,,d | [a,b,d1] [,db,c] | \
z1 [,bd,a] | [aac1] ,,,,,a | ,a/ ,,d [aac1] | \
,,,,,a1 [,bd,a] | [aac1] ,,,,,a |";italian7tab
2;;3r;Recercar;;;OT;;C|;"[aa,,,a/] c d f | d/ c a ,e | [aa,,,a/] c d a | \
c/ a ,d ,b | [,ab,,d/] ,,d ,,b ,,d |";italian7tab
3;;3v;Tastar de corde;;;OT;;C|;"H[aa,,,a] | H[ac,,a] | [a,b,d3/2] ,,,,c/4 ,,,,a | \
H[da,,,d] | [c,da1] a/4 ,d ,c/ | H[,db,c] | \
[a,b,d3/2] ,,,,c/ | H[,bd,a] | H[,db,c] | \
H[,abc] | H[,bd,a] | H[,,da,c] |";italian7tab
4;;3v;Tastar de corde;;;OT;;C|;"[,,dca/] ,a/4 ,c ,e a c e | Hf | H[ea,,,a] | H[fc,,a] | \
H[ce,,c] | H[ea,,,a] | c/4 a ,e ,c ,a ,,d ,,c ,,a |";italian7tab
5;;3v;Recercar dietro;;;OT;;C|;",,,,,a/ ,,a ,,c ,,e ,a ,,e ,,c ,a | \
,,,,e/ ,a ,,e ,,c | ,,e/ ,,a ,,c ,,e | \
[,aa,c/] ,,e ,a ,c |";italian7tab
6;;4r;Tastar de corde;;;OT;;C|;"H[,aa,c] | H[,aaa] | H[,abc] | H[,aaa] | \
[,abc3/2] [,aaa/] | H[,aa,c] | H[,aaa] | \
,,,,d/ [,ab] ,,d ,,b | [,,d,d/] ,a1 ,,d/ | \
[,aa,c3/2] ,c/ | H[,da,c] | H[a,bc] | H[cdda] |";italian7tab
7;;4v;Recercar dietro;;;OT;ConcR1676;C|;"[,aa,c3/2] ,,,,e/ | [,aaa1] [,abc] | [,aaa1] [,abc] | \
[,aa,c1] [,abc] | [,aaa1] ,,,,c | [a,b,d1] ,,d | \
[,db,c1] [d,bc] | [c,da1] [d,bc] | [,db,c1] [d,bc] |";italian7tab
8;;5r;Tastar de corde;;;OT;;C|;"[ab,,a3/2] ,,,,c/ | [ab,,d3/2] ,,,a/ | [ab,c1] [ab,,a] | \
z1 ,,,,c/ [ab,,d] | z/ ,,,,c ,,,,a ,,,,,d | H[ab,,a] | \
H[aa,,,a] | H[aab] | [abd3/2] ,a/ |";italian7tab
9;;5v;Recercar dietro;;;OT;cf. ConcR1562;C|;"[aab1] ,,,c | ,,,,d/ [ab] ,d ,b | ,a/ ,,d ,,b ,,,d | \
[,,bc/] ,,a ,,b ,,d | [,,bc/] [,,dd] [,ab] [,bd] |";italian7tab
10;;6r;Tastar de corde;;;OT;;C|;"H[aa,,,a] | H[ac,,a] | H[aa,,,d] | [ac,,a3/2] ,,,,,e/4 ,,,,,c | \
[aa,,,a3/2] c/ | H[ea,,,a] | H[ce,,c] | \
[ea,,,a3/4] c/4 ,e ,c ,a | H[ac,,a] |";italian7tab
