PieceNr;Key;PageNr;Name;Composer;Comment;Tuning;Concordances;TimeInz;Tab;TabNotation
;;;Esteban Daça: El Parnasso - Libro Primero (Vihuela);;;;;;;
1;;1r;(Fantasia por el primer tono);;;OT;;C;",,,c4 | ,,,c2 ,,,c | ,,,,d3 ,,,a1 | [,a,c3] ,,,a/ ,,,,d | \
[,a,,c2] [,a,c] | ,,b1 ,,,a ,,,,d ,,d | [,a,a2] ,a | \
[h,,,h1] ,,,h ,,,f ,,,e |";italiantab
2;;2v;(Fantasia por el segundo tono);;;OT;;C;",,d4 | [a,d2] ,,c | [a,d2] [,ef] | [ab2] [ca1] ,,d | \
[d,bc2] ,a | [d,,c/] ,,d ,a ,,b [cd,a] ,d a c |";italiantab
3;;4r;Fantasia por el tercero tono;;;OT;;C;",,,c4 | ,a2 ,,b | ,,d2 ,a | ,b2 a | [ha2] [d,g] | \
f2 [h,f] | [i,,h1] ,,f ,,g ,,i | [hf2] ,f | h2 ,d |";italiantab
4;;6r;Fantasia per el quarto tono;;;OT;;C;",d4 | b4 | [d,b2] d | [,de2] b | [,eg2] ,,g1 ,g | \
[d,,f1] ,,d ,,e ,,g | [bd,a1] a b d | [f,gd2] ,,d |";italiantab
5;;7r;Fantasia por el quinto tono;;;OT;;C;"f4 | [ce2] ,d | [da2] [h,,f] | [fd2] [df] | [ac2] [cd] | \
[a,d2] ,c | [,daa2] ,,,a | [,,b,c2] [,a,,,d] | [,,da2] [,,bc] | \
[,,,ce2] [,,,ef] |";italiantab
6;;9r;Fantasia por el sexto tono;;;OT;;C;"a2 | h4 | h2 e | f2 h | k2 [ha] | ,f1 f e c | [ef2] [fc] | \
[ce2] [ef] | [fh1] e f h |";italiantab
7;;10r;Fantasia por el septimo tono;;;OT;;C;"f4 | c3 d1 | [fd2] c | [da2] d1 ,c | [cd1] a c ,d | \
[a,d2] [fc] | [,d,e2] f1 ,,,f |";italiantab
8;;11r;Fantasia por el octauo tono;;;OT;;C;"a3 a1 | a2 [f,d] | ,c1 f [fd2] | [ac2] f | [fa,c2] e1 [c,,c] | \
[ea,c2] [fcd,a] | [kf,,,f1] ,,,h ,,,h ,,,,,h |";italiantab
9;;12v;Fantasia a tres por el primero tono;;;OT;;C;"a4 | f3 f1 | f2 d | [ca2] h | [df3] ,f1 | [df2] [fd] | \
,,h1 g/ e h g e g |";italiantab
10;;14r;Fantasia por el quinto tono a tres;;;OT;;C;",,,a4 | ,,,c2 ,,,e | ,,,a2 ,,,f | ,,d2 ,,,e | [,ab2] [,c,c] | \
[,,de2] ,d | [aab2] [c,de] | [,dff2] d | [c,,a2] ,,d |";italiantab
11;;15v;Fantasia por el septimo tono a tres;;;OT;;C;",d4 | ,c2 ,d | [f,d1] ,a ,b ,d | [,ef2] [f,d] | [,fgh2] f | \
[h,ff2] [f,gh] | [,,fc1] e f/ e c e |";italiantab
12;;16v;Fantasia a 3, por el octauo tono;;;OT;;C;"z2 ,,,c | ,,d2 [,ac] | [a,d2] [,ea] | [a,,c2] [,cd] | \
[,ac1] ,c [,df] a | [c,d2] a1 ,,c | ,,a2 [,e,,c] | \
[a,cc2] [c,ab] |";italiantab
13;;18v;Fantasia por el primero tono a quatro;;;OT;;C;",a4 | c3 c1 | c2 a | ,d2 ,c1 ,a | [,ca2] c | [,df2] ,d1 ,,f | \
,,f1 a [c,d2] | [b,c1] c/ b";italiantab
14;;20r;Fantasia por el primero tono, por G sol re ut a quatro;;;OT;;C;"c4 | ,d2 ,a | c1 ,d/ a c e f c | [ec1] c/ e f2 | \
,,d2 [f,a] | ,c2 e | ,,f1 c [c,d2] |";italiantab
