PieceNr;Key;PageNr;Name;Composer;Comment;Tuning;Concordances;TimeInz;Tab
1;;1r;Quam gloriosum. à 4;;;OT;;C;"[aa,c2] [aa,c3/8] ,,a/8 ,,c ,,a ,,c ,,d ,a/4 ,d ,c ,a | \
[acd,a/] ,,c/4 ,,a ,,,c ,,,a ,,,c/8 ,,,a ,,,e ,,,c [acd,a/4] \
,d ,c ,a"
2a;;3r;Domine non sum dignus à 4;;;OT;;C;",,a2 [,ca1] ,,a | \
[,c,e/4] ,,a/8 ,,c ,,d ,a ,c ,d ,c ,a ,,d ,,c \
,,d ,a ,c ,d ,c1 ,,a |"
2b;;4r;Miserere mei. Secunda pars;;;OT;ConcR2324;C;"c2 [ccdc3/4] ,,c/4 [c,d] ,,c ,,d ,,f | \
[ccdc3/4] a/4 [ccdc] a c e [fcdc/] c/4 e [fcdc/] e | \
[cdda/4] d c a c ,,,e ,,a ,,c"
3;;5r;Laudate Dominum à 4;;;OT;;3;"[cef,c1] [cef,c] [cef,c] | \
[da,c3/4] c/4 a ,d ,c ,a [cccc1] | \
[cef,c3/4] ,c/4 ,,f ,c ,e ,f c1 |"
4a;;6r;Gustate & videte à 5;;;OT;ConcR1983;C;",,d2 ,,d | \
,a2 [c1] ,,d/ ,a | \
[ac/] ,d [af1] c/ ,e/4 ,c ,f ,e ,f/8 ,e ,c ,e | \
[ef,c1] a/ c [ef,c] f h3/4 ,d/4 |"
4b;;9r;Diuites e guerunt. Secunda pars;;;OT;ConcR1984;C;",a2 [,a,c1] ,a | \
[,,cc3/4] ,,a/4 [,,cc] ,,a ,,c ,,d [,,c,e/] ,,a/4 \
,,c ,,d/ ,,,,c/4 ,,,,e | \
,,,a/ ,,d/4 ,,c ,,a3/4 ,,c/4 ,,d/ ,,,a ,,,,e1 |"
5;;11r;Ogni vita à 3;;;OT;;C;"z/ [,dff/4] [,dff] [abb,d] ,,,a ,,,c ,,,e \
[,dff1] z/ [,dda/4] [,dda] | \
[,bd,a/4] ,a/8 ,b ,d ,b ,a ,,d [,abc/] \
[abb,d] [,ddff] ,,,e [,ab,,d] ||"
6;;11r;Dal primo giorno à 3;;;OT;;C;",,,c/ ,,a/4 ,,b [,,d,a/] [,,a,c/4] ,,,,d [,,def/] \
[,a,a/4] ,b [,da,c/] ,,b/4 ,,d | \
[,df,c/] [,,d,d/4] ,,,a [,abc/] [,b,c/4] ,d [a,b,d/] \
[a,b,d/4] ,d [ab,,d/] |"
7;;12r;Vaghe bellezze à 3;;;OT;ConcR2319;C;"[cd/] [cd/4] [df] [fh,a/] ,,,a/4 ,,,c ,,a/ [fh,a] \
[da,c/4] ,c [cd,a/] | \
[acd/] [,df] [a,d/4] ,d ,c/ [cd,a1] ||"
8;;12r;De le vostre sciocchezze à 3;;;OT;;3;"[edf3/2] [cda/] | \
[acd3/4] [acd/4] [,df/] | \
[,cde/] [,daa] [,acc/4] ,,c | \
[,,de] [,a,c/4] ,,d ,,c/ | \
M:C
[,cd,a/] a [,cd] a/4 ,,c [fc,e/] \
[e,,e/4] ,c [e,h] ,h ,g/ [c,a1] ||"
