PieceNr;Key;PageNr;Name;Composer;Comment;Tuning;Concordances;TimeInz;Tab
1;;B1v;I. Disdaine me still that I may euer loue;John Dowland;;OT;;C;"[aaccca2] [a,cc/] ,a ,,,b/4 ,c ,e/ [a,,ce] [,ef,c] [a,c,e] ,,,c/4 ,c [,efec2] | \
[,efec1] [,ef/] [,,,ec] [,c,,,c3/8] ,,c/8 ,,d/ ,c \
c3/8 ,,,,,e/8 |"
2;;B2v;II. Sweet stay awhile, why will you rise?;John Dowland;;OT;;3;"[,cde3] [,dfec2] [,aaa1] [,cc,e3] | [acd,a1] [,dfec] [,cc,e] | \
M:C
[,,eeec1] z/ [,gh,e/] [ccde3/4] [cdf,c/4] [aacc/] [acd,a] | \
[,dda/4] ,,,,e [,df,c] ,,d [,cc,e1] |"
3;;C1v;III. To aske for all thy lone, and thy whole eart t'were madnesse;John Dowland;;OT;;C;"[,abc/] ,,,c [,aa] ,,,b [,abc] [a,,cd] [,,a,c] ,d/4 a | \
[c,,ac/4] [,,,ce] [,,aa] ,,b [a,d,a] ,d [ab] ,,,,a \
[aabc/] ,,,,,a [,efec1] |"
4;;C2v;IIII. Loue those beames that breede;John Dowland;;OT;;C;"[aa,c3/4] c/4 d ,,,e [ddff/] [cdda] [aabc] [,efec] ,a/4 ,d | \
,,,,,d/4 a [,bd,a/] [,abc,a3/8] ,,,,,c/8 [a,,,,d3/4] ,,,,a/8"
5;;D1v;V. Shall I striue with wordes to moue;John Dowland;;OT;;3;"[,cc,e3/4] ,,a/4 ,,,c/ ,,a [,cc,e] ,,,c | \
[,,ggge2] z/ [ee,,,e/] | [c,,,,e3/4] a/4 ,e/ c [,,g,ge] [,,h,h] | \
[,,ggge3] |"
6;;D2v;VI. Were euery thought an eye, and all those eyes could see;John Dowland;;OT;"Thomas Simpson: Taffel-Consort1621 ""Dowland's Courante""";3;"[aa,c/] | [abd3/4] ,d/4 [ff,h/] [df,c1] [,bdd/4] ,d | \
([abbcd2] [abbcd/]) [,bb,d/] | [,,def/] [,df,c1] [a,b,d/] ,b [ab,,a] | \
[aacc/] ,,,,,a2 z/ [abd/4] c |"
7;;E1v;VII. Stay time a while thy flying;John Dowland;;OT;;3;"[ccde2] [ec,d1] | [cc,e1] [cd,,c] [bcc,e] | [ccd,,c2] [bcc,e2] | \
[,,da/] ,,a [,acc] | [,,dca3/4] ,a/4 ,c/ ,,a [,ac,,e] ,,d |"
8;;E2v;VIII. Tell me true Loue where shall I seeke thy being;John Dowland;;OT;;C;"[aabcca2] [aabcca3/2] [,abc/] | \
[,bd,a1] [,aa,c] ,,,,d/ ,,d a1 [,efec2] | \
[,,,ec/] ,e [aac] ,,,c ,,,,e ,c ,,,e c |"
9;;F1v;IX. Goe nightly cares;John Dowland;;OT;;C;"[aabcca/] ,,d [da1] [c,,a/] ,,d [a,dcd1] | \
[,,bac/] ,a ,d [,c,,a/4] [,a,,,d] [,cd,,c/] ,d [aabcca1] | \
[,,,ec/4] ,f ,e ,c ,e ,f"
10;;F2v;X. From silent night, true register of moanes;John Dowland;;OT;;C;"[cceeec1] [cce/] ,,,,,e [,ca,b] c ,,,,c/4 a ,d/ | \
[,ca/] ,,,c ,,,b a [,,a,c] ,d/4 ,c ,d/ ,,c | \
[,cd,,c1] ,,a/ ,,,,,a [,aa,c1] [,,bc,a/] ,c |"
11;;G1v;XI. Lasso vita mia, mi fa morire;John Dowland;;OT;;C;"[,aa,c1] ,d [,,a,b/] ,c ,e1 | [,,aac/] ,a ,a1 [,,,,ec/4] ,,f ,,e ,,c ,,e/ ,,,,,c | \
[,aa,c/] [,abc,a] [,,,,ec/4] ,,f ,,e/"
12;;G2v;XII. In this trembling shadow;John Dowland;;OT;;C;",,f2 ,c1 ,,d/ ,c | [,eb3/4] ,e/4 [a,a/] ,,,c/4 a [c,d/] ,,a ,a c | \
[d,,c/] ,,d/4 c [aa/] ,,b ,,d1 ,,,a/ ,a |"
13;;H1v;XIII. If that a sinners sighes be Angels foode;John Dowland;;OT;;C;"[,abc1] d [,a,b/] d [c,d] ,a | \
[,,bc/] ,a a [,,aa/4] [,,,cd] [,,a,c/] \
[,e,,a/4] ,c [,e,,c/] ,,a |"
14a;;H2v;XIIII. Thou mightie God, that rightest euery wrong;John Dowland;The first Part;OT;;C;"z2 [,cc,e2] [,cc{,a}] | [,cc,e1] ,,d ,,,b ,,c/ ,,a [,,cd1] ,,,e/ ,,a/4 ,,,,,c | \
,,,,e/ [,c,d/4] ,,,,g ,,,d/ ,a [,da,b1] ,c/ ,,,c |"
14b;;I1v;XV. When Davids life by Saul was often sought;John Dowland;The second Part;OT;;C;"z1 ,c1 ,c/ ,c [,c,d] ,c/4 ,,,e | \
[,,cd/] ,,d/4 ,,,e [,,cd/] [,,de] \
,,,e/4 ,a ,c ,a [,,de] ,a [,c,e/] |"
14c;;I2v;XVI. When the poore Criple by the Poole did lye;John Dowland;The third Part;OT;;C;",,,,e1 ,,d ,,,,c/ ,,c [,,c,c1] | \
,,d/ ,,,,e ,,,e1 [,,c,e/] ,,,e ,,,d1 [,,de,cv3/2] ,,f/ | \
[,c,,,c1] [,,,,eb] [,c,,a/] ,,,a/4 ,,,c ,,a/ [,,c,c]"
15;;K1v;XVII. Where Sinne fore wounding;John Dowland;;OT;;C;",f2 ,f1 ,f | [,ef3/2] ,f/ [c,f] ,e [df1] | \
[c,f/] ,f [,ef1] [a,,c/] ,,c1 ,,d/ [a,,c] ,,c/4 ,,a ,,c/ ,a |"
16;;K2v;XVIII. My heart and tongue were twinnes, at once conceived;John Dowland;;OT;;3;"[,da,c3/4] a/4 c1 [ccee] | [cdfec2] [acd,e1] | \
[,ddef3/2] ,,,f/ [,ddef1] | [,cdca1] [,,aac/] ,a [,a,c,d] ,,,c | \
[,,eeec3] | [,cde3/4] ,,f/4 ,c/ ,,,c [c,aa] ,a |"
