PieceNr;Key;PageNr;Name;Composer;Comment;Tuning;Concordances;TimeInz;Tab
1;a moll;B1v;I. Farewell too faire;John Dowland;;OT;;C;"[,,eeec1] > ,,c ,,e1 [,a,,,e] [,ca,b] ,,,,,c [,da,c2] [,cde,c1] ,,,a [c,d] [a,,,e] | [,c,ca1] [,df,c] [cd,,,c] [,cde] > ,e [ac,c1] [,,def] ,,f [,ccde4] | 
[V:S] A4 A2 A2 A2 z2 | z2 A1 c2 B1 A > A ^G2 G2 | 
w:Fare-well too faire, too chast but too too cru-ell,"
2;G dur;B2v;II. Time stands still;John Dowland;;OT;;C|;"[aacc2] [,efec] [,ccce4] [,,,ce3/2] ,,a/4 ,,c ,,d1 a | [,,fec1] ,f ,,,e ,e [aa,c,a1] > ,,a ,,c ,,,,,a [,efec4] | 
[V:S] B2 A2 G6 G2 | A3 d1 B > A G2 A4 |
w:Time stands still with ga-zing on_ her face,"
3;G dur;C1v;III. Behold a wonder here;John Dowland;;OT;;3;"[aacc,a2] [aacc] [aacc] [aacc4] ,,,c1 ,,a [a,c,e] ,,d ,,,,c ,,,e [,ef] ,,d | ,,,,,a1 > [aac] ,,,c > ,,d ,,c > ,,a [aac,,a2] ,,,c [acd,a] |
[V:S] z2 z2 B2 d6 G2 A2 A2 | G6 z2 z2 e2 |
w:Be-hold a won-der here Loue"
4;F dur;C2v;IIII. Daphne was not so chaste;John Dowland;;OT;;C;"[cdda1] [cdda/] [cdda] [cdda1] [cdda] [cdda3] [cdda1]  [cdda] [a,d,e] [,da,c] [,ac] [acd,a4] | 
[V:S] c c/ c/ c c c3 c d e f2 e4
w:Daph-ne was not so chaste as she was chang-ing. "
5;G dur;D1v;V. Me me and none but me;John Dowland;;OT;;C;"[aacc1] [aacc/] [aacc] [aacc1] > [aacc] [aacc3] [aacc1] | [,cd,a1] a [,,,c,e/] ,d ,a1 [,c,ca2] ,,,,e1 a [,efec4] |
[V:S] B B/ B/ B > B B3 B | c2 d3 c2 B/ c/ d4 |
w:Me me and none but me, dart home O gen-de_ death"
6;G dur;D2v;VI. When Phoebus first did Daphne loue;John Dowland;;OT;;3;"[aacc1] [aacc2] [acd,a1] | [aacc2] [aacc1] [,efec] > ,f ,e [aac,,a2] | [,cdca1] [,c,ca] > ,,a [aacc] [a,d,e] > ,,,a [aacc] 
[V:S]G B2 c | d2 B A2 A G2 | G c2 d e2 d 
w:When Phe-bus first did Daph-ne loue, and no meanes might her"
7;G dur;E1v;VII. Say loue if euer thou didst find;John Dowland;;OT;;C;"[aac,,a1] [acd,a] [aac,,a] [,ef,c] [a,c,e/] ,,d | [,aa,c/] a ,e ,,d [a,c,,a1] [,acc] [,aa,c] [,,d,e/] ,,c [,,ab1] [ce,,c] |
[V:S]d c B A G | A A G G F G A d |
w:Say loue if eu-er thou didst find, a wo-man with a"
8;g moll;E2v;VIII. Flow not so fast yee fountaines;John Dowland;;OT;;C|;"[aacc2] [aacc1] [aacc] [abd,a2] [aa,c,e] | [abd,a1] > ,,,,c ,,,,d ,,,a [aa,c2] d1 [,,bc] | [c,da2] [,db,c] [a,,,d1] ,,,c [abd,a2] [aacc1] ,,,,,a3 :|
[V:S]d2 d d e2 d2 | c4 =B2 d2 | f3 f e3 e d4 :||
w:Flow not so fast yee foun-taines, what nee-deth all this haste,
w:Swell not aboue your mount-taines, nor spend your time in waste, "
9;a moll;F1v;IX. What if I neuer speede;John Dowland;;OT;;C;"[fha1] [fha/] [ef,,e] [cd,a1] [ed,,c] [fcd,a3] [ef,c/] [cc,e] | [ef,c1] [f,,ce] [,cde/] e c ,,,,,c [,ghge3] [cc,e/] ,,,c |
[V:S] e e/ e/ c d e3 d/ c/ | d e3/2 d/ c B3 c |
w:What if I ne-uer speede, shall I straight yeeld to dis-paire, and"
10;g moll;F2v;X. Loue stood amaz'd at sweet beauties paine;John Dowland;;OT;;C;"[aabc3] [caab/] [aabc] [,ea,c1] [aacc] [,bd,a] c | [,ab,c1] a a ,,b [,,,ec] ,e/ ,c ,e2 | [aacc2] [aacc1] [acd,a] [cdda2] [cdf,c1] [da,c2] [cdf,c1] [cc,e] ,,e/ ,f [,efec4] |
[V:S]d3 d/ d/ d d e2 | d3 d d4 | z1 d3/2 d/ =e c2 f d2 f e2 d4 |
w:Loue stood a-maz'd at sweet beau-ties paine: Loue would haue said that all was but vaine,"
11;a moll;G1v;XI. Lend your eares to my sorrow;John Dowland;;OT;;C;"[,cde1] [,ccd] [,cde2] [,ccde1] > ,,,,c [,ca,b] [,d,,c] [,ac,,e2] [,,e,ec1] ,c | [a,,,e1] [,dde] ,c/ ,,,c [,aaa] ,,c [a,d,e] ,a ,c ,,,a [aa,c1] [a,d,e] [aa,c/] ,,d ,,c1 [,cdca2] :|
[V:S]A B c3 B3/2 A/ A2 ^G A2 | B c2 d e c ,,B e d3/2 c/ c2 :| 
w:Lend your eares to my sor--row good peo-ple that haue a-ny pi--tie
w:for no eyes wil I bo--row mine own shal grace my dole-ful dit--ty"
