PieceNr;Key;PageNr;Name;Composer;Comment;Tuning;Concordances;TimeInz;Tab;TabNotation
;;;;;Die Incipits wurden mithilfe von Sarge Gerbodes Transkriptionen erstellt und mit dem Original verglichen/korrigiert);Incipits prepared with the help of Sarge Gerbode's transcriptions and compared to the original/corrected;;;;
1;;6;Fantasia 1.;;;OT;ConcR2476;,1/2;"h2 [ha] | ,f3/4 c/4 e c e f [ef1] [cd] | \
[ac3/4] ,e/8 a c a ,e ,c [,df/] [,cd] ,d/8 ,c ,a ,c ,,c/ ,a |";germantab
2;;7;Fantasia 2.;;;OT;ConcR618;;"f2 e1 a | c1 ,d/ e [fc1] ,,d | [ea1] ,c/ e [cd] e f ,c | \
,a/ ,,d [ea1] [c,d] a/ ,,c |";germantab
3;;9;Fantasia 3.;;;OT;;;"c2 c1 ,d | a1 c ,a/ d c a | [ca1] [h,,f] [f,d] [da/] c | \
[ab/4] ,d ,b ,a ,b ,d a c";germantab
4;;12;Fantas[ia] 4.;;;OT;;;"e3/2 e/ [ec1] e/ ,c | [fc1] ,c/ f [fd1] e | [cd1] [ac] [ca] ,,d | \
[eacc1] a/ ,,c [acc,e1] ,,c/ ,,,,e |";germantab
5;;14;Ich rew und klag;;;OT;ConcR1545;;"[aa,c,a2] [aa,c,a/] ,,,a ,,,c ,,a | \
[aab,,a/] ,,,,,c ,,,,,d ,,,,a [,dfec1] ,f/ c | \
[d,bcd/] ,,,a ,,,c1 [cd,a/4] a ,d ,b";germantab
6;;16;So wunsch ich ihr;;;OT;ConcR1522;;"[ca,,c3/2] d/ [ca,,c/] > a c/4 a c d | \
[c,aa/4] a ,d ,c ,d a c ,d [a,cc] ,d ,c ,a [,cde1] |";germantab
7;;18;Wer wolt ihr in ehren nicht sein holt H: Hofman;;;OT;;;"[aa,c1] | [aa,c1] [aa,c] [cdda] [acd,a/] ,,c | \
[,dfec1] [,cdce/] ,,,,a [,d,,c/4] a c ,d [a,c] ,d ,c ,a |";germantab
8;;20;Le content;;;OT;ConcR235;;",d/ a b d [fd] d f/4 d f g | \
f/ ,,d [da] b [ab] ,,d/4 ,a ,b ,d a b |";germantab
9;;22;Adiu mes amours;;;OT;ConcR1996;;"a/ ,e a c ,f/4 d c d f d c ,f | \
[ce/4] ,f c ,f ,e ,c ,f ,e [af/] c d f |";germantab
10;;25;O sio potessi donna;;;OT;ConcR868;;"[hd,f,d3/2] h/ [hd,f,d] ,,d ,,f ,,g | \
,,,a/ [fda] [fda] ,,,a [da,c3/4] a/8 d [ca,ac1] | \
[a,,cd/] ,,d/4 ,a ,b/8 ,a ,,d ,,b";germantab
11;;28;Ie prens en gre;;;OT;ConcR1358;;"[,ddef2] [,dfec1] [a,bc/4] ,c ,d a | \
[cdda/] ,c/4 ,a ,,d ,,b ,,a ,,,c [cdda/] d [ffg,a] h |";germantab
12;;32;Deul deuble deub;;;OT;ConcR1640;;"[,ccce2] [,ccce/] > ,,,,c ,,,,e/4 ,,,,c ,,,,a ,,,,,d | \
[acd,a/] ,d/4 a c a ,d ,c [,dfec/] c ,f ,d |";germantab
13;;34;Damour me plains;;;OT;ConcR1688;;"a/ ,e/4 a c/8 a ,e ,c ,a ,c ,e a \
[ca/4] ,,d ,a ,c ,a ,,d ,,c ,,a |";germantab
14;;38;Madonna ardo per voi;;;OT;;;"[,abc,a/] ,,a/4 ,,,c ,,a ,,b ,,d ,a [,bdca/] ,,c ,,d ,a | \
[,bdca/4] ,d a ,b ,d ,b ,a ,,d [,abc,a1] ,a |";germantab
15;;40;Ie cherche antant amour;;;OT;;;"[aabc/] ,e a c [dabc1] [da,ac/] ,,,,e | [cdda1] [aabc] [,ef,c] [hd,f,d] | \
[hd,f,d1] [fdaa] [dabc/4] ,,d ,a ,c ,d a c d |";germantab
