PieceNr;Key;PageNr;Name;Composer;Comment;Tuning;Concordances;TimeInz;Tab;TabNotation
1a;;1r;Jaymeroys mieux;;;Guitar;;3;"[,ccc/] ,a ,c ,d a ,d | [,ccc/] ,a ,c/4 ,a ,c ,d [,c,c/] ,,c | \
[,d,a/] ,c ,d ,a ,b/4 ,a ,b ,d |";french4tab
1b;;1v;Autrement;;;Guitar;;3;"[aabc1] a [aabc] | [aabc1] ,,b/ ,,c [aabc1] | \
[abcc/] ,a ,b ,d a c | [daaa/] c/4 d f d c a d c a ,d |";french4tab
2;;2r;Lennuy qui me tourmente;;;Guitar;ConcR2897;3;",,c/ ,a | [,bcc/] ,a ,b ,d [,bcc1] | [,bcc1] [,d,a/] ,a ,b ,d | \
[abac/] ,a ,b ,d a ,d |";french4tab
3;;2v;sans titre;;;Guitar;;3;",d/ a | [cdca3/2] c/ [cdca1] | [cdca/] a/4 c d c a c d c a c | \
[daaa/] c a ,d a c |";french4tab
4;;3r;La Burate;;;Guitar;;3;"[cdca1] c [daaa] | [cdca1] a/ c [daaa1] | [cdca1] [a,a/] ,d ,c ,a | \
[,ccc3/2] ,c/ [,ccc1] | [,d,,a/4] ,c ,d a c a c d f d c a |";french4tab
5a;;3v;Pauana la romanesque;;;Guitar;;C|;"[bdca1] ,c/4 ,d a/ | [bdca/] f d/4 b a b d a ,d | \
[abac/] ,,a/4 ,a ,b ,d a ,d | [abac1] a/ [abac] |";french4tab
5b;;4r;Gaillarde de la dicte Pauane;;;Guitar;;3;"[d,a/] ,c ,d a b a | [bd,a/] a/4 b d b a ,d a ,d ,b ,a | \
[abac/] ,a ,b ,d a ,d |";french4tab
5c;;4v;Autrement;;;Guitar;;3;"[dca/] ,c ,d a b d | ,,,a/4 f e f h f d c a ,d ,b ,a | \
[abac/] ,a ,b ,d a ,d |";french4tab
5d;;4v;Autrement;;;Guitar;;3;"[bdca1] a ,d | [f,,a1] d/4 b a b d a ,d | [abac3/2] ,d/ ,b1 | \
[abac/4] ,a ,b ,d";french4tab
5e;;5r;La Fin;;;Guitar;;3;"[cdca1] d/4 c a c d c a ,d | [accc1] a2 | \
[fccc1] f/4 d c d f d c a | [cdca1] c2 |";french4tab
6;;5r;sans titre;;;Guitar;;3;"[accc1] a [aabc] | [,ccc3/2] ,c/ [,ccc1] | [,dca1] [aabc] a | \
[,ccc3/2] ,c/ [,ccc] | [,ccc/] ,a ,c ,d a ,d |";french4tab
7;;5v;Pauane;;;Guitar;;C;"[daac2] [daac1] c | [aa,c1] c [daac] [ac] | [cdca1] ,a/ ,c ,d a c d | \
[ccca1] a [ddca] a |";french4tab
8;;6r;Autre Pauane;;;Guitar;;C|;"[cdca1] c/ ,d | [,d,a/4] ,c ,d a c ,d a c | [daaa1] d/ ,a | \
[daaa/] a/4 c d a c d |";french4tab
9;;6r;Bransle dEscosse;;;Guitar;;C|;"[aa,c/] ,d a c | d/ a [fccc1] | [fccc1] [c,,a/] ,d | a/ c d c | \
[aa,c1] c/ c | d/ c [aa,c1] |:|";french4tab
10;;6v;sans titre;;;Guitar;;3;"[abac3/2] a/ [abac1] | [abac/] ,a ,b ,d a c | [daaa3/2] d/ [daa1] | \
[daaa/] c d c a ,d |";french4tab
11;;6v;sans titre;;;Guitar;;3;"a/ c [daaa1] c/ a | [,dca1] ,,c/ ,d a c | \
[daaa/] c/4 d f d c a c a ,d ,b |";french4tab
12;;7r;Jaymerois mieux;;;Guitar;;3;"[cdca1] c [cdca] | [cdca/] a/4 c d c a c d c a c | \
[daaa/] a/4 c d a c d f d b a |";french4tab
13;;7v;sans titre;;;Guitar;;3;"[abac3/2] a/ [abac1] | [abac/4] ,a ,b ,d a ,d ,b ,d a ,d a c | \
[daaa/] c/4 d f d c a ,d ,b ,a ,,c |";french4tab
14;;7v;sans titre;;;Guitar;;3;",d/ a | [cdca3/2] c/ [cdca1] | [cdca/] a/4 c d c a c d c a c | \
[daaa/] c a ,d a c |";french4tab
15;;8r;Gaillarde;;;Guitar;;3;"[daaa3/2] d/ [daaa1] | [daaa1] d/4 c a c d ca ,d | \
[abac/] ,a ,b ,d a ,d |";french4tab
16;;8v;Gaillarde milanoise;;;Guitar;;3;"[daaa1] [cdca] [abac] | [,dca3/2] ,b/ [,aaa1] | \
[abac3/2] ,d/ [abac1] | [,dca3/2] ,b/ [,aaa1] | \
[abac1] ,b/ ,d a ,b | [,dca1] ,b/ ,b ,a ,,c |";french4tab
