PieceNr;Key;PageNr;Name;Composer;Comment;Tuning;Concordances;TimeInz;Tab;TabNotation
1;;2r;A Caso Vn' giorno;;;OT;;none;"[aacc3/2] [aacc/] [aac] ,,,c | ,,,a/ ,,,,e ,,,,c [acd,a] [acd] ,,,c | \
,,,,,d/ ,,,,,c ,,,,,a [cdda] [cdd] ,,d [cdda] |";italian7tab
2;;2r;La spagnioletta;;;OT;;none;",,d/ ,a [abda3/2] ,a/ ,b1 [,db,,d3/2] ,b/ ,d1 [ab,,d2] [ab1] \
[ab,,d3/2] c/ d1 [cdda2] [ab,,d1] [,db,,d3/2] ,b/ ,d1 [ab,,d2] \
[ab1] [ab,,d2] |";italian7tab
3;;2v;Passa mezo in tenor;;;OT;;none;"[aacc,a1] [aac/] ,,,c1 [aac/] ,,,c1 [aac/] ,,,b1 [aacc,a3/2] \
[aac/] ,,,,,c ,,,,,e ,,,,a ,,,,c ,,,,,e [acdca3/2] [acd/] \
,,,,a1 [acd/] ,,,,a1";italian7tab
4;;3r;Saltarello de passamezo;;;OT;;none;"[aacc,a3/2] [aac/] ,,,c1 [aacc,a] [aacc,a] ,d ,c ,a [acdca3/2] \
[acd/] ,,,c1 [acdca] [acdca] [caabc] [aacc,a3/2] [aac/] ,,,c1 \
[aacc,a] [aacc,a]";italian7tab
5;;3v;La Gamba;;;OT;ConcR831;none;"%%tabfirstflag 0
[aacc] [aacc] ,,d ,,c ,,a [aacc] [aa] ,,,c [,,d,a] ,,c [,,d,a] \
,a ,b ,d ,,a [,aba,d] [,aba] ,,,,,d";italian7tab
6;;4r;Dismonta da Cavallo in soprano;;Saltarello;OT;ConcR2192;none;"[cdda2] [cdda3/2] [cdd/] ,,d1 [cdda/] d c a ,d ,b [,ab,,d3/2] \
[,ab/] ,,,a1 [,ab,,d3/2] [,ab/] [abbcd1] [abbcd3/2] [abb/]";italian7tab
7;;4v;La favorita;;;OT;;none;"[,,d,a/] ,,c ,,d ,a [,b,,a] ,,d [,ab1] ,,,a/ ,,c ,,d ,a \
[,b,,a] a [,d,a] ,b [,a,a] ,,d [aacc,a1]";italian7tab
8;;4v;il suo saltarello;;;OT;;none;"[abacd3/2] [abb/] [abbcd3/2] ,d/ ,b1 [,db,,d3/2] [,db/] \
[,ab,,d3/2] ,b/ ,d1 [,b,,a3/2] ,a/ ,,d1 [,b,,a3/2] ,a/ ,,d \
[aacc,a3/2] [aac/]";italian7tab
9;;5r;Fantinella;;;OT;;none;"[abbcd2] [abbcd1] [abb/] ,,,c [abb1] [aabcd] [,bdc] [,db,,d] \
[abbcd] [abb/] ,,,c [aXbXb] ,,,,c ,,,,d ,,,a ,,,c ,,,,d \
,,,a ,,,c X,,,d";italian7tab
10;;5v;Pass'amezzo;;;OT;;none;",,,,c/ [aaa,e] ,,,b [aabc] ,,,,,a [aab] ,,,c [aab] ,,,,c [aaa,e] \
,,,b [aabc] ,,,,,a [aab] ,,,c [aab] ,,,,a [,aa,c] ,,,,e";italian7tab
11;;6r;Pass'amezzo;;f.6v two bars with accords;OT;;none;",,b/ ,,d ,a ,,,c [aab] ,,,,,a [aab] ,,d [,,bXc] ,,a ,,b ,,,,,a \
[aab] ,,,c [aab] X,,d ,a ,c X,d ,,,a";italian7tab
12;;7r;Pass'amezzo;;;OT;;none;",a/ ,,d [aabc,a1] [aab/] ,,,c [aaXb] ,,,,,c [,ab,,d] ,,,,a \
[,ab,c] ,,,,a [,ab,,d] ,,,,c [,ab,a] ,,,,,d [,ab,,c] ,,,,,a \
X[,dXd,,c] ,,,,,a X[,dd,,c] ,,,,,d";italian7tab
13;;7v;Romanesca;;;OT;;none;"[,ab,,d1] [,ab/] ,,,a [,ab1] [,db,,d/] ,c ,a ,,d ,a ,c \
[cdda1] [cdd/] ,,,a [cdd1] [cdda/] ,c ,a ,,d ,,b ,,a";italian7tab
14;;8r;L'aria de Fabbritio Gazzella;;;OT;;none;"[aacc1] [aa/] ,,,c [aa1] [c,,a] [a,,,e] [,da,c] [acdca] \
[acd/] ,,,,a [acd1] [,ab,,d] [,,da,c] [,abc] [cdda] \
[cd/] ,,,a [cd1] [cdda] [aabc]";italian7tab
15;;8v;La spagnoletta;;;OT;;none;"X,,d/ ,a [,bXdXd3/4] ,a/4 ,b/ [,daa3/4] ,b/4 ,d/ [abbcd3/4] [abb/4] \
,,,,c3/4 d/4 b/ [abbcd3/4] ,d/4 ,b/ [,abacd3/4] ,b/4 ,d/";italian7tab
16;;9r;Pavana;;;OT;;none;"[aacc,a1] [aac/] ,,,c [aac1] [aacc,a] [aacc,a] [,aa,e] [ad,a] \
[aacc/] ,d [acdca1] [acd/] ,,,c [acd] ,,,,a [acd] ,,,,a ,,,,a \
[acd] [acd]";italian7tab
17;;9v;Pavana;;;OT;;none;"[aacc,a1] [aac/] ,,,c [aac1] [,aa,e] [ad,a] [aacc/] ,d \
[acdca1] [acd/] ,,,c [acd1] [,aa,,e] [,aab,c] [,aab] \
[aacc] [aa] [aa,b]";italian7tab
18;;10r;Gagliarda;;;OT;;3;"[,aa,,c1] [,aa,,e] [aaa,c] [caabc] [caa/] ,,,b [caa1] \
[,aa,,e] [aaa,a] [,aab,c] [aacc,a] [aac/] ,,,c [aac1] | \
[,aa,,c1] [,,aae/] e [c,,a] a [caabc1]";italian7tab
19;;10v;Narcina;;;OT;;none;"[,ab,,d3/2] ,,a/ [,ab3/2] ,,,a/ ,,d1 [,bXc3/4] ,,a/4 \
[,,bdd1] [,,aa3/4] ,,b/4 ,,d1 | \
[,ab,,d3/2] ,,,a/ [,aXb3/2] ,,,,d/ ,,,,c3/2 [,ab/] \
,,,,a3/2 [,aa/] |";italian7tab
20;;11r;Mattaccino;;;OT;ConcR952;C;"[acdca/] [c,,a3/2] a/4 ,d3/4 [,ab,,d1] ,c/4 ,d3/4 \
[acdca3/2] [acd/] [acd1] | \
,,,,a/4 ,,d3/4 [,,aa1] ,,b/4 ,,d3/4 [,ab,,d1] ,c/4 ,d3/4 \
[acdca3/2] [acd/] [acd1] |";italian7tab
21;;11r;Dela bella francischina in basso;;;OT;ConcR52;none;",c/ ,d [acd1] [acd] [acd] [cdda] [a,d] ,c/ ,d [a,d] ,c/ ,d \
[a,d1] ,d/ a [c,,a] a ,d ,c [,acc3]";italian7tab
22;;11v;Barriera balletto;;;OT;ConcR1092;C;"[cdda1] c/ c c1 [fd,e] | [cdda2] [cd1] ,,d :||: \
[cdda1] d/ c a ,d ,c ,a [acd,a2] [ac1] ,,d [acd,a]";italian7tab
23;;12r;Rotta;;;OT;;3;"[fdde1] [fdde] [dabc] | [cdda1] ,,,a [cd] | \
[a,,Xc/] c d a c d | [cdda1] ,,,a [cc] | \
[fdde1] [fdde] [dabc] |";italian7tab
24;;12v;sans titre;;;OT;;none;"[c,,a/] d [fd,e1] [fd/] ,,,,e [fd1] [dabc] [cdca] [cd/] ,,,a \
[cd1] a/ c [dabc1] [da/] ,,,c [ca1] [cdda] [aac,,a]";italian7tab
25;;13r;sans titre;;;OT;;none;"d/ a [cdd,,c1] [cd/] ,,,a [cd] ,,,,,c [c,,a1] [d,,c] [a,,,e] \
[,dd,,c] [,dd/] ,,,a [,dd] ,,,,,c [f,,a] d c ,d";italian7tab
26;;13v;sans titre;;Fragment;OT;;none;"%%tabfirstflag 0
[acdca] [acdca] [cdda] [cdda] [cdda] [aacc] [acdca/] [acdca] || \
[aaccca1] [aaccca] [aaccca] [acdca] [acdca] [acdca] \
,,,,c ,,,,,a [aaccca]";italian7tab
27;;14r;(Passemezzo Moderno);;;OT;;none;"[cdda1] [cd/] ,,d [cd] ,c ,d a [cdda1] [a,,,e] [,da,c] \
,d/ ,c [,ab,,d1] [,ab/] ,,,a [,ab] ,,d ,a ,c [,db,,d1]";italian7tab
28;;14v;Noe, cosa ch'io miri;;;OT;;none;"[cdda1] [acd/] [,cde] [,df] [,df] [acd1] [cdda] [cdda] \
[dab,,d/] [cdda] [aa,c3/4] ,d/4 [ceee1] [,aa,c/] | \
[,aa,c/] [,aa,c] [,aa,c] [aa,c] [,cee] [,aff2] [,cee1] |";italian7tab
29;;15r;Linverno quando fioccha vorrei foco tornare;;;OT;ConcR3609;none;"[,ddf/] [,ddf] [,ddf] [acd] [acd] [cdda1] [cdda] [cdda/] [cdda] \
[dab,,d] [cdda] [aabc] [caa,c1] [caa,c/] | \
[caa,c/] [caa,c] [caa,c] [aabc] [caa,c] [acd,a1]";italian7tab
30;;15v;Monta su che son' di vena Insoprano;;;OT;;none;"[,dda1] a/ c [dab,cd1] [dab] [c,da] [a,,,e] [,da,c] [a,c] \
[,cdca1] ,,,c/ ,a ,c ,d a c [d,,c] ,c ,d a";italian7tab
31;;15v;sans titre;;4 bars only;OT;;none;"%%tabfirstflag 0
[aacc] [aacc] [aacc] [aacc] [aacc] | [acdca] [acdca] [acdca] | \
[cdda1] [cdda] [cdda] | [aacc] [aacc] |";italian7tab
32;;16r;(Gagliarda di Passemezzo Moderno);;;OT;;none;"[aacc,a1] [aac/] ,,,c [aac] ,,,,,a [aac] ,,,c [aacc,a1] [aac/] \
,,,c [aac] ,,,,,a [aac] ,,,c [acdca1] [acd/] ,,,,a [acd] ,,,,a";italian7tab
