PieceNr;Key;PageNr;Name;Composer;Comment;Tuning;Concordances;TimeInz;Tab;TabNotation
1a;;10;Allemande Damour;;;cittern;;C|;"[kagi/] k [faa] e/4 d | [eagi3/4] e/4 [eagi/] k | \
[kagi/] n [mkm] [kagi] | [hcag/] h/4 f [edea/] f/4 ,,e |";french4tab
2;;11;Allemande de Bourgoingne Le feu le traict le Brandon de ce petit cupidon;;;cittern;;C|;"[daac1] [daac/] d [daac1] | [daac/] e [daac] | \
a/ b d [edea1] | [edea/] g [haag1] | [haag/] g [haag1] |:|";french4tab
3a;;12;Allemande du prince;;Espoir conforte;cittern;;C|;"[caca/] [daac1] | [edea1] | [fadc/4] f [fadc/] | [kagi] | \
[haag/] | [fadc/] [fadc] | [edea/] | [fadc3/4] f/4 [fadc1] |:| \
[kagi/] [heag3/4] f/4 [edea/] [edea] |";french4tab
3b;;12;Reprinse / Espoir cotete;;;cittern;;3;"[daac1] d [edea] | [fade1] f/ h [kagi1] | [fade1] [fade] [edea] | \
[fadc3/2] f/ [fade1] | [daac/] d/4 c d e |";french4tab
1b;;13;Allem[ande] Damour Bassus;;;cittern;;C|;"[edea3/4] d/4 [baca/] a/4 ,a | [acca3/4] a/4 [acca/] [acca] | \
[edea/] g/4 h k h g e | [dcad3/4] d/4 [dcad/] [dcad] |";french4tab
4;;14;Allemande fortune helas pour quoy;;Jysa sibi virtus semp pulcherrima merces;cittern;ConcR466;C|;",a/ | [baca/] [baca] [daac/4] a b d | [edea/4] d e f [edea/] ,e/4 d | \
,c/ ,a [eaca] [eaca] |";french4tab
5;;15;Allemande Du prince De parme;;;cittern;ConcR320;C|;"k/ | [gaa/] m/4 k k/ m | [kagi1] [kagi/] [edea] | \
[gaa/4] h k/ [kagi] h/4 g | [eagi1] [gaae] |";french4tab
6;;16;Allemande de la Torche;;;cittern;;C|;"[daac/4] c d e [fade/] [fade] | [edea/4] d e f [edea/] [edea] | \
[daac3/4] c/4 d e d c a |";french4tab
7;;17;Allemande la huguenotte;;In Deo confido;cittern;;C|;"[daa/4] c d e [gaa] e g h | [kagi/] k [eaca1] |:| \
[daac/] [acad] [caca] c | [daac/] [acad] [caca/4] a c d |";french4tab
8;;18;Allemande Quand le pays de Lille;;;cittern;ConcR47;C|;"[daac/] [daac] ,,,e ,,,a ,,,c [dcad1] | ,,a/ ,,,a ,,,c ,,,d | \
[caca3/4] a/4 [caca/] [daac2] |:| [eaca3/4] d/4 c/ a ,a1 |";french4tab
9;;19;Allemande les soldatz de Guyse;;Ayme qui tayme;cittern;;C|;"[daac/] [kagi] [kagi] | [igia/] [kagi1] | [edea1] | [fade1] | \
[daac/] e/4 f ,,e/ [fade] [edea2] |:| [daac/] [fade] | \
[edea/] [edea] | [daac1] [caca] |";french4tab
10a;;20;Allemande de Estudiantz;;;cittern;;C|;"[aac/4] c d e [daac/] [edea] | [gaae3/4] g/4 [gaae/] [gaae] | \
[edea/] [kagi] [kagi] [igia] | [kagi3/4] k/4 [kagi/] [kagi] |:|";french4tab
10b;;20;Reprinse;;Spes mea Deus;cittern;;3;"[daac1] d [edea] | [gaae3/2] g/ [edea] | [kagi1] [kagi] [igia] | \
[kagi3/2] k/ [kagi1] |:| [aeag1] a [aeag] | \
[gaae3/2] g/ [edea1] |";french4tab
11;;21;Allemande de Deux Dames;;Dominis fortitudo mea;cittern;;C|;",,,a/4 ,,,c | ,,,d/ ,,,c ,,,a ,,a | [caca3/4] a/4 ,a/ ,a | \
[daac/] a/4 c d a c d | [eaca3/4] e/4 [eaca/] ,,,a/4 ,,,c |";french4tab
12;;22;Allemande fort une Infortunee;;Finis coronat opus;cittern;;C|;"[daac/] | [daac/] e [gaae] a | [daac3/4] d/4 [daac/] [edea/4] g | \
[heag/] [gaae] [ecca] [acbc] | [eaca3/4] e/4 [eaca/] a/4 c |";french4tab
13;;23;Allemande de fleur;;;cittern;ConcR972;C|;"[kiak1] [kiak/] [mkm] | [kiak/] h/4 g [edea] d e g | \
[haeg3/4] h/4 [haeg/] ,,,c/4 ,,,d | \
,,,e/4 ,,,d ,,,c ,,,a [daac] c d e |";french4tab
14;;24;Allemande;;;cittern;ConcR974;C|;"[paom3/4] p/4 [paom/] [paom] | [nakm3/4] m/4 [kagi/] [nmkm] | \
[mkm1] [kagi] [kagi/4] [igia] | [kagi3/4] k/4 [kagi1] |:| \
[kaa/4] i k m [nakm/] [mkm] |";french4tab
