PieceNr;Key;PageNr;Name;Composer;Comment;Tuning;Concordances;TimeInz;Tab
1;d moll;1r;Allemand;Dufault, Du But or Vincent;;;Conc_312;C;",a/ | \
[,aaa1] (,,a/4 ,,c ,,e/) [,a,,a] ,c [,,'e,,a] {a} | \
[,aa{,a}1] (a/4 c e/) ['ca{a}] a [,ce,,a] ,a | \
[,aaa{,,,a}/] e ,a ,c [e'd] ,,d c ,,b |"
2;d moll;1r;Courant;Du But;;;Conc_331;3/4;",,a1 | \
[,,aaa{,,,a}3/2] ,,b/ ',,a ,,,c | \
[,,,aa1] ',,,c3/2 ,,a/ | \
[,,aec3] | \
[,aaaa/] ,,f [,,'d,,a3/2] ,,a/ | \
[,,b{a}/] ,,b [,,'bca3/2] ,,d/ | \
[,,a{,a}1] [,,,'c{4}3/2] ,,,a/4 ,,,,c |"
3;d moll;1v;sans titre;;;;;3/4;",a1 | \
[,aa{,,,a}3/2] ,c/ a c | \
[ea,,a1] [ec,,,e3/2] c/ | \
[aa,,a1] ,,,c/ ,,a ,a ,c | \
[aVd{,a}1] ',c3/2 ,a/ | \
[,,ee,a1] ,,,c [,a,a] | \
[,aa{,,,a}1] [,,dc{,,a}3/2] ,,b/ |"
4;F dur;1v;Prelude;;;;;C;",,d/ a (,d/4 ,c) ,d/ ,,d ,,a ,,,a ,,d | \
c/ (c/4 a) c/ ,,d ,,,c ,,,,c ,,d e | \
e/ (c/4 e) f/ ,a ,,b ,,,c/4 ,,d e/ ,,d |"
5;F dur;1v;Allemand;;;;;C;"a/ | \
[ad{,a}3/2] c/ [cad{,,a}3/2] a/4 c | \
[e,d{,a}1] ,,a ,,,a2 | \
[,,da,a1] ,a/ ,,d [,,'b{a}1] {,a}/ ,,a | \
[,,,cc{4}1] ,,,,,d ',,,,,b ,,,,,a/ ,,a | \
V[,,b{a}3/2] ,,d/ [,,'d,,a3/2] ,a/ |"
6;F dur;2r;Courant;G. Pinel or Bocquet;;;Conc_5;3/4;"a1 | \
[adda{a}3/2] e/ 'c a | \
[,c,,,d/] a [,'a{a}3/2] ,,d/4 ,a | \
,,d1 {4}/ ,,d ',,b ,,a | \
[,,b,a{a}1] [,,'b,c3/2] ,,a/ | \
[,,aadd3] |"
7;F dur;2r;Sarab;Gaultier;Gigue d'Angleterre;;Conc_1740;3/4;"a1 | \
[aVda{,a}3/2] c/ a1 | \
[,'c{4}3/2] ,a/ ,c1 | \
[aVda{,a}3] | \
[,ab,,a3] | \
[,,d,,a1] ,,,,d ,a | \
[,,'b{a}3/2] ,,,,c/ ,,d1 | \
',,a3/2 ,,,c/ ,,a1 | \
,,,a3 :|"
8;F dur;2r;Menuet;;;;;3/4;"[,,'aa{,a}1] [,,aa] (,,,c/ ,,,a) | \
[,,dc{,,a}1] ,a ',c | \
[,Vd{,,,a}1] ,d (,c/ ,a) | \
[,c{4}/] a (,c ,a) (,,d ,,b) | \
[,,aa{,a}1] [,,aa] (,,,c/ ,,,a) |"
9;d moll;2v;Folies d'Espagne;;theme + 14 variations;;Conc_525;3/4;"[,aa{,,,a}1] [,aa,a] [,a{a}] | \
[,,e,,a1] [,,e,c] [,,ee] | \
[,aa,a1] [,aa{,,,a}] [,a{a}] | \
[,cd{4}1] ,,,,,d [,cdc] | \
[aa{,,,a}1] [aa,,a] [aa{a}] | \
[,cd{4}1] [,cd] [,cdc] | \
[,aa{,,,a}1] [,a{a}/] ,d ',c ,a |"
10;F dur;3v;Menuet;;;;Conc_3418;3/4;"[,,aa{,a}1] [,,aa] [,,,cc{4}] | \
[,,'a{,,,a}3/2] ,,b/ [,,d,,a1] | \
[,a,,,b1] [,,,cc] [,,d{,,a}/] ,,b | \
[,,a{,a}/] ,,b ',,a ,,,c ',,,a ,,,,c | \
[,,aa{,a}1] [,,aa] [,,,cc{4}] | \
[,,aa{,,,a}1] [,,aa/] ,,b [,,d,,a1] |"
11;F dur;3v;[Menuet];;;;Conc_1376;3/4;",,d1 | \
[,,a{,a}3/2] ,,,c/ ,,,a1 | \
[,,,aVd3/2] {a}/ [,,,cc1] | \
[,,a{,a}1] [,,,c{,,a}] [,,,a{,,,a}] | \
[,,dcc{4}2] [,,d,,a1] | \
[aVd,,a1] ,,d ,a | \
[,,a{a}3/2] [,,'b{a}/] [,,d,,a1] |"
12;F dur;4r;Chiacone;;;;Conc_4508;3/4;"[e,,a/] c 'a ,c [a,,,a1] | \
[,'c,,,a3/2] a/ [,a{d}1] | \
[,a{a}/] ,,d ,a ,c [a{,a}1] | \
['a{4}3/2] ,c/ a1 || \
[,,'a{,a}/] ,,,c ,,a ,,b [,,dc{,,a}1] |"
13;F dur;4r;Menuet;;;;Conc_3533;3/4;"[,,de{,a}1] ,,f/ ,,d ,,,f ,,,e | \
[,,,f{a}1] {,,,a} [,,d{,,a}] | \
[,,aa{,a}1] (,,b/ ,,a) (,,,c ,,,a) | \
([,,,c{4}/] ,,,a) ,,,,c ,,,,a ,,,,,d1 | \
[,,de{,a}1] (,,f/ ,,e) (,,,f ,,,e) |"
14;d moll;4v;Sarab;;incl. Double;;;3/4;"[,aa,a1] e [,ca,,e] | \
['aa,,a2] (c/ a) | \
[,c,,,d1] [,a,,,b1] {a}/4 (,d ,c) ,a | \
[,,e,,a2] [,,ae1] | \
[,aa,a1] e [,ca,,e] | \
[a'aa,a2] [,c,,,e1] | \
[a,,,a1] [,c,,,d] [ca,,,b] |"
15;F dur;4v;Minuet;;;;Conc_521;3;"[e,d{,a}1] (e/ c) V[e,d1] | \
['c{,,a}1] ,,d V[e,d] | \
['a{,,,a}1] (c/ a) (,c ,a) | \
([,,d{4}/] ,,c) ,,d ,a ,,d1 | \
[e,d{,a}1] (e/ c) V[e,d1] | \
['c{,,a}1] ,,d V[e,d] |"
16;F dur;5r;Giga;Losy?;;;Conc_1500;3/8;",,d1 | \
([,,d{,a}/] ,,f) ,,d | \
([,,d{,,a}/] ,,f) ,,d | \
([,a{,,,a}/] ,c) ,d | \
[,'c{4}1] a/ | \
([a,,,,a/] e) 'a | \
([a{d}/] c) a |"
17;F dur;5r;Minuet;;;;;3;"[,,,a{,a}1] [,,d/,,a] [,,dc{,,a}] | \
[,,'a{,a}1] (,,b( ,,a) [,,,c{,,a}] ,,a | \
[,,,'a{,,,a}1] [,a,,,b] [,a{,a}/] ,,d | \
[,,'b{a}1] (,,d/ ,,b) ([,,a{,a}] ,,b) | \
[,,,c{,,a}1] ,,d/ {,,,a} {4} ,,d |"
18;F dur;5v;L'Aimable;A.Campra;;;Conc_1376;3;",,d/ | \
[,,'a{,a}3/2] ,,,c/ ',,,a {a} | \
[,,,'a,a1] ([,,,a{,a}/] ,,,c) [,,,'c{,,a}1] | \
[,,ac{,a}1] [,,,c{,,a}] [,,,'a{,,,a}] | \
[,,dcc{4}1] ,,,,,d [,,d,,'b] | \
[a,d,,a1] ,,d/ ,b [,'ad{d}] ',,b |"
19;F dur;6r;Aria;;;;;C;"[aVd{,a}3/2] ['c{,,a}/] ,d/4 c V[e{,a}1] [c,,,,b/] ,d | \
[,c,,,d1] {4}/ ,c [aVd{,,,a}1] [,,d,,a] | \
[,ad,,b1] [,,d,,d/] ,a [,,'b,a1] ([,,d,c/] ,,b) | \
,,,,d/ ,,d ',,b ,,a"
20;F dur;6r;Minuet;;;;;3;",,,,d1 ,,,e ,,d | \
[,,'a{,a}1] ,,,c/ ,,a ',,,a1 | \
[,,da,a1] a [,'cb{a}] | \
[ac{,a}1] {a} [,,d,,a] | \
[,ad{d}1] (,,,a/ ,,,c) (,,a ,,b) | \
[,,d,,a1] (,,,a/ ,,,c) ,,a ,,,a |"
21;F dur;6v;Bourée del Sig. S.L. Weis;S.L.Weiss;;;Conc_3323;C;"[,,da{,a}1] | \
[,ad{d}1] [,,da,a] [,ad{d}] [,cb{a}] | \
([,da{,a}/] ,c) ,d c (,d ,c) [ac,,,a] ,,d | \
[,ad{d}1] [,,da,a] [,,'b,c{a}] {,a}/ ,,a | \
([,,,c{4}/] ,,,a) ,,,c ,,a"
22;F dur;7r;Minuet del Sig. S.L. Weis;S.L.Weiss;;;Conc_2453;3;"[,,d{,a}1] (a/ c) ['c{,,a}] ,d/4 c | \
V[e{,a}1] e/ f ['f{a}] ,h/4 f | \
V[h,,,,a1] ['f{a}] [,h{,a}/] f | \
[,'f{4}1] ,,,h2 | \
[fh{,,,a}1] ([h{,,a}/] f) [,h{,a}] f |"
23;F dur;7v;Allemande;Ferdinand Ignaz Hinterleitner;;;Conc_3451;C;",,a/ | \
[,,aaVd{,a}3/4] ,,a/4 [,,aad/] {a}/4 ,,b V[,,da,a/] a/4 ,b [,'a,a/] ,,d/4 ,a | \
,,d/ ,,,,,a/4 a {a} ,,b ,,,,c/4 ,,d {,a}/4 ,,a ,,,,,b ,,,c [,,,'cd{4}/] ,,,a/4 ,,,,c |"
24;F dur;7v;Bourée;Ferdinand Ignaz Hinterleitner;;;Conc_3374;C;"(,,d/ ,,b) | \
',,a1 ,,,a [,,a{,a}] [,,b{a}] | \
V[,,d,,a1] ',,a/ ,,,c ',,,a1 a/ ,,d | \
[,a,a,b1] [,,da,a/] ,a [,,'b,c{a}1] ([,,aa{,a}/] ,,b) | \
',,,c1 {4} [,,,cc] :|"
25;F dur;8r;Sarabande;Hinterleithner;;;Conc_1367;3;"['edd{,a}3/2] (f/4 e) [,f{4}1] | \
['aa{,,,a}3/2] ,c/4 a [,c,,,a1] | \
[,a{d}/] ,,,a ,,,c ,c a ,,,,,a | \
[,'c,c{4}3/2] (,a/4 ,c) [ada{,a}1] | \
['a,c{,,,a}3/2] (c/4 a) [,c{4}1] |"
26;d moll;8v;Ouverture de Mons. Weis;S.L.Weiss;;;Conc_2454;C;"(,,a/4 ,,c ,,e) | \
[,aVf{,,,a}3/2] (,a/4 ,c) V,d/ ,d/4 c Ve/ (e/4 f) | \
[,,'e,f{,,a}3/2] ,,e/4 (,,a ,,c/) (,c/4 ,d) c/ (c/4 e) | \
['aa{,a}3/4] (a/4 c e) ,,d/ ,a [,,'b{a}3/2]"
27;d moll;9r;Bourée;S.L.Weiss;;;Conc_3158;C;"e1 | \
['a{,,,a}1] ,c [ac,,a] ',a | \
V[fa{a}2] ['ea{,a}] | \
['c{,,a}1] ,d/ c [,'c,,,e1] e | \
([f{,,,a}1] e) ([e{4}] c) | \
([c{d}1] a) ['a,,,,a] ,c/ a |"
28;d moll;9v;Menuet Sig. Weis;S.L.Weiss;;;Conc_2455;3;"[,h{,,,a}1] k ['i{,,a}] | \
V[k{,a}1] ,h/ k {,,,a} h | \
['f{a}1] ,f/ f [,h{,a}] f | \
V[h{,,a}1] ,,,h/ h {4} f | \
['e{,a}1] ',d [,f{,,a}/] e |"
29;d moll;10r;Giga;S.L.Weiss;;;Conc_2456;6/8;",,a/ | \
[,a{,,,a}/] ,c a [a,,,a] ,c ',a | \
[,c,,,e/] a ,c [,,a,,d1] ,c/ | \
[,a,,,c/] ,,e ,a [,a,,,b] ,c ',a | \
[,,e,,a/] ,a V,c (,,a ,,b) ,,,c |"
