PieceNr;Key;PageNr;Name;Composer;Comment;Tuning;Concordances;TimeInz;Tab
1;d moll;2v;Allemande gautier;V.Gaultier;Le Testament de Mezangeau;;Conc_60;C;"[,,,aa{,,,a}1] ',,,c/ ,,a/4 ,,,c ,,a/ ,,,,a ',,,,c3/4 ,,,,,e/4 | \
[,,,,aVf/] ,,a ',,,,,d [,,b,,b] [,,d,,a] ,,,a [,,'c{a}3/4] ,,,,c/4 | \
[,,aad{,a}3/2] (,,a/4 ,,c ,,d) ,a/ {a} [,,'e,,a3/4] ,a/8 ,,e | "
2;d moll;3v;Courante de gautier;V.Gaultier or D.Gaultier;La Lyonnaise;;Conc_133;3;",a/ | \
[,aVf3/2] ,c/ ,,a a | \
[,ab1] ,,,c ,c/ ,a | \
[,,'ee3/2] ,,,c/ ,,,a ,,,,c | \
,,,,a/ ,a ,,,,c ,,,c ,,d ,,b | "
3;d moll;4v;Courante de gautier;D.Gaultier;#3;;Conc_741;3;",,a3/4 ,,,c/4 | \
',,,a3/2 ,,,,a/ ,,,,,e ,,,,c | \
[,,,,af3/2] ,,,a/ [,,,,ca1] | \
[,,,,a{,,,a}3/2] ',,,,c/ ,,,a ,,,,a | \
,,a/ ,,,,,d [,a,,,b1] ',c/ a/4 ,c | "
4;d moll;5v;Gigue du vieux gautier;V.Gaultier;"""La Poste"" or ""L'estourdie""";;Conc_62;C;"[,aVf3/2] ,,e/ ,a/ ,,a ',,b ,,,c | \
[,,aVe/] ,,,,a ,a ',c a ,,,,,d [c,,,,b] ,,,,c | \
[e,,,,a/] ,,a 'c/ a/4 c e/ ,c a ,a | "
5;d moll;6v;Sarabande de gautier;V.Gaultier (Mésangeau?);;;Conc_134;3;"[,,a,a3/2] [,,a,,d/] [,a,,,b1] | \
[,,'e,,a3/2] ,a/4 ,,e ,a1 | \
[,af,a3/2] [,afa/] [,afa1] | \
[,'c{4}3/2] a/ [,,d,,a1] | \
[,aba,b3/2] [,aba/] [,aba] ',,,,,a | \
{a}/ ,,b a ,c [a{,a}1] | "
6;d moll;7r;Sarabande de Du Buth;Du But;#6;;Conc_742;3;"[aaaaa1] c e | \
[,ca,,e3/2] ,c/ [a,,,a1] | \
,,,,c3/2 [,a,,d/] [,'c,c] ,a | \
[,,'ee3/2] ,a/ [,aaaa1] | \
,,,,,d1 [,a,,,b] [,,d,,a] | \
{a}/ ,,,,a ,,b ,,,,c [,,aad{,a}1] | "
7;d moll;7v;Courante de Mr du Buth;;#7;;Conc_129;3;",a1 | \
[,aaa{,,,a}3/2] ,c/ a c | \
a/ ,,,,,d [ca,,,b3/2] e/ | \
[eca,,a3] | \
,c3/4 ,d/4 [,'c,c3/2] ,a/ | \
,,,e/ ,,e ,,,,,a ,a ,c {a} | "
8;d moll;8v;Sarab de Vincent;Vincent;#8;;Conc_322;3;"[ea,,a1] [ec,,,e3/2] e/ | \
[ed,,a1] {,,,a}2 | \
[fa{a}1] ['cc{4}3/2] c/ | \
[e{,a}1] ,,,,d2 | \
[,,aad1] [,,cdXc3/2] ,,d/ | \
[,aaaa3/2] ,,,,a/ ,,,,c1 | \
[,,d,,a1] [,,'c{,,a}3/2] ,,,e/4 ,,c | "
9;a moll;18v;Allemande du vieux gautier;Bocquet or V.Gaultier;;;Conc_142;C;"Ve3/2 'd/ e3/4 ,c/4 ,d/ c | \
',c/ ,,a ,d/ ',c/4 ,a ,c/ ,,,c [,'a,a] ,,d/4 ,a | \
,c/ ,,,,c (,,a/4 ,,c ,,d) ,a ',,c/ {,,a} ',,a/ ,,,d/4 ,,a | "
10;a moll;19v;Allemande de Mr Emond;Emond;#11;;Conc_743;C;"e/ | \
[ecde,a3/2] 'd/ e3/4 ,c/4 a/ ',a | \
[,cd/] [,ac] [,cd3/4] ,,,e/4 [,ac/] ,,,e [,cc'd3/4] ,a/4 | \
[,,de/] ,,c [,,d,,a] [,,'c,,c] [,,a,,d/] ,,,,,a ,,,,,d ,,,,a | "
11;a moll;20v;Courante de gautier;;;;Conc_16;3;",c1 | \
[,c,,,a1] ,,a2 | \
[,,c{b}1] ,,,,c3/2 ,,c/ | \
V[,,d,,a3/2] ,,a/ ',,c ,,d | \
[,a,,,c1] {a}3/2 ,c/ | \
[,cdc{4}3] | \
[,,aa{,a}1] ,a [,,'e{,,a}3/4] ,a/8 ,,e | "
12;a moll;21v;Courante de gaultier;V.Gaultier;Les Larmes de Boisset;;Conc_3;3;"[,,a,cd1] [,,a,ac3/2] ,,,d/ | \
[,,a,,a1] ,c/ ,,,,,a {b} ,c | \
,,,,,a/ ,,,,c ,,d {a} [,a{,a}1] | \
[,c{,,a}1] ,,,,c [,,cd/] ,,c | \
[,,de1] [,,ce{,,a}3/2] ',,,d/ | "
13;a moll;22v;Sarabande de du buth;Du But, le Fils;#14;;Conc_155;3;"[,,a,,a1] [,,ae/] ,,c X,,d ,a | \
[,c{b}1] [,,c,c2] | \
X[,,d,ca1] [,a,a{,,,a}/] ,,d ,,c ,,a | \
[,,,'d{,,a}1] [,cdcc2] | \
[ccd1] [ccdcc/] e 'c ,c | "
14;a moll;23v;Courante de gautier;D.Gaultier;La Champré;;Conc_146;3;",,d1 | \
[,,d,,a1] ,,,e ,c/ ,,,c | \
,,,a/ ,,a ,c ',a ,,,,a3/4 ,,d/4 | \
[,,'c,c1] {,,a}/ ,,,e ',,,d ,,,,a | \
[,,a,,d1] ',,,,,c ',,,d3/4 ,,a/8 ,,,d | "
15;a moll;24v;Sarabande de boucquet;Bocquet;;;Conc_2;3;"[,cde1] e/ ,,,c ,,,a e | \
['c,,,c1] ,,c ,,d/ c | \
,,,,a/ ,,d a ,,d ',,c a | \
,,,,,d1 ,c/ ,,,c ,,,e ,c | "
16;a moll;25r;Menuet de L'opera d'atys;Lully;#17 Menuet 'Que devant vous tout s'abaisse et tout tremble';;Conc_744;3;"[,c,,,a1] ,c/ ,d [c{,,a}1] | \
[,,d{,a}1] [,,da] [,d{,,,a}] | \
[,'a{a}1] ,a c | \
[,'c{4}3/2] ,a/ ,,d1 | \
[,a{a}1] ,a/ ,d ([,c{,,a}] ,a) | \
[,,'d,,a3/2] ,,d/ [,ad1] | "
17;a moll;25v;Canaries vieux gaultier;Du But, le Fils or V.Gaultier;#18 Gigue du Roy;;Conc_156;3;",,a1 | \
,,,,c3/2 ,,,,a/ V,,,,c1 | \
,,,,,a2 V,,d1 | \
[,,d,c3/2] ,,,e/ ,,c1 | \
[,,,'d{,,a}2] ,c1 | \
[,,c,c1] V,,d ,a | \
[,,'de1] ,,,,,a e | \
[c,,,,c3/2] ,d/ c1 | "
18;a moll;26r;Sarabande de l'Inconnu;;;;;3;"[,cde1] ,c3/2 ,a/ | \
[,ccd1] [,c,,c] ,,c | \
,,,d/ ,a [,,'de1] [,,c{,,,a}] | \
[,,'c{,,a}3/2] ,,,e/4 ,,c [,,,e,a1] | \
[aa,,a1] [,'c,,,d3/2] a/ | \
[,'a,,,c3/2] c/ (,,d ,,c) | "
19;a moll;26v;Double de la derniere courante de la page (23v);D.Gaultier;;;Conc_147;3;",,d1 | \
[,,d,,a1] ,,,e ,c/ ,,,c | \
[,caa3/2] ',a/ ,,,,a ,,d | \
[,,'c,c1] {,,a}/ ,,,e ',,,d ,,,,a | \
[,,a,,d1] ,,,,,c ',,,d/ ,,a/4 ,,,d | \
[,,a,,a/] ,,,,d ,,a ,,c ,,d ,a | "
20;a moll;27v;Courante de gautier;D.Gaultier;#21;;Conc_745;3;",c1 | \
[,c,,,a1] ,,,e2 | \
[,c,d1] ',a3/2 ,c/ | \
[,,'d,,a3/2] ,,c/ ,,a1 | \
[,c,,,d1] ,e ',,,,,c/ d | \
[e,,,,a3/2] e/ g/ ,,,,g | "
21;a moll;28v;Sarabande de gautier;D.Gaultier;#22 cf Conc_747;;Conc_746;3;"[,c,e1] e/ ,,,c ,,,a e | \
[dcc,c1] [dcc/] d [e,,,,a1] | \
[,cde1] [,cde/] e ['c,,,c1] | \
,,,a/ ,, a ,c [,'a,c1] | \
[,cd{4}3/2] c/ {,,,a}1 | "
22;a moll;29v;fragment;;;;;none;"[,cde,a1] [,cde] [,cde] | \
[,acd1] [,acd] [,,de,a] | \
{,,,a}/ ,,c [,,'ce{,,a}3/2] ,,a/4 ',,,d | \
[,,a,,a3] :: \
Xe1 ,,a ,,c | \
c1 ,,c ,,e | "
