PieceNr;Key;PageNr;Name;Composer;Comment;Tuning;Concordances;TimeInz;Tab
;;;;;2r Accords de Luth;;;;
1;d moll;2v;[Sarabande];;;;Conc_1768;3;"[aaaaa1] [aaaa3/4] a/4 ,,,,a3/4 e/4 | ,,,,,e3/4 e/4 ,c3/4 'c/4 ,,,,a3/4 a/4 | \
[aaaa1] [aaaa3/4] a/4 ,,,,,a3/4 ,,d/4 | \
,,,,c3/4 ,,d/4 V,,,,d3/4 ,a/4 {d}3/4 ,,b/4 |"
2;d moll;3v;[Le Canon, Courante];;;;Conc_15;3;"e1 ,a ,,e/ ,c | ,a/ a ,,a c 'a ,,,,a | ,,,,c/ ,c ,,,a ,,a ,a ,,,c | \
',,,a/ ,a ,,,,,a ,,,,c ,a ,,e |"
3;d moll;4v;[Courante];;;;;3;",a3/4 ,a/4 | [,aaa{,,,a}3/2] ,c/ a c | [eaaaa1] '[ca{a}3/2] ,d/ | \
'[,c,,,a1] ',,e3/2 ,a/ | [,a,,,b1] '[,c{a}] ,,b | \
[a,a{,a}3/2] c/ e f |"
4;d moll;5v;[Courante];;;;Conc_129;3;",a3/4 ,a/4 | [,aaa{,,,a}3/2] ,c/ a c | [aaaaa1] '[ca{d}3/2] e/ | \
[eca,,a3/2] c/ 'a ,c | [,a,,,('b3/4] [,,,,,a)/4] '[,cb{,a}3/2] ,a/ | \
'[,,e,,a3/2] (,a/4 ,,e) ,a3/4 ,c/4 |"
5;d moll;6v;[Sarabande];;;;Conc_1762;3;"[,,,aaa{,,,a}1] '[,,,c{,,a}/] (,,a/4 ,,,c) ,,a1 | \
'[,,a{,a}3/2] ,,,c/4 ,,a ,,,a1 | {a}3/4 ,a/4 [,abc1] [,abc3/4] ,a/4 | \
(',,e1 ,,,,,a ,,,,f) | \
[,aaa{,,,a}1] [,aaa3/4] ,a/4 [,,d{,,a}3/4] ,,b/4 |"
6;d moll;7v;[Sarabande];;;;Conc_4132;3;"[eaaaa1] [eaaa3/4] e/4 [ec,,,e/] c | '[aaaaa1] {,,,a} [aaa3/4] f/4 | \
[faf{a}1] [faf3/4] f/4 [f{d}3/4] e/4 | \
[ccd{4}1] [ccd] '[ccd3/4] e/4 |"
7;d moll;8v;[Courante];;;;Conc_331;3;",,a/ | [,,aaa{,,,a}3/2] ,,b/ ',,a ,,,c | ,,,,a3/4 ,,,a/4 ',,,c3/2 ,,a/ | \
[,,aece3] | [,aaaa3/4] ,a/4 [,,d,,a3/2] ,,a/ | \
V[,,b{a}1] [,,bca3/2] (3,,a/4 ,,b ,,d) |"
8;d moll;9v;[Sarabande];;;;;3;"[,aaa{,,,a}1] [,aaa] (,d/ ,c/4 ,a) | '[,,e,,a1] ,,,e/ ,,,,f [,a,,d] ,,,,c | \
[,aaaa1] ,,,,,e/ ,c ,,a a | [aaaaa3] | \
{,,,a}/ a {,,a} c V[e{,a}1] |"
9;F dur;10r;Chanson;;;;;3;"[,,a{,a}/] ,,b [,,dc{,,a}3/2] ,,b/ | '[,,aad{,a}3] | \
[,,,a{,,,a}1] [,,baa3/2] [,,d,,d/] | [,a,,,b/] ,,d '[,,b{a}3/2] ,,d/ | \
'[,,cc/] ,,,a [,,d,b1] [,a,,a] | V[,b,c,d1] {4}2 | \
[,d{,,,a}/] ,b '[,a{a}3/2] ,,d/ |"
