PieceNr;Key;PageNr;Name;Composer;Comment;Tuning;Concordances;TimeInz;Tab;TabNotation
1;;1r;[sans titre];;;Guitar;;none;"!strumdown![,bcc1] !strumup![,bcc] !strumdown![,bcc] \
!strumdown![,d,,c3/2] !strumup![,bcc/] !strumdown![,bcc1] \
!strumup![,bcc] !strumdown![,b,Xa3/2] !strumdown![,,bcc/] \
!strumdown![,,bcc1] !strumup![,,bcc2] || \
!strumdown![,b,cd1] !strumup![,b,cd] !strumdown![,b,cd] \
!strumdown![bbcdd3/2] !strumup![,b,cd/] !strumdown![,b,cd1] \
!strumdown![,b,cd2] (3d/ b a) [,b,Xa2] ||";french5tab
2;;1v;Sarabande - Dites-moi, belle, je vous prie;;;Guitar;;none;"!strumdown![cdc1] !strumup![cdc] !strumdown![cdc] \
!strumdown!X[cdc3/2] !strumup![cdc/] !strumdown![cdc1] \
!strumdown![dd,,c1] !strumup![dd,,c] !strumdown![dd,,c] \
!strumdown!X[cdc3/2] !strumup![,ccc/] !strumdown![,ccc1] \
!strumdown![,ccc] !strumup![,ccc] !strumdown![,ccc] \
!strumdown![,ccc3/2] !strumup![,ccc/] !strumdown![,ccc1]";french5tab
3;;1v;Passacaille;;;Guitar;Conc_1050;none;"!strumdown![,b,cd1] !strumup![,b,cd] !strumdown![,b,cd] \
!strumdown!,,,,c !strumup![,b,,c] !strumdown![,bcc] || \
!strumdown![,bcc1] !strumup![,bcc] !strumdown![,bcc] \
!strumdown![,b,Xa3/2] !strumup![,b,cd/] !strumdown![,b,cd1] || \
!strumdown![dd,,c1] !strumup![dd,,c] !strumdown![dd,,c] \
!strumdown![bdc1] !strumup![bdc] !strumdown![bdc]";french5tab
4;;2r;Boemiene Sarabande;;;Guitar;;none;",,,a1 X[a,,,a2] !strumdown![bdc3/2] (3d/ b a) ,,,a \
!strumdown!Xd3/2 (b/ Xa1) b (d/ b a) ,d || \
,,,a1 f2 ,,,,a1 (,a/ ,b)";french5tab
5a;;2v;La Sylvie Sarabande;;;Guitar;;none;"!strumdown![,b,cd1] !strumup![,b,cd] !strumdown![,b,cd] \
!strumdown![,Xa,,c3/2] !strumup![,bcc/] !strumdown![,bcc1] \
!strumdown![,bcc1] !strumup![bbcc] !strumdown![,bcc] \
!strumdown![,b,Xa3/2] !strumup![,b,cd/] !strumdown![,b,cd1] || \
!strumdown![dd,,c1] !strumup![dd,,c] !strumdown![dd,,c] \
!strumdown!Xb3/2 !strumup![,bcc/] !strumdown![,bcc1]";french5tab
_5b;;2v;La Sylvie a pincer;;;Guitar;;none;",b1 ,,,a a X,a2 ,,,,a1 X,a ,b [,b,Xa] !strumdown![,b,cd1] || \
d1 ,,a d Xbn2 a1 ,,,,a Xa b";french5tab
6a;;3v;Il est vrai, je scai, qu'en aimant;;vedi f. 15v;Staff;;none;;french5tab
_6b;;3v;T.re: Il est vrai, je scai, qu'en aimant;;vedi f. 15v;Guitar;;none;"!strumdown![,b,cd3/2] [,d,,c/] !strumdown![,d,,c1] \
!strumdown![,b,cd2] !strumdown![,b,cd1] \
!strumup![,b,cd1] !strumdown![,d,,c3/2] !strumup!a/ \
!strumdown![,bcc1] !strumup![,bcc] !strumdown![,bcc] \
!strumup![,bcc] !strumdown![,,bcc3/2] !strumup![bbcd/] \
!strumdown![bbcd1] !strumup![bbcd] !strumdown!X[,aaa] \
!strumup![,baa1] !strumdown![,d,,c] !strumup![d,,,c]";french5tab
7;;4v;Sarabande - A pincer;;;Guitar;Conc_1050;none;"X,a1 ,,a ,,,,a X,a2 ,,,a1 X,b2 ,a1 X,,,,a2 ,,a1 || \
,d ,,,a a X,b2 ,a1 X,a2 ,,,,a1 X,,,,a2 ,,a1 ||";french5tab
8;;5r;Branle de Normandie - Un beau garson se presente;;;Guitar;;none;",,a1 ,b ,,a ,b X,a ,b/ !strumdown!,d1 ,,a ,d !strumdown!,d \
(,b/ ,d) a [,b,Xa] !strumdown![,b,cd2] ||";french5tab
9;;5r;Sarabande;;;Guitar;;none;",d1 X,a ,b !strumdown!,d ,,a ,,,a (3a/ c d) X[a,,,a2] ,,,a1 || \
X,a2 ,,,,a1 X,,c X,,,,a (,a/ ,b ,d1)";french5tab
10;;5v;Branle de la Musete;;;Guitar;;none;"X[a,,,a1] Xc ,,,a Xa2 X,c1 ,,,,a Xa2 Xc1 ,,,a Xa2 ,,,,a || \
(,a/ ,c ,d1) X,c2 X,a1 ,,,,a X,a ,,,,a";french5tab
11;;6r;Branle de St. Nicolas;;;Guitar;Conc_4434;none;"!strumdown![,b,cd1] !strumup![,b,cd] !strumdown![,b,cd] \
!strumup![,d,,c] !strumdown![,b,cd3/2] !strumup![,b,cd/] \
!strumdown![,b,cd2] !strumdown![dd,,c1] !strumup![dd,,c] \
!strumdown!b !strumup!Xb !strumdown![,b,cd2] || \
!strumdown![,b,cd/] !strumup![,d,cd] !strumdown![,b,cd1] \
!strumup![,b,cd] !strumdown![,d,,c] !strumup![,d,,c] \
!strumdown!X[,bcc3/2] !strumup![,,bcc/] !strumdown![,,bcc2] ||";french5tab
12;;6v;Sarabande de P. d. Dialogue - Si je meurs pour un berger;;;Guitar;Conc_1900;none;"!strumdown![,bcc1] !strumup![,bcc] !strumdown![,bcc] \
!strumdown![,bcc3/2] !strumup![,bcc/] !strumdown![,bcc1] \
!strumdown![bdc1] !strumup![bdc] !strumdown!X[adc] \
!strumdown![,d,,c3/2] !strumup![,d,,c/] !strumdown![,d,,c] \
!strumdown![,b,cd1] !strumup![,b,cd] !strumup![,b,Xa] \
!strumdown![,bcc3/2] !strumup![,bcc/] !strumdown![,bcc1] \
!strumdown![,d,,c1] !strumup![,d,,c]";french5tab
13;;7r;Branle de Poitou;;;Guitar;;none;"(3,a/ ,b ,d) (3,a/ ,b ,d) !strumdown!,d1 ,d X,a ,,a \
(3,a/ ,b ,d) (3,a/ ,b ,d) !strumdown!,d1 ,d X,a ||";french5tab
14;;7v;Petite Roialle Courante - Allons a Paris chers enfants;;;Guitar;;none;"a/ | !strumdown![,b,cd1] ,,,,a X,a ,b [,b,Xa] ,b/ !strumdown!X[,aaa3/2] \
,b/ !strumdown!,d a Xa ,d/ !strumdown![,d,Xa3/2] ,b/ X,a1 \
,b !strumdown![,bcc3/2] ,,,,a/";french5tab
15;;8r;Gavotte - O valet comment as-tu nom?;;;Guitar;;none;",b1 d Xa b !strumdown!d d ,b d Xa b !strumdown![dd,,c2] || \
!strumdown![,b,cd1] ,b X,a ,b !strumdown!,d a Xb a";french5tab
16;;8v;Gavotte;;;Guitar;;none;"!strumdown![,b,cd1] a !strumdown![,b,cd3/2] d/ !strumdown![db,cd1] \
d1 !strumdown![db,cd2] [f,,,a1] X[b,,a] d a [,b,Xa3/2] \
(,b/4 ,d a1) ,b !strumdown![,b,cd1] a !strumdown![,b,cd3/2] d/ \
!strumdown![db,cd1]";french5tab
17;;9r;Dame françcoise. Sarabande;;;Guitar;Conc_284;none;"!strumup![,b,cd1] !strumdown![dd,,c2] !strumdown![dd,,c3/2] \
!strumup![dd,,c/] !strumdown![dd,,c1] !strumdown!Xb3/2 \
!strumup![,b,cd/] !strumdown![,b,cd1] !strumdown![,b,Xa3/2] \
!strumup![,b,cd/] !strumdown![,b,cd1] || \
!strumup![,b,cd1] !strumdown![,b,cd2] !strumdown![,d,,c3/2] \
!strumup![,bcc/] !strumdown![,bcc1] !strumdown![,bcc]";french5tab
18;;9r;Air - Madonte je ne puis exprimer;;;Guitar;;none;"!strumdown![dd,,c1] !strumup![dd,,c] !strumdown![dd,,c] \
!strumdown!X[cdc3/2] !strumup![,,,cc/] !strumdown![,,,cc1] \
!strumdown![,b,cd1] !strumup![,b,cd] !strumdown![,b,cd] \
!strumdown!X[cdc3/2] !strumup![dd,,c/] !strumdown![dd,,c1] || \
!strumdown![fdc1] !strumup![fdc] !strumdown![fdc] \
!strumdown![h,,,f3/2] !strumup![h,,,f/] !strumdown![h,,,f1] \
!strumup![dd,,c1] !strumup![dd,,c] !strumdown![dd,,c]";french5tab
19;;9v;Bergamasque;;;Guitar;;none;",a/ | !strumdown!X[,aaa1] ,,a/ ,d !strumdown!,d1 X,a1 \
!strumdown![,b,cd3/2] a/ ,d ,b X,a1 ,,a/ ,a !strumdown!X[,aaa1] \
,,a/ ,,d !strumdown!,d1 X,a1";french5tab
