PieceNr;Key;PageNr;Name;Composer;Comment;Tuning;Concordances;TimeInz;Tab
1;;2v;Aire;;;OT;;none;"[bdda] ,,,e [bbdd] [db,c] [bdda] ,,,,d ,,,,b ,,,,a [,dda] [ab,,d] [bdd,,b] | \
,,,d ,,,c [bbda] ,,,,c [,bbda] [,bcda] [acd,a] \
[,bcda] [bbd,,b] |"
2;;4r;Aire;;;OT;;none;"[cdda] a c [d,,c] f d [cdda] a c [acd,a] | \
a [cdda] d f [dab,,d] d [cdda] [acd,a] |"
3;;4v;Aire;;;OT;;none;"[cdda] f [fdd,,,a] [cdda] [,da,c] [acd,a] [cdda] ,,,,,,a | \
[cdda] f [fdd,,,a] [edda] [,da,c] [acd,a] [cdd] ,,,,,,a | \
,,,a a [acd,a] d"
4;;5r;Chanson;;;OT;;none;"[edda] [edda] [edda] [edda] | \
[edda] [cdda] [edda] [ab,,d] [,da,c] [,da] [acd,a] | \
[cdda] [cdda] [ab,,d] [,da,c] [,cd,,a]"
5;;5v;Aire;;;OT;;none;"[,dda] [,bbcd] ,,,,c ,,,,a [,bbcd] [,aabc] [,cdca] | \
[,cdca] ,,,,c [,bbcd] ,,,,a ,,,,,b [,bbcd] [bbd,,b] | \
[bdda] ,,,c ,,,d ,,,,d [bbd,,b] [,bbcd] [bbd,,b] [ddff] |"
6;;6r;Chanson;;;OT;;none;"[bdda] [,bbcd] ,,,,b [bdda] ,,,,,d [bbd,,b] [bbd] | \
[bdd] [,bbcd] [bdda] ,,,,d ,,,,b ,,,,a ,,,,,d [bbd,,b] [bbd] | \
[bdda] [bdda] [bddda] [,bbcd] ,d [,bbddb] |"
7;;6v;Chanson;;;OT;Conc_4434;none;"[,dda,,a] [,cdca] [,d,,c] [acd,a] [cdda] ,,,,,,a [cdd] | \
[fdda] [fdd] [ddf,d] [cdd,,,a] | \
[cdda] ,,,,c [a,d,e] [cdda] [,da,c] [,cdca] ||"
8;;7r;Aire;;;OT;;none;"[,dda] {a} [,cdca] ,c [,acc] {a} [,cdca] | \
[,dda] [,,,,a{a}] [,cdca] ,c [acc] {a} [,cdca] | \
[cdda] d [fdda] {a} [dab,,d] [cdda] |"
9;;7v;Aire;;;OT;;none;"f [da,c] [cdda] [acd,a] c [,dda] {a} | \
a c [da,c] [cdda] [acd,a] c [,dda] {a} ,,,a | \
,,d [,dda] [a,,,c] [cdda] [da,c] [fdda] {a} |"
10;;8r;Aire;;;OT;;none;"f [da,c] [cdda] [acd,a] c [,dda] {a} | \
a c [da,c] [cdda] [acd,a] c [,dda] {a} ,,,a | \
,,d [,dda] [a,,,c] [cdda] [da,c] [fdda] {a} |"
11;;8v;Aire;;;OT;;none;"[,dda] ,,,,,a [acd,a] [acd,a] [bdda] [bdda] [acd,a] | \
[,bdd] [,bdd] [,bdd] [bbd,,b] [,bbcd] [bdda] [,cdca] [,dda] ||"
12;;9r;Aire;;Contuation of f.8v?;OT;;none;"[,,d,c] [,d,,b] [cdca] | [,dda] ,,,,a [,dda] ,,,,e [bdda] [acd,a] | \
[bdda] {a} [bdda] {a} [,cdca] [,d,,b] [,cdca] [bdda]"
13;;9r;Aultre Aire;;;OT;;none;"[aacc] [aacc] [bbdd] [aacc] [bbdd] [aacc] [,dda] [,acc] | \
[da,c] [c,,a] [ab,,d] [,da,c] [,aba,d] [,da,c] [,bd,a] [,acc] |"
14;;10r;Chanson;;;OT;;none;"[aabc] [abd] [cdda] [,ea,c] [aabc] [,ea,c] [aabc] [,bd,a] [,dab,d] [,dab,d] [,bd,a] [aabc] | \
[aabc] [,bd,a] [,dab,d] [aacc] [cdda] [,ea,c]"
15;;12v;Fuggon le stelle;;;OT;;none;"[cdda] [cdda] [h,,f] [fcda] ,,,,,a ,,,,,c ,,,,a [aaba,d] [cdda] [acd,a] [,dda{a}] || \
[cdda] [fdd{a}] [daba,d] [cdda] [cdd{a}] [acd,a] |"
16;;39r;Dieu vous gard Bergerette Chanson;;;OT;;none;"[,dda] [acd,a] [cdda] [dab,,d] [dab,,d] [fcd,a] [,dda] | \
[dab,,d] [,dda] [,dda] a [bdda] [acd,a] | \
[,dda] [acd,a] [cdda] [dab,,d] [dab,,d] [fdc,a] [,dda] |"
17;;39v;Aultre;;;OT;;none;"{a} [cdda] [acd,a] [cdda] [,dda] [acd,a] [acd,a] [cdda] | \
[cdda] [acd,a] [cdda] [,dda] [,acc] [,da,c] [,cd,a] [,acc] ||"
18;;39v;Miserere;;;OT;;none;"[acd,a] [acd,a] [acd,a] [,ea,c] [aacc] [,da,c] [aacc] | \
[cdda] [cdda] ,,,,a [cdda] [acd,a] [ea,,c] [acd,a] \
[aacc] [cad,c] [aacc] ||"
19;;39v;Benedictus;;;OT;;none;"[cdda] [cdda] [cdda] [dab,,d] [cdda] [,da,c] [acd,a] | \
[acd,a] [acd,a] [acd,a] [edda] [dab,,d] [acd] ,d \
[acd,a] [cdda] ||"
20;;40r;Aultre;;;OT;;none;"[cdda] a c [da,c] f d [cdda] a [cdd,a] [acd,a] | \
a [cdda] d f [dab,,d] d [cdda] [acdca] |"
21;;40r;De Profundis;;;OT;;none;"[cdda] [cdda] [cdda] [ab,,d] [,da,c] [,dab,d] [acd,a] | \
[acd,a] [acd,a] [acd,a] [,da,c] [,dab,d] \
[acd,a] ,d [acd,a] [cdda] ||"
22;;40v;Aultre;;;OT;;none;"[bdda] ,,,c [bbdd] [ddbcc] [bdda] ,,,,d ,,,,b ,,,a [,dda] [ab,,d] [bbd,,b] | \
,,,d ,,,c [bbda] ,,,,a [,cdda] [,bcda] \
[acd,a] [,bcda] [bbd,,b] |"
23;;40v;Te Deum;;f. 39v (2), f. 39v (3), f. 40r (2), f. 40v (2) the same piece?;OT;;none;"[h,,f] [f,,d] [d,,c] [cdda] [dab,,d] [acd,a] [cdda] | \
[ab,,d] [ab,,d] [ab,,d] [ab,,d] [,dacc] \
[,dab,d] [acd,a] [cdda] |"
24;;41r;Aultre;;;OT;;none;"[cdda] f [fdda] [cdda] [,da,c] [acd,a] [cdda] [,dda{a}] | \
[cdda] f [fdda] [cdda] [,da,c] [acd,a] [,dda{a}] |"
