PieceNr;Key;PageNr;Name;Composer;Comment;Tuning;Concordances;TimeInz;Tab
;;;Concerto I C.b.;;;;;;
1;c moll;1;Allegro ma non tanto;A. Falckenhagen;;;;C;"{4}/ ,,,,b ,,,c [,,ca{,,,a}] {,,a} ,,,c ,,d [,,ca{,,,a}] | \
{4}/ ,,,c ,,d [,,ca{,,,a}] {,,a} ,,,c ,,d {,,a} | \
[a{,a}/] ,b {,a} ,a {,a} ,,d {,a} ,,c"
2;c moll;3;Larghetto;A. Falckenhagen;;;;6/8;"[,,bc{,,a}/] [,,bc{,,a}] [,,bc{,,a}] \
[,,dd{,,a}] [,,dd{,,a}] [,,dd{,,a}] | \
[,,dd{,,a}/] [,,dd{,,a}] [,,dd{,,a}] [,,dd{,,a}] [,,bc{,,a}] z | \
[,aba{5}/] [,aba{5}] [,aba{5}] [aab{5}] [aab{5}] [aab{5}] | \
[aab{5}/] [aab{5}] [aab{5}] [aa{,,a}] [,bb{,,a}] z | "
3;c moll;5;Alla breve;A. Falckenhagen;;;;C;"Z13 | {4}1 ,,d/ ,a ,b1 ,,d | \
,,,,,c1 ,a ([c{a}] a) | \
([,b,,,d/] ,a) ,,d1 {4} ,b | \
[,'a{a}2] ,,,c1 ,,e | \
[,,'d{6}1] ,,d [,,b{5}] ,,,d | "
;;;Concerto II B.#.;;;;;;
4;B dur;6;Largo;A. Falckenhagen;;;;3/4;"{d}/4 ,,,a ,,b ,,,a {d} ,,,a ,,b ,,,a {d} ,,,a ,,b ,,,a | \
,,,,,a/4 ,,,a ,,d ,,,a ,,,,,a ,,,a ,,d ,,,a ,,,,,a ,,,a ,,d ,,,a | \
{a}/4 ,,,c ,,b ,,,c {a} ,,,c ,,b ,,,c ,,,,,a ,,,a ,,d ,,,a | "
5;B dur;7;Allegro;A. Falckenhagen;;;;2/4;"[,'a{d}/] ""Solo"",,d/4 ,a [,,'b{5}1] | \
[,'a{d}/] ,,d/4 ,a [,,'b{5}1] | \
[a{,,,a}/] ,,b f [c{,,a}] | \
[,Xb{4}1] [,'a{5}] | \
([,d{,,,a}/4] ,b ,d ,,b f/ [c{,,a}] | "
6;B dur;9;Tempo di Polon:;A. Falckenhagen;;;;3/4;"""Solo""[,a{5}/] ,a/4 a [,b{5}/] ,,d [,'a{5}1] | \
[,a{5}/] ,a/4 a [,b{5}/] ,,d [,'a{5}1] | \
[c{,,a}3/4] a/4 (,b/ ,a) ([,,d{,,a}] ,,b) | \
([,,a{,a}/4] ,,b ,,d) ,a ',,,a1 {,a} | "
7;B dur;10;Tempo di Minuetto;A. Falckenhagen;;;;3/4;"(f/ a) c ,a ,b ,,d | \
[,'a{d}/] {,a} {a} {,,,a} {,,a} {4} | \
([,a{5}/] ,b) [,Xb{4}3/2] (,a/4 ,b) | \
[aab{,,,a}1] (,b/ ,a) ([,,d{,,a}] ,,b) | "
;;;Concerto III C.#.;;;;;;
