PieceNr;Key;PageNr;Name;Composer;Comment;Tuning;Concordances;TimeInz;Tab
;;;Concerto I E.#.;;;;;;
1;E dur;1;Andante;A. Falckenhagen;;;;C;"[,ccd{,,a}/] [,ccd{,,a}] [,ccd{,,a}][,ccd{,,a}] [b,c{,,,a}][b,c{,,,a}][b,c{,,,a}][b,c{,,,a}] | \
[,cc{4}/] [,cc{4}] [,cc{4}] [,cb{4}] [,bc{5}] [,bc{5}] [,bc{5}] [,cc{a}] | 
[V:S]
e1 z/4 g/4f/4e/4 b/B/ z/4 B/4c/4d/4 | e/4d/4e/ z/4 g/4f/4e/4 ^d/4c/4B/ z/ B/ | 
[V:B]
 e/e/e/e/ d/d/d/d/ | c/c/c/c/ B/B/B/G/ |"
2;E dur;1;Allegretto;A. Falckenhagen;;;;2/4;",,c/ | [,'c{,,a}/] ,,c [,'c{,a}] ,,c | [,'c{a}/] ,,c {,a} ,b | \
([,c{,,a}/4] ,b ,c) ,,c ([,c{,a}] ,b ,c) ,,c | ([,c{a}/4] ,b ,c) ,,c {,,a} ,b | 
[V:S]
z/ | z2 | z2 | z2 | z2 |
[V:B]
z/ | z2 | z2 | z2 | z2 |"
3;E dur;3;Tempo di Polonese;A. Falckenhagen;;;;3/4;"[dcc{,,a}1] [,cc{a}] [,ee,,a] | [,bcb,c2] {5}1 | \
[,,ee,a1] [,bc,,c] {5} | [,ccdc2] {,,a}1 | 
[V:S]
b/ e1 f1 e/ | d/>c/ B2 | c/<e/ d/>c/ B/>A/ | {A/}G/F/4G/4 E2 | 
[V:B]
e1 g1 a1 | b2 B1 | A1 B1 b1  | e2 E1  | "
4;E dur;4;Menuetto altern.;A. Falckenhagen;;;;3/4;"[,c{,,a}1] [,'b{,a}/] ,,e [,,c{a}1] | [,,Ve,,a1] (,,c/ ,,a) [,,Vc{a}1] | \
[,,'a{,a}1] ([,,,d{,,,a}/] ,,,b) [,,cbb{5}1] | [,,,dc1] {,,a} [,,,bb{5}] |
[V:S]
e1 d/c/ B1 | c1 B/A/ B1 | A1 G/F/ G | TG2 F1 | 
[V:B]
e1 f1 g1 | a2 g1 | f1 d1 B1  | e1 E1 B1 |"
5;e moll;4;Trio;A. Falckenhagen;;;;3/4;"{,,a}/ c ,c ,,c ,,,c ,,c | {,,a}/ ,c ,,c ,,,c ,,,,c ,,,c | \
{,,a}/ ,,d ,,,e ,,d ,,,,c ,,d | {,,a}/ ,,c ,,,c ,,c ,,,,c ,,c |
[V:B]
""pizzicato""e3  | E3 | e1 e1 e1 | e1 e1 e1 |
[V:S]
(g1 e1) B1 | (e1 B1) G1 | A1 c2 | B1 G2 |  "
;;;Concerto II A.#.;;;;;;
6;A dur;5;Larghetto;A. Falckenhagen;;;;3/4;",,,,,a/4 ,,,e ,,e ,,,e | {,,a}/4 ,,,d ,,c ,,,d ""arpeggiato""[,,cd{,,a}1] [,,ae{4}] |\
[,a,d{5}1] [,a,d{,,a}] [,,ee,a] | [,,cd{,,a}1] [,,cd{,,,a}] [,,ae{4}] | 
[V:B]
a1 | e1 d1 c1 | B1 e1 a1 | e1 d1 c1 |
[V:S]
""Catabile""c1 | {c/}B2 A1  | G1 d1 c1 | {c/}B2 A1  | "
7;A dur;5;Un poco allegro;A. Falckenhagen;;;;2/4;"""Solo""(,c/ ,a) | [,,e,,a/] ,c [,,c{a}] ,c | [,,aVe{,a}1] {4}/ ,c | \
[,e{,,,a}/] d [e{,,,a}] ,e | [,Xa{,,a}1] {a}/ ,,e/4 ,a |
[V:B]
z1 | z2 | z2 | z2 | z2 | 
[V:S]
z1 | z2 | z2 | z2 | z2 | "
8;A dur;7;Tempo di Polonese;A. Falckenhagen;;;;3/4;"""Solo""[,,aVe,a1] ,,e/ ,a V,c1 | {,,a}/ (,,c/4 ,,e) ,a/ ,,c [,,e{6}] | \
[,,aVe,a1] ,,e/ ,a V,c1 | {,,a}/ (,,c/4 ,,e) ,a/ ,,c [,,e{6}] |
[V:B]
z3 | z3 | z3 | z3 | 
[V:S]
z3 | z3 | z3 | z3 | "
9;A dur;7;Tempo di Minuetto;A. Falckenhagen;;;;3/4;"[,ce,,a1] [,ea,a] [,ca,,e] | [,aa,,c] [,a,d{,,a}] [,,ee,a] | \
[,ce,,e1] [,ea,a] [,ca,,e] | [,aa,,c] [,a,d{,,a}] [,,ee,a] | 
[V:B]
a1 d'1 c'1 | b1 e1 a1 | c'1 d'1 c'1 | b1 e1 a1 |  
[V:S]
e1 f1 e/f/ | Td2 c1 | (A1 f1) (e/f/) | Td2 c1 |"
;;;Concerto III D.#.;;;;;;
10;D dur;9;Larghetto;A. Falckenhagen;;;;3/4;"[,aab{,,,a}2] [,acc{a}1] | [,a,c{,,a}1] [,,ec,a] [,aab{,,,a}] | \
z1 z1 ""piano""[,acc{a}1] | [,a,c{,,a}1] [,,ec,a] [,aab{,,,a}] | 
[V:B]
d2 g1 | e1 a1 d1 | z1 z1 ""piano""g1 | e1 a1 d1 | 
[V:S]
F1 A1 (B3/4A/8B/8) | TG3/2 F/4G/4 F1 | ""piano""F1 A1 (B3/4A/8B/8) | TG3/2 F/4G/4 F1 | "
11;D dur;11;Allegro;A. Falckenhagen;;;;2/4;"""Solo"",e/4 e | [,,f{,,,a}/] ,,f ,,f [,,f{4}] | [,,f{5}/] {6} {5} ,e/4 e | \
[,,f{a}/] ,,f ,,f [,,f{a}] | [,,f{,a}/] {,,a} {,a} e/4 ,a |
[V:B]
z/ | z2 | z2 | z2 | z2 | 
[V:S]
z/ | z2 | z2 | z2 | z2 | "
12;D dur;12;Tempo di Polonese;A. Falckenhagen;;;;3/4;"{,,,a}/4 ,,,b ,,a ,a ,,a ,,,b ,,a ,a {,,,a} ,,,b ,,a ,a | \
{,,a}/4 ,,,c ,,e ,,,c {,a} ,,,b ,,a ,a ,,a ,,,b ,,a ,a |
[V:B]
""sempre piano""d1 d1 d1 | e1 f1 F1 | 
[V:S]
""sempre piano""{g/}f/e/4f/4 d2 | c/4d/4e/4c/4 d2 |"
13;D dur;13;Tempo di Minuetto;A. Falckenhagen;;;;3/4;"['b{,,,a}1] (,c/ ,a) [ec{4}1] | ['b{,,,a}1] ([,c,,a/] ,a) [cce,,a1] | \
['b,,,a1] ([,c{,,,a}/] ,a) [ec,,,e1]| ['b,,,a1] {,,,a} [,c,,,a] | 
[V:B]
d1 d1 c1 | d1 d'1 a1 | d'1 d1 c1 | d1 D1 A1 |
[V:S]
f1 e/d/ a1 | f1 e/d/ g1 | f1 e/d/ a1 | f2 d1 |"
;;;Concerto IV G.#.;;;;;;
14;G dur;15;Largo;A. Falckenhagen;;;;3/4;"[,ac{a}/] {a} [,ac{a}/] {a} [,ac{a}/] {a} | \
[,cd{a}/] {a} [,cd{a}/] {a} [,cd{a}/] {a} | \
[,cd{a}/] {a} [,cd{a}/] {a} [,cd{a}/] {a} | 
[V:B]
(.g/.g/.g/.g/.g/.g/) | (.g/.g/.g/.g/.g/.g/) | (.g/.g/.g/.g/.g/.g/) |
[V:S]
G1 B1 d1 | e1 g1 z1 | e1 {=f/4}e/8d/8e3/4 {=f/4}e/8d/8e3/4 | "
15;G dur;17;Allegretto;A. Falckenhagen;;;;2/4;"""Solo""{a}/4 ,,,,a ,,,c ,,c ,a/ c | {,,,a}/4 (c b) ,c ',a1 | \
{,,a}/4 ,,,c ,,d ,,,c {,a} ,,d ,a ,,a |
[V:B]
z2 | z2 | z2 |
[V:S]
z2 | z2 | z2 |"
16;G dur;18;Tempo di Polonese;A. Falckenhagen;;;;3/4;"""Solo""[,,c{a}/] > ,,,c [,,c{a}/] > ,a [c{a}/] e | ['b{,,,a}/] ,c/4 b ',a1 ,,,,a | \
[,,d{,,a}/] > ,c [,a{,a}/] ,,a [,,c{,,,a}] ,,d | 
[V:B]
z3 | z3 | z3 |
[V:S]
z3 | z3 | z3 |"
17;G dur;19;Variazioni;A. Falckenhagen;;;;3/4;"{a}/ ,,,c ,,c ,a c ,,c | {,,,a}/ (,,c ,,a) (,,,c ,,,b) ,,,,a | \
{5}/ ,,,c ,,c ,a c ,a |
[V:B]
""Poco allegro""g1 g1 g1 | d1 d1 d1 | B1 B1 B1 |
[V:S]
""Poco allegro""d1 g1 B1 | TB1 A1 z1 | G/B/ d/g/b/d/ |"
;;;Concerto V G.b.;;;;;;
18;g moll;22;Largo;A. Falckenhagen;;;Conc_4374;3/4;"{a}/ [,abc] {a} [,abc] {a} [,abc] | {a}/ [,bdc] {a} [,bdc] {a} [,bdc] | \
{a}/ [,,dde] {a} [,,dde] {a}/ [,,dde] |
[V:B]
""sempre piano""(.g1 .g1 .g1) | (.g1 .g1 .g1) | (.g1 .g1 .g1) | 
[V:S]
""sempre piano""d1 {e/}d/4c/4d/ {e/}d/4c/4d/ | e/>d/ e2 | \
 c1 {d/}c/4B/4c/ {d/}c/4B/4c/ |"
19;g moll;23;Allegro;A. Falckenhagen;;;;2/4;"""Solo""[,a{a}/4] ,,d (,,b ,,a) ,,,c/ [,a,c,b] | ([,b,c,d/] ,a) V,b > [,b,c,d] |
[,a{a}/4] ,,d (,,b ,,a) ,,,c/ [,a,c,b] |
[V:B]
z2 | z2 | z2 |  
[V:S]
z2 | z2 | z2 | "
20;g moll;25;Tempo di Polonese;A. Falckenhagen;;;Conc_4375;3/4;"""Solo""[,,'b{a}/] ,,a/4 ,,,c [,a{a}/] (,a/4 ,b) [,'a{a}1] | \
[,,'b{a}/] ,,a/4 ,,,c [c{a}/] (c/4 e) ['e{a}1] | \  
[,'b{4}/] > ,a [,,d{4}/] ,,b [,,'a{4}]  ,,,c  |
[V:B]
""piano""g1 g1 g1 | g1 g1 g1 | c1 c1 c1 |  
[V:S]
z3 | z3 | z3 | "
21;g moll;26;Tempo di Minuetto;A. Falckenhagen;;;Conc_4376;3/4;"[Vc{a}1] ,a/ ,,d (,,b ,,a) | {4}1 ,b [,a{5}] | \
[,,db{6}1] (,,b/ ,,a) [,aab{,,,a}1] | [,,Xb{a}2] [,,a{,,,a}1] 
[V:B]
g2 G1 | c1 c'1 b1 | a2 d1 | g1 G1 d1 |
[V:S]
g1 d/c/B/A/ | G1 {c/4d/4}e1 d1 | {d/}c1 B/A/ d1 | TB2 A |"
;;;Concerto VI B.#.;;;;;;
22;B dur;27;Adagio;A. Falckenhagen;;;;C;"[aab{5}/] [aab{5}] [aab{5}] [aab{5}] [cbb{5}] [aab{5}] [aab{5}] [aab{5}] |\
[ada{,a}/] [aab{,a}] [,ba{,a}] [,ba{,a}] [,ab{d}] [aab{d}] [aab{d}] [aab{d}] |
[V:B]
B/B/B/B/ B/B/B/B/ | f/f/f/f/ b/b/b/b/ | 
[V:S]
%%nogracestroke
b/f/4>e/4 {e/}d/c/4B/4 g/f/ z/ B/ | A/4B/c/4 e/4g/f/4 {e/}d/{c/}B/ z/ f/ | "
23;B dur;27;Allegretto;A. Falckenhagen;;;;2/4;"([Vf{5}/] < a) (,b/ ,a) | [,,d,,a/4] (,b ,a) ,,d [,a{d}/] ,,b | \
([Vf{5}/] < a) (,b/ ,a) | [,,d,,a/4] (,b ,a) ,,d [,a{d}/] {5} | 
[V:B]
z2 | z2 | z2 | z2 |
[V:S]
z2 | z2 | z2 | z2 |"
24;B dur;29;Tempo di Polonese;A. Falckenhagen;;;;3/4;"""Solo""[,,b{5}/4] ,a ,,d (,b ,a) a ,b c 'a1 | [,,b{5}/4] ,a ,,d (,b ,a) a ,b c 'a1 | 
[V:B]
z3 | z3 |
[V:S]
z3 | z3 |"
25;B dur;30;Menuetto altern.;A. Falckenhagen;;;;3/4;"[,,baa{5}1] [,,baa{,,,a}1] [,,baa{4}1] | [,,baa{5}3] | \
[,,baa{5}1] [,,baa{,,,a}1] [,,baa{4}1] | [,,baa{5}3] | 
[V:B]
B1 d1 c1 | B2 z1 | B1 d1 c1 | B2 z1 | 
[V:S]
b1 B1 B1 | B/d/c/e/ d1 | b/B/B/B/B/B/ | (3B/c/d/ (3c/d/e/ d1 |"
26;B dur;30;Trio;A. Falckenhagen;;;;3/4;"(3{a}/ ,,,c ,,,,a (3{5}/ ,,,c ,,,,a (3{4}/ ,,,c ,,,,b | \
(3{,,,a}/ ,,,b ,,,,a (3{4}/ ,,,b ,,,,a (3{5}/ ,,,b ,,,,a |
[V:B]
""sempre piano""G1 B1 c1 | d1 c1 B1 | 
[V:S]
(G1 d1) e1 | {G/}^F2 G1 | "
